Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Chastre,José Carlos da Silva Fernandes Chastre,203014,Salgueiros,Salgueiros,https://cdn5.wyscout.com/photos/team/public/g1700_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,32.0,1993-02-11,0,,7,718,0,0.0,0,0.0,1.5,100.0,Portugal,['Portugal'],right,185,80,False,0.88,0.13,100.0,1.0,100.0,0.0,0.0,0.0,0.75,1.29,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,8.65,0.13,0.75,17.17,76.64,10.03,61.25,0.13,100.0,8.9,97.18,8.15,55.38,38.03,53.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,33.33,0.13,0.0,0.0,0.0,0.0,0.0,5.64,66.67,98.11,6.64,3,0.38,26,3.26,4,88.46,3.8200000000000003,0.48,0.8200000000000001,0.10300000000000001,0.0,2.88,1.0,,,,0.0,0,0
David Araújo,David  Vieira Araújo,-377587,Uniao Lamas,Uniao Lamas,https://cdn5.wyscout.com/photos/team/public/g1741_120x120.png,Campeonato de Portugal,"RCB3, RCB, RDMF",RCB3,65,RCB,19,RDMF,14,22.0,2003-02-06,0,2026-06-30,7,714,1,0.26,1,0.05,13.61,65.74,Portugal,['Portugal'],right,186,79,False,8.82,5.29,73.81,4.16,72.73,0.13,0.21,0.5,4.79,7.8100000000000005,0.63,2,0.25,0,0.0,0.25,0.13,1,0.13,0.03,1,0.13,4,0.5,25.0,25.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,1.76,50.0,0.76,0.0,0.13,13.61,0.5,0.63,30.0,69.33,16.26,56.59,2.14,94.12,19.66,80.13,10.34,48.78,26.6,41.33,0.01,0.13,0.0,0.0,0.0,0.0,0.25,6.55,44.23,0.63,40.0,0.88,42.86,0.25,0.0,8.45,56.72,87.14,8.82,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,4.16,0.0,0.0,0.0,0.0,0,0
João Frade,João Alberto Neto Frade,-115066,Uniao Lamas,Uniao Lamas,https://cdn5.wyscout.com/photos/team/public/g1741_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,24.0,2001-02-03,0,,7,714,0,0.0,0,0.0,1.13,100.0,Portugal,['Portugal'],right,189,79,False,2.52,0.0,0.0,0.38,100.0,0.0,0.0,0.0,2.52,4.11,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,100.0,0.0,0.0,0.0,7.06,0.38,0.63,16.39,81.54,10.59,75.0,0.0,0.0,10.21,97.53,6.18,55.1,32.79,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,46.67,0.5,25.0,0.25,0.0,0.13,0.0,4.29,67.65,91.89,4.66,9,1.13,37,4.66,1,75.68,9.54,1.2,0.54,0.068,0.0,1.8900000000000001,0.38,,,,0.0,0,0
Lucas Fernandes,Lucas Bento Fernandes,-160894,Moncarapachense,Moncarapachense,https://cdn5.wyscout.com/photos/team/public/g34655_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,23.0,2002-07-01,0,,7,706,0,0.0,0,0.0,0.51,100.0,Portugal,['Portugal'],left,186,85,False,0.89,0.0,0.0,0.51,100.0,0.0,0.0,0.0,0.89,1.4100000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.25,0.13,11.22,81.82,4.46,60.0,0.0,0.0,7.65,100.0,3.31,46.15,35.21,59.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,46.67,0.13,100.0,0.0,0.0,0.13,0.0,1.9100000000000001,66.67,100.0,6.25,6,0.76,18,2.29,2,66.67,6.42,0.8200000000000001,0.42,0.054,0.0,1.6600000000000001,0.51,,,,0.0,0,0
Bastian,Kenneth Sebastian,456448,Moncarapachense,Moncarapachense,https://cdn5.wyscout.com/photos/team/public/g34655_120x120.png,Campeonato de Portugal,"CB, LCB",CB,88,LCB,11,,0,28.0,1997-01-06,0,,7,706,0,0.58,0,0.0,17.21,64.44,Nigeria,['Nigeria'],right,192,87,False,8.67,4.72,75.68,8.16,65.63,0.0,0.0,0.38,5.1,8.05,0.89,2,0.25,0,0.0,0.25,0.0,0,0.0,0.07,0,0.0,2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,66.67,1.4,45.45,0.76,0.38,0.0,14.53,0.25,0.51,27.92,79.91,9.18,58.33,1.15,100.0,21.67,92.35,6.25,36.73,25.59,41.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21,24.24,0.51,0.0,0.25,50.0,0.13,0.0,3.8200000000000003,60.0,92.06,16.06,0,,0,,0,0.0,0.0,0.0,,,0.51,,8.16,0.0,0.0,0.0,0.0,0,0
W. Vieira Santana,Wesley  Vieira Santana,-730723,Machico,Machico,https://cdn5.wyscout.com/photos/team/public/g2895_120x120.png,Campeonato de Portugal,RCB,RCB,92,,0,,0,25.0,2000-07-09,0,,7,703,0,0.28,0,0.02,12.29,59.38,Brazil,['Brazil'],unknown,0,0,False,6.15,3.2,80.0,4.35,67.65,0.0,0.0,0.26,3.58,6.0,0.9,0,0.0,0,0.0,0.51,0.0,0,0.0,0.04,0,0.0,1,0.13,0.0,0.0,0.0,0.26,100.0,0.0,0.0,0.26,100.0,0.0,0.38,66.67,3.07,41.67,0.13,0.26,0.0,20.23,1.15,0.64,34.82,82.35,13.44,65.71,3.07,100.0,28.93,91.15,5.63,36.36,24.68,37.75,0.0,0.13,0.0,0.0,0.0,0.0,0.0,4.86,39.47,0.77,33.33,0.26,0.0,0.0,0.26,6.27,59.18,91.94,15.87,0,,0,,0,0.0,0.0,0.0,,,2.43,,4.35,0.0,0.0,0.0,0.0,0,0
Rui Encarnação,Rui Filipe Teixeira Encarnação,-75560,Machico,Machico,https://cdn5.wyscout.com/photos/team/public/g2895_120x120.png,Campeonato de Portugal,GK,GK,100,,0,,0,27.0,1998-04-05,150000,,7,703,0,0.0,0,0.0,0.77,66.67,Portugal,['Portugal'],right,185,73,False,2.05,0.26,50.0,0.0,0.0,0.0,0.0,0.0,1.92,3.21,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,100.0,0.0,0.0,0.0,17.54,0.51,0.38,28.81,79.56,17.16,66.42,0.0,0.0,17.03,98.5,11.65,52.75,37.27,50.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,38.89,0.13,100.0,0.13,100.0,0.13,0.0,7.8100000000000005,70.49,98.89,11.52,8,1.02,27,3.46,2,70.37,7.95,1.02,-0.05,-0.006,0.0,1.4100000000000001,0.0,,,,0.0,0,0
L. Oliveira,Lucas Alves de Oliveira,-730774,Resende,Resende,https://cdn5.wyscout.com/photos/team/public/g40160_120x120.png,Campeonato de Portugal,LCB,LCB,100,,0,,0,22.0,2003-02-14,0,,7,701,0,0.14,0,0.09,15.79,55.28,Brazil,['Brazil'],unknown,191,87,False,6.03,3.59,71.43,7.45,56.9,0.13,0.2,0.77,3.34,5.17,1.54,3,0.39,0,0.0,0.26,0.0,0,0.0,0.02,0,0.0,1,0.13,100.0,0.0,0.0,0.13,100.0,0.13,100.0,0.0,0.0,0.13,0.0,0.0,1.4100000000000001,36.36,1.28,0.13,0.0,10.53,0.13,0.77,25.55,76.38,12.97,63.37,0.77,83.33,18.74,81.51,6.68,61.54,24.82,40.42,0.01,0.26,0.0,0.0,0.0,0.0,0.0,3.08,50.0,0.51,25.0,0.13,0.0,0.0,0.13,7.06,60.0,92.68,10.53,0,,0,,0,0.0,0.0,0.0,,,0.64,,7.45,0.0,0.0,0.0,0.0,0,0
R. Diogo,Rodrigo Diogo,-611696,Resende,Resende,https://cdn5.wyscout.com/photos/team/public/g40160_120x120.png,Campeonato de Portugal,LB,LB,100,,0,,0,24.0,2001-01-16,0,,7,701,0,0.04,1,0.28,25.42,54.55,Portugal,['Portugal'],left,177,63,False,10.78,10.91,72.94,1.67,53.85,0.0,0.0,0.13,2.8200000000000003,4.37,1.03,1,0.13,0,0.0,2.44,0.0,0,0.0,0.0,0,0.0,1,0.13,100.0,0.0,0.13,2.18,23.53,2.18,23.53,0.0,0.0,0.13,2.7,66.67,9.24,47.22,0.13,2.44,0.39,17.72,1.28,1.28,30.04,73.93,15.28,70.59,3.34,84.62,23.62,83.15,4.62,44.44,21.21,38.85,0.04,0.26,0.0,0.0,0.0,0.0,0.13,5.39,66.67,2.5700000000000003,35.0,0.26,50.0,0.13,0.51,9.89,77.92,74.6,8.09,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.67,0.0,0.0,0.0,0.13,0,0
G. Goudelias,Gianluca Goudelias,-220974,Resende,Resende,https://cdn5.wyscout.com/photos/team/public/g40160_120x120.png,Campeonato de Portugal,RB,RB,100,,0,,0,29.0,1996-03-24,0,,7,701,0,0.11,0,0.38,19.64,50.33,Argentina,['Argentina'],right,176,71,False,8.22,6.03,59.57,5.26,46.34,0.39,0.6000000000000001,0.26,4.24,6.5600000000000005,0.9,1,0.13,0,0.0,1.8,0.0,0,0.0,0.01,0,0.0,3,0.39,66.67,0.0,0.0,1.8,35.71,0.13,100.0,1.67,30.77,0.13,1.54,58.33,5.01,43.59,0.51,0.77,0.0,11.94,0.64,1.54,23.88,67.2,11.94,62.37,3.08,87.5,16.31,80.31,5.78,40.0,22.55,39.15,0.05,0.64,0.0,0.0,0.0,0.0,0.13,5.26,53.66,2.5700000000000003,35.0,0.51,50.0,0.26,0.51,6.55,72.55,67.39,5.91,0,,0,,0,0.0,0.0,0.0,,,0.13,,5.26,0.0,0.0,0.0,0.0,0,0
