Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Monreal,Antonny Adrián Monreal de la Cruz,408485,Municipal Liberia,Municipal Liberia,https://cdn5.wyscout.com/photos/team/public/g5042_120x120.png,Primera División,GK,GK,100,,0,,0,31.0,1994-10-14,175000,2025-12-31,15,1512,0,0.0,0,0.0,0.65,81.82,Mexico,['Mexico'],right,187,84,False,0.9500000000000001,0.06,0.0,0.42,85.71,0.0,0.0,0.0,0.9500000000000001,1.34,0.06,4,0.24,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,4.52,0.12,0.30000000000000004,10.83,81.87,6.96,73.5,0.0,0.0,6.96,96.58,3.75,57.14,34.97,50.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,39.29,0.06,100.0,0.06,100.0,0.0,0.0,3.04,74.51,96.77,3.69,18,1.07,55,3.27,6,67.27,16.63,0.99,-1.37,-0.082,0.0,1.25,0.42,,,,0.0,0,0
E. Alvarado,Esteban Alvarado Brown,89223,Deportivo Saprissa,Deportivo Saprissa,https://cdn5.wyscout.com/photos/team/public/671_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1989-04-28,100000,,15,1510,0,0.0,0,0.0,0.30000000000000004,60.0,Costa Rica,['Costa Rica'],right,193,89,False,1.07,0.12,50.0,0.12,100.0,0.06,0.1,0.0,0.9500000000000001,1.57,0.06,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.18,0.0,14.3,86.67,8.46,79.58,0.0,0.0,9.24,98.71,5.07,64.71,32.16,48.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,52.63,0.0,0.0,0.0,0.0,0.0,0.0,3.93,74.24,97.78,5.36,18,1.07,57,3.4,5,68.42,14.72,0.88,-3.2800000000000002,-0.195,0.0,0.6000000000000001,0.12,,,,0.0,0,0
L. Moreira,Leonel Moreira Ledezma,104803,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,GK,GK,100,,0,,0,35.0,1990-04-02,200000,,15,1504,0,0.0,0,0.0,0.54,77.78,Costa Rica,['Costa Rica'],right,179,74,False,1.2,0.0,0.0,0.18,66.67,0.0,0.0,0.0,1.2,1.78,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,80.0,0.0,0.0,0.0,9.75,0.30000000000000004,0.30000000000000004,18.37,86.32,10.77,77.78,0.0,0.0,12.15,97.54,6.22,64.42,34.01,52.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,64.86,0.06,0.0,0.0,0.0,0.06,0.0,5.09,78.82,98.36,7.3,17,1.02,46,2.75,5,63.04,15.17,0.91,-1.83,-0.11,0.0,1.56,0.18,,,,0.0,0,0
K. Briceño,Kevin Andres Briceño Toruño,167593,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,GK,GK,100,,0,,0,34.0,1991-10-21,225000,2026-06-30,14,1439,0,0.0,0,0.0,0.63,90.0,Costa Rica,['Costa Rica'],right,186,81,False,1.19,0.06,100.0,0.31,80.0,0.0,0.0,0.0,1.13,1.53,0.0,2,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.06,7.76,0.38,0.19,13.82,81.45,8.69,72.66,0.0,0.0,8.26,95.45,5.57,60.67,38.19,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.06,2.44,64.1,0.0,0.0,0.06,0.0,0.0,0.0,4.75,69.74,96.25,5.0,9,0.56,54,3.38,7,83.33,14.53,0.91,5.53,0.34600000000000003,0.0,1.94,0.31,,,,0.0,0,0
Manuel Moran,Manuel  Moran Velásquez,487069,Pérez Zeledón,Pérez Zeledón,https://cdn5.wyscout.com/photos/team/public/673_120x120.png,Primera División,"RW, CF, RAMF",RW,52,CF,18,RAMF,12,27.0,1997-11-20,75000,,14,1421,1,1.32,1,1.74,26.03,46.47,Panama,['Panama'],right,187,0,False,6.4,3.8,63.33,7.73,40.98,0.0,0.0,0.13,3.99,5.37,0.8200000000000001,5,0.32,0,0.0,4.18,0.06,0,0.0,0.08,0,0.0,22,1.3900000000000001,45.45,4.545,0.06,2.91,28.26,0.89,14.29,2.03,34.38,0.44,4.24,64.18,11.34,48.04,2.6,2.15,0.32,13.74,1.96,2.5300000000000002,21.85,66.09,7.66,61.98,2.91,82.61,17.42,73.45,1.71,48.15,18.59,31.65,0.11,0.89,0.06,0.0,0.0,0.0,0.38,3.86,59.02,2.41,28.95,0.19,0.0,0.5700000000000001,0.8200000000000001,3.93,77.42,61.4,7.22,0,,0,,0,0.0,0.0,0.0,,,0.13,,7.73,0.06,0.0,0.0,0.0,1,100
P. Arboine,Pablo César Arboine Carmona,425791,Deportivo Saprissa,Deportivo Saprissa,https://cdn5.wyscout.com/photos/team/public/671_120x120.png,Primera División,"RCB, RCB3",RCB,81,RCB3,12,,0,27.0,1998-04-03,325000,2026-06-30,14,1413,0,0.21,0,0.08,11.08,63.22,Costa Rica,['Costa Rica'],right,178,71,False,8.03,4.9,76.62,3.06,72.92,0.5700000000000001,0.93,0.38,3.69,6.02,0.89,0,0.0,0,0.0,0.13,0.0,0,0.0,0.01,0,0.0,1,0.06,100.0,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.06,100.0,0.8300000000000001,30.77,0.25,0.0,0.0,21.91,0.45,0.13,33.44,89.14,13.76,81.94,2.36,100.0,29.24,93.46,4.01,61.9,21.27,38.12,0.01,0.06,0.0,0.06,0.0,0.0,0.0,2.23,71.43,0.32,0.0,0.19,33.33,0.06,0.0,5.48,68.6,95.93,14.08,0,,0,,0,0.0,0.0,0.0,,,1.53,,3.06,0.0,0.0,0.0,0.0,0,0
W. Ortega,Washington Jesús Ortega Olivera,361561,Alajuelense,Alajuelense,https://cdn5.wyscout.com/photos/team/public/665_120x120.png,Primera División,GK,GK,100,,0,,0,30.0,1994-11-13,700000,,14,1389,0,0.25,0,0.0,0.45,100.0,Uruguay,['Uruguay'],left,187,78,False,1.17,0.0,0.0,0.32,100.0,0.0,0.0,0.0,1.17,1.79,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.06,0.0,0.0,8.36,0.0,0.19,15.75,86.83,9.14,78.72,0.0,0.0,10.76,98.8,4.99,61.04,33.39,56.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,58.33,0.13,0.0,0.06,0.0,0.0,0.0,3.76,84.48,98.86,5.7,9,0.58,51,3.3,7,82.35,11.21,0.73,2.21,0.14300000000000002,0.0,1.3599999999999999,0.32,,,,0.0,0,0
W. Fernández,William Alban Fernández González,162295,Pérez Zeledón,Pérez Zeledón,https://cdn5.wyscout.com/photos/team/public/673_120x120.png,Primera División,"RCB, LCB",RCB,75,LCB,14,,0,31.0,1994-05-15,200000,,14,1376,1,0.79,0,0.0,9.88,58.28,Costa Rica,['Costa Rica'],right,183,75,False,7.39,3.47,75.47,3.99,42.62,0.07,0.09,0.59,4.71,6.39,0.46,2,0.13,0,0.0,0.2,0.07,1,0.07,0.05,0,0.0,5,0.33,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,50.0,0.46,0.2,0.0,18.25,0.2,0.39,31.85,82.34,16.48,74.21,2.75,88.1,23.48,90.53,8.37,59.38,24.53,39.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,57.81,0.78,33.33,0.46,14.29,0.26,0.0,8.76,69.4,92.94,11.12,0,,0,,0,0.0,0.0,0.0,,,1.96,,3.99,0.0,0.0,0.0,0.0,0,0
K. Carvajal,Kenneth Alejandro Carvajal Mondragón,451487,Guadalupe,Guadalupe,https://cdn5.wyscout.com/photos/team/public/g39490_120x120.png,Primera División,"RB5, RW, RB",RB5,58,RW,20,RB,11,28.0,1997-07-22,0,,15,1356,0,0.12,1,0.87,18.12,39.19,Costa Rica,['Costa Rica'],right,181,76,False,7.1,7.43,54.46,3.45,26.92,0.6000000000000001,0.77,0.2,2.46,3.18,1.33,5,0.33,0,0.0,1.99,0.0,0,0.0,0.01,0,0.0,6,0.4,33.33,0.0,0.07,1.79,44.44,0.13,100.0,1.6600000000000001,40.0,0.27,2.59,41.03,5.51,28.92,0.53,0.8,0.0,14.0,1.46,0.53,22.04,75.0,7.57,58.77,4.38,96.97,16.73,84.13,3.58,46.3,19.52,30.85,0.06,0.6000000000000001,0.0,0.0,0.07,0.0,0.33,3.7800000000000002,64.91,1.46,45.45,0.07,0.0,0.4,0.73,4.71,73.24,76.6,6.24,0,,0,,0,0.0,0.0,0.0,,,0.53,,3.45,0.0,0.0,0.0,0.0,0,0
R. Rivera,Reggy Rivera Angulo,-90114,San Carlos,San Carlos,https://cdn5.wyscout.com/photos/team/public/669_120x120.png,Primera División,"RB, RB5",RB,80,RB5,13,,0,27.0,1998-07-17,150000,,15,1355,2,0.24,1,0.65,14.28,48.37,Costa Rica,['Costa Rica'],right,175,72,False,9.5,6.91,62.5,3.39,43.14,1.3900000000000001,2.23,0.6000000000000001,3.79,6.04,0.8,2,0.13,0,0.0,1.06,0.13,2,0.13,0.02,2,0.13,6,0.4,33.33,33.333,0.07,2.7199999999999998,29.27,0.0,0.0,2.7199999999999998,29.27,0.27,0.33,40.0,2.13,28.13,0.73,0.8,0.0,29.36,2.13,0.6000000000000001,39.12,76.4,16.41,69.23,6.18,97.85,29.03,85.35,7.77,57.26,23.11,39.05,0.04,0.73,0.0,0.0,0.0,0.0,0.2,7.44,65.18,3.12,29.79,0.6000000000000001,22.22,0.33,0.93,10.36,76.92,74.87,12.42,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.39,0.0,0.0,0.0,0.0,0,0
L. Flores,Luis Alejandro Flores Cordero,281623,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,"RCMF, DMF, LCMF",RCMF,43,DMF,25,LCMF,17,31.0,1994-01-23,200000,,14,1338,0,0.01,0,0.84,8.88,49.24,Costa Rica,['Costa Rica'],right,0,0,False,6.93,4.98,55.41,1.9500000000000002,31.03,0.54,0.73,0.34,3.63,4.91,0.87,4,0.27,0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,3,0.2,0.0,0.0,0.0,0.34,40.0,0.2,33.33,0.13,50.0,0.07,0.07,100.0,0.61,44.44,0.0,0.13,0.0,22.4,0.27,0.47000000000000003,38.41,83.36,16.68,75.0,3.5700000000000003,96.23,30.47,90.29,7.74,58.26,23.32,38.2,0.06,0.54,0.0,0.0,0.0,0.0,0.27,7.8,74.14,1.6099999999999999,50.0,0.9400000000000001,50.0,0.61,0.13,10.29,73.2,90.65,14.39,0,,0,,0,0.0,0.0,0.0,,,0.54,,1.9500000000000002,0.47000000000000003,0.0,0.0,0.27,0,0
S. Rodríguez,Sergio Alfonso Rodríguez Aguilera,253950,Herediano,Herediano,https://cdn5.wyscout.com/photos/team/public/666_120x120.png,Primera División,"LCB, RCB",LCB,48,RCB,34,,0,29.0,1995-11-26,100000,,13,1327,0,0.26,0,0.47000000000000003,11.53,65.29,Mexico,['Mexico'],right,188,87,False,7.26,4.68,79.71,4.0,50.85,0.14,0.22,0.34,3.39,5.62,0.41000000000000003,2,0.14,0,0.0,0.41000000000000003,0.0,0,0.0,0.02,0,0.0,4,0.27,0.0,0.0,0.0,0.2,66.67,0.0,0.0,0.2,66.67,0.14,0.27,100.0,1.02,60.0,0.81,0.61,0.0,24.62,0.41000000000000003,0.34,39.0,87.65,16.48,76.54,1.97,96.55,33.37,93.09,5.43,55.0,24.28,43.63,0.03,0.2,0.0,0.0,0.0,0.0,0.07,5.49,65.43,0.47000000000000003,42.86,0.2,66.67,0.2,0.14,7.66,75.22,97.32,17.7,0,,0,,0,0.0,0.0,0.0,,,1.09,,4.0,0.0,0.0,0.0,0.0,0,0
