Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Sirotník,Jan Sirotník,-145953,Viktoria Žižkov,Viktoria Žižkov,https://cdn5.wyscout.com/photos/team/public/765_120x120.png,Chance National Liga,GK,GK,100,,0,,0,23.0,2002-04-16,0,2027-06-30,14,1356,0,0.0,0,0.0,0.46,85.71,Czech Republic,['Czech Republic'],right,190,78,True,1.3900000000000001,0.07,0.0,0.33,100.0,0.0,0.0,0.0,1.3900000000000001,1.9100000000000001,0.07,2,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.07,0.0,0.0,18.85,0.46,0.27,27.54,85.3,17.06,79.38,0.0,0.0,17.92,96.67,9.56,64.58,31.91,51.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,61.36,0.2,0.0,0.33,20.0,0.0,0.0,7.63,74.78,96.45,9.36,21,1.3900000000000001,66,4.38,5,68.18,20.32,1.35,-0.68,-0.045,0.0,1.6600000000000001,0.33,,,,0.0,0,0
M. Šindelář,Martin Šindelář,134093,Prostějov,Prostějov,https://cdn5.wyscout.com/photos/team/public/g575_120x120.png,Chance National Liga,"RCB, LCB",RCB,78,LCB,21,,0,34.0,1991-01-22,50000,,14,1353,1,0.30000000000000004,1,0.43,11.57,58.05,Czech Republic,['Czech Republic'],right,193,81,False,10.04,4.19,66.67,4.46,47.76,0.0,0.0,0.33,7.25,8.84,0.33,3,0.2,1,0.07,0.2,0.07,1,0.07,0.02,1,0.07,5,0.33,40.0,20.0,0.07,0.13,50.0,0.0,0.0,0.13,50.0,0.07,0.07,0.0,1.06,50.0,1.06,0.47000000000000003,0.0,21.88,0.4,0.6000000000000001,38.98,82.76,21.15,76.42,1.2,88.89,31.06,89.08,7.78,58.12,23.96,38.74,0.03,0.2,0.0,0.0,0.0,0.0,0.13,5.79,66.67,0.73,63.64,0.2,66.67,0.47000000000000003,0.07,10.24,70.78,91.55,14.17,0,,0,,0,0.0,0.0,0.0,,,0.67,,4.46,0.0,0.0,0.0,0.0,0,0
P. Mikulec,Petr Mikulec,480013,Prostějov,Prostějov,https://cdn5.wyscout.com/photos/team/public/g575_120x120.png,Chance National Liga,GK,GK,100,,0,,0,26.0,1999-04-05,275000,,14,1353,0,0.0,0,0.12,0.67,100.0,Czech Republic,['Czech Republic'],right,198,93,False,1.46,0.2,100.0,0.33,100.0,0.0,0.0,0.0,1.26,1.54,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,12.11,0.33,0.27,19.69,89.19,10.24,81.17,0.0,0.0,12.44,97.86,7.25,74.31,33.92,49.74,0.01,0.07,0.0,0.0,0.0,0.0,0.07,3.06,76.09,0.07,100.0,0.13,50.0,0.07,0.0,5.92,85.39,97.81,9.11,21,1.4,58,3.86,1,63.79,18.79,1.25,-2.21,-0.147,0.0,1.46,0.33,,,,0.0,0,0
A. Petrák,Adam Petrák,-147062,Viktoria Žižkov,Viktoria Žižkov,https://cdn5.wyscout.com/photos/team/public/765_120x120.png,Chance National Liga,"LCB, RDMF",LCB,47,RDMF,46,,0,26.0,1999-08-20,175000,,14,1352,3,1.16,0,0.07,13.58,54.41,Czech Republic,['Czech Republic'],right,183,72,False,8.65,5.79,63.22,4.06,50.82,0.2,0.27,0.67,4.79,6.57,0.6000000000000001,1,0.07,0,0.0,0.73,0.2,3,0.2,0.08,0,0.0,12,0.8,41.67,25.0,0.0,0.2,66.67,0.0,0.0,0.2,66.67,0.0,0.27,100.0,2.06,32.26,0.87,0.87,0.2,28.82,0.0,0.47000000000000003,43.27,85.69,18.17,74.36,3.79,96.49,37.88,90.33,5.26,53.16,21.32,39.87,0.0,0.13,0.0,0.0,0.0,0.0,0.07,6.19,67.74,0.8,58.33,0.33,0.0,0.4,0.07,7.86,72.88,95.88,17.77,0,,0,,0,0.0,0.0,0.0,,,1.33,,4.06,0.0,0.0,0.0,0.0,0,0
A. Hrdina,Adam Hrdina,-152182,Zbrojovka Brno,Zbrojovka Brno,https://cdn5.wyscout.com/photos/team/public/760_120x120.png,Chance National Liga,GK,GK,100,,0,,0,21.0,2004-02-12,225000,,14,1341,0,0.0,0,0.0,0.13,50.0,Slovakia,['Slovakia'],right,194,78,False,1.6099999999999999,0.07,0.0,0.07,100.0,0.0,0.0,0.0,1.6099999999999999,2.2,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.51,0.34,0.0,24.97,87.9,12.95,78.76,0.0,0.0,17.32,98.06,7.65,64.91,28.39,45.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6800000000000002,52.0,0.27,50.0,0.0,0.0,0.07,0.0,5.57,74.7,97.56,11.01,11,0.74,48,3.22,6,77.08,9.81,0.66,-1.19,-0.08,0.0,0.9400000000000001,0.07,,,,0.0,0,0
M. Skwarczek,Michal Skwarczek,190767,Chrudim,Chrudim,https://cdn5.wyscout.com/photos/team/public/g589_120x120.png,Chance National Liga,"LCB, CB",LCB,76,CB,19,,0,31.0,1994-04-05,175000,,14,1339,1,1.08,1,0.63,10.49,47.44,Czech Republic,['Czech Republic'],,182,68,False,7.46,4.03,56.67,4.44,42.42,0.13,0.18,1.28,5.04,6.68,1.01,3,0.2,0,0.0,0.34,0.07,1,0.07,0.07,0,0.0,5,0.34,20.0,20.0,0.07,0.67,30.0,0.47000000000000003,28.57,0.2,33.33,0.07,0.13,0.0,0.6000000000000001,33.33,0.4,1.6800000000000002,0.13,32.94,0.4,0.54,47.32,88.49,18.28,80.15,2.42,94.44,39.39,94.37,7.26,62.04,23.17,38.76,0.04,0.34,0.2,0.07,0.13,50.0,0.07,8.13,72.73,1.81,37.04,0.34,0.0,0.47000000000000003,0.2,10.28,81.05,94.3,23.59,0,,0,,0,0.0,0.0,0.0,,,1.55,,4.44,0.27,0.07,0.0,1.21,0,0
M. Toml,Martin Toml,269909,Chrudim,Chrudim,https://cdn5.wyscout.com/photos/team/public/g589_120x120.png,Chance National Liga,"RCB, RCB3",RCB,76,RCB3,18,,0,29.0,1996-03-25,200000,,14,1339,0,0.29,0,0.02,9.28,63.77,Czech Republic,['Czech Republic'],right,188,83,False,7.93,4.3,73.44,3.63,57.41,0.13,0.18,0.54,4.64,6.14,0.47000000000000003,1,0.07,0,0.0,0.34,0.0,0,0.0,0.02,0,0.0,3,0.2,0.0,0.0,0.0,0.47000000000000003,71.43,0.0,0.0,0.47000000000000003,71.43,0.07,0.0,0.0,0.54,50.0,0.47000000000000003,0.9400000000000001,0.0,35.49,0.67,0.27,51.15,85.41,24.47,75.55,4.1,100.0,44.09,91.77,6.65,44.44,21.44,39.65,0.0,0.07,0.0,0.07,0.13,0.0,0.07,8.67,65.12,1.34,35.0,0.54,25.0,0.34,0.2,10.82,79.5,95.83,17.74,0,,0,,0,0.0,0.0,0.0,,,2.76,,3.63,0.0,0.0,0.0,0.0,0,0
M. Melichar,Martin Melichar,-148732,Příbram,Příbram,https://cdn5.wyscout.com/photos/team/public/1288_120x120.png,Chance National Liga,GK,GK,100,,0,,0,25.0,2000-07-06,225000,,14,1332,0,0.0,0,0.0,1.28,100.0,Czech Republic,['Czech Republic'],right,186,0,False,2.09,0.34,100.0,0.54,100.0,0.07,0.08,0.0,1.69,2.02,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,16.62,0.2,0.61,24.93,82.38,15.74,74.25,0.0,0.0,12.84,97.37,12.09,66.48,35.75,50.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,56.16,0.34,20.0,0.27,25.0,0.07,0.0,8.78,83.85,96.52,7.77,21,1.42,67,4.53,4,68.66,22.99,1.55,1.99,0.134,0.0,1.8900000000000001,0.54,,,,0.0,0,0
T. Svoboda,Tomáš Svoboda,-130535,Příbram,Příbram,https://cdn5.wyscout.com/photos/team/public/1288_120x120.png,Chance National Liga,RB,RB,92,,0,,0,25.0,2000-01-20,175000,,14,1332,0,0.5,1,1.44,12.23,54.14,Czech Republic,['Czech Republic'],,180,0,False,7.5,5.88,59.77,2.23,48.48,0.14,0.16,0.2,3.85,4.61,0.74,3,0.2,0,0.0,2.3,0.0,0,0.0,0.03,0,0.0,13,0.88,15.38,0.0,0.07,2.9699999999999998,34.09,0.0,0.0,2.9699999999999998,34.09,0.74,1.76,65.38,2.84,50.0,1.08,1.01,0.07,19.66,1.69,0.34,29.26,66.51,12.57,52.15,4.8,94.37,20.27,79.33,6.01,39.33,23.77,39.42,0.1,0.61,0.0,0.0,0.0,0.0,0.27,5.41,51.25,2.9699999999999998,50.0,0.07,100.0,0.54,1.01,8.85,59.54,72.27,8.04,0,,0,,0,0.0,0.0,0.0,,,1.22,,2.23,0.07,0.0,0.0,0.0,0,0
P. Švestka,Patrik Švestka,-261770,Příbram,Příbram,https://cdn5.wyscout.com/photos/team/public/1288_120x120.png,Chance National Liga,"DMF, RDMF, RCMF",DMF,28,RDMF,22,RCMF,14,23.0,2002-09-01,125000,,14,1325,0,0.13,0,0.02,16.17,52.1,Czech Republic,['Czech Republic'],,0,0,False,10.12,8.69,60.16,2.45,47.22,0.14,0.16,0.41000000000000003,4.75,5.68,1.97,4,0.27,0,0.0,0.27,0.0,0,0.0,0.01,0,0.0,2,0.14,50.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.41000000000000003,50.0,2.85,35.71,0.48,0.54,0.0,18.61,0.14,0.61,30.43,84.15,11.0,71.6,3.6,94.34,26.97,88.66,3.26,52.08,19.44,32.74,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.28,71.43,0.48,42.86,0.2,33.33,0.14,0.0,5.3,67.95,92.35,11.55,0,,0,,0,0.0,0.0,0.0,,,0.88,,2.45,0.0,0.0,0.0,0.0,0,0
