Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Carey,Lewis Carey,209689,Horsham,Horsham,https://cdn5.wyscout.com/photos/team/public/g4892_120x120.png,National League N / S,GK,GK,100,,0,,0,32.0,1993-06-02,0,2026-06-30,29,2891,0,0.0,0,0.0,0.44,92.86,England,['England'],,183,0,False,1.49,0.03,100.0,0.34,100.0,0.0,0.0,0.0,1.46,1.98,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.03,0.34,0.06,31.88,82.71,19.74,73.34,0.03,0.0,15.85,99.02,16.03,66.6,35.11,47.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,46.72,0.28,11.11,0.19,16.67,0.0,0.0,10.3,80.06,97.99,10.83,32,1.0,101,3.14,8,68.32,30.66,0.9500000000000001,-1.34,-0.042,0.0,1.21,0.34,,,,0.0,0,0.0
J. Hammond,James Hammond,-213909,Horsham,Horsham,https://cdn5.wyscout.com/photos/team/public/g4892_120x120.png,National League N / S,"LDMF, LCMF",LDMF,67,LCMF,13,,0,28.0,1997-03-21,0,,29,2884,8,6.03,3,2.44,13.89,54.38,England,['England'],,0,0,False,6.96,5.21,69.46,3.5300000000000002,40.71,0.09,0.13,0.19,3.25,4.39,0.59,0,0.0,0,0.0,1.19,0.25,4,0.12,0.19,0,0.0,46,1.44,43.48,17.391,0.09,0.81,34.62,0.53,23.53,0.28,55.56,0.19,0.59,47.37,2.87,45.65,0.87,0.47000000000000003,0.0,21.88,0.59,0.87,38.57,77.43,14.89,58.28,7.36,94.92,30.68,86.06,7.15,45.41,21.24,40.14,0.08,0.97,0.03,0.03,0.09,0.0,0.12,8.11,53.08,1.9,40.98,0.59,31.58,0.53,0.28,7.93,67.32,87.88,12.36,0,,0,,0,0.0,0.0,0.0,,,1.69,,3.5300000000000002,1.19,0.47000000000000003,60.0,2.03,4,100.0
W. Buse,William Jack Buse,-359023,Salisbury,Salisbury,https://cdn5.wyscout.com/photos/team/public/g36475_120x120.png,National League N / S,GK,GK,100,,0,,0,24.0,2001-09-04,0,,28,2802,0,0.28,0,0.0,1.16,83.33,England,['England'],,0,0,False,2.41,0.06,50.0,0.48,93.33,0.06,0.1,0.03,2.31,3.48,0.06,5,0.16,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,83.33,0.03,0.0,0.0,13.49,0.1,0.39,24.38,79.05,15.61,69.34,0.0,0.0,12.4,97.93,11.92,59.84,36.05,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,54.32,0.55,17.65,0.29,33.33,0.06,0.0,8.13,78.66,96.76,7.93,38,1.22,131,4.21,8,70.99,38.58,1.24,0.58,0.019,0.0,1.25,0.48,,,,0.0,0,0.0
M. Walker,Mitch Walker,99921,Dover Athletic,Dover Athletic,https://cdn5.wyscout.com/photos/team/public/g4871_120x120.png,National League N / S,GK,GK,100,,0,,0,34.0,1991-09-24,0,,28,2798,0,0.0,1,0.39,0.9,82.14,England,['England'],right,190,87,False,1.29,0.0,0.0,0.71,90.91,0.0,0.0,0.0,1.29,1.83,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.33,0.0,0.0,0.0,7.21,0.06,0.06,14.28,69.37,12.54,65.9,0.0,0.0,3.63,94.69,10.61,60.91,48.61,54.71,0.01,0.03,0.03,0.0,0.0,0.0,0.03,4.7,47.26,0.39,0.0,0.1,66.67,0.03,0.0,7.69,81.59,96.23,1.7000000000000002,43,1.38,170,5.47,6,74.71,50.54,1.63,7.54,0.243,0.0,1.48,0.71,,,,0.0,0,0.0
W. Henry,Will Henry,438981,Chippenham Town,Chippenham Town,https://cdn5.wyscout.com/photos/team/public/g4810_120x120.png,National League N / S,GK,GK,100,,0,,0,27.0,1998-07-06,0,,28,2797,0,0.0,0,0.0,1.19,72.97,England,['England'],right,180,77,False,2.2800000000000002,0.16,60.0,0.77,75.0,0.06,0.09,0.0,2.12,3.05,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.13,75.0,0.0,0.0,0.0,18.89,0.16,0.13,29.57,82.05,15.03,67.67,0.0,0.0,16.99,98.48,12.48,60.31,35.03,49.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,48.73,0.26,12.5,0.1,0.0,0.03,0.0,7.63,73.84,97.36,13.42,51,1.6400000000000001,136,4.38,2,62.5,45.66,1.47,-5.34,-0.17200000000000001,0.0,1.99,0.77,,,,0.0,0,0.0
C. Renshaw,Chris Renshaw,428897,Southport,Southport,https://cdn5.wyscout.com/photos/team/public/2749_120x120.png,National League N / S,GK,GK,100,,0,,0,28.0,1997-09-26,0,,28,2770,0,0.0,0,0.0,1.2,86.49,England,['England'],,190,0,False,1.85,0.16,100.0,0.65,85.0,0.0,0.0,0.0,1.69,2.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,87.5,0.0,0.0,0.0,15.5,0.16,0.42,24.92,78.1,15.43,65.68,0.0,0.0,12.61,97.42,12.31,58.31,38.85,53.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,48.77,0.49,0.0,0.42,0.0,0.0,0.0,8.22,77.87,98.56,9.03,45,1.46,125,4.06,4,64.0,41.9,1.3599999999999999,-3.1,-0.101,0.0,1.92,0.65,,,,0.0,0,0.0
M. Johnson,Michael Johnson,470490,Hemel Hempstead Town,Hemel Hempstead Town,https://cdn5.wyscout.com/photos/team/public/g4861_120x120.png,National League N / S,GK,GK,100,,0,,0,32.0,1993-10-28,0,2026-06-30,27,2724,0,0.0,0,0.0,0.96,89.66,England,['England'],,0,0,False,2.68,0.13,75.0,0.66,95.0,0.0,0.0,0.0,2.58,4.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,10.18,0.2,0.23,20.95,71.77,16.35,66.06,0.03,0.0,6.15,94.09,14.74,62.78,45.3,51.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,56.03,0.4,25.0,0.2,50.0,0.03,0.0,10.18,85.06,95.38,4.3,26,0.86,90,2.9699999999999998,12,71.11,24.86,0.8200000000000001,-1.1400000000000001,-0.038,0.0,1.22,0.66,,,,0.0,0,0.0
T. Trusty,Tayt Trusty,-339256,Eastbourne Borough,Eastbourne Borough,https://cdn5.wyscout.com/photos/team/public/1594_120x120.png,National League N / S,"LCB3, RCMF, DMF",LCB3,29,RCMF,17,DMF,17,22.0,2003-11-23,0,,28,2720,0,1.0,0,0.4,19.26,57.9,England,['England'],right,184,0,False,10.85,7.48,67.26,6.42,61.86,0.23,0.38,0.23,5.59,9.17,0.99,2,0.07,0,0.0,0.4,0.0,0,0.0,0.03,0,0.0,12,0.4,16.67,0.0,0.0,0.46,28.57,0.26,12.5,0.2,50.0,0.1,0.36,54.55,2.48,38.67,0.53,0.5,0.0,15.92,0.33,0.43,35.31,72.63,16.58,59.68,3.31,94.0,28.52,79.81,6.32,43.46,20.52,33.9,0.01,0.17,0.0,0.07,0.03,0.0,0.07,7.58,53.71,1.19,38.89,0.5,26.67,0.33,0.26,8.34,62.3,86.0,11.58,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,6.42,0.03,0.0,0.0,0.0,0,0.0
S. Dreyer,Sam Dreyer,-429593,Torquay United,Torquay United,https://cdn5.wyscout.com/photos/team/public/1586_120x120.png,National League N / S,LCB,LCB,92,,0,,0,22.0,2004-01-03,0,,27,2712,1,1.5899999999999999,2,1.7000000000000002,16.1,66.19,England,['England'],,182,0,False,10.82,4.94,77.85,6.77,71.08,0.1,0.16,0.76,6.87,10.74,0.76,2,0.07,0,0.0,0.1,0.03,1,0.03,0.05,1,0.03,11,0.37,18.18,9.091,0.07,0.17,20.0,0.13,25.0,0.03,0.0,0.0,0.1,0.0,1.53,30.43,0.76,1.03,0.07,25.72,0.43,0.8,44.04,80.03,21.5,68.21,2.7199999999999998,93.9,35.48,88.49,8.4,45.45,22.33,37.75,0.06,0.13,0.03,0.0,0.0,0.0,0.07,7.3,54.09,0.73,18.18,0.4,25.0,0.33,0.03,9.89,65.1,94.09,15.73,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,6.77,0.03,0.0,0.0,0.0,0,0.0
J. Hamon,James Hamon,316471,Torquay United,Torquay United,https://cdn5.wyscout.com/photos/team/public/1586_120x120.png,National League N / S,GK,GK,100,,0,,0,30.0,1995-07-01,0,,27,2712,0,0.0,1,0.0,0.8,62.5,Guernsey,"['Guernsey', 'England']",right,185,70,False,1.73,0.03,0.0,0.27,87.5,0.0,0.0,0.0,1.73,2.7,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,80.0,0.0,0.0,0.03,12.98,0.17,0.13,24.56,80.68,16.26,73.67,0.07,50.0,13.11,97.72,11.45,61.16,36.29,51.83,0.0,0.0,0.03,0.0,0.0,0.0,0.0,3.7199999999999998,54.46,0.23,57.14,0.13,75.0,0.1,0.0,8.56,75.58,94.71,7.53,30,1.0,110,3.65,7,72.73,33.42,1.11,3.42,0.113,0.0,1.29,0.27,,,,0.0,0,0.0
