Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Péan,Sullivan Péan,517640,Villefranche,Villefranche,https://cdn5.wyscout.com/photos/team/public/g8923_120x120.png,National 1,GK,GK,100,,0,,0,26.0,1999-10-27,300000,2026-06-30,31,3057,0,0.0,0,0.0,0.5,58.82,France,['France'],right,192,90,False,1.8,0.18,66.67,0.24,62.5,0.03,0.04,0.0,1.65,2.24,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,12.42,0.12,0.06,21.2,87.64,9.63,76.76,0.03,100.0,15.1,98.05,6.04,62.44,29.94,50.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,49.35,0.24,0.0,0.26,33.33,0.0,0.0,4.09,75.54,96.73,9.89,43,1.27,156,4.59,7,72.44,41.35,1.22,-1.65,-0.049,0.03,1.21,0.24,,,,0.0,0,0.0
M. Zogba,Maël Zogba,-136877,Le Puy F.43 Auvergne,Le Puy F.43 Auvergne,https://cdn5.wyscout.com/photos/team/public/g16245_120x120.png,National 1,RCB3,RCB3,96,,0,,0,26.0,2000-01-19,100000,2026-06-30,31,3027,1,0.68,2,1.6,10.53,62.43,France,['France'],right,190,0,False,7.02,3.63,72.13,3.69,62.1,0.09,0.12,0.71,4.31,5.76,0.54,5,0.15,0,0.0,1.07,0.03,1,0.03,0.02,1,0.03,7,0.21,28.57,14.286,0.06,1.43,37.5,0.0,0.0,1.4,36.17,0.24,0.51,76.47,1.55,46.15,0.68,0.92,0.03,36.01,1.43,0.74,50.07,85.75,25.03,78.98,3.0,96.04,42.37,92.56,6.27,50.71,20.09,39.44,0.05,0.45,0.06,0.0,0.15,60.0,0.27,8.06,71.22,1.9,35.94,0.45,26.67,0.27,0.59,10.64,75.98,93.83,16.38,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.69,0.0,0.0,0.0,0.0,0,0.0
Matis Carvalho,Mathis Carvalho,458599,Le Puy F.43 Auvergne,Le Puy F.43 Auvergne,https://cdn5.wyscout.com/photos/team/public/g16245_120x120.png,National 1,GK,GK,100,,0,,0,27.0,1999-04-28,0,,31,3027,0,0.0,0,0.0,0.62,80.95,France,"['France', 'Portugal']",right,186,80,False,1.78,0.12,100.0,0.24,87.5,0.03,0.04,0.0,1.6400000000000001,2.19,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,15.61,0.21,0.24,24.89,83.63,13.44,73.01,0.03,100.0,15.61,97.71,9.22,60.0,30.43,45.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,47.19,0.24,25.0,0.33,45.45,0.12,0.0,6.48,67.89,95.89,10.14,36,1.07,124,3.69,8,70.97,39.51,1.17,3.51,0.10400000000000001,0.0,1.22,0.24,,,,0.0,0,0.0
F. L'Hostis,Franck L'Hostis,148787,Stade Briochin,Stade Briochin,https://cdn5.wyscout.com/photos/team/public/g2376_120x120.png,National 1,GK,GK,100,,0,,0,36.0,1990-04-03,0,,31,3011,0,0.0,0,0.01,0.78,88.46,France,['France'],right,186,77,False,1.67,0.12,25.0,0.45,100.0,0.0,0.0,0.0,1.6400000000000001,2.0,0.0,2,0.06,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.18,100.0,0.0,0.03,0.0,13.99,0.21,0.24,24.66,85.58,14.59,77.66,0.0,0.0,13.03,97.25,11.63,72.49,33.72,47.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.48,65.06,0.09,0.0,0.06,0.0,0.03,0.0,9.24,78.96,97.36,9.06,48,1.43,160,4.78,6,70.0,49.62,1.48,1.62,0.048,0.0,1.46,0.45,,,,0.0,0,0.0
G. Alette,Gaël Alette,-171552,Fleury 91 FC,Fleury 91 FC,https://cdn5.wyscout.com/photos/team/public/g19317_120x120.png,National 1,GK,GK,100,,0,,0,25.0,2001-04-27,0,2027-06-30,31,3010,0,0.0,0,0.0,0.5700000000000001,78.95,France,['France'],,202,94,False,1.67,0.09,66.67,0.30000000000000004,100.0,0.03,0.04,0.0,1.58,2.27,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.09,66.67,0.0,0.0,0.0,14.29,0.15,0.21,25.89,89.61,12.08,80.94,0.0,0.0,18.99,97.64,6.91,67.53,26.83,40.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,50.0,0.06,0.0,0.06,0.0,0.0,0.0,4.9,67.68,97.44,12.83,28,0.84,116,3.47,14,75.86,35.15,1.05,7.15,0.214,0.0,1.58,0.30000000000000004,,,,0.0,0,0.0
L. Lavallée,Lucas Lavallée,-173893,Châteauroux,Châteauroux,https://cdn5.wyscout.com/photos/team/public/570_120x120.png,National 1,GK,GK,100,,0,,0,23.0,2003-02-18,0,2027-06-30,30,2935,0,0.0,0,0.0,0.61,85.0,France,['France'],right,187,84,False,1.5899999999999999,0.12,50.0,0.4,92.31,0.0,0.0,0.03,1.53,2.2800000000000002,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,11.81,0.03,0.15,19.59,87.32,10.24,77.54,0.0,0.0,13.89,98.23,5.7,60.75,26.95,42.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,32.0,0.06,0.0,0.12,0.0,0.0,0.0,3.99,66.92,98.51,8.25,45,1.38,132,4.05,5,65.91,37.7,1.16,-7.3,-0.224,0.0,1.01,0.4,,,,0.0,0,0.0
T. Boulhendi,Teddy Boulhendi,519976,Bourg-en-Bresse,Bourg-en-Bresse,https://cdn5.wyscout.com/photos/team/public/4441_120x120.png,National 1,GK,GK,100,,0,,0,25.0,2001-04-09,100000,2026-06-30,30,2916,0,0.0,0,0.0,0.9,65.52,France,"['France', 'Algeria']",right,185,77,True,1.94,0.25,37.5,0.49,81.25,0.03,0.04,0.0,1.82,2.22,0.06,3,0.09,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.09,66.67,0.03,0.0,0.0,17.59,0.22,0.34,28.8,87.03,14.07,77.63,0.03,0.0,17.87,97.93,10.9,69.41,30.05,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,53.73,0.19,0.0,0.09,0.0,0.0,0.0,7.25,73.62,96.14,13.58,42,1.3,118,3.64,7,64.41,39.69,1.22,-2.31,-0.07100000000000001,0.0,1.3900000000000001,0.49,,,,0.0,0,0.0
G. Jannez,Guillaume Jannez,203013,Concarneau,Concarneau,https://cdn5.wyscout.com/photos/team/public/g6909_120x120.png,National 1,"CB, RCB",CB,55,RCB,39,,0,37.0,1989-02-19,150000,2026-06-30,30,2914,0,0.9500000000000001,0,0.05,12.2,62.03,France,['France'],right,196,95,False,9.2,3.68,75.63,5.28,56.73,0.56,0.66,0.65,5.87,6.96,0.53,1,0.03,0,0.0,0.12,0.0,0,0.0,0.03,0,0.0,5,0.15,40.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.12,50.0,1.17,47.37,0.4,0.53,0.0,29.5,0.34,0.71,44.47,88.75,15.2,76.22,2.1,95.59,39.72,92.07,4.73,61.44,20.82,37.56,0.0,0.12,0.03,0.0,0.0,0.0,0.03,4.17,62.96,0.43,21.43,0.19,16.67,0.15,0.0,6.67,68.98,96.71,23.44,0,,0,,0,0.0,0.0,0.0,,,1.11,,5.28,0.0,0.0,0.0,0.0,0,0.0
C. Bassin,Clément Bassin,506620,Rouen,Rouen,https://cdn5.wyscout.com/photos/team/public/3235_120x120.png,National 1,"LWB, LB, LCB3",LWB,46,LB,23,LCB3,16,31.0,1994-12-11,200000,2026-06-30,30,2905,6,5.88,4,3.3,15.24,54.47,France,['France'],left,182,71,False,7.8100000000000005,5.55,57.54,5.36,56.65,0.62,0.8200000000000001,0.22,4.0,5.29,1.67,9,0.28,0,0.0,2.2,0.19,6,0.19,0.18,1,0.03,48,1.49,31.25,12.5,0.12,2.79,42.22,2.76,42.7,0.0,0.0,0.37,0.84,66.67,2.94,49.47,2.29,0.9,0.15,22.83,1.6099999999999999,0.77,33.52,73.29,16.14,66.03,3.59,92.24,23.05,84.01,8.15,52.09,23.95,38.2,0.1,0.74,0.0,0.0,0.0,0.0,0.5,6.51,61.43,2.54,46.34,0.46,26.67,0.53,1.02,10.01,76.78,79.88,10.47,0,,0,,0,0.0,0.0,0.0,,,0.46,,5.36,0.15,0.03,0.0,0.0,0,0.0
D. Moussadek,Djamal  Moussadek,-288610,Versailles,Versailles,https://cdn5.wyscout.com/photos/team/public/g14592_120x120.png,National 1,"LCB3, RCB3, LCB",LCB3,36,RCB3,30,LCB,25,24.0,2002-04-03,0,,30,2872,0,0.91,0,0.27,11.97,55.76,France,"['France', 'Morocco']",right,185,82,False,6.61,5.33,62.35,3.35,47.66,0.22,0.30000000000000004,0.5,3.07,4.18,1.0,3,0.09,0,0.0,0.19,0.0,0,0.0,0.03,0,0.0,6,0.19,33.33,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.16,80.0,1.79,52.63,0.41000000000000003,1.13,0.0,27.04,0.5,0.81,39.89,85.55,16.11,74.32,2.69,91.86,35.63,90.5,4.2,44.78,21.02,39.0,0.01,0.06,0.0,0.0,0.0,0.0,0.03,5.48,63.43,0.5,43.75,0.53,17.65,0.25,0.0,7.87,69.32,94.06,16.89,0,,0,,0,0.0,0.0,0.0,,,1.35,,3.35,0.0,0.0,0.0,0.0,0,0.0
N. Yavorsky,Nathan Yavorsky,-196108,Versailles,Versailles,https://cdn5.wyscout.com/photos/team/public/g14592_120x120.png,National 1,GK,GK,100,,0,,0,24.0,2001-06-19,0,2027-06-30,29,2835,0,0.0,0,0.0,0.79,84.0,France,['France'],,0,0,False,1.6800000000000002,0.13,50.0,0.29,88.89,0.0,0.0,0.0,1.62,2.19,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,85.71,0.03,0.0,0.0,13.71,0.1,0.35000000000000003,22.86,82.92,11.65,70.3,0.0,0.0,14.22,98.88,8.57,57.04,31.84,49.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,36.84,0.48,6.67,0.6000000000000001,21.05,0.03,0.0,5.27,72.89,96.89,10.22,29,0.92,108,3.43,11,73.15,33.01,1.05,4.01,0.127,0.0,1.43,0.29,,,,0.0,0,0.0
J. Louchet,Jean Louchet,314337,Valenciennes,Valenciennes,https://cdn5.wyscout.com/photos/team/public/61_120x120.png,National 1,GK,GK,100,,0,,0,29.0,1996-12-03,450000,2027-06-30,29,2834,0,0.0,0,0.06,0.79,96.0,France,['France'],right,192,80,False,2.1,0.1,66.67,0.51,100.0,0.03,0.04,0.0,2.0,2.68,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,15.21,0.29,0.32,25.69,88.38,13.12,78.69,0.0,0.0,16.55,98.85,9.15,69.44,32.32,49.89,0.0,0.06,0.0,0.0,0.0,0.0,0.03,3.7199999999999998,58.97,0.32,10.0,0.29,33.33,0.1,0.0,5.91,82.8,98.4,11.88,38,1.21,105,3.33,7,63.81,31.04,0.99,-6.96,-0.221,0.0,2.16,0.51,,,,0.0,0,0.0
Y. M'Vila,Yann Gérard M'Vila,39223,Caen,Caen,https://cdn5.wyscout.com/photos/team/public/69_120x120.png,National 1,"DMF, LCB, LDMF",DMF,42,LCB,13,LDMF,12,35.0,1990-06-29,800000,2026-06-30,29,2823,4,3.31,1,0.53,8.8,58.7,France,"['France', 'Congo']",right,183,80,False,6.38,3.22,50.5,2.84,69.66,0.51,0.78,0.22,4.24,6.52,0.54,8,0.26,0,0.0,0.26,0.13,1,0.03,0.11,1,0.03,15,0.48,40.0,26.667,0.03,0.29,0.0,0.06,0.0,0.22,0.0,0.06,0.03,100.0,1.31,48.78,0.32,0.38,0.0,39.47,0.26,0.96,54.8,89.65,21.07,82.9,5.01,96.18,49.54,93.18,4.97,59.62,19.66,41.59,0.02,0.26,0.0,0.03,0.03,100.0,0.16,7.08,71.62,1.15,19.44,0.48,46.67,0.29,0.0,8.42,79.17,94.71,22.32,0,,0,,0,0.0,0.0,0.0,,,2.01,,2.84,0.16,0.0,0.0,0.0,3,100.0
S. Bouzamoucha,Sofyane Bouzamoucha,-122603,Rouen,Rouen,https://cdn5.wyscout.com/photos/team/public/3235_120x120.png,National 1,"CB, RCB",CB,77,RCB,21,,0,26.0,2000-05-10,600000,2027-06-30,30,2821,1,1.13,0,0.19,11.36,63.76,France,"['France', 'Tunisia']",right,184,73,False,8.2,4.37,73.72,3.13,54.08,0.19,0.25,0.64,4.79,6.33,0.48,3,0.1,0,0.0,0.16,0.03,1,0.03,0.04,0,0.0,8,0.26,37.5,12.5,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.13,25.0,1.44,62.22,0.45,0.41000000000000003,0.03,20.32,0.22,1.47,34.71,86.4,12.79,74.81,2.46,94.81,31.27,90.51,3.41,49.53,20.83,32.76,0.01,0.19,0.0,0.03,0.03,100.0,0.03,2.94,67.39,0.19,33.33,0.13,50.0,0.06,0.0,5.49,59.3,95.13,17.04,0,,0,,0,0.0,0.0,0.0,,,1.47,,3.13,0.0,0.0,0.0,0.0,0,0.0
H. Karamoko,Hamadou Karamoko,296497,Fleury 91 FC,Fleury 91 FC,https://cdn5.wyscout.com/photos/team/public/g19317_120x120.png,National 1,"LCB, RCB",LCB,79,RCB,16,,0,30.0,1995-10-31,250000,2026-06-30,29,2813,0,1.29,0,0.0,11.84,61.62,France,"['France', ""Côte d'Ivoire""]",right,194,89,False,7.93,4.35,68.38,3.01,67.02,0.22,0.32,0.54,4.74,6.85,1.18,9,0.29,0,0.0,0.22,0.0,0,0.0,0.04,0,0.0,7,0.22,14.29,0.0,0.0,0.16,20.0,0.06,0.0,0.1,33.33,0.03,0.22,57.14,2.24,45.71,0.32,0.86,0.06,29.27,0.26,0.74,42.71,86.37,16.89,75.0,3.01,94.68,35.64,92.64,6.91,55.56,22.18,37.78,0.0,0.0,0.0,0.06,0.03,100.0,0.06,5.63,54.55,0.8,36.0,0.45,35.71,0.32,0.03,7.07,72.4,94.56,19.42,0,,0,,0,0.0,0.0,0.0,,,2.18,,3.01,0.0,0.0,0.0,0.0,0,0.0
G. Sanou,Moussa Germain Sanou,158327,Paris 13 Atletico,Paris 13 Atletico,https://cdn5.wyscout.com/photos/team/public/g39291_120x120.png,National 1,GK,GK,100,,0,,0,33.0,1992-05-26,0,2026-06-30,29,2811,0,0.0,0,0.02,0.54,94.12,Burkina Faso,"['Burkina Faso', 'France']",right,187,88,False,1.4100000000000001,0.13,75.0,0.29,100.0,0.03,0.04,0.0,1.28,1.63,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,15.94,0.19,0.16,26.96,82.07,15.18,70.68,0.0,0.0,13.93,98.62,12.93,64.85,34.51,46.75,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.04,54.74,0.16,0.0,0.16,20.0,0.0,0.0,9.64,73.09,97.6,10.66,36,1.15,132,4.23,10,72.73,44.6,1.43,8.6,0.275,0.0,1.92,0.29,,,,0.0,0,0.0
F. El Khoumisti,Fahd El Khoumisti,284833,Orléans,Orléans,https://cdn5.wyscout.com/photos/team/public/g5604_120x120.png,National 1,CF,CF,99,,0,,0,32.0,1993-06-01,400000,2026-06-30,30,2806,18,16.89,1,2.6,10.42,34.15,France,"['France', 'Morocco']",right,180,75,False,2.73,2.37,58.11,2.21,28.99,0.0,0.0,0.06,1.35,1.81,0.74,1,0.03,0,0.0,2.5,0.58,14,0.45,0.54,0,0.0,107,3.43,45.79,16.822,0.03,0.51,37.5,0.22,28.57,0.29,44.44,0.06,1.38,44.19,4.33,27.41,4.33,1.25,0.1,18.35,2.34,0.42,23.09,71.39,6.41,59.0,5.52,89.53,21.3,73.04,1.28,57.5,16.21,25.01,0.08,0.71,0.0,0.1,0.32,40.0,0.48,3.4,50.94,1.8,60.71,0.48,40.0,0.99,0.19,2.79,67.82,70.75,6.8,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.21,0.1,0.1,33.33,0.0,4,100.0
M. Sylla,Mamadou Sylla,429545,Orléans,Orléans,https://cdn5.wyscout.com/photos/team/public/g5604_120x120.png,National 1,"RCB, LCB",RCB,51,LCB,33,,0,30.0,1995-06-28,400000,2026-06-30,29,2806,2,1.5899999999999999,0,0.22,15.62,57.49,France,['France'],right,185,80,False,9.49,5.93,64.32,5.07,56.33,0.03,0.04,0.42,5.65,7.5600000000000005,0.96,7,0.22,1,0.03,0.48,0.06,2,0.06,0.05,0,0.0,10,0.32,50.0,20.0,0.0,0.06,50.0,0.03,0.0,0.03,100.0,0.03,0.35000000000000003,72.73,2.34,47.95,0.48,0.96,0.06,32.07,0.48,1.25,50.87,89.09,19.79,81.36,3.75,94.02,47.47,91.76,3.34,51.92,19.59,35.27,0.01,0.1,0.0,0.0,0.03,100.0,0.06,3.7800000000000002,72.88,0.29,44.44,0.03,100.0,0.13,0.06,7.67,60.67,96.02,23.35,0,,0,,0,0.0,0.0,0.0,,,2.44,,5.07,0.0,0.0,0.0,0.0,0,0.0
B. El Kaddouri,Billal  El Kaddouri,-402912,Aubagne,Aubagne,https://cdn5.wyscout.com/photos/team/public/g19322_120x120.png,National 1,"LWB, RWF, LAMF",LWB,24,RWF,15,LAMF,13,24.0,2002-03-10,0,2026-06-30,30,2790,3,4.7,2,3.89,13.71,41.41,France,['France'],right,182,74,False,4.32,3.58,59.46,0.84,30.77,0.03,0.04,0.0,2.16,3.01,0.65,5,0.16,0,0.0,3.0,0.1,2,0.06,0.15,0,0.0,32,1.03,43.75,9.375,0.06,2.32,34.72,1.55,29.17,0.74,43.48,0.26,3.39,49.52,8.0,37.1,1.65,3.03,0.81,23.23,2.03,0.81,33.13,78.58,11.1,72.67,5.39,91.02,28.0,84.91,2.9,52.22,17.78,30.67,0.13,1.06,0.06,0.03,0.19,33.33,0.55,3.71,64.35,2.61,39.51,0.65,25.0,0.65,0.81,6.1,74.07,76.85,9.61,0,,0,,0,0.0,0.0,0.0,,,0.19,,0.84,0.16,0.0,0.0,1.03,1,100.0
L. Yobé,Léo Yobé,-136581,Stade Briochin,Stade Briochin,https://cdn5.wyscout.com/photos/team/public/g2376_120x120.png,National 1,"RCMF, LCMF, RCMF3",RCMF,44,LCMF,17,RCMF3,15,27.0,1998-09-10,0,,30,2760,7,3.8200000000000003,1,0.77,14.71,56.76,France,['France'],right,168,60,False,8.67,6.52,64.5,2.61,57.5,1.11,1.35,0.29,3.36,4.09,1.17,7,0.23,1,0.03,1.27,0.23,6,0.2,0.12,1,0.03,43,1.4,32.56,16.279,0.03,0.72,31.82,0.16,40.0,0.55,29.41,0.13,0.75,73.91,4.17,46.88,0.65,0.9500000000000001,0.52,17.9,1.24,1.1400000000000001,26.22,77.36,9.1,62.37,4.5,92.75,21.0,84.63,4.53,51.08,20.6,37.37,0.03,0.23,0.07,0.0,0.16,20.0,0.13,5.12,57.32,1.08,30.3,0.46,28.57,0.23,0.13,4.89,72.67,83.77,8.64,0,,0,,0,0.0,0.0,0.0,,,0.33,,2.61,0.07,0.0,0.0,0.07,1,100.0
