Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Psyropoulos,Stavros Psyropoulos,-506469,AEK Athens U19,AEK Athens U19,https://cdn5.wyscout.com/photos/team/public/g-9105_120x120.png,Super League K19,RCB,RCB,95,,0,,0,19.0,2007-03-21,0,,22,2131,0,0.9,0,0.18,11.57,58.76,Greece,['Greece'],unknown,0,0,False,8.07,4.22,72.0,3.93,49.46,0.04,0.06,0.42,4.98,7.22,0.46,0,0.0,0,0.0,0.42,0.0,0,0.0,0.04,0,0.0,7,0.30000000000000004,42.86,0.0,0.0,0.17,0.0,0.04,0.0,0.13,0.0,0.04,0.46,63.64,1.94,50.0,0.55,1.27,0.0,25.38,0.21,0.51,43.71,83.86,17.1,68.89,4.1,96.91,36.15,89.37,7.39,58.86,22.78,36.09,0.01,0.13,0.0,0.0,0.0,0.0,0.0,4.8100000000000005,68.42,0.63,20.0,0.46,36.36,0.25,0.0,8.78,62.02,95.38,19.22,0,,0,,0,0.0,0.0,0.0,,,3.46,,3.93,0.0,0.0,0.0,0.04,0,0.0
T. Papavasiliou,Theofanis Papavasiliou,-444450,AEK Athens U19,AEK Athens U19,https://cdn5.wyscout.com/photos/team/public/g-9105_120x120.png,Super League K19,GK,GK,100,,0,,0,19.0,2007-05-03,0,,21,2039,0,0.0,0,0.0,1.02,86.96,Greece,['Greece'],unknown,0,0,False,1.5,0.04,0.0,0.62,92.86,0.0,0.0,0.0,1.5,2.17,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,13.15,0.13,0.44,22.86,84.75,11.43,70.66,0.0,0.0,14.26,98.45,8.52,62.69,32.37,50.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,34.04,0.22,0.0,0.22,0.0,0.0,0.0,6.58,71.81,99.58,10.42,16,0.71,79,3.49,10,79.75,18.3,0.81,2.3,0.10200000000000001,0.0,1.4100000000000001,0.62,,,,0.0,0,0.0
P. Katsaras,Panagiotis  Katsaras,-559134,Atromitos U19,Atromitos U19,https://cdn5.wyscout.com/photos/team/public/g-3951_120x120.png,Super League K19,GK,GK,100,,0,,0,19.0,2007-03-07,0,,21,2020,0,0.0,0,0.0,0.85,78.95,Greece,['Greece'],,0,0,False,1.16,0.0,0.0,0.53,91.67,0.0,0.0,0.0,1.16,1.3900000000000001,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,5.66,0.13,0.22,14.79,73.19,9.45,61.32,0.0,0.0,6.64,96.64,8.15,54.1,38.0,50.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,44.78,0.22,0.0,0.45,40.0,0.0,0.0,5.48,72.36,93.75,4.28,19,0.85,76,3.39,11,75.0,20.44,0.91,1.44,0.064,0.0,1.51,0.53,,,,0.0,0,0.0
O. Lazaridis,Odysseas  Lazaridis,-759960,Panetolikos U19,Panetolikos U19,https://cdn5.wyscout.com/photos/team/public/g-15053_120x120.png,Super League K19,"RCB, LCB",RCB,43,LCB,40,,0,18.0,2008-02-18,0,,22,1996,0,0.56,1,0.34,13.21,64.51,Greece,['Greece'],,0,0,False,9.06,5.59,78.23,4.82,53.27,0.27,0.39,0.59,4.42,6.36,0.32,1,0.05,0,0.0,0.27,0.0,0,0.0,0.03,0,0.0,4,0.18,0.0,0.0,0.05,0.09,0.0,0.05,0.0,0.05,0.0,0.0,0.27,100.0,1.22,59.26,0.36,0.41000000000000003,0.0,18.35,0.36,0.68,34.49,82.48,15.65,71.18,2.34,94.23,28.95,89.56,5.5,45.9,22.07,37.29,0.02,0.14,0.0,0.0,0.0,0.0,0.05,3.7,48.78,0.32,14.29,0.09,0.0,0.09,0.05,7.03,61.54,94.65,13.48,0,,0,,0,0.0,0.0,0.0,,,1.85,,4.82,0.0,0.0,0.0,0.0,0,0.0
A. Almpanis,Aristidis Almpanis,-639143,Panetolikos U19,Panetolikos U19,https://cdn5.wyscout.com/photos/team/public/g-15053_120x120.png,Super League K19,"CF, RAMF, RW",CF,28,RAMF,20,RW,14,18.0,2007-06-01,0,,22,1941,9,9.72,4,2.6,28.98,44.96,Greece,['Greece'],unknown,0,0,False,7.5600000000000005,7.33,66.46,6.63,43.36,0.05,0.07,0.14,2.64,3.79,2.6,3,0.14,0,0.0,3.85,0.42,9,0.42,0.45,0,0.0,57,2.64,38.6,15.789,0.19,3.2,33.33,0.8300000000000001,38.89,2.32,32.0,0.46,2.92,58.73,10.43,36.0,3.66,1.44,0.19,9.78,2.36,1.16,18.55,61.0,6.31,52.21,2.69,81.03,13.26,69.58,2.18,46.81,20.19,28.96,0.12,0.7000000000000001,0.05,0.0,0.05,100.0,0.65,2.27,55.1,3.01,44.62,0.14,66.67,0.6000000000000001,1.16,4.08,73.86,64.23,5.7,0,,0,,0,0.0,0.0,0.0,,,0.05,,6.63,0.0,0.0,0.0,0.0,1,0.0
A. Kotsis,Anastasios Marios Kotsis,-511950,Atromitos U19,Atromitos U19,https://cdn5.wyscout.com/photos/team/public/g-3951_120x120.png,Super League K19,"LCMF, LDMF",LCMF,45,LDMF,30,,0,19.0,2007-01-12,0,,21,1941,4,5.43,3,2.09,21.98,47.26,Greece,['Greece'],,0,0,False,9.27,6.49,65.0,2.7800000000000002,45.0,0.32,0.38,0.05,4.73,5.54,1.07,4,0.19,0,0.0,2.04,0.19,2,0.09,0.25,0,0.0,29,1.34,55.17,13.793,0.14,0.46,50.0,0.19,75.0,0.23,20.0,0.0,2.04,50.0,9.78,38.39,1.81,1.58,0.09,21.61,1.07,1.9,36.12,79.59,12.8,68.48,7.14,90.91,32.78,83.73,2.87,37.1,17.27,31.78,0.1,0.93,0.0,0.0,0.14,33.33,0.37,5.89,59.84,1.53,60.61,0.23,0.0,0.93,0.23,5.1,72.73,84.58,10.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.7800000000000002,0.19,0.05,0.0,0.09,2,100.0
V. Eleftheriadis,Vasileios Eleftheriadis,-444515,PAOK U16,PAOK U19,https://cdn5.wyscout.com/photos/team/public/g-18427_120x120.png,,"RDMF, RCMF",RDMF,60,RCMF,29,,0,18.0,2007-06-02,0,,23,1927,4,3.8200000000000003,1,3.75,16.02,57.73,Greece,['Greece'],unknown,0,0,False,7.71,6.77,68.97,3.7800000000000002,58.02,0.19,0.31,0.19,2.85,4.8,0.84,3,0.14,0,0.0,1.12,0.19,1,0.05,0.18,0,0.0,28,1.31,32.14,14.286,0.05,1.12,41.67,0.56,75.0,0.51,9.09,0.23,0.23,80.0,3.55,47.37,0.42,0.47000000000000003,0.0,29.89,0.14,1.17,43.48,81.1,14.71,66.35,6.4,94.16,36.99,87.12,5.42,48.28,19.59,35.78,0.17,1.5899999999999999,0.0,0.0,0.05,100.0,0.19,9.25,66.67,2.34,50.0,0.42,44.44,0.56,0.47000000000000003,7.8,79.04,88.37,16.07,0,,0,,0,0.0,0.0,0.0,,,0.75,,3.7800000000000002,1.45,0.28,66.67,4.53,3,100.0
V. Freris-Panagiotidis,Ventouris Freris-Panagiotidis,-625602,Atromitos U19,Atromitos U19,https://cdn5.wyscout.com/photos/team/public/g-3951_120x120.png,Super League K19,LCB,LCB,99,,0,,0,19.0,2007-01-19,0,,20,1918,0,0.11,0,0.01,9.85,63.33,Greece,['Greece'],unknown,0,0,False,8.02,4.46,80.0,1.88,42.5,0.05,0.06,0.8,4.41,5.22,0.52,4,0.19,0,0.0,0.14,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.14,100.0,1.97,42.86,0.23,0.23,0.09,19.8,0.05,0.42,30.78,87.04,12.48,76.69,1.17,92.0,27.54,92.84,3.19,38.24,21.74,37.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2.02,51.16,0.23,20.0,0.23,40.0,0.14,0.0,4.6,57.14,95.67,15.16,0,,0,,0,0.0,0.0,0.0,,,0.89,,1.88,0.0,0.0,0.0,0.0,0,0.0
S. Vasilakos,Stavros Vasilakos,-587957,Panserraikos U19,Panserraikos U19,https://cdn5.wyscout.com/photos/team/public/g35967_120x120.png,Super League K19,LB,LB,99,,0,,0,17.0,2008-09-19,0,,22,1891,1,0.89,3,1.38,16.61,56.45,Greece,['Greece'],,0,0,False,12.37,7.23,69.74,3.2800000000000002,55.07,1.24,1.58,0.24,6.09,7.77,1.24,8,0.38,0,0.0,1.67,0.05,0,0.0,0.04,0,0.0,4,0.19,75.0,25.0,0.14,2.14,31.11,2.14,31.11,0.0,0.0,0.14,1.38,62.07,3.71,48.72,0.52,0.86,0.05,21.37,1.67,1.05,34.08,70.53,18.18,64.66,4.19,89.77,27.22,78.32,4.85,43.14,20.55,37.08,0.07,0.62,0.0,0.0,0.0,0.0,0.29,5.28,59.46,2.52,33.96,0.62,23.08,0.33,0.67,9.04,62.11,78.03,8.23,0,,0,,0,0.0,0.0,0.0,,,0.52,,3.2800000000000002,0.29,0.0,0.0,0.0,1,100.0
T. Paparoidamis,Theodoros Paparoidamis,-748417,Levadiakos U19,Levadiakos U19,https://cdn5.wyscout.com/photos/team/public/g-16848_120x120.png,Super League K19,"DMF, RDMF, LDMF",DMF,46,RDMF,22,LDMF,15,17.0,2008-10-09,0,,20,1887,0,0.4,1,0.34,21.65,57.93,Greece,['Greece'],unknown,0,0,False,10.97,9.35,66.84,3.77,58.23,0.29,0.41000000000000003,0.24,4.44,6.38,1.67,2,0.1,0,0.0,0.62,0.0,0,0.0,0.02,0,0.0,10,0.48,20.0,0.0,0.05,0.05,100.0,0.0,0.0,0.05,100.0,0.0,1.0,47.62,5.68,44.54,0.24,0.5700000000000001,0.05,21.27,0.29,1.81,36.82,76.94,13.4,59.43,4.63,87.63,31.1,82.67,5.68,45.38,19.9,29.03,0.02,0.24,0.0,0.0,0.05,0.0,0.14,5.87,67.48,0.81,35.29,0.52,18.18,0.29,0.05,6.53,64.96,88.7,13.93,0,,0,,0,0.0,0.0,0.0,,,0.48,,3.77,0.19,0.0,0.0,0.0,0,0.0
