Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Moscoso,Kevin Jorge Amilcar Moscoso Mayén,416514,Mixco,Mixco,https://cdn5.wyscout.com/photos/team/public/g13497_120x120.png,Liga Nacional,GK,GK,100,,0,,0,32.0,1993-06-13,200000,,21,2041,0,0.0,0,0.0,0.5700000000000001,92.31,Guatemala,['Guatemala'],right,185,80,False,1.81,0.04,100.0,0.18,100.0,0.0,0.0,0.0,1.76,2.47,0.0,3,0.13,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.31,85.71,0.0,0.0,0.0,5.34,0.22,0.13,14.42,77.68,10.05,70.18,0.04,0.0,8.47,94.27,5.95,54.07,38.79,54.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5300000000000002,51.25,0.31,28.57,0.09,0.0,0.09,0.0,4.63,75.24,95.65,4.06,19,0.84,70,3.09,8,72.86,17.0,0.75,-2.0,-0.088,0.0,1.37,0.18,,,,0.0,0,0.0
L. Sánchez,Liborio Vicente Sánchez Ledezma,41586,Aurora,Aurora,https://cdn5.wyscout.com/photos/team/public/g13445_120x120.png,Liga Nacional,GK,GK,100,,0,,0,36.0,1989-10-09,100000,,21,2026,0,0.03,0,0.0,0.8,83.33,Mexico,['Mexico'],right,183,78,False,1.11,0.09,0.0,0.58,92.31,0.04,0.07,0.0,1.07,1.62,0.09,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.04,0.0,0.0,4.18,0.13,0.13,10.88,82.45,5.6,70.63,0.0,0.0,7.95,95.53,2.84,46.88,30.78,43.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,35.29,0.04,0.0,0.0,0.0,0.0,0.0,2.09,59.57,96.33,4.84,28,1.24,101,4.49,5,72.28,25.42,1.13,-2.58,-0.115,0.0,1.6,0.58,,,,0.0,0,0.0
Thales,Thales Douglas Moreira Possas,283728,Cobán Imperial,Cobán Imperial,https://cdn5.wyscout.com/photos/team/public/g5079_120x120.png,Liga Nacional,"RCB, CB, LCB",RCB,59,CB,18,LCB,14,35.0,1990-08-15,125000,,20,1953,1,2.79,1,0.41000000000000003,16.87,64.48,Brazil,['Brazil'],,193,88,False,10.74,4.88,79.25,7.6,64.24,0.14,0.2,0.6900000000000001,6.73,9.63,1.06,5,0.23,0,0.0,0.6000000000000001,0.05,1,0.05,0.13,1,0.05,20,0.92,45.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,66.67,1.8399999999999999,45.0,1.24,0.46,0.0,14.38,0.37,1.34,28.48,77.18,13.96,67.99,1.6099999999999999,88.57,23.36,83.04,5.12,50.45,21.73,36.32,0.02,0.09,0.0,0.0,0.09,0.0,0.05,4.65,55.45,0.41000000000000003,22.22,0.09,0.0,0.18,0.0,6.96,59.6,89.32,10.78,0,,0,,0,0.0,0.0,0.0,,,0.74,,7.6,0.0,0.0,0.0,0.0,0,0.0
M. Jiménez,Miguel Jiménez Ponce,126611,Malacateco,Malacateco,https://cdn5.wyscout.com/photos/team/public/3533_120x120.png,Liga Nacional,GK,GK,100,,0,,0,35.0,1990-03-14,700000,,20,1922,0,0.0,0,0.0,0.28,83.33,Mexico,['Mexico'],left,182,82,False,0.89,0.05,0.0,0.19,100.0,0.0,0.0,0.0,0.89,1.21,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,100.0,0.0,0.0,0.0,6.37,0.23,0.05,12.36,76.14,8.52,66.48,0.0,0.0,5.99,98.44,6.37,55.15,39.94,52.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,46.81,0.05,0.0,0.05,100.0,0.0,0.0,4.26,75.82,97.4,3.61,25,1.17,88,4.12,7,71.59,25.94,1.21,0.9400000000000001,0.044,0.0,0.8,0.19,,,,0.0,0,0.0
R. Escobar,Rubén Escobar Fernández,96959,Guastatoya,Guastatoya,https://cdn5.wyscout.com/photos/team/public/g13496_120x120.png,Liga Nacional,GK,GK,100,,0,,0,34.0,1991-02-06,50000,,20,1859,0,0.0,0,0.0,0.92,68.42,Paraguay,['Paraguay'],right,190,91,False,2.47,0.34,28.57,0.39,100.0,0.05,0.06,0.0,2.32,3.11,0.05,4,0.19,1,0.05,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,3.49,0.0,0.34,11.62,70.0,8.91,63.04,0.0,0.0,5.62,92.24,5.95,49.59,40.35,49.97,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.47,43.14,0.19,0.0,0.0,0.0,0.0,0.0,4.5,62.37,96.08,2.47,33,1.6,89,4.31,5,62.92,25.38,1.23,-7.62,-0.369,0.0,1.65,0.39,,,,0.0,0,0.0
I. De León,Isaías Mauricio de León Peque,-601989,Achuapa,Achuapa,https://cdn5.wyscout.com/photos/team/public/g13492_120x120.png,Liga Nacional,"RCMF, RB, AMF",RCMF,22,RB,16,AMF,10,27.0,1998-05-21,0,2026-06-30,21,1850,1,0.45,0,1.01,9.83,45.05,Guatemala,['Guatemala'],,171,0,False,6.66,4.72,59.79,1.4100000000000001,20.69,0.15,0.19,0.05,3.7,4.82,0.34,2,0.1,0,0.0,1.3599999999999999,0.05,1,0.05,0.02,0,0.0,16,0.78,31.25,6.25,0.0,1.7000000000000002,51.43,0.39,62.5,1.26,50.0,0.15,0.58,41.67,2.68,34.55,0.54,0.54,0.1,25.39,1.22,0.73,37.95,80.26,13.18,67.53,4.57,97.87,28.22,88.28,8.08,57.83,22.15,38.97,0.05,0.44,0.0,0.1,0.0,0.0,0.15,7.93,60.74,2.19,51.11,0.63,23.08,0.39,0.8300000000000001,8.32,80.12,84.71,15.28,0,,0,,0,0.0,0.0,0.0,,,0.19,,1.4100000000000001,0.39,0.05,0.0,0.54,0,0.0
E. Soto Barrios,Eduardo Beltrán Soto Barrios,354949,Cobán Imperial,Cobán Imperial,https://cdn5.wyscout.com/photos/team/public/g5079_120x120.png,Liga Nacional,"LB, LB5",LB,79,LB5,20,,0,35.0,1990-03-03,100000,,20,1847,0,0.26,0,0.0,14.72,58.94,Guatemala,['Guatemala'],,165,69,False,9.16,7.07,73.1,2.83,39.66,0.15,0.21,0.24,3.85,5.58,0.78,3,0.15,0,0.0,0.97,0.0,0,0.0,0.01,0,0.0,3,0.15,33.33,0.0,0.0,1.56,31.25,1.56,31.25,0.0,0.0,0.0,0.8300000000000001,52.94,3.31,44.12,0.29,1.17,0.05,16.37,1.71,0.97,26.9,77.9,12.23,70.12,3.46,98.59,21.05,86.11,4.43,53.85,19.49,33.27,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.65,65.33,1.85,31.58,0.05,0.0,0.05,0.44,6.43,72.73,79.08,7.46,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.83,0.0,0.0,0.0,0.05,0,0.0
Janderson,Janderson Kione Pereira Rodrigues,145973,Cobán Imperial,Cobán Imperial,https://cdn5.wyscout.com/photos/team/public/g5079_120x120.png,Liga Nacional,"CF, AMF",CF,68,AMF,27,,0,36.0,1989-02-18,100000,,19,1840,4,3.56,1,4.67,14.82,42.9,Brazil,['Brazil'],right,175,75,False,3.38,2.4,48.98,5.58,38.6,0.05,0.07,0.05,2.15,3.08,1.08,4,0.2,0,0.0,2.4,0.2,4,0.2,0.17,0,0.0,33,1.6099999999999999,27.27,12.121,0.05,3.23,37.88,0.68,50.0,2.45,32.0,0.59,1.32,51.85,4.65,38.95,3.18,0.88,0.05,22.4,3.42,1.27,31.3,72.97,9.05,62.7,5.82,92.44,25.24,80.23,2.93,48.33,19.19,37.77,0.23,2.25,0.1,0.0,0.05,100.0,0.73,4.99,63.73,4.5,51.09,0.49,30.0,1.76,1.42,6.51,81.95,72.57,11.05,0,,0,,0,0.0,0.0,0.0,,,0.05,,5.58,1.22,0.39,25.0,2.93,0,0.0
R. Corado,Randall Emerson Corado Ruano,-345384,Achuapa,Achuapa,https://cdn5.wyscout.com/photos/team/public/g13492_120x120.png,Liga Nacional,"RB, LB",RB,50,LB,35,,0,21.0,2004-09-01,0,2026-06-30,20,1834,0,0.31,0,0.4,12.32,50.6,Guatemala,['Guatemala'],right,177,67,True,7.31,6.33,59.69,1.96,35.0,0.44,0.59,0.39,3.09,4.1,0.6900000000000001,3,0.15,0,0.0,1.47,0.0,0,0.0,0.02,0,0.0,6,0.29,33.33,0.0,0.0,2.4,34.69,1.37,32.14,1.03,38.1,0.25,0.88,61.11,2.36,45.83,0.64,0.93,0.1,22.92,1.8599999999999999,0.49,31.8,74.85,14.67,68.56,4.17,94.12,24.39,84.71,5.3,48.15,20.09,34.59,0.02,0.25,0.0,0.0,0.0,0.0,0.15,4.91,74.0,2.36,33.33,0.1,0.0,0.39,0.6900000000000001,7.61,64.52,74.14,8.54,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.96,0.0,0.0,0.0,0.0,0,0.0
A. Navarro,Aarón Navarro Céspedes,43112,Marquense,Marquense,https://cdn5.wyscout.com/photos/team/public/3650_120x120.png,Liga Nacional,"LB, RB",LB,47,RB,42,,0,38.0,1987-05-29,50000,,20,1831,0,0.28,0,0.14,13.32,49.82,Costa Rica,['Costa Rica'],right,174,0,False,7.57,5.51,58.04,1.77,38.89,0.15,0.21,0.29,4.23,6.11,0.54,3,0.15,0,0.0,1.08,0.0,0,0.0,0.01,0,0.0,3,0.15,33.33,0.0,0.0,1.52,25.81,0.79,25.0,0.74,26.67,0.05,1.33,48.15,4.13,44.05,0.44,1.13,0.05,11.31,0.39,1.57,20.01,71.5,8.75,62.92,2.7,89.09,16.37,79.28,2.21,44.44,18.95,28.7,0.01,0.25,0.0,0.0,0.0,0.0,0.05,2.7,65.45,1.57,43.75,0.1,0.0,0.2,0.39,5.21,59.43,80.0,4.92,0,,0,,0,0.0,0.0,0.0,,,0.25,,1.77,0.0,0.0,0.0,0.0,0,0.0
