Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Noureddin Zaid,Noureddin Zaid Khaleel Bani Ateyah,431959,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,GK,GK,100,,0,,0,33.0,1993-01-25,0,2026-06-30,12,1193,0,0.0,0,0.0,0.98,92.31,Jordan,['Jordan'],,0,0,False,1.13,0.23,66.67,0.53,100.0,0.0,0.0,0.0,0.98,1.52,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,9.28,0.30000000000000004,0.45,14.11,81.28,7.54,69.0,0.0,0.0,8.98,95.8,5.13,55.88,31.9,48.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,47.06,0.0,0.0,0.0,0.0,0.0,0.0,3.92,63.46,96.0,5.66,13,0.98,44,3.32,1,70.45,11.44,0.86,-1.56,-0.11800000000000001,0.0,1.43,0.53,,,,0.0,0,0
M. Moawad Ahmed,Mostafa Mahmoud Moawad Ahmed,-681030,,Al Wehdat,,,"RCB, LCB, CB",RCB,32,LCB,25,CB,18,,,0,,12,1179,1,1.1400000000000001,0,0.77,16.64,60.55,Jordan,['Jordan'],,0,0,False,7.18,4.35,64.91,8.85,63.79,0.46,0.67,0.31,3.89,5.69,0.99,2,0.15,0,0.0,0.53,0.08,1,0.08,0.09,1,0.08,9,0.6900000000000001,44.44,11.111,0.0,0.15,50.0,0.0,0.0,0.15,50.0,0.0,0.23,33.33,1.76,43.48,1.07,0.31,0.08,26.64,0.38,1.07,42.14,85.69,21.53,76.6,2.37,100.0,34.81,92.98,7.25,50.53,21.46,36.83,0.06,0.31,0.0,0.0,0.08,100.0,0.23,4.66,60.66,0.84,72.73,0.46,66.67,0.61,0.08,7.48,73.47,94.68,14.35,0,,0,,0,0.0,0.0,0.0,,,1.45,,8.85,0.0,0.0,0.0,0.0,0,0
M. Shalabayh,Malik Samih Yousef Shalabayh,81130,Al Ramtha,Al Ramtha,https://cdn5.wyscout.com/photos/team/public/3105_120x120.png,Pro League,GK,GK,100,,0,,0,37.0,1988-02-20,0,,12,1177,0,0.0,0,0.0,0.76,80.0,Jordan,['Jordan'],,180,0,False,1.3,0.08,100.0,0.6900000000000001,77.78,0.0,0.0,0.0,1.22,1.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.15,0.08,12.39,82.1,6.73,69.32,0.0,0.0,8.11,98.11,4.28,51.79,32.82,49.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,46.67,0.08,0.0,0.0,0.0,0.0,0.0,3.29,69.77,98.57,5.35,5,0.38,48,3.67,7,89.58,11.31,0.86,6.31,0.482,0.0,1.76,0.6900000000000001,,,,0.0,0,0
Ahmed Hamdouni,Ahmad Al Ersan,-69828,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,"LAMF, LW",LAMF,54,LW,27,,0,30.0,1995-09-28,0,,12,1150,11,7.53,6,5.8100000000000005,13.62,50.0,Jordan,['Jordan'],right,171,67,False,3.68,2.5,59.38,0.9400000000000001,58.33,0.39,0.6000000000000001,0.0,1.8,2.7800000000000002,0.31,2,0.16,0,0.0,6.03,0.86,8,0.63,0.59,0,0.0,47,3.68,53.19,23.404,0.47000000000000003,4.54,36.21,2.8200000000000003,41.67,1.72,27.27,0.86,4.07,55.77,8.61,48.18,3.68,2.5,0.7000000000000001,32.17,2.9699999999999998,1.25,39.44,76.98,11.97,73.2,6.18,92.41,31.3,84.75,3.76,60.42,19.43,34.24,0.45,3.6,0.23,0.0,0.39,40.0,1.17,6.18,79.75,5.87,65.33,0.9400000000000001,41.67,2.74,1.57,9.31,86.55,76.92,14.24,0,,0,,0,0.0,0.0,0.0,,,0.08,,0.9400000000000001,2.27,0.7000000000000001,55.56,3.6,3,100
M. Hamrouni,Mohamed Amine Hamrouni,-116438,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,LB,LB,100,,0,,0,28.0,1997-07-16,450000,2026-06-30,12,1147,0,0.99,1,1.55,13.26,58.58,Tunisia,['Tunisia'],left,192,0,False,7.06,4.32,69.09,2.12,70.37,0.71,1.09,0.08,3.37,5.22,0.9400000000000001,1,0.08,0,0.0,1.96,0.0,0,0.0,0.08,0,0.0,7,0.55,0.0,0.0,0.08,2.59,33.33,2.59,33.33,0.0,0.0,0.39,2.2,50.0,5.41,44.93,1.02,1.57,0.39,33.19,2.75,0.78,42.29,82.56,15.3,76.41,8.08,96.12,35.7,89.23,4.24,55.56,18.04,37.25,0.12,0.71,0.08,0.0,0.0,0.0,0.39,5.88,84.0,2.98,44.74,0.08,100.0,0.55,0.71,8.55,75.23,79.58,11.14,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.12,0.0,0.0,0.0,0.0,0,0
Moamen Al-Saket,Moamen Ali Ahmed Alsaakat,-536443,Al Ramtha,Al Ramtha,https://cdn5.wyscout.com/photos/team/public/3105_120x120.png,Pro League,"CF, LW, LAMF",CF,34,LW,29,LAMF,14,20.0,2005-07-08,0,,12,1141,4,2.56,0,1.01,28.08,40.45,Jordan,['Jordan'],unknown,0,0,False,7.18,6.31,65.0,2.92,16.22,0.24,0.32,0.08,2.84,3.88,1.18,0,0.0,0,0.0,4.8100000000000005,0.32,4,0.32,0.2,0,0.0,31,2.45,48.39,12.903,0.0,1.97,20.0,1.8900000000000001,20.83,0.08,0.0,0.32,6.31,51.25,16.01,36.45,3.08,2.13,0.16,19.8,1.74,1.74,28.71,75.0,8.12,60.19,6.55,91.57,23.98,82.57,2.92,45.95,17.94,42.16,0.08,0.9500000000000001,0.08,0.0,0.08,0.0,0.16,4.02,62.75,2.29,48.28,0.32,0.0,0.87,0.32,3.55,77.78,77.17,7.26,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.92,0.16,0.16,50.0,0.08,0,0
A. Al-Salman,Ahmed Al-Salman,-724903,Al Ramtha,Al Ramtha,https://cdn5.wyscout.com/photos/team/public/3105_120x120.png,Pro League,"LCMF3, LCMF, RCMF",LCMF3,25,LCMF,21,RCMF,10,23.0,2003-02-02,0,,12,1131,1,0.47000000000000003,1,1.62,23.16,48.45,Jordan,['Jordan'],unknown,0,0,False,10.27,7.64,64.58,4.85,49.18,0.24,0.32,0.0,5.09,6.88,1.75,0,0.0,0,0.0,2.47,0.08,1,0.08,0.04,0,0.0,15,1.19,20.0,6.667,0.08,1.67,42.86,0.48,83.33,1.19,26.67,0.08,2.86,52.78,7.8,33.67,0.64,1.51,0.0,25.62,0.72,0.48,42.73,78.77,17.82,70.54,4.69,94.92,35.57,83.89,5.73,54.17,18.76,40.98,0.13,0.9500000000000001,0.0,0.0,0.08,0.0,0.16,9.71,69.67,2.31,48.28,0.9500000000000001,50.0,0.64,0.88,8.75,80.91,82.24,12.1,0,,0,,0,0.0,0.0,0.0,,,0.16,,4.85,0.24,0.0,0.0,1.27,0,0
Wajdi Nabhan,Wajdi Najih Ismail Muhammed,-614627,Al Wehdat,Al Wehdat,https://cdn5.wyscout.com/photos/team/public/2983_120x120.png,Pro League,"LB, LCB3",LB,71,LCB3,25,,0,24.0,2001-07-27,0,2026-06-30,12,1079,0,0.55,2,1.23,14.26,65.5,Palestine,['Palestine'],left,0,0,False,9.68,6.76,76.54,2.84,64.71,0.75,1.09,0.25,3.75,5.44,1.17,0,0.0,0,0.0,1.8399999999999999,0.0,0,0.0,0.05,0,0.0,8,0.67,25.0,0.0,0.17,3.92,31.91,3.75,33.33,0.17,0.0,0.5,0.92,45.45,2.75,45.45,2.09,1.75,0.42,26.44,1.92,0.42,40.2,77.39,17.43,73.21,6.17,94.59,31.11,86.86,5.76,53.62,21.23,38.25,0.1,0.67,0.0,0.0,0.0,0.0,0.5,4.5,55.56,2.67,37.5,0.08,0.0,0.42,1.0,8.42,60.4,76.92,11.93,0,,0,,0,0.0,0.0,0.0,,,0.92,,2.84,0.25,0.08,0.0,0.25,0,0
Yazeed Abulaila,Yazeed Moien Hasan Abulaila,329068,Al Hussein,Al Hussein,https://cdn5.wyscout.com/photos/team/public/g3567_120x120.png,Pro League,GK,GK,100,,0,,0,33.0,1993-01-08,325000,,11,1071,0,0.0,0,0.0,0.92,72.73,Jordan,['Jordan'],right,187,88,False,0.67,0.08,0.0,0.76,77.78,0.0,0.0,0.0,0.67,1.1,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,9.66,0.5,0.25,15.13,83.89,9.41,77.68,0.0,0.0,9.08,98.15,5.97,63.38,32.01,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,41.67,0.08,0.0,0.0,0.0,0.0,0.0,4.29,66.67,94.83,4.87,8,0.67,42,3.5300000000000002,4,80.95,11.29,0.9500000000000001,3.29,0.276,0.0,1.6,0.76,,,,0.0,0,0
A. Abd Rabou,Ahmed Mohamed Said Abd Rabou,-536632,Sama Al Sarhan,Sama Al Sarhan,https://cdn5.wyscout.com/photos/team/public/g25401_120x120.png,Pro League,"RCB, CB, RCB3",RCB,53,CB,22,RCB3,15,23.0,2002-10-20,0,,11,1060,1,0.91,0,0.0,14.43,61.18,Jordan,['Jordan'],unknown,0,0,False,8.75,4.58,66.67,5.86,66.67,0.85,1.12,0.34,4.84,6.4,1.02,2,0.17,0,0.0,0.76,0.08,1,0.08,0.08,0,0.0,10,0.85,30.0,10.0,0.0,0.17,100.0,0.0,0.0,0.17,100.0,0.0,0.85,40.0,2.12,36.0,0.34,0.85,0.0,20.72,0.25,0.42,35.41,77.94,19.95,71.06,2.04,87.5,27.08,85.27,8.24,53.61,23.58,43.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37,57.33,0.93,27.27,0.51,0.0,0.08,0.17,9.34,63.64,90.52,9.85,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,5.86,0.17,0.17,0.0,0.0,0,0
