Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Gaisin,Yernur Gaisin,-579303,Atyrau U18,Atyrau U18,https://cdn5.wyscout.com/photos/team/public/g-18070_120x120.png,Freedom QJ League U18,RCB,RCB,100,,0,,0,18.0,2007-03-28,0,,13,1240,0,0.17,0,0.32,14.37,52.02,Kazakhstan,['Kazakhstan'],unknown,0,0,False,11.61,7.11,60.2,3.27,55.56,0.29,0.34,0.73,7.04,8.17,1.38,2,0.15,0,0.0,0.07,0.0,0,0.0,0.01,0,0.0,4,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,20.0,2.4,33.33,0.44,0.44,0.07,11.69,0.15,0.73,25.62,71.67,15.97,65.45,1.31,88.89,19.09,78.71,6.53,51.11,22.64,36.56,0.02,0.22,0.0,0.0,0.07,0.0,0.0,4.72,55.38,0.65,11.11,0.44,16.67,0.07,0.0,9.07,57.6,86.05,6.24,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,3.27,0.15,0.0,0.0,0.0,0,0.0
N. Kagazbayev,Nurkhan Kagazbayev,-578613,Shakhtyor Karagandy U18,Shakhtyor Karagandy U18,https://cdn5.wyscout.com/photos/team/public/g-18073_120x120.png,Freedom QJ League U18,"DMF, LCB",DMF,56,LCB,23,,0,17.0,2008-06-29,0,,13,1234,5,2.25,2,1.21,17.8,57.38,Kazakhstan,['Kazakhstan'],unknown,0,0,False,10.87,5.98,73.17,4.89,50.75,0.51,0.72,0.29,5.98,8.45,0.88,1,0.07,0,0.0,1.17,0.36,5,0.36,0.16,4,0.29,19,1.3900000000000001,42.11,26.316,0.15,0.15,50.0,0.15,50.0,0.0,0.0,0.0,0.88,58.33,4.52,43.55,1.97,1.3900000000000001,0.15,24.21,0.44,0.8,40.04,82.51,16.34,73.66,4.8100000000000005,92.42,35.96,85.19,4.01,60.0,18.93,33.19,0.09,0.66,0.0,0.07,0.07,0.0,0.22,6.2,76.47,0.9500000000000001,30.77,0.36,20.0,0.58,0.0,8.39,71.3,91.33,14.29,0,,0,,0,0.0,0.0,0.0,,,0.88,,4.89,0.07,0.0,0.0,0.0,0,0.0
A. Zhexenbek,Alikhan Zhexenbek,-578737,Astana U18,Astana U18,https://cdn5.wyscout.com/photos/team/public/g-18068_120x120.png,Freedom QJ League U18,RCB,RCB,100,,0,,0,17.0,2008-05-21,0,,13,1232,1,1.17,1,0.52,14.17,59.79,Kazakhstan,['Kazakhstan'],unknown,0,0,False,7.45,6.65,65.93,2.85,41.03,0.22,0.36,0.44,2.85,4.72,1.17,3,0.22,0,0.0,0.9500000000000001,0.07,1,0.07,0.09,0,0.0,8,0.58,37.5,12.5,0.07,0.73,20.0,0.15,0.0,0.51,14.29,0.07,0.66,77.78,2.12,58.62,1.3900000000000001,2.56,0.07,43.47,0.8,0.22,64.72,85.78,29.37,79.85,6.14,94.05,55.23,90.87,8.77,59.17,21.79,37.91,0.04,0.44,0.0,0.07,0.07,100.0,0.37,10.96,80.0,2.05,35.71,0.9500000000000001,23.08,0.8,0.15,15.41,82.94,94.43,23.6,0,,0,,0,0.0,0.0,0.0,,,3.51,,2.85,0.0,0.0,0.0,0.0,0,0.0
N. Proshin,Nikita Proshin,-578488,Irtysh Pavlodar U18,Irtysh Pavlodar U18,https://cdn5.wyscout.com/photos/team/public/g-23626_120x120.png,Freedom QJ League U18,"RCB, LB",RCB,78,LB,19,,0,18.0,2007-03-09,0,,13,1215,2,1.74,1,0.0,14.96,59.41,Kazakhstan,['Kazakhstan'],unknown,0,0,False,9.11,6.67,62.22,2.3,48.39,0.22,0.33,0.89,4.74,7.08,0.89,0,0.0,0,0.0,0.67,0.15,2,0.15,0.13,0,0.0,6,0.44,66.67,33.333,0.07,0.59,0.0,0.44,0.0,0.15,0.0,0.15,0.52,71.43,3.33,68.89,0.37,2.0,0.0,22.67,0.37,1.11,38.52,78.46,16.81,66.52,3.04,97.56,30.22,87.5,7.78,48.57,22.88,37.27,0.0,0.0,0.0,0.0,0.0,0.0,0.07,7.11,61.46,1.7000000000000002,26.09,0.81,45.45,0.37,0.0,7.93,71.03,88.94,15.41,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,2.3,0.22,0.15,100.0,0.0,0,0.0
S. Nassikhatuly,Sayan Nassikhatuly,-579287,Atyrau U18,Atyrau U18,https://cdn5.wyscout.com/photos/team/public/g-18070_120x120.png,Freedom QJ League U18,GK,GK,100,,0,,0,17.0,2008-07-03,0,,13,1211,0,0.0,0,0.0,1.8599999999999999,80.0,Kazakhstan,['Kazakhstan'],unknown,0,0,False,2.9699999999999998,0.59,87.5,0.97,76.92,0.0,0.0,0.0,2.45,2.84,0.0,1,0.07,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.15,100.0,0.0,0.0,0.0,5.35,0.0,0.30000000000000004,14.57,77.04,10.11,69.85,0.0,0.0,6.84,93.48,7.73,62.5,34.62,43.12,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.26,52.94,0.0,0.0,0.0,0.0,0.0,0.0,5.57,73.33,94.64,4.16,28,2.08,99,7.36,0,71.72,26.59,1.98,-1.4100000000000001,-0.105,0.0,2.23,0.97,,,,0.0,0,0.0
A. Kalmukhambet,Azamat Kalmukhambet,-578761,Taraz U18,Taraz U18,https://cdn5.wyscout.com/photos/team/public/g-18076_120x120.png,Freedom QJ League U18,"RB5, RB",RB5,55,RB,40,,0,17.0,2008-04-17,0,,13,1210,1,0.61,0,0.41000000000000003,18.3,55.28,Kazakhstan,['Kazakhstan'],unknown,181,71,False,11.6,10.49,67.38,2.38,46.88,0.37,0.49,0.22,4.17,5.51,1.56,1,0.07,0,0.0,1.19,0.07,1,0.07,0.05,0,0.0,6,0.45,33.33,16.667,0.0,1.04,28.57,0.0,0.0,1.04,28.57,0.07,1.4100000000000001,52.63,3.5700000000000003,41.67,0.8200000000000001,0.74,0.15,16.44,1.71,0.45,28.34,65.88,14.21,54.97,4.02,88.89,23.65,72.96,3.79,31.37,17.8,31.98,0.03,0.22,0.0,0.0,0.0,0.0,0.0,3.87,53.85,1.4100000000000001,36.84,0.37,0.0,0.30000000000000004,0.37,7.88,49.06,68.66,4.98,0,,0,,0,0.0,0.0,0.0,,,0.52,,2.38,0.0,0.0,0.0,0.0,0,0.0
D. Tlepbergenov,Doszhan Tlepbergenov,-579299,Atyrau U18,Atyrau U18,https://cdn5.wyscout.com/photos/team/public/g-18070_120x120.png,Freedom QJ League U18,LB,LB,93,,0,,0,16.0,2008-11-18,0,,13,1209,0,1.03,1,0.62,12.36,53.61,Kazakhstan,['Kazakhstan'],unknown,0,0,False,9.6,6.85,58.7,2.68,44.44,0.22,0.26,0.37,5.36,6.26,0.30000000000000004,0,0.0,0,0.0,0.89,0.0,0,0.0,0.08,0,0.0,7,0.52,28.57,0.0,0.07,1.49,35.0,1.27,35.29,0.22,33.33,0.37,0.22,100.0,1.56,61.9,0.45,0.52,0.07,10.05,0.45,0.8200000000000001,21.29,58.74,12.66,58.82,1.94,76.92,15.41,65.22,4.47,43.33,20.04,33.31,0.05,0.67,0.07,0.0,0.0,0.0,0.07,3.5700000000000003,41.67,1.79,37.5,0.15,0.0,0.22,0.6000000000000001,7.37,57.58,50.79,4.69,0,,0,,0,0.0,0.0,0.0,,,0.74,,2.68,0.67,0.0,0.0,1.34,0,0.0
T. Kanatbek,Tleukabyl Kanatbek,-578763,Taraz U18,Taraz U18,https://cdn5.wyscout.com/photos/team/public/g-18076_120x120.png,Freedom QJ League U18,"CB, RCB, LCB",CB,57,RCB,30,LCB,12,17.0,2008-07-09,0,,13,1202,1,1.7000000000000002,1,0.41000000000000003,12.73,68.24,Kazakhstan,['Kazakhstan'],unknown,0,0,False,12.5,6.29,75.0,3.44,65.22,0.8200000000000001,1.09,1.2,6.96,9.18,0.97,3,0.22,0,0.0,0.37,0.07,1,0.07,0.13,0,0.0,10,0.75,30.0,10.0,0.07,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.22,66.67,1.27,52.94,1.42,0.07,0.07,16.55,0.0,0.30000000000000004,36.91,81.54,16.4,70.32,1.57,95.24,30.92,87.17,5.92,53.16,22.28,42.27,0.03,0.15,0.0,0.0,0.0,0.0,0.15,3.14,59.52,0.30000000000000004,25.0,0.30000000000000004,25.0,0.22,0.0,8.01,52.34,92.34,15.65,0,,0,,0,0.0,0.0,0.0,,,1.35,,3.44,0.0,0.0,0.0,0.0,0,0.0
M. Muratov,Maksat Muratov,-579283,Atyrau U18,Atyrau U18,https://cdn5.wyscout.com/photos/team/public/g-18070_120x120.png,Freedom QJ League U18,LCB,LCB,93,,0,,0,17.0,2008-05-04,0,,13,1195,4,3.85,0,0.27,11.07,53.74,Kazakhstan,['Kazakhstan'],unknown,0,0,False,10.02,5.87,61.54,2.49,42.42,0.30000000000000004,0.35000000000000003,0.45,6.1,7.13,0.98,3,0.23,0,0.0,0.53,0.30000000000000004,0,0.0,0.29,0,0.0,12,0.9,33.33,33.333,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.23,100.0,1.3599999999999999,44.44,0.9,0.23,0.0,9.34,0.0,0.45,23.95,62.89,14.23,47.62,1.3599999999999999,88.89,15.44,76.1,8.36,39.64,24.05,35.11,0.02,0.15,0.0,0.08,0.08,0.0,0.0,4.67,37.1,0.8300000000000001,36.36,0.38,20.0,0.53,0.0,6.78,53.33,88.89,6.78,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.49,0.53,0.08,0.0,0.0,4,100.0
A. Abdykalyk,Alimzhan Abdykalyk,-578609,Irtysh Pavlodar U18,Irtysh Pavlodar U18,https://cdn5.wyscout.com/photos/team/public/g-23626_120x120.png,Freedom QJ League U18,RB,RB,99,,0,,0,17.0,2008-05-12,0,,13,1193,0,0.29,1,1.69,17.28,49.34,Kazakhstan,['Kazakhstan'],unknown,0,0,False,10.41,8.07,60.75,0.91,58.33,1.13,1.73,0.6000000000000001,4.38,6.69,0.8300000000000001,2,0.15,0,0.0,1.96,0.0,0,0.0,0.02,0,0.0,7,0.53,28.57,0.0,0.08,2.64,31.43,0.53,42.86,2.11,28.57,0.53,1.96,42.31,6.34,41.67,0.68,1.43,0.23,14.64,0.8300000000000001,1.58,26.71,68.64,11.54,59.48,3.92,90.38,20.9,77.62,3.32,38.64,19.98,26.98,0.13,1.21,0.0,0.08,0.23,66.67,0.38,4.83,56.25,3.92,44.23,0.53,28.57,1.06,0.91,6.34,76.19,70.27,8.37,0,,0,,0,0.0,0.0,0.0,,,1.13,,0.91,1.81,0.0,0.0,3.32,0,0.0
