Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Kozlov,Aleksey Kozlov,477092,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/3313_120x120.png,Shoro Premier League,GK,GK,100,,0,,0,26.0,1999-01-23,150000,,20,2042,1,0.01,0,0.0,1.01,86.96,Russia,['Russia'],left,188,79,False,1.45,0.13,66.67,0.53,91.67,0.0,0.0,0.0,1.37,2.25,0.0,0,0.0,0,0.0,0.04,0.04,1,0.04,0.0,0,0.0,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.04,0.0,0.0,11.19,0.31,0.13,19.92,83.63,11.77,74.53,0.0,0.0,12.91,96.25,6.96,60.76,34.08,52.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,56.67,0.44,20.0,0.09,0.0,0.09,0.0,6.35,73.61,97.6,7.36,32,1.4100000000000001,125,5.51,3,74.4,30.74,1.35,-1.26,-0.056,0.0,2.12,0.53,,,,0.0,0,0.0
E. Uson,Esenbek Uson uulu,-80486,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/3313_120x120.png,Shoro Premier League,"LCB, LB",LCB,46,LB,42,,0,29.0,1996-06-29,0,,20,1974,1,1.18,1,0.6000000000000001,16.28,58.54,Kyrgyzstan,['Kyrgyzstan'],,175,80,False,7.11,5.43,67.23,6.66,54.11,0.18,0.30000000000000004,0.27,3.2800000000000002,5.37,1.55,0,0.0,0,0.0,0.91,0.05,1,0.05,0.05,0,0.0,11,0.5,45.45,9.091,0.05,1.55,38.24,1.55,38.24,0.0,0.0,0.14,0.09,100.0,2.2800000000000002,50.0,1.1400000000000001,0.87,0.05,31.09,0.91,0.87,45.23,82.06,20.43,75.45,4.19,97.83,36.06,87.86,7.75,63.53,23.04,39.47,0.03,0.27,0.0,0.05,0.0,0.0,0.14,6.79,61.07,2.23,30.61,0.41000000000000003,22.22,0.32,0.5,10.62,76.82,88.52,16.28,0,,0,,0,0.0,0.0,0.0,,,1.73,,6.66,0.0,0.0,0.0,0.05,0,0.0
U. Sulaymanov,Ulanbek Sulaymanov,-339554,Ozgon,Ozgon,https://cdn5.wyscout.com/photos/team/public/g-23435_120x120.png,Shoro Premier League,"LCB3, RCB3",LCB3,64,RCB3,18,,0,22.0,2002-10-08,0,,19,1953,0,2.99,0,0.22,13.04,55.83,Kyrgyzstan,['Kyrgyzstan'],,0,0,False,7.7,5.67,65.04,3.73,53.09,0.46,0.66,0.46,3.55,5.1,1.06,1,0.05,0,0.0,0.51,0.0,0,0.0,0.14,0,0.0,29,1.34,17.24,0.0,0.0,0.37,12.5,0.14,33.33,0.23,0.0,0.09,0.6000000000000001,38.46,1.8,41.03,0.92,0.92,0.09,21.94,0.28,0.46,36.68,76.76,19.91,69.21,2.5300000000000002,90.91,28.89,85.01,7.42,47.83,22.75,38.83,0.01,0.14,0.0,0.05,0.0,0.0,0.0,6.18,58.21,0.8300000000000001,16.67,0.28,16.67,0.09,0.09,9.31,62.38,87.35,11.66,0,,0,,0,0.0,0.0,0.0,,,1.2,,3.73,0.14,0.14,0.0,0.0,0,0.0
M. Mamatkhonov,Mirzokhid  Mamatkhonov,-567906,Alay,Alay,https://cdn5.wyscout.com/photos/team/public/g14993_120x120.png,Shoro Premier League,GK,GK,100,,0,,0,31.0,1994-05-02,0,,18,1820,0,0.0,0,0.0,0.9400000000000001,84.21,Uzbekistan,['Uzbekistan'],right,185,0,False,1.24,0.0,0.0,0.64,92.31,0.0,0.0,0.0,1.24,1.79,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,50.0,0.0,0.0,0.0,9.49,0.45,0.2,16.37,84.29,9.2,73.66,0.0,0.0,10.24,99.03,6.13,59.68,33.17,51.67,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.08,42.86,0.2,0.0,0.1,0.0,0.0,0.0,4.4,78.65,98.4,6.18,16,0.79,77,3.81,6,79.22,21.46,1.06,5.46,0.27,0.0,2.18,0.64,,,,0.0,0,0.0
E. Moldozhunusov,Eldar Iminov Moldozhunusov,-80496,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/3313_120x120.png,Shoro Premier League,CF,CF,68,,0,,0,30.0,1995-09-15,0,,20,1795,8,6.99,3,0.97,19.0,34.83,Kyrgyzstan,['Kyrgyzstan'],,181,78,False,3.66,3.21,65.63,6.27,32.0,0.0,0.0,0.1,1.55,2.55,1.1,1,0.05,0,0.0,2.66,0.4,6,0.30000000000000004,0.35000000000000003,1,0.05,46,2.31,45.65,17.391,0.15,1.8599999999999999,21.62,1.15,30.43,0.6000000000000001,8.33,0.30000000000000004,2.61,46.15,7.62,27.63,3.61,1.15,0.15,12.23,2.56,0.8,16.9,73.29,3.91,58.97,5.36,89.72,13.79,80.73,1.35,62.96,19.09,28.92,0.05,0.55,0.05,0.05,0.0,0.0,0.15,1.75,48.57,1.7000000000000002,32.35,0.05,100.0,0.45,0.5,1.8599999999999999,75.68,71.74,4.61,0,,0,,0,0.0,0.0,0.0,,,0.05,,6.27,0.30000000000000004,0.1,50.0,0.4,2,100.0
M. Dzhakybaliev,Maksat Dzhakybaliev,-96483,Asiagoal,Asiagoal,https://cdn5.wyscout.com/photos/team/public/g-23432_120x120.png,Shoro Premier League,"LB, RCB",LB,68,RCB,15,,0,25.0,2000-02-18,0,,17,1743,1,0.25,0,0.34,11.77,52.19,Kyrgyzstan,['Kyrgyzstan'],right,182,0,False,7.69,4.8,54.84,2.5300000000000002,61.22,0.77,1.27,0.26,4.29,7.01,1.34,2,0.1,0,0.0,0.41000000000000003,0.05,1,0.05,0.01,0,0.0,3,0.15,100.0,33.333,0.0,0.36,14.29,0.15,0.0,0.15,0.0,0.05,0.41000000000000003,50.0,1.96,31.58,0.15,0.93,0.05,26.64,0.46,0.41000000000000003,41.1,83.54,15.13,75.09,5.01,96.91,37.23,87.38,3.51,50.0,19.69,35.19,0.02,0.26,0.05,0.0,0.0,0.0,0.1,3.7199999999999998,61.11,0.98,31.58,0.1,50.0,0.26,0.05,7.59,65.31,89.36,14.56,0,,0,,0,0.0,0.0,0.0,,,1.45,,2.5300000000000002,0.0,0.0,0.0,0.0,0,0.0
O. Kostyk,Orest Kostyk,-43443,Muras United,Muras United,https://cdn5.wyscout.com/photos/team/public/g-18168_120x120.png,Shoro Premier League,GK,GK,100,,0,,0,26.0,1999-04-16,125000,,17,1726,0,0.0,0,0.0,0.73,100.0,Ukraine,['Ukraine'],right,189,78,False,1.25,0.05,100.0,0.5700000000000001,100.0,0.0,0.0,0.0,1.2,1.97,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,13.77,0.31,0.16,20.91,87.28,10.64,77.45,0.05,100.0,14.5,99.28,6.36,60.66,31.43,50.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,51.16,0.26,0.0,0.16,66.67,0.0,0.0,4.69,73.33,98.31,9.23,14,0.73,61,3.18,4,77.05,15.6,0.81,1.6,0.083,0.0,1.56,0.5700000000000001,,,,0.0,0,0.0
Richard,Richard Romario Moreira,-560898,OshMU Aldier,OshMU Aldier,https://cdn5.wyscout.com/photos/team/public/g-18169_120x120.png,Shoro Premier League,"CF, LW, LWF",CF,51,LW,23,LWF,12,25.0,2000-04-03,0,,17,1676,11,9.65,2,3.29,21.37,40.2,Brazil,['Brazil'],unknown,0,0,False,1.99,1.6600000000000001,67.74,1.72,37.5,0.0,0.0,0.0,0.86,1.06,0.75,2,0.11,0,0.0,5.21,0.59,10,0.54,0.52,2,0.11,74,3.9699999999999998,47.3,14.865,0.11,1.18,36.36,0.91,35.29,0.27,40.0,0.16,5.53,51.46,14.71,37.59,4.13,2.85,0.38,8.27,1.83,1.6600000000000001,12.83,70.71,3.38,52.38,3.17,94.92,11.38,75.47,0.32,16.67,16.15,7.93,0.18,0.91,0.0,0.0,0.21,25.0,0.54,1.77,45.45,1.18,54.55,0.16,33.33,0.48,0.43,1.34,92.0,69.23,3.49,0,,0,,0,0.0,0.0,0.0,,,0.05,,1.72,0.16,0.11,50.0,0.32,1,100.0
M. Akhmedov,Murolimzhon Akhmedov,329280,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/3313_120x120.png,Shoro Premier League,"RCMF, AMF, LCMF",RCMF,32,AMF,31,LCMF,10,33.0,1992-01-05,250000,,20,1642,0,0.63,3,3.13,17.65,42.86,Kyrgyzstan,['Kyrgyzstan'],left,176,73,False,4.17,3.01,60.0,1.75,34.38,0.49,0.8300000000000001,0.11,1.8599999999999999,3.13,0.71,3,0.16,0,0.0,2.58,0.0,0,0.0,0.03,0,0.0,13,0.71,38.46,0.0,0.16,3.12,36.84,1.48,18.52,1.53,53.57,0.71,1.81,54.55,10.3,38.83,1.6400000000000001,0.93,0.33,28.67,1.6400000000000001,1.75,45.99,82.36,13.81,73.81,10.52,94.27,38.31,88.41,4.77,60.92,19.55,40.19,0.17,1.97,0.16,0.05,0.27,60.0,0.38,7.78,70.42,3.73,44.12,1.04,47.37,1.04,1.32,8.5,79.35,80.97,14.69,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.75,2.19,0.22,25.0,3.01,0,0.0
B. Kochkonbaev,Bektur Kochkonbaev,-254592,Ozgon,Ozgon,https://cdn5.wyscout.com/photos/team/public/g-23435_120x120.png,Shoro Premier League,"DMF, LCMF, RCMF",DMF,41,LCMF,28,RCMF,15,22.0,2003-01-11,0,,17,1631,0,0.87,0,0.28,13.24,52.92,Kyrgyzstan,['Kyrgyzstan'],right,0,0,False,9.1,7.45,64.44,1.99,30.56,0.55,0.79,0.33,3.75,5.35,1.16,4,0.22,0,0.0,0.39,0.0,0,0.0,0.05,0,0.0,19,1.05,10.53,0.0,0.0,0.39,28.57,0.28,40.0,0.11,0.0,0.06,0.28,40.0,2.37,53.49,0.72,0.22,0.0,20.09,0.17,0.77,33.94,77.4,13.91,65.08,3.37,93.44,28.8,83.33,4.75,45.35,18.82,31.0,0.02,0.28,0.0,0.06,0.06,100.0,0.06,6.51,59.32,0.72,38.46,0.22,50.0,0.17,0.17,6.18,72.32,84.36,11.64,0,,0,,0,0.0,0.0,0.0,,,0.11,,1.99,0.0,0.0,0.0,0.0,0,0.0
