Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Wolff,Marco Wolff,-75601,Maccabi Petah Tikva,Maccabi Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1606_120x120.png,Liga Leumit,GK,GK,100,,0,,0,29.0,1996-12-14,250000,2027-06-30,20,1977,0,0.0,0,0.0,0.64,85.71,Argentina,['Argentina'],left,190,79,False,1.5899999999999999,0.0,0.0,0.46,100.0,0.0,0.0,0.0,1.5899999999999999,2.83,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,0.0,0.0,0.0,12.38,0.27,0.23,19.12,86.67,11.52,79.45,0.0,0.0,13.7,97.34,5.42,59.66,26.5,44.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.73,0.14,0.0,0.05,0.0,0.0,0.0,4.32,70.53,97.89,6.46,22,1.0,61,2.7800000000000002,7,63.93,12.6,0.5700000000000001,-9.4,-0.428,0.0,1.18,0.46,,,,0.0,0,0.0
R. Abu Hamdan,Razi Abu Hamdan,-133060,Hapoel Kfar Saba,Hapoel Kfar Saba,https://cdn5.wyscout.com/photos/team/public/3150_120x120.png,Liga Leumit,GK,GK,100,,0,,0,24.0,2001-11-30,175000,2026-06-30,20,1974,0,0.0,0,0.0,0.78,88.24,Israel,['Israel'],,0,0,False,1.4100000000000001,0.05,100.0,0.59,92.31,0.0,0.0,0.0,1.37,2.1,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,0.0,0.0,0.0,11.76,0.14,0.09,17.83,84.91,9.62,74.41,0.0,0.0,11.4,96.8,6.43,63.83,30.82,47.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,44.12,0.27,0.0,0.14,0.0,0.0,0.0,4.79,73.33,96.93,7.43,24,1.09,80,3.65,7,70.0,23.73,1.08,-0.27,-0.012,0.0,1.32,0.59,,,,0.0,0,0.0
I. Israeli,Itamar Israeli,134942,Hapoel Ramat Gan,Hapoel Ramat Gan,https://cdn5.wyscout.com/photos/team/public/2233_120x120.png,Liga Leumit,GK,GK,100,,0,,0,33.0,1992-03-22,125000,,20,1971,0,0.0,0,0.0,0.68,86.67,Israel,['Israel'],right,185,86,False,1.6,0.0,0.0,0.5,90.91,0.0,0.0,0.0,1.6,2.19,0.0,2,0.09,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.18,75.0,0.0,0.0,0.0,12.83,0.32,0.14,23.84,85.82,14.29,79.23,0.0,0.0,16.16,96.61,7.67,63.1,28.91,43.72,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.32,44.83,0.0,0.0,0.27,16.67,0.0,0.0,5.84,62.5,96.84,8.68,26,1.19,100,4.57,5,74.0,25.34,1.16,-0.66,-0.03,0.0,1.37,0.5,,,,0.0,0,0.0
N. Bardea,Nir Bardea,343227,Hapoel Ramat Gan,Hapoel Ramat Gan,https://cdn5.wyscout.com/photos/team/public/2233_120x120.png,Liga Leumit,"LCB, RCB",LCB,84,RCB,12,,0,30.0,1996-01-25,450000,,20,1971,2,1.38,0,0.03,10.82,60.76,Israel,['Israel'],right,189,82,False,9.63,4.75,66.35,3.29,56.94,0.46,0.63,1.46,6.03,8.25,1.0,3,0.14,0,0.0,0.18,0.09,2,0.09,0.06,2,0.09,9,0.41000000000000003,33.33,22.222,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.09,50.0,0.91,60.0,0.46,0.27,0.0,35.75,0.32,0.27,48.81,88.12,21.64,80.59,2.33,92.16,43.15,93.02,5.62,51.22,21.79,41.56,0.0,0.09,0.0,0.09,0.0,0.0,0.0,6.07,67.67,0.55,16.67,0.18,0.0,0.05,0.0,9.68,73.58,95.28,21.28,0,,0,,0,0.0,0.0,0.0,,,1.74,,3.29,0.0,0.0,0.0,0.0,0,0.0
R. Nahmias,Raz Nahmias,404195,Bnei Yehuda,Bnei Yehuda,https://cdn5.wyscout.com/photos/team/public/1641_120x120.png,Liga Leumit,"LB, LB5, LWB",LB,65,LB5,21,LWB,11,29.0,1996-05-06,0,2027-06-30,20,1970,0,0.8200000000000001,0,1.3900000000000001,13.98,53.59,Israel,['Israel'],left,175,68,False,8.22,6.85,63.33,1.51,48.48,0.5,0.73,0.09,3.38,4.89,0.91,2,0.09,0,0.0,1.96,0.0,0,0.0,0.04,0,0.0,11,0.5,36.36,0.0,0.0,2.38,44.23,2.2800000000000002,46.0,0.09,0.0,0.59,1.1400000000000001,64.0,4.11,41.11,0.96,2.1,0.14,28.37,1.6,0.91,39.02,81.85,16.68,75.62,6.8100000000000005,93.96,33.35,88.36,3.34,43.84,17.9,38.86,0.06,0.64,0.0,0.0,0.0,0.0,0.23,7.13,71.15,2.65,44.83,0.37,12.5,0.32,0.96,8.45,77.84,83.08,9.18,0,,0,,0,0.0,0.0,0.0,,,0.09,,1.51,0.05,0.0,0.0,0.14,0,0.0
T. Bomshtein,Tal Bomshtein,302158,Maccabi Herzliya,Maccabi Herzliya,https://cdn5.wyscout.com/photos/team/public/883_120x120.png,Liga Leumit,GK,GK,100,,0,,0,30.0,1995-09-01,150000,,20,1965,0,0.0,0,0.0,1.01,90.91,Israel,['Israel'],right,0,0,False,2.2,0.09,50.0,0.73,93.75,0.0,0.0,0.0,2.15,2.52,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,8.56,0.18,0.23,17.22,77.13,11.59,68.38,0.05,0.0,8.11,98.31,9.11,58.29,37.23,52.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,44.44,0.05,0.0,0.14,66.67,0.0,0.0,6.82,73.83,95.37,4.95,22,1.01,77,3.5300000000000002,6,71.43,22.36,1.02,0.36,0.016,0.0,2.24,0.73,,,,0.0,0,0.0
N. Yehoshua,Niv Yehoshua,-280654,Maccabi Petah Tikva,Maccabi Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1606_120x120.png,Liga Leumit,"RCMF, LCMF, RDMF",RCMF,44,LCMF,22,RDMF,18,20.0,2005-01-28,0,2029-06-30,20,1951,3,3.91,4,4.5,16.15,49.14,Israel,['Israel'],right,0,0,False,5.77,4.61,74.0,1.6099999999999999,48.57,0.18,0.33,0.14,2.17,3.84,1.11,3,0.14,0,0.0,2.12,0.14,3,0.14,0.18,0,0.0,32,1.48,34.38,9.375,0.18,1.57,38.24,0.37,25.0,1.15,44.0,0.37,1.48,56.25,7.57,37.8,2.68,1.11,0.09,32.66,0.51,0.92,44.05,84.5,12.55,75.0,8.44,94.54,40.78,87.56,1.75,55.26,16.03,26.83,0.21,1.98,0.05,0.05,0.46,40.0,0.8300000000000001,6.0,77.69,2.86,50.0,0.6000000000000001,15.38,1.43,0.6900000000000001,6.27,80.15,88.75,14.76,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.6099999999999999,0.09,0.05,0.0,0.05,0,0.0
M. Naaman,Mor  Naaman,-137969,Hapoel Afula,Hapoel Afula,https://cdn5.wyscout.com/photos/team/public/g12546_120x120.png,Liga Leumit,"RCB, RCB3",RCB,40,RCB3,32,,0,28.0,1998-01-26,50000,,20,1946,0,0.12,0,0.0,10.41,64.44,Israel,['Israel'],right,0,0,False,9.85,5.69,76.42,1.57,41.18,0.05,0.05,0.65,5.46,5.93,0.51,2,0.09,0,0.0,0.14,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.18,25.0,0.0,0.0,0.14,33.33,0.0,0.09,100.0,1.11,58.33,0.05,0.09,0.05,15.59,0.23,0.6900000000000001,27.43,85.33,11.61,76.49,2.27,93.88,22.85,90.49,4.39,61.05,21.38,36.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,52.83,0.51,45.45,0.32,42.86,0.14,0.05,5.36,61.21,92.67,10.73,0,,0,,0,0.0,0.0,0.0,,,1.34,,1.57,0.0,0.0,0.0,0.0,0,0.0
Z. Leigh,Ziv Leigh,-293342,Maccabi Herzliya,Maccabi Herzliya,https://cdn5.wyscout.com/photos/team/public/883_120x120.png,Liga Leumit,"RCB3, RB",RCB3,77,RB,10,,0,21.0,2004-04-01,0,,20,1934,0,0.30000000000000004,0,0.53,13.36,64.81,Israel,['Israel'],right,0,0,False,11.63,7.82,70.83,2.75,49.15,0.09,0.11,0.7000000000000001,6.0,7.0,0.88,2,0.09,0,0.0,0.65,0.0,0,0.0,0.01,0,0.0,3,0.14,33.33,0.0,0.0,0.6000000000000001,38.46,0.0,0.0,0.6000000000000001,38.46,0.19,0.42,88.89,1.4,60.0,0.28,0.37,0.0,25.08,0.28,0.74,39.14,85.97,19.68,78.96,1.77,97.37,34.3,90.77,4.23,53.85,19.86,35.65,0.02,0.09,0.0,0.09,0.05,0.0,0.05,4.75,71.57,0.88,26.32,0.28,16.67,0.0,0.28,8.33,70.95,95.42,13.22,0,,0,,0,0.0,0.0,0.0,,,0.74,,2.75,0.0,0.0,0.0,0.0,0,0.0
O. Amer,Omri Amer,-207755,Kfar Kasem,Kfar Kasem,https://cdn5.wyscout.com/photos/team/public/g20832_120x120.png,Liga Leumit,"LCB, LCB3",LCB,57,LCB3,36,,0,24.0,2001-10-14,0,,20,1923,0,0.11,0,0.2,11.47,54.29,Israel,['Israel'],,0,0,False,9.45,5.8,69.35,1.5,46.88,0.56,0.76,0.66,4.87,6.58,0.89,4,0.19,0,0.0,0.33,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.09,50.0,0.0,0.47000000000000003,60.0,2.62,32.14,0.23,0.75,0.05,35.76,0.56,0.33,50.17,90.02,16.24,79.25,3.37,98.61,46.19,93.62,3.88,48.19,20.37,40.1,0.01,0.14,0.05,0.0,0.0,0.0,0.05,3.6,67.53,0.23,60.0,0.33,28.57,0.19,0.05,5.99,60.94,96.86,25.32,0,,0,,0,0.0,0.0,0.0,,,2.43,,1.5,0.0,0.0,0.0,0.0,0,0.0
