Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Sant,Daniel Sant,396911,Mgarr United FC,Mgarr United FC,https://cdn5.wyscout.com/photos/team/public/g12312_120x120.png,Challenge League,"RCB, CB",RCB,74,CB,21,,0,31.0,1994-10-14,0,,14,1370,1,0.32,0,0.0,10.18,60.65,Malta,['Malta'],,0,0,False,7.69,4.86,74.32,3.02,50.0,0.13,0.18,0.79,3.94,5.45,0.72,0,0.0,0,0.0,0.13,0.07,1,0.07,0.02,0,0.0,4,0.26,25.0,25.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.2,33.33,0.92,50.0,0.33,0.2,0.0,20.43,0.2,0.46,36.13,89.82,16.49,82.47,2.63,100.0,28.77,95.43,7.23,69.09,23.29,35.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,79.59,0.26,0.0,0.26,100.0,0.33,0.0,7.03,75.7,97.73,14.45,0,,0,,0,0.0,0.0,0.0,,,2.3,,3.02,0.0,0.0,0.0,0.07,0,0
G. Zammit,Glenn Zammit,158616,Gudja United,Gudja United,https://cdn5.wyscout.com/photos/team/public/g19334_120x120.png,Challenge League,GK,GK,100,,0,,0,38.0,1987-08-05,0,2026-06-30,14,1361,0,0.0,0,0.0,1.06,93.75,Malta,['Malta'],,0,0,False,1.65,0.07,100.0,0.79,100.0,0.0,0.0,0.0,1.5899999999999999,2.18,0.07,3,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,50.0,0.0,0.0,0.0,5.29,0.07,0.2,13.03,81.22,7.14,69.44,0.0,0.0,8.0,99.17,5.03,52.63,30.85,47.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,33.33,0.0,0.0,0.07,0.0,0.0,0.0,2.91,70.45,94.67,4.96,13,0.86,62,4.1,5,79.03,16.57,1.1,3.5700000000000003,0.23600000000000002,0.0,1.98,0.79,,,,0.0,0,0
G. Mizzi,Gosef Mizzi,-367597,Melita,Melita,https://cdn5.wyscout.com/photos/team/public/g12311_120x120.png,Challenge League,GK,GK,100,,0,,0,24.0,2001-03-12,0,2027-06-30,14,1354,0,0.0,0,0.0,0.86,92.31,Malta,['Malta'],unknown,0,0,False,1.73,0.07,0.0,0.6000000000000001,100.0,0.0,0.0,0.0,1.73,2.67,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.2,100.0,0.0,0.0,0.0,8.64,0.27,0.33,17.02,88.28,8.38,79.37,0.0,0.0,11.9,97.21,5.05,68.42,30.13,46.66,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.26,42.11,0.13,0.0,0.07,0.0,0.13,0.0,3.7199999999999998,73.21,96.67,7.98,19,1.26,61,4.05,2,68.85,19.58,1.3,0.58,0.039,0.0,1.46,0.6000000000000001,,,,0.0,0,0
J. Borg,Jurgen Borg,155872,Zurrieq,Zurrieq,https://cdn5.wyscout.com/photos/team/public/g3768_120x120.png,Challenge League,GK,GK,100,,0,,0,31.0,1994-08-08,0,2026-06-30,14,1344,0,0.0,0,0.0,0.6000000000000001,44.44,Malta,['Malta'],right,184,88,False,2.21,0.4,33.33,0.13,100.0,0.13,0.19,0.0,1.94,2.8200000000000003,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,9.78,0.27,0.0,18.42,87.27,9.91,79.05,0.07,100.0,12.72,99.47,5.5600000000000005,61.45,31.43,49.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,48.15,0.13,50.0,0.13,50.0,0.07,0.0,3.68,78.18,98.29,7.83,24,1.6099999999999999,72,4.82,2,66.67,21.05,1.4100000000000001,-2.95,-0.198,0.0,1.1400000000000001,0.13,,,,0.0,0,0
M. Gambin,Matteo Gambin,-119193,Fgura United ,Fgura United ,https://cdn5.wyscout.com/photos/team/public/g20199_120x120.png,Challenge League,LB,LB,100,,0,,0,21.0,2004-05-04,0,2026-06-30,14,1340,1,0.03,2,1.51,14.91,57.66,Malta,['Malta'],left,182,74,False,8.73,6.11,70.33,3.36,42.0,0.2,0.33,0.2,4.23,6.9,0.74,1,0.07,0,0.0,2.89,0.07,1,0.07,0.0,0,0.0,2,0.13,50.0,50.0,0.13,3.76,30.36,3.69,30.91,0.07,0.0,0.2,1.88,89.29,3.83,57.89,0.34,2.75,0.81,20.69,1.21,0.34,34.59,70.49,16.72,63.05,5.84,89.66,22.7,81.66,8.13,57.85,22.78,32.17,0.1,0.6000000000000001,0.0,0.07,0.0,0.0,0.27,5.64,63.1,3.29,42.86,0.27,100.0,0.4,1.07,10.75,73.75,74.26,9.13,0,,0,,0,0.0,0.0,0.0,,,0.34,,3.36,0.0,0.0,0.0,0.27,0,0
I. Cutajar,Isaac Cutajar,-119180,Pietà Hotspurs,Pietà Hotspurs,https://cdn5.wyscout.com/photos/team/public/g1450_120x120.png,Challenge League,"RCB, CB",RCB,58,CB,21,,0,23.0,2003-01-29,0,2026-06-30,14,1319,0,0.21,0,0.0,11.53,51.48,Malta,['Malta'],right,0,0,False,7.03,5.8,62.35,3.07,40.0,0.14,0.21,0.34,3.2800000000000002,5.07,1.43,2,0.14,0,0.0,0.07,0.0,0,0.0,0.01,0,0.0,3,0.2,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.07,100.0,0.68,40.0,0.2,1.02,0.0,20.61,0.14,0.27,34.87,85.13,12.96,72.11,2.46,100.0,30.77,89.8,4.03,50.85,20.94,33.3,0.0,0.0,0.07,0.0,0.0,0.0,0.0,3.2800000000000002,66.67,0.48,0.0,0.07,0.0,0.0,0.0,5.53,65.43,95.76,16.1,0,,0,,0,0.0,0.0,0.0,,,1.16,,3.07,0.0,0.0,0.0,0.0,0,0
A. Marshall,Adolphus Nagbe Marshall,407193,Fgura United ,Fgura United ,https://cdn5.wyscout.com/photos/team/public/g20199_120x120.png,Challenge League,LCB,LCB,99,,0,,0,33.0,1992-07-21,0,2026-06-30,14,1316,2,1.15,0,0.65,12.52,60.66,Liberia,['Liberia'],,0,0,False,7.32,4.51,69.7,5.4,55.7,0.21,0.33,0.41000000000000003,3.9699999999999998,6.42,1.03,3,0.21,0,0.0,0.21,0.14,2,0.14,0.08,1,0.07,4,0.27,50.0,50.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.14,50.0,1.03,60.0,0.75,0.14,0.0,29.54,0.34,0.75,43.36,85.33,18.88,73.91,3.42,98.0,34.06,93.57,9.23,55.56,24.05,38.87,0.04,0.14,0.0,0.07,0.0,0.0,0.0,6.16,57.78,0.48,14.29,0.21,33.33,0.34,0.0,8.48,77.42,95.19,18.47,0,,0,,0,0.0,0.0,0.0,,,2.94,,5.4,0.0,0.0,0.0,0.0,0,0
J. Monney,Jonathan  Monney,-526351,Zurrieq,Zurrieq,https://cdn5.wyscout.com/photos/team/public/g3768_120x120.png,Challenge League,CF,CF,85,,0,,0,,,0,,14,1305,7,6.65,1,0.98,27.45,40.45,Canada,['Canada'],unknown,185,83,False,3.45,3.38,63.27,3.86,32.14,0.07,0.1,0.14,1.24,1.8399999999999999,1.38,1,0.07,0,0.0,3.86,0.48,7,0.48,0.46,0,0.0,45,3.1,37.78,15.556000000000001,0.07,0.9,23.08,0.8300000000000001,25.0,0.07,0.0,0.14,4.41,56.25,16.69,40.08,3.7199999999999998,1.5899999999999999,0.14,11.31,2.41,2.76,18.48,70.52,4.9,50.7,4.62,89.55,16.83,74.59,0.76,36.36,15.39,24.74,0.07,0.9,0.0,0.0,0.0,0.0,0.34,2.48,55.56,1.5899999999999999,26.09,0.0,0.0,0.9,0.07,1.6600000000000001,87.5,69.44,4.97,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.86,0.0,0.0,0.0,0.0,0,0
I. Farrugia,Ivin Farrugia,-296378,Mgarr United FC,Mgarr United FC,https://cdn5.wyscout.com/photos/team/public/g12312_120x120.png,Challenge League,"RB, RCB3",RB,67,RCB3,22,,0,20.0,2005-06-02,0,2026-06-30,14,1301,2,0.81,0,0.59,13.56,55.61,Malta,['Malta'],right,0,0,False,11.07,7.54,68.81,1.52,54.55,0.62,0.85,0.55,5.26,7.22,1.04,2,0.14,0,0.0,1.31,0.14,2,0.14,0.06,0,0.0,8,0.55,62.5,25.0,0.0,1.31,47.37,0.07,0.0,1.25,50.0,0.28,0.62,55.56,2.84,34.15,0.62,0.48,0.0,20.06,1.18,0.48,30.37,68.56,18.19,64.26,2.21,84.38,20.48,76.69,8.72,52.38,23.55,33.89,0.04,0.21,0.14,0.0,0.0,0.0,0.14,6.64,59.38,1.45,52.38,0.42,16.67,0.35000000000000003,0.62,11.9,69.77,73.39,7.54,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.52,0.14,0.0,0.0,0.0,0,0
D. Ciappara,Dylan Ciappara,-104924,Balzan,Balzan,https://cdn5.wyscout.com/photos/team/public/g1452_120x120.png,Challenge League,GK,GK,100,,0,,0,23.0,2002-07-12,0,,14,1299,0,0.0,0,0.12,0.42,83.33,Malta,['Malta'],right,181,76,False,0.76,0.07,100.0,0.21,100.0,0.0,0.0,0.0,0.6900000000000001,1.27,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.55,0.14,18.15,85.88,8.87,73.44,0.07,100.0,12.26,98.87,5.82,59.52,29.36,47.51,0.01,0.07,0.0,0.0,0.0,0.0,0.0,1.94,64.29,0.14,0.0,0.21,66.67,0.0,0.0,4.43,71.88,98.25,7.9,9,0.62,30,2.08,5,70.0,6.91,0.48,-2.09,-0.145,0.07,2.01,0.21,,,,0.0,0,0
