Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Rodríguez Cornejo,Diego Jair Rodríguez Cornejo,-595207,Atlas U17,Atlas U17,https://cdn5.wyscout.com/photos/team/public/g26596_120x120.png,U17 League,"DMF, RDMF, LDMF",DMF,28,RDMF,23,LDMF,19,17.0,2008-05-26,0,,21,1780,0,0.24,2,1.07,17.85,52.12,Mexico,['Mexico'],unknown,168,56,False,12.24,8.7,64.53,2.02,45.0,1.87,2.7800000000000002,0.1,4.75,7.07,1.11,4,0.2,1,0.05,0.30000000000000004,0.0,0,0.0,0.01,0,0.0,9,0.46,22.22,0.0,0.1,0.51,20.0,0.1,50.0,0.4,12.5,0.05,0.4,25.0,5.01,33.33,0.1,0.56,0.0,23.56,0.51,1.16,39.89,79.97,18.05,73.11,3.84,92.11,34.84,84.33,4.55,53.33,18.22,32.65,0.05,0.30000000000000004,0.0,0.15,0.05,0.0,0.2,8.29,74.39,1.37,25.93,0.66,23.08,0.25,0.15,8.65,71.35,84.84,12.34,0,,0,,0,0.0,0.0,0.0,,,0.66,,2.02,0.05,0.0,0.0,0.15,0,0
O. Godinez Santiago,Olmo Ernesto Godinez Santiago,-678556,Atlas U17,Atlas U17,https://cdn5.wyscout.com/photos/team/public/g26596_120x120.png,U17 League,RCB,RCB,86,,0,,0,17.0,2009-01-14,0,,20,1731,1,0.61,0,0.01,15.44,60.61,Mexico,['Mexico'],,178,66,False,12.95,8.79,71.6,3.17,50.82,0.73,1.1,1.25,5.93,8.93,0.99,4,0.21,0,0.0,0.26,0.05,1,0.05,0.03,1,0.05,5,0.26,20.0,20.0,0.0,0.1,50.0,0.0,0.0,0.1,50.0,0.0,0.26,60.0,1.77,50.0,0.26,1.04,0.0,23.76,0.16,0.42,38.01,81.67,21.21,72.79,2.13,92.68,32.29,88.89,5.62,40.74,20.22,39.37,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.51,57.55,0.62,8.33,0.31,0.0,0.0,0.05,8.21,60.76,94.31,10.97,0,,0,,0,0.0,0.0,0.0,,,1.77,,3.17,0.05,0.0,0.0,0.0,0,0
G. Martinez Sanchez,Gabriel Martinez Sanchez,-615552,Atlas U17,Atlas U17,https://cdn5.wyscout.com/photos/team/public/g26596_120x120.png,U17 League,"LCB, RCB",LCB,71,RCB,14,,0,16.0,2009-03-05,0,,20,1712,1,1.1,1,0.15,15.46,61.9,Mexico,['Mexico'],,182,72,False,10.83,8.41,72.5,3.05,43.1,0.9500000000000001,1.3900000000000001,0.84,3.79,5.57,1.42,3,0.16,0,0.0,0.11,0.05,1,0.05,0.06,0,0.0,6,0.32,16.67,16.667,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.21,25.0,1.6800000000000002,43.75,0.32,0.58,0.05,17.14,0.16,0.63,30.12,75.57,15.3,63.23,2.37,91.11,25.08,82.39,4.99,42.11,21.34,33.63,0.01,0.21,0.0,0.0,0.0,0.0,0.0,2.63,64.0,0.58,18.18,0.26,40.0,0.11,0.0,7.73,45.58,89.89,9.36,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,3.05,0.05,0.0,0.0,0.0,0,0
N. Mota Aviña,Noé Tadeo Mota Aviña,-573224,,Atlas U17,,,"RAMF, RW, CF",RAMF,41,RW,35,CF,21,16.0,2009-04-21,0,,19,1698,9,4.39,4,3.31,19.4,40.16,Mexico,['Mexico'],unknown,171,59,False,3.34,3.02,52.63,2.01,31.58,0.64,0.9500000000000001,0.0,1.11,1.6600000000000001,1.17,2,0.11,0,0.0,2.81,0.48,9,0.48,0.23,1,0.05,37,1.96,51.35,24.324,0.21,1.5899999999999999,16.67,0.0,0.0,1.54,17.24,0.37,2.7,50.98,11.45,38.43,3.6,2.12,0.37,22.42,2.23,2.44,27.77,76.91,6.15,68.1,6.2,94.02,25.12,81.86,1.11,47.62,14.83,19.1,0.18,1.43,0.05,0.05,0.21,75.0,0.64,2.54,68.75,2.07,53.85,0.32,66.67,1.48,0.32,3.29,77.42,71.69,8.8,0,,0,,0,0.0,0.0,0.0,,,0.05,,2.01,0.05,0.05,100.0,0.05,0,0
H. Villarruel,Horacio Enrique Villarruel Gonzalez,-596687,Atlas U17,Atlas U17,https://cdn5.wyscout.com/photos/team/public/g26596_120x120.png,U17 League,"AMF, LAMF, RCMF",AMF,24,LAMF,21,RCMF,12,17.0,2008-02-08,0,,22,1635,7,5.62,4,4.04,19.32,47.29,Mexico,['Mexico'],unknown,170,62,False,6.28,6.88,58.4,1.32,50.0,0.22,0.33,0.0,2.04,3.02,1.38,2,0.11,0,0.0,2.48,0.39,4,0.22,0.31,0,0.0,38,2.09,42.11,18.421,0.22,1.65,26.67,0.61,45.45,0.9400000000000001,11.76,0.17,2.26,46.34,8.92,38.89,2.42,1.43,0.11,24.0,0.88,1.1,32.86,68.34,11.28,62.44,3.63,86.36,28.73,73.37,2.59,40.43,17.17,35.13,0.22,1.87,0.22,0.11,0.33,33.33,0.5,5.23,61.05,3.03,45.45,0.72,15.38,1.1,0.5,5.83,68.87,67.43,9.63,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.32,1.21,0.39,42.86,3.14,3,100
Á. Macías Romo,Ángel Balam  Macías Romo,-720778,Atlas U17,Atlas U17,https://cdn5.wyscout.com/photos/team/public/g26596_120x120.png,U17 League,"CF, AMF",CF,60,AMF,27,,0,16.0,2009-04-04,0,,21,1580,5,4.98,4,2.7800000000000002,19.99,41.03,Mexico,['Mexico'],unknown,160,59,False,5.98,5.98,57.14,1.42,32.0,1.37,2.07,0.0,1.2,1.81,2.16,3,0.17,0,0.0,2.91,0.28,5,0.28,0.28,0,0.0,39,2.22,51.28,12.821,0.23,1.03,44.44,0.46,37.5,0.5700000000000001,50.0,0.17,2.56,44.44,9.8,35.47,2.51,2.16,0.11,23.7,1.71,1.5899999999999999,31.78,72.22,10.99,61.14,5.7,91.0,28.25,74.8,2.56,53.33,15.36,26.23,0.16,1.5899999999999999,0.06,0.06,0.28,60.0,0.5700000000000001,4.9,66.28,2.73,47.92,0.74,53.85,1.77,0.46,4.84,75.29,72.11,8.37,0,,0,,0,0.0,0.0,0.0,,,0.06,,1.42,0.28,0.06,100.0,0.06,1,0
L. Espino Contreras,Leonardo Jesus  Espino Contreras,-720768,Atlas U17,Atlas U17,https://cdn5.wyscout.com/photos/team/public/g26596_120x120.png,U17 League,"LDMF, RCMF, RDMF",LDMF,33,RCMF,28,RDMF,14,16.0,2009-10-21,0,,20,1446,3,1.69,3,1.8399999999999999,21.41,50.58,Mexico,['Mexico'],unknown,180,69,False,12.57,8.96,65.28,2.43,41.03,1.31,1.94,0.37,5.41,8.03,1.37,2,0.12,0,0.0,2.37,0.19,3,0.19,0.11,0,0.0,20,1.24,50.0,15.0,0.19,0.68,54.55,0.0,0.0,0.68,54.55,0.12,1.9300000000000002,64.52,7.34,39.83,1.18,1.24,0.0,23.03,0.5,1.12,40.95,79.48,18.05,70.34,5.54,89.89,37.34,82.67,2.93,44.68,15.53,28.33,0.11,1.37,0.12,0.0,0.37,33.33,0.44,7.66,74.8,1.87,56.67,0.5,37.5,1.24,0.37,8.53,75.91,86.99,9.09,0,,0,,0,0.0,0.0,0.0,,,0.06,,2.43,0.37,0.0,0.0,0.62,0,0
R. Fajardo,Rafael Esaú Fajardo Ramos,-460682,Toluca U17,Toluca U17,https://cdn5.wyscout.com/photos/team/public/g26602_120x120.png,U17 League,LCB,LCB,99,,0,,0,17.0,2008-11-25,0,,15,1414,3,0.8300000000000001,0,0.02,12.09,53.16,Mexico,['Mexico'],unknown,0,0,False,7.57,5.35,65.48,4.07,53.13,0.19,0.31,0.64,3.88,6.31,1.21,3,0.19,0,0.0,0.25,0.19,3,0.19,0.05,2,0.13,5,0.32,60.0,60.0,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.13,0.0,1.21,26.32,0.5700000000000001,0.9500000000000001,0.0,24.25,0.38,0.32,38.95,74.35,21.2,60.36,3.37,98.11,26.99,85.38,11.9,49.2,28.66,43.56,0.0,0.06,0.0,0.0,0.06,0.0,0.0,7.51,39.83,0.8300000000000001,7.69,0.51,0.0,0.13,0.06,12.09,65.79,91.0,12.73,0,,0,,0,0.0,0.0,0.0,,,2.61,,4.07,0.13,0.0,0.0,0.0,0,0
D. Hernández Terán,Daniel Hernández Terán,-683286,Atlas U17,Atlas U17,https://cdn5.wyscout.com/photos/team/public/g26596_120x120.png,U17 League,RB,RB,90,,0,,0,16.0,2009-05-07,0,,20,1382,2,1.07,0,1.04,21.56,51.66,Mexico,['Mexico'],,163,60,False,13.55,10.94,60.71,3.39,34.62,1.24,1.92,0.39,5.67,8.79,1.5,5,0.33,0,0.0,1.8900000000000001,0.13,2,0.13,0.07,1,0.07,12,0.78,58.33,16.667,0.0,1.56,20.83,0.07,100.0,1.43,18.18,0.26,1.56,66.67,5.14,40.51,1.5,1.24,0.07,22.47,1.5,0.52,36.34,71.33,19.08,65.19,3.71,84.21,31.71,75.56,3.13,52.08,16.32,26.73,0.07,0.52,0.13,0.0,0.07,100.0,0.26,5.67,67.82,2.21,38.24,0.39,50.0,0.59,0.33,9.44,64.83,72.55,6.64,0,,0,,0,0.0,0.0,0.0,,,0.26,,3.39,0.07,0.0,0.0,0.07,0,0
D. Millán,Dariel Emilian Millán Garduño,-460688,Toluca U17,Toluca U17,https://cdn5.wyscout.com/photos/team/public/g26602_120x120.png,U17 League,RB,RB,99,,0,,0,18.0,2008-01-19,0,,15,1379,0,0.07,0,0.87,19.38,57.91,Mexico,['Mexico'],unknown,0,0,False,10.51,8.48,66.92,3.0,60.87,0.39,0.63,0.2,4.44,7.16,1.37,1,0.07,0,0.0,1.44,0.0,0,0.0,0.0,0,0.0,4,0.26,25.0,0.0,0.0,1.24,47.37,0.0,0.0,1.24,47.37,0.2,1.11,70.59,5.87,52.22,0.98,1.63,0.2,19.06,1.31,1.31,32.83,74.55,16.19,69.76,3.92,81.67,28.0,79.72,3.65,44.64,18.47,33.64,0.06,0.78,0.07,0.0,0.0,0.0,0.33,5.29,69.14,1.57,54.17,0.39,33.33,0.78,0.52,8.22,65.87,83.65,6.79,0,,0,,0,0.0,0.0,0.0,,,0.52,,3.0,0.07,0.0,0.0,0.0,0,0
