Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Jovanovic,Dejan Jovanovic,-780862,Rudar,Rudar,https://cdn5.wyscout.com/photos/team/public/1988_120x120.png,Second League,"LAMF, LW",LAMF,67,LW,17,,0,23.0,2002-10-11,0,,21,2007,8,5.22,3,2.42,23.99,43.18,Serbia,['Serbia'],unknown,0,0,False,6.95,6.95,56.77,1.43,6.25,0.13,0.17,0.0,2.87,3.69,1.35,5,0.22,0,0.0,4.3,0.36,8,0.36,0.23,0,0.0,40,1.79,52.5,20.0,0.13,2.69,23.33,2.02,24.44,0.67,20.0,0.58,4.89,55.96,12.96,39.45,2.65,2.2,0.04,15.61,2.29,1.6099999999999999,24.62,63.75,8.61,52.6,4.48,88.0,19.82,72.4,2.24,36.0,18.36,31.34,0.11,0.81,0.04,0.04,0.09,0.0,0.36,3.0,47.76,2.96,27.27,0.36,0.0,0.63,0.58,3.77,67.86,57.72,6.68,0,,0,,0,0.0,0.0,0.0,,,0.18,,1.43,0.09,0.0,0.0,0.67,1,0.0
L. Pajović,Lazar Pajović,299080,Grbalj,Grbalj,https://cdn5.wyscout.com/photos/team/public/1994_120x120.png,Second League,RB,RB,87,,0,,0,30.0,1995-11-10,0,,21,2002,6,1.56,1,3.5700000000000003,18.7,54.81,Montenegro,['Montenegro'],,0,0,False,9.85,5.35,69.75,4.09,54.95,0.09,0.12,0.45,6.02,8.14,0.9,3,0.13,0,0.0,3.51,0.27,6,0.27,0.07,0,0.0,29,1.3,34.48,20.69,0.04,2.74,34.43,0.63,42.86,2.07,32.61,0.36,3.15,67.14,7.78,46.82,0.99,1.8900000000000001,0.45,20.0,1.75,0.81,33.45,69.35,16.18,61.39,5.26,92.31,23.38,79.81,7.46,49.4,23.31,40.59,0.16,1.35,0.04,0.09,0.0,0.0,0.45,7.46,57.23,2.9699999999999998,39.39,0.63,42.86,0.45,0.9400000000000001,9.76,73.73,69.57,8.27,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,4.09,1.44,0.18,50.0,3.91,0,0.0
M. Pejović,Matija Pejović,-85238,Grbalj,Grbalj,https://cdn5.wyscout.com/photos/team/public/1994_120x120.png,Second League,"RCB, LCB",RCB,81,LCB,14,,0,25.0,2000-10-04,0,,21,1985,0,0.99,0,0.30000000000000004,13.65,68.11,Montenegro,['Montenegro'],right,196,0,False,10.07,5.98,74.24,4.08,75.56,0.41000000000000003,0.55,0.36,5.21,7.03,0.91,4,0.18,0,0.0,0.36,0.0,0,0.0,0.05,0,0.0,9,0.41000000000000003,22.22,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.59,46.15,2.4,39.62,0.45,2.31,0.23,22.4,0.27,0.41000000000000003,40.72,78.62,20.4,63.78,2.99,95.45,30.38,89.25,10.29,47.58,24.96,41.01,0.01,0.09,0.0,0.0,0.0,0.0,0.05,8.75,50.78,0.73,43.75,1.04,43.48,0.36,0.0,9.52,73.81,94.27,14.24,0,,0,,0,0.0,0.0,0.0,,,2.13,,4.08,0.0,0.0,0.0,0.0,0,0.0
S. Bošković,Srdjan Bošković,-69794,Berane,Berane,https://cdn5.wyscout.com/photos/team/public/1995_120x120.png,Second League,"AMF, RCMF, RCMF3",AMF,43,RCMF,14,RCMF3,13,29.0,1996-12-24,125000,,21,1983,8,6.51,1,3.31,13.57,46.49,Montenegro,['Montenegro'],right,0,0,False,4.8100000000000005,4.58,68.32,0.8200000000000001,16.67,0.14,0.18,0.0,1.54,2.0,0.68,2,0.09,0,0.0,2.27,0.36,4,0.18,0.30000000000000004,0,0.0,48,2.18,41.67,16.667,0.05,0.8200000000000001,27.78,0.18,0.0,0.64,35.71,0.18,1.72,60.53,5.99,37.88,1.27,2.0,0.27,28.28,1.09,0.54,37.72,74.49,15.02,62.84,4.95,94.5,32.09,80.91,4.8100000000000005,39.62,19.32,40.42,0.15,1.23,0.0,0.0,0.36,25.0,0.5,8.58,55.56,2.68,44.07,0.91,40.0,1.23,0.23,7.35,75.31,82.79,11.07,0,,0,,0,0.0,0.0,0.0,,,0.45,,0.8200000000000001,1.0,0.18,50.0,3.0,5,80.0
Taishi Otsu,Taishi Otsu,-794126,Kom,Kom,https://cdn5.wyscout.com/photos/team/public/1991_120x120.png,Second League,"LCB, RB",LCB,65,RB,18,,0,23.0,2002-08-14,0,,21,1957,1,0.75,0,0.18,14.35,64.74,Japan,['Japan'],unknown,0,0,False,9.29,6.16,67.91,3.77,65.85,0.51,0.71,0.46,4.6,6.45,0.74,3,0.14,0,0.0,0.51,0.05,1,0.05,0.03,1,0.05,4,0.18,25.0,25.0,0.0,0.51,27.27,0.14,66.67,0.37,12.5,0.0,0.46,70.0,2.07,62.22,0.51,0.51,0.0,21.15,0.32,0.97,37.34,79.31,19.27,68.26,2.12,91.3,32.1,85.24,4.74,44.66,19.87,35.89,0.01,0.23,0.05,0.0,0.05,0.0,0.05,4.92,57.01,0.74,25.0,0.28,33.33,0.18,0.14,7.73,65.48,91.86,11.87,0,,0,,0,0.0,0.0,0.0,,,0.92,,3.77,0.0,0.0,0.0,0.0,0,0.0
O. Kasalica,Ognjen  Kasalica,-154233,Rudar,Rudar,https://cdn5.wyscout.com/photos/team/public/1988_120x120.png,Second League,LB,LB,95,,0,,0,23.0,2002-10-16,0,,21,1951,0,0.36,2,1.48,16.88,51.37,Montenegro,['Montenegro'],,0,0,False,9.09,7.06,64.05,2.35,60.78,0.14,0.18,0.14,4.43,5.68,1.34,4,0.18,0,0.0,1.6099999999999999,0.0,0,0.0,0.02,0,0.0,10,0.46,20.0,0.0,0.09,2.95,28.13,2.95,28.13,0.0,0.0,0.42,1.43,48.39,5.12,35.14,0.78,1.71,0.6900000000000001,19.28,1.52,0.51,32.15,69.58,14.35,63.34,4.8,84.62,23.85,79.3,5.58,47.11,20.94,37.99,0.07,0.51,0.0,0.0,0.0,0.0,0.28,5.49,62.18,2.17,36.17,0.14,0.0,0.23,0.88,8.3,66.11,72.99,8.03,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,2.35,0.0,0.0,0.0,0.05,0,0.0
S. Kastratović,Stefan Kastratović,228443,Berane,Berane,https://cdn5.wyscout.com/photos/team/public/1995_120x120.png,Second League,GK,GK,100,,0,,0,32.0,1994-01-04,100000,,20,1933,0,0.0,0,0.0,0.51,45.45,Montenegro,['Montenegro'],,0,0,False,2.37,0.05,0.0,0.19,100.0,0.05,0.06,0.0,2.33,3.01,0.09,3,0.14,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.14,33.33,0.0,0.0,0.0,12.9,0.28,0.05,26.91,84.6,15.74,76.04,0.05,0.0,16.76,96.94,10.1,64.52,33.53,50.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,58.33,0.0,0.0,0.28,16.67,0.0,0.0,7.68,75.76,97.29,10.29,17,0.79,82,3.8200000000000003,11,79.27,24.25,1.13,7.25,0.338,0.0,1.4,0.19,,,,0.0,0,0.0
D. Bracanović,Danilo Bracanović,-85237,Kom,Kom,https://cdn5.wyscout.com/photos/team/public/1991_120x120.png,Second League,LB,LB,94,,0,,0,25.0,2000-04-09,0,,21,1932,1,0.61,1,1.15,18.12,62.98,Montenegro,['Montenegro'],left,180,73,False,11.13,8.11,71.84,3.31,59.15,1.07,1.54,0.09,4.24,6.09,0.7000000000000001,5,0.23,0,0.0,2.0,0.05,1,0.05,0.03,0,0.0,18,0.84,22.22,5.556,0.05,3.03,24.62,2.84,24.59,0.19,25.0,0.56,1.82,58.97,5.5,52.54,0.84,1.35,0.23,16.77,1.26,2.05,27.58,67.74,11.97,59.92,4.15,93.26,19.89,82.2,4.8,33.98,20.23,35.01,0.05,0.75,0.0,0.0,0.0,0.0,0.23,4.75,50.0,2.7,34.48,0.23,20.0,0.37,0.75,5.73,69.11,65.31,6.85,0,,1,,0,100.0,0.14,0.01,,,0.37,,3.31,1.02,0.28,16.67,1.3,0,0.0
S. Ueda,Shunya  Ueda,-423375,Grbalj,Grbalj,https://cdn5.wyscout.com/photos/team/public/1994_120x120.png,Second League,"RCMF, LDMF, RCMF3",RCMF,38,LDMF,28,RCMF3,16,25.0,2000-12-08,0,,21,1913,2,0.84,5,1.72,17.31,54.89,Japan,['Japan'],,0,0,False,7.67,6.96,63.51,2.96,60.32,0.8,1.05,0.14,2.45,3.22,1.18,4,0.19,0,0.0,1.51,0.09,2,0.09,0.04,0,0.0,12,0.56,33.33,16.667,0.24,0.52,27.27,0.14,66.67,0.38,12.5,0.05,1.79,63.16,5.08,50.93,1.13,0.56,0.09,23.52,0.56,1.46,38.77,85.44,13.36,77.11,7.29,94.84,35.0,88.17,3.25,65.22,16.62,35.89,0.08,0.8,0.0,0.0,0.09,50.0,0.52,5.46,75.0,1.08,56.52,0.56,66.67,0.71,0.14,6.59,78.57,90.04,11.34,0,,0,,0,0.0,0.0,0.0,,,0.52,,2.96,0.0,0.0,0.0,0.0,0,0.0
M. Djurdjevic,Milos Djurdjevic,-362471,Igalo,Igalo,https://cdn5.wyscout.com/photos/team/public/g19088_120x120.png,Second League,"RDMF, DMF, LDMF",RDMF,22,DMF,20,LDMF,19,23.0,2003-01-26,0,,20,1904,0,0.55,1,1.08,22.88,54.34,Montenegro,['Montenegro'],unknown,177,0,False,10.59,9.12,69.95,1.18,48.0,1.04,1.31,0.33,3.17,3.98,1.7000000000000002,6,0.28,0,0.0,1.8,0.0,0,0.0,0.03,0,0.0,15,0.71,33.33,0.0,0.05,0.43,44.44,0.14,66.67,0.24,40.0,0.09,2.27,58.33,8.93,42.86,0.33,0.85,0.14,15.88,0.24,1.75,30.02,77.17,11.3,60.25,4.49,92.63,25.9,81.57,3.69,50.0,19.04,36.3,0.05,0.33,0.0,0.0,0.09,50.0,0.19,4.49,62.11,0.66,28.57,0.19,25.0,0.14,0.24,6.1,60.47,89.15,10.02,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.18,0.0,0.0,0.0,0.0,0,0.0
