Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Horvath,Daniel Horvath,-357373,Kozármisleny,Kozármisleny,https://cdn5.wyscout.com/photos/team/public/g9114_120x120.png,NB II,"LCB, RCB",LCB,53,RCB,27,,0,24.0,2001-05-14,0,,13,1234,1,1.62,0,0.45,14.37,56.85,Hungary,['Hungary'],,0,0,False,10.21,4.74,60.0,6.5600000000000005,58.89,0.88,1.17,1.24,6.49,8.64,1.6800000000000002,3,0.22,0,0.0,0.73,0.07,1,0.07,0.12,0,0.0,7,0.51,71.43,14.286,0.0,0.51,42.86,0.15,50.0,0.36,40.0,0.07,0.15,50.0,0.8,18.18,0.88,0.22,0.0,27.71,1.02,0.44,45.36,85.21,16.99,71.24,3.35,97.83,38.22,91.03,6.64,54.95,23.32,41.57,0.03,0.44,0.0,0.0,0.07,100.0,0.07,5.32,56.16,1.6,40.91,0.88,41.67,0.44,0.22,8.31,72.81,93.85,22.54,0,,0,,0,0.0,0.0,0.0,,,2.26,,6.5600000000000005,0.0,0.0,0.0,0.0,0,0.0
S. Lekai,Soma Lekai,312805,Kozármisleny,Kozármisleny,https://cdn5.wyscout.com/photos/team/public/g9114_120x120.png,NB II,GK,GK,100,,0,,0,30.0,1995-09-20,0,2027-06-30,13,1234,0,0.0,0,0.0,0.8,72.73,Hungary,['Hungary'],right,188,0,False,2.41,0.22,33.33,0.51,85.71,0.0,0.0,0.0,2.33,3.11,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.79,0.36,0.07,35.45,82.3,20.35,73.12,0.0,0.0,22.03,97.02,13.35,58.47,32.67,48.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,52.94,0.29,25.0,0.07,0.0,0.15,0.0,9.48,71.54,95.21,13.71,20,1.46,73,5.32,2,72.6,21.35,1.56,1.35,0.098,0.0,2.19,0.51,,,,0.0,0,0.0
M. Palincsár,Martin Palincsár,427692,BVSC,BVSC,https://cdn5.wyscout.com/photos/team/public/g2665_120x120.png,NB II,"RCMF, LCMF, LCMF3",RCMF,43,LCMF,19,LCMF3,14,26.0,1999-01-03,125000,2026-06-30,13,1214,0,0.36,1,0.71,19.72,48.87,Hungary,['Hungary'],right,176,65,False,9.86,8.67,58.12,3.41,39.13,1.19,1.28,0.22,3.63,3.93,1.9300000000000002,2,0.15,0,0.0,2.15,0.0,0,0.0,0.03,0,0.0,6,0.44,66.67,0.0,0.07,1.26,52.94,0.0,0.0,1.19,56.25,0.22,1.71,69.57,5.41,45.21,0.8200000000000001,0.8200000000000001,0.07,13.79,0.22,1.48,26.54,72.63,11.19,53.64,4.82,95.38,20.09,83.76,5.19,34.29,20.32,35.65,0.05,0.59,0.07,0.07,0.07,0.0,0.22,4.67,44.44,2.08,50.0,0.52,14.29,0.89,0.52,4.3,74.14,83.33,7.12,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,3.41,0.07,0.0,0.0,0.15,0,0.0
K. Szűcs,Kristóf Szűcs,474358,Karcagi SE,Karcagi SE,https://cdn5.wyscout.com/photos/team/public/g5100_120x120.png,NB II,"DMF, LCMF, RDMF",DMF,28,LCMF,26,RDMF,25,28.0,1997-01-03,75000,,13,1210,0,0.1,0,0.29,14.95,51.74,Hungary,['Hungary'],right,176,77,False,9.82,8.63,55.17,2.68,41.67,0.52,0.65,0.67,4.54,5.63,2.08,3,0.22,0,0.0,0.30000000000000004,0.0,0,0.0,0.01,0,0.0,3,0.22,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,40.0,1.49,50.0,0.0,0.15,0.0,14.06,0.15,0.97,28.49,76.24,12.72,61.99,4.02,96.3,23.5,84.49,4.98,37.31,19.92,36.11,0.02,0.15,0.0,0.0,0.0,0.0,0.07,5.95,51.25,0.8200000000000001,27.27,0.45,0.0,0.15,0.0,6.84,68.48,84.68,8.26,0,,0,,0,0.0,0.0,0.0,,,0.37,,2.68,0.0,0.0,0.0,0.22,0,0.0
M. Kovalovszki,Máté Kovalovszki,-93080,Karcagi SE,Karcagi SE,https://cdn5.wyscout.com/photos/team/public/g5100_120x120.png,NB II,"RB, RB5, RAMF",RB,57,RB5,17,RAMF,12,25.0,1999-12-14,0,,13,1202,2,1.46,0,1.2,14.0,54.55,Hungary,['Hungary'],right,188,0,False,7.94,6.29,57.14,3.52,68.09,0.15,0.19,0.15,4.19,5.2,1.2,1,0.07,0,0.0,1.87,0.15,2,0.15,0.11,1,0.07,13,0.97,46.15,15.385,0.0,2.55,32.35,0.07,100.0,2.47,30.3,0.6000000000000001,0.8200000000000001,72.73,2.25,33.33,1.65,1.2,0.15,21.11,1.87,0.30000000000000004,33.24,70.5,16.77,60.27,4.49,95.0,24.71,80.61,5.99,45.0,21.68,34.47,0.09,0.97,0.0,0.0,0.0,0.0,0.30000000000000004,5.32,61.97,2.85,39.47,0.30000000000000004,50.0,0.67,0.9,11.01,66.67,74.59,9.13,0,,0,,0,0.0,0.0,0.0,,,0.97,,3.52,0.37,0.15,0.0,0.0,0,0.0
A. Girsik,Aron Robert Girsik,-49016,Karcagi SE,Karcagi SE,https://cdn5.wyscout.com/photos/team/public/g5100_120x120.png,NB II,"LAMF, RCMF, LW",LAMF,26,RCMF,19,LW,18,24.0,2001-03-07,50000,,13,1184,2,4.55,6,3.83,29.57,48.59,Romania,['Romania'],right,172,63,False,6.39,6.08,61.25,1.6,38.1,0.0,0.0,0.08,2.66,3.32,1.06,1,0.08,0,0.0,5.24,0.15,0,0.0,0.35000000000000003,0,0.0,29,2.2,27.59,6.897,0.46,2.66,34.29,0.76,20.0,1.82,37.5,0.53,6.99,53.26,18.55,47.54,2.43,2.36,0.38,14.59,1.22,4.86,21.74,80.42,5.85,75.32,3.8,94.0,18.02,88.19,1.29,58.82,21.35,31.36,0.29,2.43,0.0,0.0,0.08,0.0,0.38,2.58,85.29,2.36,61.29,0.08,100.0,1.06,0.76,3.95,86.54,79.21,7.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.6,2.05,0.08,100.0,2.89,2,100.0
Z. Pap,Zsolt Pap,-215077,Karcagi SE,Karcagi SE,https://cdn5.wyscout.com/photos/team/public/g5100_120x120.png,NB II,"LB, LB5",LB,69,LB5,18,,0,27.0,1998-07-22,0,,13,1181,3,2.36,0,0.8200000000000001,19.43,52.94,Hungary,['Hungary'],,0,0,False,8.54,6.4,55.95,6.86,62.22,0.30000000000000004,0.38,0.23,4.65,5.72,2.13,5,0.38,0,0.0,2.36,0.23,3,0.23,0.18,0,0.0,27,2.06,25.93,11.111,0.0,2.8200000000000003,24.32,2.74,25.0,0.08,0.0,0.46,1.6,71.43,4.5,44.07,2.44,1.1400000000000001,0.0,20.04,2.74,0.84,31.24,69.27,11.51,60.26,5.26,95.65,22.79,79.93,5.94,47.44,21.92,38.35,0.06,0.53,0.0,0.0,0.0,0.0,0.08,4.65,47.54,3.35,29.55,0.61,25.0,0.6900000000000001,0.61,7.62,66.0,68.42,10.14,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,6.86,0.23,0.23,66.67,0.0,0,0.0
J. Varga,József Varga,33613,Duna Aszfalt Tiszakécskei,Duna Aszfalt Tiszakécskei,https://cdn5.wyscout.com/photos/team/public/g2674_120x120.png,NB II,"RCB, DMF, RDMF",RCB,39,DMF,17,RDMF,15,37.0,1988-06-06,50000,,12,1160,0,0.47000000000000003,0,0.0,11.02,55.63,Hungary,['Hungary'],right,175,75,False,8.53,4.58,74.58,2.7199999999999998,48.57,0.39,0.58,0.93,4.73,7.07,0.54,2,0.16,0,0.0,0.23,0.0,0,0.0,0.04,0,0.0,7,0.54,14.29,0.0,0.0,0.31,50.0,0.23,33.33,0.08,100.0,0.0,0.16,0.0,1.78,34.78,0.85,0.54,0.0,23.9,0.16,0.47000000000000003,40.81,85.17,18.62,80.42,3.5700000000000003,95.65,35.46,89.72,5.04,55.38,18.5,30.8,0.0,0.0,0.08,0.0,0.0,0.0,0.0,6.05,67.95,0.47000000000000003,16.67,0.23,0.0,0.23,0.08,7.76,75.0,87.98,14.2,0,,0,,0,0.0,0.0,0.0,,,1.16,,2.7199999999999998,0.08,0.0,0.0,0.0,0,0.0
C. Spandler,Csaba Spandler,235268,Fehérvár,Fehérvár,https://cdn5.wyscout.com/photos/team/public/357_120x120.png,NB II,"LCB, LCB3",LCB,72,LCB3,27,,0,29.0,1996-03-07,450000,2026-06-30,12,1150,0,0.34,0,0.14,12.21,63.46,Hungary,['Hungary'],left,183,76,False,8.84,5.95,71.05,3.52,62.22,0.23,0.30000000000000004,0.63,4.38,5.64,1.02,3,0.23,0,0.0,0.47000000000000003,0.0,0,0.0,0.03,0,0.0,8,0.63,0.0,0.0,0.0,0.9400000000000001,41.67,0.9400000000000001,41.67,0.0,0.0,0.0,0.31,25.0,1.02,23.08,0.31,1.49,0.08,39.21,1.4100000000000001,0.47000000000000003,58.85,82.18,27.94,72.55,3.13,97.5,44.61,92.46,13.38,50.88,25.11,41.46,0.01,0.16,0.08,0.0,0.0,0.0,0.0,9.86,59.52,1.88,25.0,0.31,25.0,0.23,0.31,14.24,70.88,91.8,24.81,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,3.52,0.08,0.0,0.0,0.0,0,0.0
M. Engedi,Márk Engedi,-323282,Karcagi SE,Karcagi SE,https://cdn5.wyscout.com/photos/team/public/g5100_120x120.png,NB II,GK,GK,100,,0,,0,19.0,2006-09-07,0,2027-06-30,12,1146,0,0.0,0,0.0,0.16,100.0,Hungary,['Hungary'],right,188,89,False,1.18,0.0,0.0,0.08,100.0,0.0,0.0,0.0,1.18,1.48,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,13.82,0.08,0.08,22.77,80.34,11.62,63.51,0.0,0.0,15.0,96.34,7.77,49.49,33.26,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,33.33,0.47000000000000003,0.0,0.47000000000000003,16.67,0.0,0.0,5.8100000000000005,60.81,98.5,10.45,15,1.18,46,3.61,5,67.39,14.63,1.15,-0.37,-0.029,0.0,1.1,0.08,,,,0.0,0,0.0
