Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Borak,Andrej Borak,-339704,Boston College Eagles,Boston College Eagles,https://cdn5.wyscout.com/photos/team/public/g-2791_120x120.png,NCAA D1 Atlantic Coast,GK,GK,100,,0,,0,20.0,2005-07-24,0,,7,771,0,0.0,0,0.0,1.17,80.0,Serbia,['Serbia'],,196,83,False,1.28,0.12,0.0,1.05,88.89,0.12,0.15,0.0,1.17,1.52,0.12,3,0.35000000000000003,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.12,0.23,14.59,84.0,6.54,66.07,0.0,0.0,9.34,95.0,5.25,64.44,31.79,38.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,50.0,0.12,0.0,0.0,0.0,0.0,0.0,3.62,74.19,98.46,7.59,11,1.28,43,5.02,2,74.42,12.24,1.43,1.24,0.145,0.0,3.62,1.05,,,,0.0,0,0
F. Henze,Fynn Henze,-200239,Boston College Eagles,Boston College Eagles,https://cdn5.wyscout.com/photos/team/public/g-2791_120x120.png,NCAA D1 Atlantic Coast,"RB, RCB3, RB5",RB,39,RCB3,38,RB5,18,21.0,2004-01-06,0,,7,771,0,0.0,0,0.28,8.64,54.05,Germany,['Germany'],right,188,86,False,7.47,3.9699999999999998,61.76,2.45,23.81,0.58,0.76,0.47000000000000003,4.44,5.79,0.47000000000000003,0,0.0,0,0.0,1.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.17,50.0,0.0,0.0,1.05,44.44,0.12,0.47000000000000003,100.0,1.52,76.92,0.23,0.8200000000000001,0.0,19.61,1.63,1.17,29.18,75.6,12.72,59.63,4.44,97.37,19.38,85.54,8.75,57.33,25.03,39.82,0.03,0.35000000000000003,0.0,0.0,0.0,0.0,0.12,5.84,64.0,1.87,50.0,0.47000000000000003,50.0,0.47000000000000003,0.58,8.52,75.34,85.06,10.16,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,2.45,0.12,0.0,0.0,0.12,0,0
O. Ogunleye,Olayinka Ogunleye,-608770,Louisville Cardinals,Louisville Cardinals,https://cdn5.wyscout.com/photos/team/public/g27620_120x120.png,NCAA D1 Atlantic Coast,"LB, LCB",LB,80,LCB,19,,0,,,0,,7,752,0,0.28,0,0.32,17.83,56.38,United States,['United States'],unknown,193,86,False,9.57,7.42,64.52,4.67,69.23,0.48,0.55,0.24,4.31,4.98,1.56,2,0.24,0,0.0,0.72,0.0,0,0.0,0.03,0,0.0,1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,85.71,4.19,34.29,0.12,0.24,0.0,25.37,0.36,0.84,37.94,83.6,16.52,69.57,4.07,94.12,33.51,92.14,4.43,18.92,20.64,41.95,0.04,0.24,0.0,0.0,0.0,0.0,0.12,4.19,54.29,0.48,50.0,0.12,0.0,0.24,0.0,6.82,57.89,96.52,13.76,0,,0,,0,0.0,0.0,0.0,,,0.72,,4.67,0.0,0.0,0.0,0.0,0,0
N. De Blasis,Noah De Blasis,-593423,Louisville Cardinals,Louisville Cardinals,https://cdn5.wyscout.com/photos/team/public/g27620_120x120.png,NCAA D1 Atlantic Coast,"LCB, RCB",LCB,80,RCB,15,,0,,,0,,7,752,0,0.35000000000000003,0,0.32,11.49,62.5,Canada,['Canada'],,190,85,False,7.66,4.07,70.59,4.31,52.78,0.6000000000000001,0.6900000000000001,1.56,4.19,4.84,0.36,2,0.24,0,0.0,0.36,0.0,0,0.0,0.04,0,0.0,4,0.48,25.0,0.0,0.0,0.24,50.0,0.12,100.0,0.12,0.0,0.0,0.36,33.33,1.56,53.85,1.44,0.12,0.12,30.16,0.36,0.72,45.24,83.07,16.52,63.04,2.03,94.12,33.39,90.68,11.61,61.86,26.34,40.93,0.04,0.24,0.0,0.0,0.0,0.0,0.12,6.58,69.09,0.48,25.0,0.12,0.0,0.24,0.12,10.53,68.18,95.07,24.3,0,,0,,0,0.0,0.0,0.0,,,0.96,,4.31,0.0,0.0,0.0,0.0,0,0
A. Svetanoff,Alex Svetanoff,-256176,Louisville Cardinals,Louisville Cardinals,https://cdn5.wyscout.com/photos/team/public/g27620_120x120.png,NCAA D1 Atlantic Coast,GK,GK,100,,0,,0,22.0,2003-04-02,0,,7,752,0,0.0,0,0.0,1.44,66.67,North Macedonia,"['North Macedonia', 'United States']",right,188,87,False,1.56,0.0,0.0,0.96,87.5,0.0,0.0,0.0,1.56,1.8,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.36,33.33,0.0,0.0,0.0,7.66,0.0,0.12,16.99,80.28,10.05,70.24,0.0,0.0,10.29,96.51,6.7,55.36,32.79,47.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,53.33,0.0,0.0,0.0,0.0,0.0,0.0,5.15,62.79,94.12,6.1,9,1.08,43,5.15,1,79.07,11.34,1.3599999999999999,2.34,0.28,0.0,3.59,0.96,,,,0.0,0,0
J. Burkhardt,Jack Burkhardt,-345013,Boston College Eagles,Boston College Eagles,https://cdn5.wyscout.com/photos/team/public/g-2791_120x120.png,NCAA D1 Atlantic Coast,"LB, LCB3, LB5",LB,36,LCB3,31,LB5,23,20.0,2005-08-25,0,,7,744,1,0.77,0,0.43,12.7,53.33,United States,['United States'],left,0,0,False,8.1,7.86,61.54,2.54,42.86,0.0,0.0,0.36,3.27,4.2,1.21,1,0.12,0,0.0,0.6000000000000001,0.12,0,0.0,0.09,0,0.0,4,0.48,25.0,25.0,0.0,1.69,21.43,1.33,18.18,0.24,0.0,0.24,0.24,50.0,1.45,25.0,0.0,0.85,0.12,28.91,1.33,0.6000000000000001,40.4,70.36,22.38,61.62,3.63,96.67,28.55,82.2,10.28,44.71,22.66,37.99,0.05,0.85,0.0,0.0,0.12,0.0,0.12,7.98,59.09,2.3,36.84,0.36,0.0,0.48,0.6000000000000001,11.25,54.84,81.71,9.92,0,,0,,0,0.0,0.0,0.0,,,0.73,,2.54,1.57,0.0,0.0,0.73,1,100
T. Kahoalii,Tj Kahoalii,-608700,Louisville Cardinals,Louisville Cardinals,https://cdn5.wyscout.com/photos/team/public/g27620_120x120.png,NCAA D1 Atlantic Coast,"LDMF, LCMF",LDMF,65,LCMF,25,,0,,,0,,7,715,0,0.26,0,0.56,15.1,50.83,United States,['United States'],unknown,175,68,False,10.83,7.93,66.67,1.51,41.67,0.25,0.28,0.38,5.29,5.86,1.01,0,0.0,0,0.0,0.76,0.0,0,0.0,0.03,0,0.0,6,0.76,0.0,0.0,0.0,0.63,60.0,0.5,50.0,0.13,100.0,0.25,1.01,37.5,4.15,24.24,0.38,1.26,0.13,14.48,0.25,0.76,28.57,72.69,12.46,59.6,2.77,100.0,25.3,76.62,2.64,38.1,17.42,31.88,0.07,0.25,0.0,0.0,0.0,0.0,0.13,4.66,67.57,1.26,40.0,0.38,33.33,0.25,0.5,6.42,70.59,83.33,8.31,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.51,0.13,0.0,0.0,0.0,0,0
E. Brijbasi,Elijah Brijbasi,-465682,Louisville Cardinals,Louisville Cardinals,https://cdn5.wyscout.com/photos/team/public/g27620_120x120.png,NCAA D1 Atlantic Coast,"AMF, RAMF, RW",AMF,33,RAMF,31,RW,15,,,0,,7,695,0,1.03,0,1.08,11.27,40.23,United States,['United States'],unknown,0,0,False,5.18,3.76,65.52,1.94,20.0,0.13,0.14,0.0,2.59,2.8,0.52,1,0.13,0,0.0,2.46,0.0,0,0.0,0.13,0,0.0,11,1.42,27.27,0.0,0.0,2.07,62.5,1.04,62.5,1.04,62.5,0.0,1.42,54.55,4.14,34.38,1.94,0.78,0.13,14.76,1.04,0.65,23.05,77.53,6.35,55.1,6.86,94.34,19.81,81.05,1.17,44.44,17.16,26.17,0.14,0.91,0.0,0.0,0.0,0.0,0.52,2.98,65.22,2.59,65.0,0.13,0.0,0.65,1.17,4.27,72.73,78.43,6.6,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.94,0.0,0.0,0.0,0.0,0,0
J. Andema,Joseph  Andema,-357087,Clemson Tigers,Clemson Tigers,https://cdn5.wyscout.com/photos/team/public/g27572_120x120.png,NCAA D1 Atlantic Coast,GK,GK,100,,0,,0,,,0,,6,694,0,0.0,0,0.0,0.52,50.0,Ghana,['Ghana'],unknown,0,0,False,2.2,0.0,0.0,0.26,100.0,0.0,0.0,0.0,2.2,2.95,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,6.1,0.0,0.0,13.88,82.24,7.91,75.41,0.0,0.0,7.91,95.08,5.97,65.22,35.31,48.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,63.64,0.0,0.0,0.0,0.0,0.0,0.0,4.54,82.86,91.11,5.84,8,1.04,17,2.2,1,52.94,6.59,0.86,-1.4100000000000001,-0.183,0.0,1.17,0.26,,,,0.0,0,0
Ó. Stephensen,Ólafur Flóki Stephensen,-348446,Clemson Tigers,Clemson Tigers,https://cdn5.wyscout.com/photos/team/public/g27572_120x120.png,NCAA D1 Atlantic Coast,"LCB, LCB3",LCB,84,LCB3,10,,0,21.0,2004-09-29,0,,6,694,0,0.26,0,0.0,13.23,59.8,Iceland,['Iceland'],unknown,0,0,False,9.08,5.97,60.87,5.32,60.98,0.26,0.35000000000000003,0.91,5.19,6.94,1.04,2,0.26,0,0.0,0.13,0.0,0,0.0,0.03,0,0.0,3,0.39,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,33.33,0.39,0.65,0.13,14.27,0.13,0.39,26.46,75.0,12.45,61.46,0.78,83.33,20.75,82.5,5.71,47.73,23.64,38.19,0.0,0.0,0.0,0.0,0.13,0.0,0.0,4.54,60.0,0.78,0.0,0.39,0.0,0.0,0.0,6.74,61.54,88.76,11.54,0,,0,,0,0.0,0.0,0.0,,,0.39,,5.32,0.0,0.0,0.0,0.0,0,0
