Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Dreas,Matthew  Dreas,-349832,Akron Zips,Akron Zips,https://cdn5.wyscout.com/photos/team/public/g-2377_120x120.png,NCAA D1 Big East,DMF,DMF,88,,0,,0,20.0,2005-06-27,0,,6,668,0,0.41000000000000003,0,0.36,20.07,57.05,United States,['United States'],,178,66,False,10.78,6.33,74.47,6.74,50.0,0.4,0.76,0.27,5.66,10.59,1.35,1,0.13,0,0.0,0.27,0.0,0,0.0,0.05,0,0.0,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,3.91,41.38,0.9400000000000001,0.67,0.0,17.78,0.27,1.48,38.26,80.28,15.9,70.34,5.39,90.0,33.95,84.52,4.31,46.88,18.36,31.92,0.05,0.4,0.0,0.0,0.13,100.0,0.27,6.74,60.0,1.08,37.5,0.67,40.0,0.81,0.0,7.54,67.86,90.7,11.59,0,,0,,0,0.0,0.0,0.0,,,1.08,,6.74,0.0,0.0,0.0,0.0,0,0
M. Budler,Mitchell Budler,-190937,Akron Zips,Akron Zips,https://cdn5.wyscout.com/photos/team/public/g-2377_120x120.png,NCAA D1 Big East,GK,GK,100,,0,,0,22.0,2003-01-03,0,,6,668,0,0.0,0,0.0,1.08,100.0,United States,['United States'],right,193,90,False,1.62,0.0,0.0,0.9400000000000001,100.0,0.0,0.0,0.0,1.62,3.03,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,18.59,0.4,0.27,28.16,88.04,13.47,78.0,0.13,100.0,17.25,98.44,10.91,71.6,30.81,44.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,57.89,0.0,0.0,0.0,0.0,0.0,0.0,7.28,74.07,97.06,13.74,9,1.21,23,3.1,1,60.87,5.79,0.78,-3.21,-0.432,0.13,2.16,0.9400000000000001,,,,0.0,0,0
A. Resch,Agustin  Resch,-604566,Seton Hall Pirates,Seton Hall Pirates,https://cdn5.wyscout.com/photos/team/public/g-2884_120x120.png,NCAA D1 Big East,RCB,RCB,100,,0,,0,,,0,,6,668,1,1.09,1,0.42,18.19,59.26,Argentina,['Argentina'],unknown,0,0,False,11.99,6.06,71.11,8.49,55.56,0.27,0.31,0.9400000000000001,7.41,8.42,1.35,0,0.0,0,0.0,0.54,0.13,1,0.13,0.15,1,0.13,4,0.54,50.0,25.0,0.13,0.4,33.33,0.0,0.0,0.4,33.33,0.0,0.27,50.0,1.8900000000000001,64.29,1.35,0.0,0.0,17.51,0.4,1.21,35.3,69.47,18.19,54.81,1.75,92.31,23.17,83.14,11.72,43.68,27.44,43.75,0.06,0.4,0.13,0.0,0.0,0.0,0.27,6.47,41.67,0.81,0.0,0.81,16.67,0.13,0.13,9.7,59.72,88.12,13.61,0,,0,,0,0.0,0.0,0.0,,,1.62,,8.49,0.0,0.0,0.0,0.0,0,0
M. Molina,Matias  Molina,-361805,Seton Hall Pirates,Seton Hall Pirates,https://cdn5.wyscout.com/photos/team/public/g-2884_120x120.png,NCAA D1 Big East,GK,GK,100,,0,,0,24.0,2001-01-15,0,,6,668,0,0.0,0,0.0,0.67,80.0,Argentina,['Argentina'],unknown,178,0,False,1.08,0.13,100.0,0.4,100.0,0.0,0.0,0.0,0.9400000000000001,1.07,0.13,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,11.72,0.0,0.13,17.78,82.58,8.22,67.21,0.0,0.0,8.89,100.0,8.89,65.15,33.86,45.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,60.0,0.0,0.0,0.13,0.0,0.0,0.0,4.85,72.22,95.59,9.16,2,0.27,21,2.83,4,90.48,3.89,0.52,1.8900000000000001,0.255,0.0,1.62,0.4,,,,0.0,0,0
L. Guske,Liam Guske,-331454,Seton Hall Pirates,Seton Hall Pirates,https://cdn5.wyscout.com/photos/team/public/g-2884_120x120.png,NCAA D1 Big East,"LB, LCB",LB,66,LCB,33,,0,21.0,2004-03-24,0,,6,668,0,0.18,0,0.0,15.09,59.82,United States,['United States'],unknown,180,0,False,9.7,7.41,74.55,4.45,54.55,0.0,0.0,0.54,4.18,4.74,0.67,1,0.13,0,0.0,0.4,0.0,0,0.0,0.02,0,0.0,2,0.27,100.0,0.0,0.0,0.54,0.0,0.54,0.0,0.0,0.0,0.13,0.13,100.0,1.48,54.55,0.13,0.0,0.0,22.77,2.02,0.9400000000000001,34.9,79.54,15.49,73.91,3.91,93.1,27.75,85.92,6.6,59.18,21.4,33.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,65.38,0.54,25.0,0.27,50.0,0.0,0.0,8.35,61.29,86.46,12.93,0,,0,,0,0.0,0.0,0.0,,,1.21,,4.45,0.0,0.0,0.0,0.0,0,0
K. Durham,Kyle Durham,-563562,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,GK,GK,100,,0,,0,20.0,2005-10-19,0,,6,663,0,0.0,0,0.0,1.09,87.5,United States,['United States'],unknown,193,0,False,2.17,0.14,100.0,0.81,83.33,0.0,0.0,0.0,2.04,3.1,0.14,0,0.0,0,0.0,0.14,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.14,100.0,0.0,0.0,0.0,7.6,0.0,0.27,15.34,80.53,8.28,68.85,0.0,0.0,9.1,94.03,6.24,60.87,33.65,44.34,0.0,0.0,0.14,0.14,0.0,0.0,0.0,1.22,66.67,0.14,0.0,0.0,0.0,0.0,0.0,4.62,61.76,93.62,6.38,7,0.9500000000000001,38,5.16,3,81.58,9.92,1.35,2.92,0.396,0.0,1.22,0.81,,,,0.0,0,0
A. Lajhar,Ayoub Lajhar,-468816,UCONN Huskies,UCONN Huskies,https://cdn5.wyscout.com/photos/team/public/g-2779_120x120.png,NCAA D1 Big East,LB,LB,98,,0,,0,,,0,,6,663,1,0.08,1,0.54,18.87,58.99,Libya,['Libya'],unknown,183,76,False,9.37,8.14,60.0,2.31,58.82,0.41000000000000003,0.62,0.0,4.07,6.21,1.09,0,0.0,0,0.0,2.99,0.14,1,0.14,0.01,0,0.0,2,0.27,50.0,50.0,0.14,3.8,17.86,3.8,17.86,0.0,0.0,0.41000000000000003,3.12,69.57,6.65,53.06,1.63,2.85,0.9500000000000001,19.41,2.31,0.41000000000000003,31.76,60.26,14.25,54.29,3.39,92.0,23.48,73.41,4.75,28.57,21.54,37.92,0.07,0.27,0.0,0.0,0.0,0.0,0.14,4.07,53.33,2.58,31.58,0.14,0.0,0.41000000000000003,0.54,9.23,54.41,66.67,8.14,0,,0,,0,0.0,0.0,0.0,,,0.27,,2.31,0.27,0.0,0.0,0.0,0,0
T. Kauschke,Til Valentin Kauschke,-199956,Seton Hall Pirates,Seton Hall Pirates,https://cdn5.wyscout.com/photos/team/public/g-2884_120x120.png,NCAA D1 Big East,AMF,AMF,93,,0,,0,21.0,2004-07-16,0,,6,662,1,1.29,0,0.12,27.46,36.14,Germany,['Germany'],unknown,0,0,False,8.7,8.7,50.0,4.76,31.43,0.68,0.78,0.0,3.67,4.2,2.04,2,0.27,0,0.0,1.3599999999999999,0.14,0,0.0,0.18,0,0.0,10,1.3599999999999999,30.0,10.0,0.0,0.68,0.0,0.68,0.0,0.0,0.0,0.14,2.7199999999999998,35.0,9.24,22.06,0.68,1.3599999999999999,0.54,21.34,1.5,0.9500000000000001,30.45,79.91,10.47,70.13,6.53,91.67,27.19,84.0,2.58,57.89,17.21,35.85,0.02,0.41000000000000003,0.0,0.0,0.0,0.0,0.14,5.71,64.29,0.8200000000000001,0.0,0.41000000000000003,0.0,0.27,0.0,4.49,78.79,84.0,6.8,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.76,0.0,0.0,0.0,0.0,1,100
A. Porucznik,Andrew Porucznik,-738076,St John's Red Storm,St John's Red Storm,https://cdn5.wyscout.com/photos/team/public/g-2357_120x120.png,NCAA D1 Big East,"RCMF3, AMF, CF",RCMF3,33,AMF,24,CF,17,,,0,,6,658,1,0.36,0,0.61,17.64,50.39,United States,['United States'],unknown,172,70,False,6.7,5.33,66.67,3.42,20.0,0.0,0.0,0.0,3.15,4.54,0.68,0,0.0,0,0.0,2.87,0.14,1,0.14,0.05,0,0.0,7,0.96,14.29,14.286,0.0,1.9100000000000001,42.86,0.0,0.0,1.9100000000000001,42.86,0.27,2.46,77.78,6.98,58.82,1.78,1.6400000000000001,0.0,13.81,0.68,1.9100000000000001,25.71,79.26,6.98,56.86,5.88,97.67,22.71,83.13,1.23,55.56,15.71,29.18,0.08,0.96,0.0,0.0,0.0,0.0,0.14,3.2800000000000002,58.33,2.19,62.5,0.0,0.0,0.8200000000000001,0.96,3.56,84.62,82.14,7.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.42,0.0,0.0,0.0,0.0,0,0
I. Nå Aga.,Ivar Nå Aga.,-633151,St John's Red Storm,St John's Red Storm,https://cdn5.wyscout.com/photos/team/public/g-2357_120x120.png,NCAA D1 Big East,"RCB, RCB3, RWB",RCB,48,RCB3,24,RWB,17,,,0,,6,658,1,0.81,1,0.13,21.61,62.03,Norway,['Norway'],unknown,188,79,False,12.04,7.93,72.41,6.84,56.0,0.8200000000000001,1.18,0.0,5.47,7.89,0.68,1,0.14,0,0.0,1.23,0.14,1,0.14,0.11,1,0.14,3,0.41000000000000003,33.33,33.333,0.14,1.6400000000000001,33.33,0.0,0.0,1.6400000000000001,33.33,0.41000000000000003,0.8200000000000001,66.67,3.83,57.14,0.8200000000000001,1.09,0.14,26.26,0.8200000000000001,1.23,43.91,75.7,22.16,67.9,3.9699999999999998,89.66,33.1,85.12,9.3,48.53,22.71,38.98,0.02,0.55,0.0,0.0,0.0,0.0,0.0,12.72,65.59,3.69,33.33,1.23,33.33,0.68,0.55,11.9,75.86,82.35,13.95,0,,0,,0,0.0,0.0,0.0,,,1.23,,6.84,0.0,0.0,0.0,0.0,0,0
