Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Z. Kelly,Zac Kelly,-274994,Michigan State Spartans,Michigan State Spartans,https://cdn5.wyscout.com/photos/team/public/g-2838_120x120.png,NCAA D1 Big Ten,GK,GK,100,,0,,0,,,0,,4,433,0,0.0,0,0.0,2.08,100.0,United States,['United States'],unknown,182,84,False,1.87,0.0,0.0,1.45,100.0,0.21,0.26,0.0,1.6600000000000001,2.09,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,100.0,0.0,0.0,0.0,13.72,0.0,1.04,23.7,79.82,13.3,65.63,0.0,0.0,12.26,94.92,11.43,63.64,37.79,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,47.37,0.0,0.0,0.0,0.0,0.0,0.0,8.94,76.74,97.87,9.77,6,1.25,20,4.16,1,70.0,4.42,0.92,-1.58,-0.328,0.0,2.91,1.45,,,,0.0,0,0
A.  Barger,Alex  Barger,-468786,Indiana Hoosiers,Indiana Hoosiers,https://cdn5.wyscout.com/photos/team/public/g-2824_120x120.png,NCAA D1 Big Ten,LB,LB,95,,0,,0,,,0,,4,428,1,0.19,1,1.09,11.36,51.85,United States,['United States'],unknown,175,70,False,5.26,2.73,61.54,2.52,41.67,0.0,0.0,0.42,3.5700000000000003,5.86,0.21,0,0.0,0,0.0,5.05,0.21,1,0.21,0.04,0,0.0,4,0.84,75.0,25.0,0.21,6.31,43.33,5.89,46.43,0.42,0.0,1.05,2.31,72.73,4.63,50.0,1.05,1.8900000000000001,0.0,38.48,3.36,1.05,51.1,79.42,22.08,75.24,8.41,95.0,37.01,89.77,8.62,56.1,21.85,34.79,0.23,1.6800000000000002,0.0,0.0,0.0,0.0,0.84,9.46,75.56,5.26,52.0,0.21,0.0,0.21,2.52,14.72,82.86,77.94,14.3,0,,0,,0,0.0,0.0,0.0,,,0.21,,2.52,0.21,0.0,0.0,2.73,0,0
B. Minzey,Breckin Minzey,-357221,Indiana Hoosiers,Indiana Hoosiers,https://cdn5.wyscout.com/photos/team/public/g-2824_120x120.png,NCAA D1 Big Ten,RCB,RCB,95,,0,,0,,,0,,4,428,0,0.53,0,0.0,9.67,60.87,United States,['United States'],unknown,180,64,False,7.36,3.79,77.78,1.8900000000000001,44.44,0.84,1.38,0.21,3.5700000000000003,5.86,0.21,0,0.0,0,0.0,1.26,0.0,0,0.0,0.11,0,0.0,2,0.42,100.0,0.0,0.0,0.42,100.0,0.0,0.0,0.21,100.0,0.0,0.84,50.0,2.94,57.14,1.05,0.21,0.0,43.32,0.0,1.05,65.19,90.0,24.39,81.9,2.73,100.0,58.46,95.32,6.31,40.0,22.57,35.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15,70.59,0.63,33.33,0.21,0.0,0.0,0.42,10.93,75.0,96.39,34.91,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,1.8900000000000001,0.0,0.0,0.0,0.0,0,0
P. Ault,Palmer Ault,-327943,Indiana Hoosiers,Indiana Hoosiers,https://cdn5.wyscout.com/photos/team/public/g-2824_120x120.png,NCAA D1 Big Ten,"AMF, RAMF, CF",AMF,53,RAMF,24,CF,17,21.0,2004-04-19,0,,4,428,4,2.89,1,0.48,18.5,48.86,United States,['United States'],unknown,177,72,False,6.31,3.15,80.0,4.21,25.0,0.0,0.0,0.0,3.79,6.21,0.42,0,0.0,0,0.0,4.0,0.84,4,0.84,0.61,0,0.0,14,2.94,50.0,28.571,0.21,1.6800000000000002,25.0,1.05,20.0,0.63,33.33,0.0,3.5700000000000003,58.82,9.25,52.27,4.0,2.73,0.42,21.87,2.31,1.47,30.28,70.14,9.46,62.22,7.15,73.53,27.34,74.62,1.47,42.86,15.51,42.01,0.1,1.26,0.0,0.0,0.0,0.0,0.0,4.21,75.0,1.26,83.33,0.0,0.0,1.05,0.21,4.42,71.43,77.14,7.36,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.21,0.42,0.21,0.0,3.79,1,0
J. Wagoner,Jack Wagoner,-170003,Indiana Hoosiers,Indiana Hoosiers,https://cdn5.wyscout.com/photos/team/public/g-2824_120x120.png,NCAA D1 Big Ten,"RDMF, LDMF",RDMF,61,LDMF,34,,0,21.0,2004-03-28,0,,4,428,1,0.76,0,0.07,19.98,51.58,United States,['United States'],,178,72,False,8.2,8.2,58.97,4.0,57.89,0.42,0.6900000000000001,0.0,2.94,4.83,1.26,1,0.21,0,0.0,1.05,0.21,0,0.0,0.16,0,0.0,1,0.21,100.0,100.0,0.0,0.63,33.33,0.0,0.0,0.63,33.33,0.0,1.05,60.0,5.47,50.0,0.63,0.84,0.0,29.65,0.21,2.52,46.47,82.35,13.04,64.52,4.84,95.65,39.53,87.23,6.52,54.84,19.17,34.77,0.02,0.21,0.0,0.0,0.0,0.0,0.0,8.83,76.19,1.05,40.0,0.0,0.0,0.63,0.21,6.1,79.31,90.2,21.45,0,,0,,0,0.0,0.0,0.0,,,0.42,,4.0,0.0,0.0,0.0,0.0,1,100
H. Brown,Holden Brown,-150078,Indiana Hoosiers,Indiana Hoosiers,https://cdn5.wyscout.com/photos/team/public/g-2824_120x120.png,NCAA D1 Big Ten,GK,GK,100,,0,,0,23.0,2001-12-10,0,,4,428,0,0.0,0,0.0,0.21,0.0,United States,['United States'],,195,86,False,0.42,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.6900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.51,0.42,0.0,21.45,92.16,7.57,77.78,0.0,0.0,17.24,98.78,4.21,65.0,25.51,42.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,66.67,0.0,0.0,0.0,0.0,0.0,0.0,2.73,76.92,100.0,12.83,7,1.47,16,3.36,0,56.25,7.15,1.5,0.15,0.032,0.0,0.84,0.0,,,,0.0,0,0
R. Ludwig,Richie Ludwig,-469023,Michigan State Spartans,Michigan State Spartans,https://cdn5.wyscout.com/photos/team/public/g-2838_120x120.png,NCAA D1 Big Ten,"RAMF, RW",RAMF,56,RW,43,,0,,,0,,4,423,2,0.9500000000000001,0,0.24,14.26,38.81,United States,['United States'],unknown,0,0,False,6.6,6.38,53.33,3.4,25.0,0.21,0.27,0.0,2.98,3.75,1.7000000000000002,0,0.0,0,0.0,1.7000000000000002,0.43,2,0.43,0.2,0,0.0,10,2.13,30.0,20.0,0.0,1.06,60.0,0.0,0.0,1.06,60.0,0.21,1.06,40.0,3.62,23.53,1.7000000000000002,0.85,0.0,15.11,2.13,0.21,23.19,65.14,8.09,44.74,4.04,89.47,20.0,69.15,2.13,30.0,18.19,39.55,0.05,1.06,0.0,0.21,0.0,0.0,0.21,3.19,33.33,0.64,100.0,0.43,0.0,0.21,0.64,4.04,73.68,76.67,6.38,0,,0,,0,0.0,0.0,0.0,,,0.21,,3.4,0.0,0.0,0.0,0.85,0,0
J. Maher,Josh Maher,-331316,Indiana Hoosiers,Indiana Hoosiers,https://cdn5.wyscout.com/photos/team/public/g-2824_120x120.png,NCAA D1 Big Ten,LCB,LCB,95,,0,,0,20.0,2005-09-07,0,,4,419,1,0.21,0,0.0,7.3,67.65,United States,['United States'],unknown,190,81,False,6.01,2.36,81.82,3.65,58.82,0.0,0.0,0.21,4.08,6.63,0.21,0,0.0,0,0.0,0.21,0.21,1,0.21,0.04,1,0.21,2,0.43,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,66.67,0.43,0.86,0.0,53.48,0.21,0.64,72.6,91.42,24.49,82.46,1.9300000000000002,100.0,62.29,95.52,10.31,66.67,23.52,38.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67,77.78,0.64,0.0,0.64,0.0,0.0,0.0,9.88,80.43,96.94,42.1,0,,0,,0,0.0,0.0,0.0,,,1.5,,3.65,0.0,0.0,0.0,0.0,0,0
M. Merritt,Miles Merritt,-476459,Michigan State Spartans,Michigan State Spartans,https://cdn5.wyscout.com/photos/team/public/g-2838_120x120.png,NCAA D1 Big Ten,"RCMF, RDMF, AMF",RCMF,47,RDMF,31,AMF,11,,,0,,4,414,1,0.76,0,0.30000000000000004,20.43,59.57,United States,['United States'],unknown,178,0,False,13.04,9.78,62.22,3.91,55.56,0.22,0.26,0.65,6.74,8.09,1.52,2,0.43,0,0.0,0.65,0.22,0,0.0,0.17,0,0.0,2,0.43,50.0,50.0,0.0,0.43,0.0,0.22,0.0,0.22,0.0,0.22,0.65,66.67,4.57,47.62,0.0,0.22,0.0,22.39,0.22,1.52,38.48,78.53,14.78,66.18,5.43,92.0,30.22,86.33,7.83,52.78,22.3,41.85,0.06,0.87,0.0,0.0,0.22,0.0,0.22,8.48,66.67,2.17,40.0,1.3,50.0,0.65,0.0,9.35,65.12,85.94,13.91,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.91,3.04,0.0,0.0,1.96,1,100
J. Spadafora,Jake  Spadafora,-355527,Michigan State Spartans,Michigan State Spartans,https://cdn5.wyscout.com/photos/team/public/g-2838_120x120.png,NCAA D1 Big Ten,RB,RB,91,,0,,0,,,0,,4,411,0,0.07,0,0.01,16.2,56.76,United States,['United States'],unknown,180,77,False,9.64,7.88,61.11,1.97,44.44,0.0,0.0,0.0,4.82,6.06,0.44,0,0.0,0,0.0,1.53,0.0,0,0.0,0.02,0,0.0,5,1.09,20.0,0.0,0.0,0.66,0.0,0.0,0.0,0.66,0.0,0.22,1.75,75.0,4.82,63.64,0.44,2.85,0.66,15.11,0.88,0.88,26.28,67.5,13.36,47.54,4.6,95.24,19.27,81.82,6.35,31.03,21.35,39.5,0.0,0.22,0.0,0.0,0.0,0.0,0.22,7.45,55.88,1.53,14.29,0.88,25.0,0.44,0.0,5.69,61.54,79.17,5.26,0,,0,,0,0.0,0.0,0.0,,,0.66,,1.97,0.0,0.0,0.0,0.0,0,0
