Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Garcia,Raul Garcia,-487586,Monmouth Hawks,Monmouth Hawks,https://cdn5.wyscout.com/photos/team/public/g-2982_120x120.png,NCAA D1 Coastal Athletic Association,LB,LB,89,,0,,0,,,0,,8,860,1,0.28,1,0.43,20.41,54.36,United States,['United States'],unknown,173,63,False,10.57,8.58,56.1,4.08,56.41,0.21,0.26,0.21,5.55,6.77,1.05,2,0.21,0,0.0,1.57,0.1,1,0.1,0.03,0,0.0,5,0.52,20.0,20.0,0.1,1.99,26.32,1.78,29.41,0.21,0.0,0.21,1.78,52.94,5.97,49.12,0.42,1.47,1.26,20.51,0.42,2.3,34.53,70.61,15.59,65.1,3.45,78.79,29.83,76.84,2.7199999999999998,34.62,18.36,37.95,0.04,0.63,0.21,0.0,0.1,0.0,0.1,5.34,66.67,2.7199999999999998,46.15,0.31,33.33,0.63,0.63,7.43,61.97,79.0,10.47,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.08,0.42,0.0,0.0,0.1,0,0
S. Cadigan,Sean Cadigan,-599981,Monmouth Hawks,Monmouth Hawks,https://cdn5.wyscout.com/photos/team/public/g-2982_120x120.png,NCAA D1 Coastal Athletic Association,"RCB, RDMF, RCMF",RCB,54,RDMF,24,RCMF,12,,,0,,8,847,0,0.1,0,0.08,11.79,54.95,United States,['United States'],unknown,156,86,False,6.69,4.57,67.44,2.55,41.67,0.11,0.13,0.53,3.51,4.27,0.85,1,0.11,0,0.0,0.32,0.0,0,0.0,0.01,0,0.0,3,0.32,0.0,0.0,0.0,0.53,20.0,0.11,100.0,0.43,0.0,0.11,0.53,40.0,3.08,44.83,0.32,0.43,0.0,17.53,0.11,0.64,28.37,76.03,10.73,57.43,3.83,97.22,22.95,85.19,4.89,39.13,21.72,36.26,0.01,0.32,0.0,0.0,0.0,0.0,0.0,3.61,35.29,1.06,20.0,0.11,0.0,0.11,0.11,4.46,52.38,88.07,11.58,0,,0,,0,0.0,0.0,0.0,,,0.85,,2.55,0.0,0.0,0.0,0.0,0,0
J. Friedman,Jakob Friedman,-600011,Monmouth Hawks,Monmouth Hawks,https://cdn5.wyscout.com/photos/team/public/g-2982_120x120.png,NCAA D1 Coastal Athletic Association,"RW, RAMF",RW,55,RAMF,37,,0,,,0,,8,831,3,1.19,2,1.1400000000000001,23.94,45.25,United States,['United States'],unknown,177,0,False,6.61,4.66,69.77,2.17,40.0,0.11,0.13,0.32,3.25,3.91,0.22,1,0.11,0,0.0,4.87,0.32,3,0.32,0.13,1,0.11,18,1.9500000000000002,44.44,16.667,0.22,2.6,25.0,0.22,0.0,2.27,28.57,0.32,6.17,52.63,14.84,39.42,2.49,5.31,1.08,17.11,0.87,1.8399999999999999,26.21,74.79,5.63,53.85,7.36,94.12,21.44,84.34,2.27,38.1,17.27,31.2,0.12,0.54,0.11,0.0,0.11,100.0,0.43,2.6,45.83,1.9500000000000002,44.44,0.43,75.0,0.65,0.65,3.36,80.65,75.32,8.34,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.17,1.3,0.11,100.0,1.3,0,0
P. Osiecki,Patrick Osiecki,-352207,Monmouth Hawks,Monmouth Hawks,https://cdn5.wyscout.com/photos/team/public/g-2982_120x120.png,NCAA D1 Coastal Athletic Association,"LCMF, LDMF, LCMF3",LCMF,36,LDMF,26,LCMF3,12,,,0,,8,810,1,1.02,2,0.46,16.78,50.99,United States,['United States'],unknown,177,74,False,8.22,6.0,59.26,2.11,36.84,0.0,0.0,0.33,4.67,5.65,0.78,0,0.0,0,0.0,1.8900000000000001,0.11,1,0.11,0.11,0,0.0,11,1.22,27.27,9.091,0.22,1.44,23.08,0.56,40.0,0.89,12.5,0.0,1.78,68.75,6.44,48.28,0.89,0.78,0.11,17.11,0.33,0.78,29.0,77.01,6.67,61.67,5.33,89.58,25.33,82.89,2.33,42.86,19.31,40.91,0.05,0.67,0.0,0.0,0.0,0.0,0.22,2.67,62.5,1.33,33.33,0.0,0.0,0.44,0.44,3.7800000000000002,47.06,80.7,12.67,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.11,0.33,0.0,0.0,0.33,0,0
D. Taraska,Damian Taraska,-738319,Monmouth Hawks,Monmouth Hawks,https://cdn5.wyscout.com/photos/team/public/g-2982_120x120.png,NCAA D1 Coastal Athletic Association,LCB,LCB,91,,0,,0,,,0,,8,758,0,0.4,0,0.09,14.84,56.8,United States,['United States'],unknown,195,88,False,10.8,4.04,61.76,5.58,53.19,0.24,0.28,1.07,8.07,9.53,1.19,0,0.0,1,0.12,0.59,0.0,0,0.0,0.05,0,0.0,4,0.47000000000000003,50.0,0.0,0.0,0.24,50.0,0.12,100.0,0.12,0.0,0.12,0.36,66.67,3.21,59.26,1.07,0.8300000000000001,0.0,19.83,0.47000000000000003,1.9,34.08,78.05,15.55,61.83,1.78,100.0,27.43,87.45,6.41,38.89,23.43,38.3,0.01,0.12,0.0,0.0,0.0,0.0,0.0,4.16,51.43,0.12,100.0,0.12,0.0,0.24,0.12,8.79,62.16,92.24,13.77,0,,0,,0,0.0,0.0,0.0,,,1.31,,5.58,0.0,0.0,0.0,0.0,0,0
N. Wilson,Nicholas Wilson,-359944,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,RCB,RCB,100,,0,,0,,,0,,7,753,0,0.44,1,0.21,11.59,64.95,United States,['United States'],unknown,0,0,False,10.04,4.54,78.95,4.06,47.06,0.36,0.42,0.96,6.1,7.12,0.48,0,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0.05,0,0.0,3,0.36,33.33,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,100.0,0.96,75.0,0.6000000000000001,0.96,0.0,19.84,0.36,0.72,34.42,79.51,20.44,71.35,1.2,90.0,25.46,87.79,8.96,56.0,24.77,38.57,0.03,0.12,0.0,0.0,0.0,0.0,0.12,7.53,68.25,0.72,33.33,0.6000000000000001,60.0,0.24,0.0,9.92,72.29,97.7,10.4,0,,0,,0,0.0,0.0,0.0,,,0.72,,4.06,0.0,0.0,0.0,0.0,0,0
J. Orson,Jamie Orson,-278021,Stony Brook Seawolves,Stony Brook Seawolves,https://cdn5.wyscout.com/photos/team/public/g-3002_120x120.png,NCAA D1 Coastal Athletic Association,LCB,LCB,100,,0,,0,,,0,,7,753,2,0.48,0,0.0,10.52,73.86,United States,['United States'],unknown,190,84,False,6.1,1.9100000000000001,93.75,4.9,68.29,0.24,0.28,0.6000000000000001,4.06,4.74,0.24,1,0.12,0,0.0,0.36,0.24,2,0.24,0.06,2,0.24,4,0.48,75.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.43,58.33,0.84,0.12,0.0,17.21,0.24,1.9100000000000001,28.09,82.55,12.43,74.04,0.72,100.0,20.92,89.71,7.17,61.67,23.99,37.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,62.5,0.12,0.0,0.12,0.0,0.12,0.0,7.65,67.19,90.09,13.27,0,,0,,0,0.0,0.0,0.0,,,0.48,,4.9,0.0,0.0,0.0,0.0,0,0
J. Leavitt,Jackson Leavitt,-275165,Elon Phoenix,Elon Phoenix,https://cdn5.wyscout.com/photos/team/public/g-2916_120x120.png,NCAA D1 Coastal Athletic Association,GK,GK,100,,0,,0,22.0,2003-03-23,0,,7,743,0,0.0,0,0.0,0.12,100.0,United States,['United States'],unknown,183,77,False,1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,2.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.23,0.12,0.0,21.68,84.92,8.36,66.67,0.0,0.0,16.96,96.43,4.6,44.74,25.57,46.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,22.22,0.0,0.0,0.0,0.0,0.0,0.0,3.27,51.85,96.7,11.02,4,0.48,21,2.54,4,80.95,5.98,0.72,1.98,0.24,0.0,0.85,0.0,,,,0.0,0,0
M. Camejo,Mateo Camejo,-739127,Drexel Dragons,Drexel Dragons,https://cdn5.wyscout.com/photos/team/public/g-2969_120x120.png,NCAA D1 Coastal Athletic Association,RCB,RCB,100,,0,,0,,,0,,7,732,1,0.35000000000000003,0,0.0,12.17,57.58,United States,['United States'],unknown,0,0,False,7.99,6.39,71.15,3.07,44.0,0.12,0.2,0.61,3.32,5.47,1.97,1,0.12,0,0.0,0.25,0.12,1,0.12,0.04,1,0.12,5,0.61,40.0,20.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.98,62.5,0.61,0.25,0.0,31.97,0.37,0.25,45.86,86.86,20.29,78.18,2.58,95.24,39.1,94.03,6.64,46.3,21.39,41.86,0.0,0.0,0.12,0.0,0.0,0.0,0.0,4.92,57.5,0.25,0.0,0.12,0.0,0.0,0.0,7.75,65.08,95.86,17.83,0,,0,,0,0.0,0.0,0.0,,,1.72,,3.07,0.0,0.0,0.0,0.0,0,0
J. Roberts,Jake Roberts,-408103,Campbell Camels,Campbell Camels,https://cdn5.wyscout.com/photos/team/public/g-2426_120x120.png,NCAA D1 Coastal Athletic Association,"RCB, RCB3",RCB,85,RCB3,14,,0,20.0,2004-12-17,0,,7,730,0,0.12,0,0.0,18.74,63.82,United States,['United States'],unknown,185,80,False,10.6,7.03,66.67,6.78,61.82,0.49,0.62,0.99,5.42,6.84,1.23,1,0.12,0,0.0,0.12,0.0,0,0.0,0.01,0,0.0,1,0.12,0.0,0.0,0.0,0.25,50.0,0.0,0.0,0.25,50.0,0.12,0.0,0.0,2.47,75.0,0.37,0.62,0.0,25.64,0.74,1.97,40.32,80.43,19.97,66.05,3.7,90.0,31.32,91.34,8.75,42.25,22.38,41.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,59.65,0.37,0.0,0.37,0.0,0.0,0.25,9.25,70.67,97.17,13.07,0,,0,,0,0.0,0.0,0.0,,,2.34,,6.78,0.12,0.0,0.0,0.0,0,0
