Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Ternes,Karsten Ternes,-599938,IPFW Mastodons,IPFW Mastodons,https://cdn5.wyscout.com/photos/team/public/g-3029_120x120.png,NCAA D1 Non-conference matches,RCB,RCB,100,,0,,0,,,0,,8,833,0,0.0,1,0.49,11.67,70.37,United States,['United States'],unknown,193,0,False,8.1,4.11,68.42,5.73,77.36,0.11,0.15,0.76,5.19,7.06,0.54,2,0.22,0,0.0,0.11,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.97,44.44,0.76,0.43,0.0,28.85,0.76,0.43,43.54,83.62,17.83,68.48,1.51,100.0,36.41,90.21,7.13,50.0,23.14,41.59,0.05,0.54,0.0,0.11,0.0,0.0,0.11,6.37,52.54,0.65,33.33,0.76,28.57,0.65,0.0,8.32,62.34,96.43,21.18,0,,0,,0,0.0,0.0,0.0,,,0.97,,5.73,0.0,0.0,0.0,0.0,0,0
A. Hollenbach,Andrew Hollenbach,-485759,IPFW Mastodons,IPFW Mastodons,https://cdn5.wyscout.com/photos/team/public/g-3029_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,100,,0,,0,,,0,,8,833,0,0.45,0,0.0,10.8,56.0,United States,['United States'],unknown,193,0,False,7.67,4.32,55.0,2.92,70.37,0.54,0.74,0.43,4.75,6.47,0.32,0,0.0,0,0.0,0.65,0.0,0,0.0,0.05,0,0.0,4,0.43,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,71.43,2.59,37.5,0.43,0.97,0.11,31.01,0.76,0.54,45.7,87.94,18.48,76.02,1.51,100.0,39.0,93.07,6.7,58.06,23.52,43.66,0.0,0.0,0.22,0.0,0.0,0.0,0.0,6.05,60.71,0.32,0.0,0.22,0.0,0.0,0.0,8.97,74.7,95.71,22.69,0,,0,,0,0.0,0.0,0.0,,,1.08,,2.92,0.0,0.0,0.0,0.0,0,0
S. Habibi,Sep Habibi,-359757,IPFW Mastodons,IPFW Mastodons,https://cdn5.wyscout.com/photos/team/public/g-3029_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,8,833,0,0.0,0,0.0,1.19,72.73,United States,['United States'],unknown,188,0,False,2.05,0.32,66.67,0.65,100.0,0.0,0.0,0.0,1.8399999999999999,2.5,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,8.97,0.11,0.65,17.83,87.27,9.29,76.74,0.11,100.0,13.07,98.35,4.75,56.82,28.61,42.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,35.71,0.11,0.0,0.11,100.0,0.0,0.0,3.13,75.86,98.61,7.78,9,0.97,37,4.0,2,75.68,12.27,1.33,3.27,0.353,0.0,1.4,0.65,,,,0.0,0,0
J. Antonio Herrera,Jose Antonio Herrera,-473954,IU Indianapolis,IU Indianapolis,https://cdn5.wyscout.com/photos/team/public/g-3025_120x120.png,NCAA D1 Non-conference matches,"CF, RAMF, RW",CF,64,RAMF,15,RW,14,,,0,,8,825,2,4.96,0,0.43,14.84,30.88,United States,['United States'],unknown,156,66,False,2.62,2.73,28.0,4.25,35.9,0.0,0.0,0.0,1.85,2.2,1.2,1,0.11,0,0.0,2.07,0.22,0,0.0,0.54,0,0.0,27,2.95,25.93,7.407,0.0,0.87,25.0,0.33,33.33,0.44,25.0,0.11,2.51,39.13,6.44,32.2,4.15,0.87,0.0,18.33,2.51,0.65,22.15,78.82,5.5600000000000005,64.71,4.69,93.02,20.29,83.87,0.98,22.22,14.77,17.29,0.05,0.87,0.11,0.0,0.11,100.0,0.22,2.4,68.18,1.96,61.11,0.11,100.0,1.85,0.22,2.95,70.37,80.0,6.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.25,0.0,0.0,0.0,0.0,2,100
J. Thompson-Roberts,Jago  Thompson-Roberts,-473945,IU Indianapolis,IU Indianapolis,https://cdn5.wyscout.com/photos/team/public/g-3025_120x120.png,NCAA D1 Non-conference matches,"LCB, RCB",LCB,75,RCB,24,,0,,,0,,8,825,1,0.71,0,0.0,14.07,62.02,England,['England'],unknown,189,88,False,9.27,4.15,63.16,6.65,68.85,0.0,0.0,0.65,6.65,7.89,1.09,2,0.22,0,0.0,0.33,0.11,1,0.11,0.08,1,0.11,4,0.44,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,1.31,33.33,0.87,0.0,0.0,19.53,0.22,0.11,34.25,77.71,15.05,63.77,1.42,100.0,27.71,87.8,6.55,35.0,23.31,40.67,0.0,0.11,0.0,0.0,0.0,0.0,0.0,4.15,39.47,0.22,0.0,0.11,0.0,0.11,0.0,8.51,52.56,92.03,15.05,0,,0,,0,0.0,0.0,0.0,,,0.98,,6.65,0.0,0.0,0.0,0.0,0,0
B. Horn,Brady Horn,-352307,IU Indianapolis,IU Indianapolis,https://cdn5.wyscout.com/photos/team/public/g-3025_120x120.png,NCAA D1 Non-conference matches,"RCB, LCB",RCB,75,LCB,24,,0,,,0,,8,825,0,0.12,0,0.24,9.16,67.86,United States,['United States'],unknown,186,75,False,7.85,4.15,73.68,3.6,75.76,0.0,0.0,0.65,4.8,5.69,0.44,0,0.0,0,0.0,0.22,0.0,0,0.0,0.01,0,0.0,1,0.11,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,0.22,50.0,0.76,0.0,0.0,23.45,0.11,0.44,38.4,82.1,20.62,72.49,2.18,95.0,31.75,88.66,6.44,49.15,21.86,34.33,0.03,0.33,0.0,0.0,0.0,0.0,0.11,6.98,75.0,0.76,71.43,0.44,50.0,0.44,0.22,10.47,75.0,94.21,13.2,0,,0,,0,0.0,0.0,0.0,,,1.09,,3.6,0.0,0.0,0.0,0.0,0,0
C. Maung-Maung,Cameron Maung-Maung,-274291,IU Indianapolis,IU Indianapolis,https://cdn5.wyscout.com/photos/team/public/g-3025_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,8,825,0,0.0,0,0.0,1.2,81.82,England,['England'],unknown,156,73,False,1.42,0.11,0.0,0.87,87.5,0.0,0.0,0.0,1.42,1.6800000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,6.65,0.11,0.22,14.18,91.54,7.85,84.72,0.0,0.0,9.38,98.84,4.8,77.27,31.44,46.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,91.67,0.0,0.0,0.0,0.0,0.0,0.0,3.71,91.18,100.0,5.67,10,1.09,31,3.38,1,67.74,7.72,0.84,-2.2800000000000002,-0.249,0.0,1.2,0.87,,,,0.0,0,0
R. Kedgley,Roman  Kedgley,-367176,Wright State Raiders,Wright State Raiders,https://cdn5.wyscout.com/photos/team/public/g-2765_120x120.png,NCAA D1 Non-conference matches,"RB, RWB, LWB",RB,41,RWB,23,LWB,12,,,0,,8,823,0,0.98,0,0.91,19.47,58.43,England,['England'],unknown,175,0,False,12.58,9.84,74.44,1.53,35.71,0.22,0.29,0.11,5.03,6.57,1.2,2,0.22,0,0.0,3.2800000000000002,0.0,0,0.0,0.11,0,0.0,5,0.55,20.0,0.0,0.0,4.26,35.9,0.33,66.67,3.94,33.33,0.55,2.52,65.22,5.58,49.02,0.98,4.05,0.55,20.12,2.19,0.98,33.57,66.12,11.7,58.88,6.78,87.1,26.35,72.61,3.2800000000000002,46.67,19.36,35.53,0.1,0.98,0.33,0.0,0.0,0.0,0.44,2.62,79.17,4.59,42.86,0.11,0.0,0.77,1.53,9.08,59.04,64.29,10.72,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.53,0.0,0.0,0.0,0.0,1,0
C. Thompson,Cole Thompson,-600279,Oakland Golden Grizzlies,Oakland Golden Grizzlies,https://cdn5.wyscout.com/photos/team/public/g-2761_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,8,807,0,0.0,0,0.0,0.89,100.0,United States,['United States'],unknown,185,75,False,2.9,0.0,0.0,0.78,100.0,0.0,0.0,0.0,2.9,3.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49,0.11,0.45,18.18,81.6,9.26,68.67,0.0,0.0,12.6,97.35,5.46,46.94,32.44,48.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,26.67,0.0,0.0,0.0,0.0,0.0,0.0,4.01,55.56,96.1,8.59,8,0.89,35,3.9,2,77.14,9.36,1.04,1.3599999999999999,0.152,0.0,1.23,0.78,,,,0.0,0,0
M. Issa,Mohammad Jamal Issa,-600255,Oakland Golden Grizzlies,Oakland Golden Grizzlies,https://cdn5.wyscout.com/photos/team/public/g-2761_120x120.png,NCAA D1 Non-conference matches,"LCB, LCB3",LCB,74,LCB3,21,,0,23.0,2002-02-15,0,,8,807,0,0.07,0,0.07,11.49,59.22,Israel,['Israel'],unknown,170,0,False,9.59,4.68,71.43,3.12,39.29,0.67,0.8300000000000001,0.33,5.58,6.88,1.0,3,0.33,0,0.0,0.22,0.0,0,0.0,0.01,0,0.0,2,0.22,0.0,0.0,0.0,0.56,40.0,0.22,50.0,0.33,33.33,0.0,0.0,0.0,1.56,71.43,0.56,0.56,0.0,27.77,0.22,1.23,43.38,83.8,18.62,73.05,4.01,100.0,35.91,90.99,6.91,50.0,22.01,34.64,0.01,0.22,0.0,0.0,0.0,0.0,0.0,4.8,51.16,0.78,71.43,0.22,50.0,0.33,0.22,8.25,59.46,90.38,17.4,0,,0,,0,0.0,0.0,0.0,,,3.23,,3.12,0.0,0.0,0.0,0.0,0,0
