Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Liebich,Nicholas  Liebich,-352875,Lafayette Leopards,Lafayette Leopards,https://cdn5.wyscout.com/photos/team/public/g-5993_120x120.png,NCAA D1 Non-conference matches,"CB, RCB",CB,70,RCB,19,,0,,,0,,10,1029,1,0.79,0,0.24,15.22,64.94,United States,['United States'],,196,0,False,11.98,5.25,68.33,6.47,70.27,0.26,0.32,0.79,8.13,9.79,1.1400000000000001,0,0.0,0,0.0,0.87,0.09,1,0.09,0.07,1,0.09,14,1.22,21.43,7.143,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.96,54.55,1.92,54.55,1.49,0.0,0.0,11.63,0.17,0.96,29.39,72.62,13.73,56.05,1.31,86.67,20.82,81.93,8.48,49.48,24.04,36.13,0.02,0.09,0.0,0.0,0.0,0.0,0.09,3.85,40.91,0.7000000000000001,37.5,0.35000000000000003,0.0,0.26,0.09,7.43,48.24,90.0,12.24,0,,0,,0,0.0,0.0,0.0,,,1.05,,6.47,0.0,0.0,0.0,0.0,0,0
E. Axtman,Eric  Axtman,-352858,Lafayette Leopards,Lafayette Leopards,https://cdn5.wyscout.com/photos/team/public/g-5993_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,10,1029,0,0.0,0,0.0,1.1400000000000001,76.92,United States,['United States'],,185,0,False,1.57,0.09,0.0,0.79,77.78,0.0,0.0,0.0,1.57,1.8900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.09,0.09,16.36,81.82,13.47,79.22,0.0,0.0,4.55,96.15,11.63,77.44,44.6,50.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,70.69,0.17,50.0,0.09,0.0,0.09,0.0,9.8,91.07,96.77,2.71,8,0.7000000000000001,35,3.06,6,77.14,7.51,0.66,-0.49,-0.043000000000000003,0.0,2.54,0.79,,,,0.0,0,0
J. Sullivan,Jackson  Sullivan,-352983,Bucknell Bison,Bucknell Bison,https://cdn5.wyscout.com/photos/team/public/g-2790_120x120.png,NCAA D1 Non-conference matches,"RCB3, RB, RCB",RCB3,46,RB,26,RCB,22,22.0,2003-10-14,0,,10,987,0,0.46,0,0.51,19.06,65.55,United States,['United States'],,191,84,False,8.94,6.66,80.82,4.19,65.22,0.36,0.56,0.46,3.19,4.93,0.64,1,0.09,0,0.0,1.82,0.0,0,0.0,0.04,0,0.0,5,0.46,20.0,0.0,0.0,1.19,53.85,0.0,0.0,1.19,53.85,0.27,1.46,75.0,6.29,49.28,0.73,1.9100000000000001,0.09,33.47,1.0,1.37,51.61,82.33,24.8,73.53,2.64,93.1,43.04,87.71,7.48,56.1,20.33,39.16,0.05,0.46,0.0,0.0,0.0,0.0,0.09,7.75,71.76,1.9100000000000001,38.1,0.09,0.0,0.27,0.64,13.22,76.55,89.9,18.05,0,,0,,0,0.0,0.0,0.0,,,1.55,,4.19,0.0,0.0,0.0,0.0,0,0
J. Vajda,Jackson  Vajda,-600635,Lafayette Leopards,Lafayette Leopards,https://cdn5.wyscout.com/photos/team/public/g-5993_120x120.png,NCAA D1 Non-conference matches,"LCB3, LCB, LB",LCB3,64,LCB,20,LB,10,,,0,,10,984,0,0.7000000000000001,0,0.29,15.37,64.29,United States,['United States'],unknown,188,0,False,9.51,7.23,74.68,5.12,57.14,0.09,0.11,0.55,4.02,4.65,1.65,2,0.18,0,0.0,0.37,0.0,0,0.0,0.06,0,0.0,5,0.46,40.0,0.0,0.0,0.27,66.67,0.27,66.67,0.0,0.0,0.09,0.18,0.0,1.1,58.33,0.73,0.18,0.0,12.53,0.09,0.8200000000000001,20.67,76.55,10.79,64.41,1.37,93.33,15.37,81.55,5.03,61.82,22.16,35.74,0.03,0.64,0.0,0.0,0.0,0.0,0.09,3.48,63.16,0.18,50.0,0.18,100.0,0.18,0.18,6.22,54.41,91.78,6.68,0,,0,,0,0.0,0.0,0.0,,,0.46,,5.12,0.0,0.0,0.0,0.0,0,0
K. Cooper,Kelly Cooper,-476625,Army West Point Black Knights,Army West Point Black Knights,https://cdn5.wyscout.com/photos/team/public/g-5991_120x120.png,NCAA D1 Non-conference matches,RCB,RCB,99,,0,,0,,,0,,10,980,1,0.47000000000000003,0,0.0,12.21,60.15,United States,['United States'],unknown,198,92,False,8.17,4.32,70.21,4.78,65.38,0.0,0.0,0.73,5.14,6.44,0.64,0,0.0,0,0.0,0.28,0.09,1,0.09,0.04,1,0.09,6,0.55,50.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,1.38,20.0,0.55,0.46,0.0,16.53,0.37,0.28,29.48,69.47,18.83,60.98,0.64,100.0,21.67,79.66,7.8100000000000005,41.18,25.56,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,47.13,1.29,21.43,1.01,36.36,0.28,0.0,9.83,58.88,86.36,8.08,0,,0,,0,0.0,0.0,0.0,,,0.18,,4.78,0.0,0.0,0.0,0.0,0,0
M. Hadley,Miles Hadley,-600835,Army West Point Black Knights,Army West Point Black Knights,https://cdn5.wyscout.com/photos/team/public/g-5991_120x120.png,NCAA D1 Non-conference matches,LCB,LCB,99,,0,,0,,,0,,10,971,0,1.47,0,0.41000000000000003,13.07,63.83,United States,['United States'],unknown,183,77,False,8.62,4.26,80.43,6.21,59.7,0.8300000000000001,1.05,0.56,4.36,5.49,0.37,0,0.0,0,0.0,0.46,0.0,0,0.0,0.14,0,0.0,9,0.8300000000000001,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,45.45,1.2,0.09,0.0,16.41,0.19,0.37,32.07,78.61,13.25,60.84,2.13,100.0,27.25,84.01,4.82,48.08,21.39,29.91,0.04,0.19,0.0,0.0,0.0,0.0,0.09,2.87,45.16,0.28,33.33,0.19,50.0,0.28,0.0,6.77,41.1,91.33,13.9,0,,0,,0,0.0,0.0,0.0,,,1.67,,6.21,0.09,0.0,0.0,0.0,0,0
N. Berardi,Nicholas  Berardi,-739763,Army West Point Black Knights,Army West Point Black Knights,https://cdn5.wyscout.com/photos/team/public/g-5991_120x120.png,NCAA D1 Non-conference matches,RB,RB,100,,0,,0,,,0,,10,966,0,0.05,1,1.4100000000000001,11.18,54.17,United States,['United States'],unknown,185,79,False,6.8,4.57,67.35,3.26,42.86,0.28,0.35000000000000003,0.09,3.45,4.34,0.19,0,0.0,0,0.0,1.3,0.0,0,0.0,0.0,0,0.0,1,0.09,0.0,0.0,0.09,2.42,34.62,0.09,0.0,2.33,36.0,0.65,1.12,41.67,2.33,48.0,0.09,1.49,0.09,17.24,0.84,0.28,33.82,61.71,21.52,55.84,2.7,93.1,23.2,72.29,8.2,39.77,22.89,35.64,0.13,0.93,0.09,0.0,0.09,0.0,0.47000000000000003,8.11,49.43,2.61,42.86,0.56,0.0,0.28,1.02,11.74,61.11,65.15,6.15,0,,0,,0,0.0,0.0,0.0,,,0.19,,3.26,0.0,0.0,0.0,0.09,0,0
S. Dishnica,Samir Dishnica,-464610,Lafayette Leopards,Lafayette Leopards,https://cdn5.wyscout.com/photos/team/public/g-5993_120x120.png,NCAA D1 Non-conference matches,"RW, AMF, LW",RW,59,AMF,19,LW,11,,,0,,10,947,2,1.32,2,1.15,18.15,36.65,United States,['United States'],unknown,182,0,False,4.85,2.95,67.74,2.85,23.33,0.1,0.11,0.0,2.76,3.2800000000000002,0.86,0,0.0,0,0.0,3.61,0.19,2,0.19,0.13,0,0.0,29,2.76,41.38,6.897,0.19,1.43,40.0,0.38,25.0,1.05,45.45,0.19,3.23,52.94,10.26,33.33,1.05,1.24,0.29,9.6,0.9500000000000001,1.33,20.53,63.43,7.41,39.74,3.61,89.47,16.73,70.45,2.47,26.92,20.46,30.31,0.11,1.62,0.0,0.0,0.19,100.0,0.29,3.04,34.38,2.09,50.0,0.29,33.33,0.5700000000000001,0.67,4.09,53.49,78.21,7.41,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,2.85,2.95,0.38,50.0,1.62,0,0
L. Myers,Luke  Myers,-491881,Holy Cross Crusaders,Holy Cross Crusaders,https://cdn5.wyscout.com/photos/team/public/g-2767_120x120.png,NCAA D1 Non-conference matches,"RCB3, RCB",RCB3,86,RCB,12,,0,,,0,,9,937,0,0.0,0,0.0,11.14,61.21,United States,['United States'],unknown,183,79,False,8.74,4.71,81.63,2.69,53.57,0.29,0.33,0.48,4.61,5.22,0.58,1,0.1,0,0.0,0.29,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.48,20.0,0.0,0.0,0.48,20.0,0.19,0.29,66.67,2.02,33.33,0.1,2.02,0.1,11.53,0.0,0.29,27.66,70.14,17.1,63.48,1.73,83.33,18.63,85.57,8.55,39.33,24.41,39.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,52.63,1.82,26.32,1.25,7.69,0.38,0.1,8.93,76.34,82.35,6.53,0,,0,,0,0.0,0.0,0.0,,,0.77,,2.69,0.0,0.0,0.0,0.0,0,0
E. Widrick,Eric  Widrick,-352882,Colgate Raiders,Colgate Raiders,https://cdn5.wyscout.com/photos/team/public/g-2822_120x120.png,NCAA D1 Non-conference matches,GK,GK,100,,0,,0,,,0,,9,923,0,0.0,0,0.0,0.59,100.0,United States,['United States'],,185,83,False,1.27,0.1,100.0,0.49,100.0,0.0,0.0,0.0,1.17,1.69,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,0.0,0.1,15.8,85.8,9.46,76.29,0.0,0.0,9.75,99.0,6.05,64.52,33.72,49.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,59.26,0.2,0.0,0.0,0.0,0.0,0.0,4.39,82.22,100.0,5.85,5,0.49,42,4.1,5,88.1,7.83,0.76,2.83,0.276,0.0,0.98,0.49,,,,0.0,0,0
