Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Z. Carr,Zach Carr,-758139,Lees-McRae Bobcats,Lees-McRae Bobcats,https://cdn5.wyscout.com/photos/team/public/g-2890_120x120.png,NCAA D2 Conference Carolinas,RCB,RCB,100,,0,,0,,,0,,3,307,1,0.55,0,0.0,9.67,54.55,United States,['United States'],unknown,193,86,False,8.79,5.28,61.11,2.93,60.0,0.29,0.44,0.29,5.28,7.94,0.59,0,0.0,0,0.0,0.29,0.29,1,0.29,0.16,1,0.29,2,0.59,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.0,0.0,21.4,0.59,0.0,35.18,77.5,20.23,69.57,1.47,100.0,29.32,82.0,5.86,55.0,22.41,39.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,90.91,0.0,0.0,0.0,0.0,0.0,0.0,11.73,57.5,88.89,10.55,0,,0,,0,0.0,0.0,0.0,,,1.17,,2.93,0.0,0.0,0.0,0.0,0,0
A. Condron,Adam  Condron,-620537,Lees-McRae Bobcats,Lees-McRae Bobcats,https://cdn5.wyscout.com/photos/team/public/g-2890_120x120.png,NCAA D2 Conference Carolinas,LCB,LCB,100,,0,,0,,,0,,3,307,0,0.14,0,0.0,16.42,58.93,Republic of Ireland,['Republic of Ireland'],unknown,185,72,False,8.79,4.4,73.33,4.69,68.75,0.29,0.44,0.0,5.28,7.94,0.29,0,0.0,0,0.0,0.88,0.0,0,0.0,0.04,0,0.0,2,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,100.0,4.4,46.67,0.59,0.29,0.0,24.92,0.29,0.88,44.56,83.55,16.42,71.43,2.64,100.0,37.23,88.98,7.33,56.0,22.84,43.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,35.29,0.29,0.0,0.29,0.0,0.0,0.0,8.21,53.57,86.76,19.93,0,,0,,0,0.0,0.0,0.0,,,2.35,,4.69,0.0,0.0,0.0,0.0,0,0
S. Green,Sean Green,-480320,Lees-McRae Bobcats,Lees-McRae Bobcats,https://cdn5.wyscout.com/photos/team/public/g-2890_120x120.png,NCAA D2 Conference Carolinas,GK,GK,100,,0,,0,,,0,,3,307,0,0.0,0,0.0,0.88,100.0,United States,['United States'],unknown,188,84,False,3.81,0.59,100.0,0.29,100.0,0.0,0.0,0.0,3.22,4.85,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73,0.29,0.29,20.81,81.69,10.26,65.71,0.0,0.0,14.36,100.0,6.45,40.91,30.86,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,16.67,0.0,0.0,0.0,0.0,0.0,0.0,2.64,66.67,96.88,9.38,5,1.47,13,3.81,1,61.54,5.53,1.62,0.53,0.155,0.0,0.88,0.29,,,,0.0,0,0
J. Gallegos,Jackson Gallegos,-744061,Emmanuel Lions,Emmanuel Lions,https://cdn5.wyscout.com/photos/team/public/g-18302_120x120.png,NCAA D2 Conference Carolinas,GK,GK,100,,0,,0,,,0,,3,302,0,0.0,0,0.0,0.30000000000000004,100.0,United States,['United States'],unknown,185,0,False,0.6000000000000001,0.30000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.31,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,0.0,0.0,6.26,90.48,3.58,83.33,0.0,0.0,4.77,93.75,1.49,80.0,25.01,28.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,60.0,100.0,2.38,5,1.49,22,6.5600000000000005,0,77.27,3.74,1.11,-1.26,-0.375,0.0,0.6000000000000001,0.0,,,,0.0,0,0
I. Doldan,Ignacio Doldan,-637637,Emmanuel Lions,Emmanuel Lions,https://cdn5.wyscout.com/photos/team/public/g-18302_120x120.png,NCAA D2 Conference Carolinas,"LCB, LCB3",LCB,57,LCB3,31,,0,,,0,,3,302,0,0.0,0,0.79,15.79,64.15,Uruguay,['Uruguay'],unknown,183,0,False,10.73,8.94,66.67,2.09,85.71,0.0,0.0,0.0,4.77,4.95,1.19,0,0.0,0,0.0,0.6000000000000001,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.30000000000000004,100.0,0.0,1.49,20.0,3.58,41.67,0.30000000000000004,2.09,0.0,17.88,0.6000000000000001,0.30000000000000004,37.25,76.8,19.07,65.63,0.0,0.0,28.91,89.69,8.05,29.63,22.59,38.83,0.23,1.49,0.0,0.0,0.0,0.0,0.0,5.66,36.84,1.79,50.0,0.0,0.0,0.6000000000000001,0.30000000000000004,8.94,60.0,89.58,14.3,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.09,1.19,0.0,0.0,2.09,0,0
D. Persinger,Dylan  Persinger,-484814,Emmanuel Lions,Emmanuel Lions,https://cdn5.wyscout.com/photos/team/public/g-18302_120x120.png,NCAA D2 Conference Carolinas,"RCB, CB, RCB3",RCB,57,CB,32,RCB3,10,,,0,,3,302,0,0.05,0,0.0,18.48,61.29,United States,['United States'],unknown,188,0,False,12.81,6.5600000000000005,63.64,4.47,80.0,0.6000000000000001,0.62,1.19,8.05,8.35,0.0,0,0.0,0,0.0,0.89,0.0,0,0.0,0.02,0,0.0,1,0.30000000000000004,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.30000000000000004,100.0,0.0,1.19,50.0,4.77,31.25,0.6000000000000001,0.30000000000000004,0.0,17.58,0.6000000000000001,0.30000000000000004,32.48,77.06,16.09,62.96,1.49,80.0,27.42,82.61,4.77,43.75,21.2,38.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83,51.52,100.0,11.03,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,4.47,0.0,0.0,0.0,0.0,0,0
J. Hungerbuhler,James Hungerbuhler,-475618,Emmanuel Lions,Emmanuel Lions,https://cdn5.wyscout.com/photos/team/public/g-18302_120x120.png,NCAA D2 Conference Carolinas,"LB, LWB, RCMF",LB,55,LWB,21,RCMF,12,,,0,,3,277,0,0.0,0,0.16,14.3,59.09,United States,['United States'],unknown,172,0,False,12.67,7.15,77.27,3.9,41.67,0.32,0.31,0.32,6.82,6.49,1.3,0,0.0,0,0.0,1.62,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.27,57.14,2.27,57.14,0.0,0.0,0.32,0.65,50.0,1.9500000000000002,66.67,0.32,0.65,0.0,13.97,0.97,1.3,25.34,57.69,13.65,47.62,1.62,80.0,14.95,73.91,8.45,30.77,27.06,41.51,0.05,0.32,0.0,0.0,0.0,0.0,0.32,8.77,29.63,2.27,28.57,0.65,50.0,0.0,1.3,7.15,50.0,66.67,7.8,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.9,0.0,0.0,0.0,0.0,0,0
C. Wedderburn,Colin Wedderburn,-462514,Emmanuel Lions,Emmanuel Lions,https://cdn5.wyscout.com/photos/team/public/g-18302_120x120.png,NCAA D2 Conference Carolinas,"RB, RCB3",RB,62,RCB3,35,,0,,,0,,3,277,1,0.22,0,0.03,18.84,56.9,United States,['United States'],unknown,175,0,False,12.35,9.42,58.62,3.25,50.0,0.65,0.66,0.32,6.17,6.26,1.3,1,0.32,0,0.0,2.27,0.32,1,0.32,0.07,0,0.0,2,0.65,50.0,50.0,0.0,1.9500000000000002,33.33,0.0,0.0,1.9500000000000002,33.33,0.32,1.62,80.0,4.55,71.43,0.65,0.32,0.0,16.57,0.32,0.0,31.19,68.75,16.57,54.9,1.62,100.0,21.77,83.58,7.8,37.5,24.0,36.23,0.01,0.32,0.0,0.32,0.0,0.0,0.0,6.17,57.89,2.6,25.0,0.0,0.0,0.32,0.32,8.77,59.26,78.79,10.72,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.25,0.0,0.0,0.0,0.0,0,0
N. Schulze,Nils Schulze,-200520,Lees-McRae Bobcats,Lees-McRae Bobcats,https://cdn5.wyscout.com/photos/team/public/g-2890_120x120.png,NCAA D2 Conference Carolinas,"RDMF, LDMF",RDMF,50,LDMF,49,,0,21.0,2004-05-18,0,,3,270,0,0.04,0,0.02,22.33,56.72,Germany,['Germany'],unknown,185,75,False,12.67,9.0,77.78,3.0,55.56,0.33,0.44,0.0,5.33,7.06,1.0,0,0.0,0,0.0,0.33,0.0,0,0.0,0.01,0,0.0,2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.33,9.0,29.63,0.0,0.33,0.0,24.67,0.33,2.67,41.0,82.11,13.0,61.54,8.33,96.0,34.67,88.46,6.33,47.37,20.87,40.9,0.01,0.33,0.0,0.0,0.0,0.0,0.0,5.67,52.94,0.33,0.0,0.67,0.0,0.0,0.0,7.0,66.67,90.48,14.0,0,,0,,0,0.0,0.0,0.0,,,0.33,,3.0,0.33,0.0,0.0,0.0,0,0
C. Hart,Conor Hart,-480325,Lees-McRae Bobcats,Lees-McRae Bobcats,https://cdn5.wyscout.com/photos/team/public/g-2890_120x120.png,NCAA D2 Conference Carolinas,"LDMF, RDMF",LDMF,61,RDMF,38,,0,,,0,,3,261,0,0.1,0,0.0,25.52,54.05,United States,['United States'],unknown,180,72,False,9.66,7.24,61.9,5.17,60.0,2.07,2.77,0.34,3.1,4.15,1.72,1,0.34,0,0.0,2.41,0.0,0,0.0,0.03,0,0.0,8,2.76,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,83.33,10.0,44.83,0.0,1.72,0.0,23.79,0.0,1.03,40.69,78.81,10.69,54.84,8.28,95.83,36.9,85.05,3.79,18.18,18.42,33.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59,45.45,0.34,0.0,0.34,0.0,0.0,0.0,5.52,50.0,80.0,15.52,0,,0,,0,0.0,0.0,0.0,,,1.03,,5.17,0.34,0.34,0.0,0.0,0,0
