Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Tradatti,Franco Tradatti,-352911,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,"LCB, LB",LCB,70,LB,29,,0,,,0,,4,396,0,0.11,0,0.39,11.14,61.22,Argentina,['Argentina'],unknown,177,0,False,6.82,3.64,62.5,2.5,54.55,0.0,0.0,0.23,4.55,11.11,0.68,1,0.23,0,0.0,1.5899999999999999,0.0,0,0.0,0.03,0,0.0,6,1.3599999999999999,16.67,0.0,0.0,1.82,50.0,1.3599999999999999,33.33,0.45,100.0,0.0,0.68,66.67,4.09,66.67,0.0,6.59,0.0,48.18,1.1400000000000001,1.5899999999999999,65.68,84.08,32.05,76.6,4.55,100.0,52.73,92.67,11.14,48.98,22.88,41.44,0.09,0.68,0.0,0.0,0.0,0.0,0.23,16.36,65.28,2.95,30.77,1.1400000000000001,40.0,0.23,0.91,15.45,86.76,90.65,24.32,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,2.5,1.1400000000000001,0.23,0.0,0.68,0,0
João Silva,João Pedro Oliveira Silva,-107729,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,RB,RB,100,,0,,0,24.0,2001-03-01,0,,4,391,0,0.47000000000000003,0,0.39,16.8,53.42,Portugal,['Portugal'],right,180,71,False,8.52,5.52,62.5,4.14,50.0,0.46,1.13,0.0,4.6,11.32,2.3,0,0.0,0,0.0,2.07,0.0,0,0.0,0.11,0,0.0,4,0.92,0.0,0.0,0.0,2.99,46.15,0.0,0.0,2.99,46.15,0.6900000000000001,1.15,60.0,4.83,47.62,0.6900000000000001,1.6099999999999999,0.0,46.5,1.6099999999999999,0.92,62.61,85.66,25.55,74.77,8.75,97.37,52.71,91.7,6.91,56.67,22.04,40.03,0.09,1.6099999999999999,0.0,0.0,0.23,0.0,0.23,14.5,77.78,4.37,47.37,1.6099999999999999,28.57,0.23,1.38,14.96,86.15,92.63,21.87,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,4.14,0.0,0.0,0.0,0.0,0,0
K. Parisis,Konstantinos Parisis,-360467,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,GK,GK,100,,0,,0,,,0,,3,335,0,0.0,0,0.0,1.07,50.0,United States,['United States'],unknown,192,86,False,1.07,0.27,0.0,0.54,100.0,0.27,0.63,0.0,0.81,1.88,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,8.06,0.27,0.27,17.46,86.15,7.79,72.41,0.0,0.0,13.7,98.04,3.76,42.86,28.13,44.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,60.0,96.97,8.87,1,0.27,6,1.6099999999999999,2,83.33,1.17,0.31,0.17,0.046,0.0,1.07,0.54,,,,0.0,0,0
J. Allan,Jack  Allan,-461940,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,RCB,RCB,100,,0,,0,,,0,,4,328,1,1.8599999999999999,0,0.0,14.54,56.6,Australia,['Australia'],unknown,183,0,False,6.04,4.94,55.56,6.04,59.09,0.0,0.0,0.27,3.29,6.67,1.1,2,0.55,0,0.0,0.8200000000000001,0.27,1,0.27,0.51,1,0.27,8,2.2,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,37.5,2.47,0.8200000000000001,0.0,39.79,0.27,0.55,55.98,91.18,18.93,79.71,2.47,88.89,52.13,93.68,3.84,57.14,20.36,38.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,71.43,0.0,0.0,0.27,0.0,0.0,0.0,7.13,65.38,97.35,31.01,0,,0,,0,0.0,0.0,0.0,,,1.65,,6.04,0.0,0.0,0.0,0.0,0,0
S. Newell,Sam Newell,-623384,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,"LDMF, RDMF, DMF",LDMF,45,RDMF,23,DMF,21,,,0,,4,311,1,0.0,0,0.13,11.58,52.5,United States,['United States'],unknown,178,0,False,3.76,4.92,41.18,1.74,66.67,0.0,0.0,0.29,1.74,3.27,2.03,0,0.0,0,0.0,0.58,0.29,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.58,0.0,0.29,0.0,0.29,0.0,0.0,0.87,66.67,4.05,64.29,0.29,0.0,0.0,25.18,0.29,0.87,40.8,84.4,7.8100000000000005,66.67,6.08,80.95,35.31,86.89,4.92,76.47,20.08,30.72,0.04,0.87,0.0,0.0,0.0,0.0,0.0,5.21,66.67,1.74,66.67,0.87,66.67,0.87,0.0,4.34,73.33,92.86,20.26,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.74,0.0,0.0,0.0,2.03,0,0
T. Muller,Tomas Muller,-243696,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,"LB, LAMF",LB,63,LAMF,34,,0,,,0,,4,310,0,0.04,1,0.63,19.45,49.25,Argentina,['Argentina'],unknown,176,0,False,7.26,5.52,57.89,1.45,40.0,0.0,0.0,0.29,4.06,7.0,1.16,1,0.29,0,0.0,4.35,0.0,0,0.0,0.01,0,0.0,3,0.87,33.33,0.0,0.29,6.68,21.74,6.1,19.05,0.58,50.0,0.0,3.77,69.23,10.16,42.86,0.58,2.61,0.29,31.94,1.16,1.74,45.87,75.95,13.06,73.33,9.29,90.63,34.26,87.29,5.23,72.22,21.35,32.42,0.18,2.9,0.0,0.0,0.0,0.0,0.29,6.1,85.71,5.8100000000000005,40.0,0.29,0.0,1.16,1.45,9.29,84.38,71.93,16.55,0,,0,,0,0.0,0.0,0.0,,,1.16,,1.45,0.58,0.0,0.0,3.48,0,0
A. Logrillo,Allan Logrillo,-750107,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,"RAMF, LAMF",RAMF,75,LAMF,18,,0,,,0,,4,302,0,0.67,1,0.6900000000000001,15.5,34.62,France,['France'],unknown,180,0,False,3.2800000000000002,2.98,90.0,1.49,20.0,0.0,0.0,0.0,0.6000000000000001,1.22,0.30000000000000004,0,0.0,0,0.0,2.98,0.0,0,0.0,0.2,0,0.0,10,2.98,10.0,0.0,0.30000000000000004,5.07,29.41,0.30000000000000004,0.0,4.77,31.25,0.30000000000000004,3.2800000000000002,36.36,8.34,28.57,4.47,2.68,0.0,27.72,2.38,0.6000000000000001,32.78,71.82,6.26,80.95,6.5600000000000005,95.45,27.42,80.43,0.6000000000000001,0.0,18.87,19.07,0.21,1.19,0.0,0.0,0.0,0.0,0.89,2.38,62.5,4.47,46.67,0.0,0.0,1.49,2.09,6.5600000000000005,81.82,69.77,12.81,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.49,0.0,0.0,0.0,0.0,0,0
M. McKenzie,Mason McKenzie,-255623,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,"LCB, RCB",LCB,60,RCB,39,,0,20.0,2004-11-10,0,,4,263,1,0.37,0,0.0,10.61,64.52,England,['England'],,0,0,False,2.74,1.71,60.0,5.82,58.82,0.0,0.0,0.0,1.71,3.85,0.68,0,0.0,0,0.0,1.03,0.34,1,0.34,0.12,1,0.34,4,1.37,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,50.0,1.03,3.08,0.0,32.85,0.34,0.68,45.17,87.12,16.77,75.51,2.74,100.0,40.04,94.02,5.13,33.33,20.95,32.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,76.47,0.34,0.0,0.0,0.0,0.0,0.0,7.53,63.64,96.97,22.59,0,,0,,0,0.0,0.0,0.0,,,1.37,,5.82,0.0,0.0,0.0,0.0,0,0
M. Echarren,Martin Echarren,-750108,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,CF,CF,97,,0,,0,,,0,,4,253,0,0.31,0,0.03,20.99,33.9,Argentina,['Argentina'],unknown,180,0,False,1.78,1.78,60.0,7.11,35.0,0.0,0.0,0.0,0.71,1.0,1.78,0,0.0,0,0.0,2.13,0.0,0,0.0,0.11,0,0.0,4,1.42,25.0,0.0,0.0,1.78,0.0,0.36,0.0,1.07,0.0,0.36,4.27,41.67,9.6,29.63,2.13,1.07,0.0,9.96,2.49,0.36,17.08,64.58,4.27,66.67,4.27,75.0,14.23,72.5,1.07,66.67,15.87,12.98,0.01,0.36,0.0,0.0,0.0,0.0,0.0,2.13,66.67,1.78,40.0,0.0,0.0,1.42,0.0,1.07,100.0,53.85,4.62,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.11,0.0,0.0,0.0,0.0,0,0
Caio,Caio Dias Vizeu Moraes,-252118,Charleston Golden Eagles,Charleston Golden Eagles,https://cdn5.wyscout.com/photos/team/public/g-3031_120x120.png,NCAA D2 Mountain East Conference,"AMF, RDMF, CF",AMF,43,RDMF,28,CF,25,24.0,2001-02-03,0,,3,243,0,0.33,0,1.16,17.41,48.94,Brazil,['Brazil'],,0,0,False,3.33,4.07,54.55,4.8100000000000005,30.77,0.0,0.0,0.0,1.11,2.2,0.37,1,0.37,0,0.0,2.96,0.0,0,0.0,0.12,0,0.0,3,1.11,0.0,0.0,0.0,1.85,60.0,1.11,66.67,0.74,50.0,0.37,2.59,71.43,7.41,50.0,2.22,2.22,0.0,24.44,1.11,1.48,33.33,71.11,8.52,52.17,4.8100000000000005,100.0,28.52,74.03,2.96,50.0,17.59,20.74,0.43,1.85,0.0,0.0,0.0,0.0,0.74,1.85,40.0,3.7,60.0,0.74,50.0,1.11,1.11,3.33,77.78,74.29,12.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.8100000000000005,1.85,0.0,0.0,2.22,0,0
