Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Crnac,Anel Crnac,-470238,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"RCB, CB, LCB",RCB,78,CB,10,LCB,10,,,0,,8,804,0,0.06,0,0.29,11.42,69.61,Iceland,['Iceland'],unknown,190,88,False,9.51,5.04,66.67,3.25,82.76,0.11,0.14,0.67,6.04,7.53,1.46,2,0.22,0,0.0,0.34,0.0,0,0.0,0.01,0,0.0,1,0.11,100.0,0.0,0.0,0.11,100.0,0.0,0.0,0.11,100.0,0.0,0.11,100.0,1.34,66.67,0.56,0.22,0.0,31.68,0.45,0.78,45.45,80.79,18.36,67.68,1.9,82.35,36.27,90.12,9.07,43.21,23.62,39.66,0.03,0.11,0.0,0.11,0.0,0.0,0.11,4.03,50.0,0.45,25.0,0.56,20.0,0.0,0.11,10.07,52.22,92.71,21.49,0,,0,,0,0.0,0.0,0.0,,,1.34,,3.25,0.0,0.0,0.0,0.0,0,0
A. Rojas,Anel Rojas,-470206,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,CF,CF,92,,0,,0,,,0,,8,709,4,3.46,2,1.4,14.72,41.38,Panama,['Panama'],unknown,178,75,False,2.92,2.03,68.75,4.19,42.42,0.25,0.28,0.0,1.27,1.3900000000000001,0.63,0,0.0,0,0.0,3.43,0.51,4,0.51,0.44,0,0.0,20,2.54,75.0,20.0,0.25,1.27,30.0,0.25,0.0,0.89,42.86,0.63,1.78,64.29,5.97,36.17,4.32,0.63,0.0,12.06,1.9,1.1400000000000001,14.98,67.8,3.68,51.72,3.81,83.33,12.69,71.0,1.02,75.0,17.53,26.18,0.18,1.1400000000000001,0.0,0.0,0.25,0.0,0.63,2.03,75.0,1.4,18.18,0.25,0.0,0.25,0.51,1.9,73.33,66.67,4.57,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.19,0.13,0.13,0.0,0.0,0,0
A. Boumelala,Ayoub  Boumelala,-358401,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"RDMF, DMF",RDMF,55,DMF,27,,0,,,0,,8,704,0,0.48,0,0.56,12.14,62.11,France,['France'],unknown,180,76,False,7.93,4.22,57.58,1.79,71.43,0.89,1.07,0.13,4.6,5.48,1.02,1,0.13,0,0.0,1.79,0.0,0,0.0,0.06,0,0.0,4,0.51,50.0,0.0,0.0,0.13,100.0,0.0,0.0,0.13,100.0,0.0,1.4100000000000001,90.91,4.09,68.75,0.26,0.64,0.0,43.98,0.51,1.02,58.55,89.3,18.79,77.55,6.65,96.15,52.67,93.69,5.75,48.89,19.28,37.42,0.07,0.51,0.0,0.0,0.13,100.0,0.26,7.93,59.68,1.53,41.67,0.89,42.86,0.51,0.13,8.82,79.71,95.96,25.31,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.79,0.64,0.0,0.0,0.0,0,0
S. Kino,Shotaro Kino,-628127,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"LB, RB",LB,69,RB,23,,0,,,0,,8,655,0,0.0,0,0.05,10.44,60.53,Japan,['Japan'],unknown,168,67,False,8.11,5.36,69.23,2.06,46.67,0.55,0.62,0.14,3.85,4.35,0.27,0,0.0,0,0.0,0.55,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.8200000000000001,50.0,0.55,50.0,0.27,50.0,0.14,0.14,100.0,0.96,71.43,0.14,0.55,0.0,26.93,1.65,0.8200000000000001,37.65,78.83,17.59,69.53,6.46,89.36,33.11,82.99,3.71,48.15,17.4,41.59,0.01,0.14,0.0,0.0,0.0,0.0,0.0,3.3,66.67,0.6900000000000001,40.0,0.14,100.0,0.14,0.41000000000000003,8.79,53.13,90.57,7.28,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,2.06,0.0,0.0,0.0,0.0,0,0
L. Dettmer,Lasse Dettmer,-66454,Florida Southern Moccasins,Florida Southern Moccasins,https://cdn5.wyscout.com/photos/team/public/g-18498_120x120.png,NCAA D2 Sunshine State Conference,GK,GK,100,,0,,0,22.0,2003-04-08,0,,6,635,0,0.0,0,0.0,0.28,50.0,Germany,['Germany'],right,188,0,False,0.99,0.0,0.0,0.14,100.0,0.0,0.0,0.0,0.99,1.3,0.14,1,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,7.37,0.43,0.0,15.45,81.65,8.79,69.35,0.0,0.0,9.64,95.59,5.8100000000000005,58.54,33.32,43.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8399999999999999,30.77,0.28,0.0,0.14,0.0,0.0,0.0,3.69,84.62,97.87,6.66,11,1.56,23,3.26,1,52.17,7.83,1.11,-3.17,-0.449,0.0,0.99,0.14,,,,0.0,0,0
P. Overfeld,Pablo Overfeld,-75336,Florida Southern Moccasins,Florida Southern Moccasins,https://cdn5.wyscout.com/photos/team/public/g-18498_120x120.png,NCAA D2 Sunshine State Conference,LCB,LCB,100,,0,,0,24.0,2001-04-04,0,,6,613,0,0.31,0,0.0,8.66,64.41,Germany,['Germany'],right,188,83,False,7.49,3.8200000000000003,73.08,3.38,60.87,0.29,0.38,0.44,4.4,5.7,0.73,0,0.0,0,0.0,0.0,0.0,0,0.0,0.05,0,0.0,2,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.44,0.0,0.0,14.98,0.0,0.15,25.11,84.8,8.37,66.67,0.73,100.0,20.85,92.25,4.26,48.28,23.72,41.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,56.25,0.0,0.0,0.0,0.0,0.0,0.0,4.26,55.17,94.51,13.36,0,,0,,0,0.0,0.0,0.0,,,0.29,,3.38,0.0,0.0,0.0,0.0,0,0
R. Vega,Rodolfo Alejandro Vega Iguala,-151367,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"LDMF, AMF, LCMF",LDMF,41,AMF,14,LCMF,13,22.0,2003-06-12,25000,,8,600,1,0.64,1,0.32,16.35,44.95,Panama,['Panama'],right,168,0,False,9.75,7.2,58.33,1.8,50.0,0.15,0.14,0.15,5.4,5.07,2.25,4,0.6000000000000001,0,0.0,0.6000000000000001,0.15,1,0.15,0.1,1,0.15,7,1.05,14.29,14.286,0.15,0.30000000000000004,50.0,0.15,0.0,0.15,100.0,0.0,0.6000000000000001,50.0,5.25,28.57,0.45,1.2,0.15,34.5,1.2,1.65,52.2,81.9,20.55,69.34,8.85,94.92,47.1,85.99,4.8,43.75,18.66,43.98,0.05,1.35,0.15,0.0,0.45,0.0,0.15,10.95,61.64,1.8,16.67,1.2,0.0,0.15,0.15,8.85,67.8,90.32,13.95,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.8,0.0,0.0,0.0,0.0,0,0
V. Danielsson,Viktor Danielsson,-628150,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"LCB, RCB3, RCB",LCB,70,RCB3,14,RCB,12,,,0,,6,585,0,0.11,0,0.09,12.0,62.82,Sweden,['Sweden'],unknown,185,75,False,8.15,5.69,70.27,3.23,61.9,0.15,0.2,0.31,4.0,5.1,1.54,2,0.31,0,0.0,0.15,0.0,0,0.0,0.02,0,0.0,1,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.15,100.0,0.62,75.0,0.62,1.08,0.0,33.54,0.31,0.31,46.62,92.74,18.0,88.03,3.54,91.3,40.92,96.62,5.54,66.67,21.09,34.36,0.01,0.15,0.15,0.0,0.0,0.0,0.0,3.38,54.55,0.31,0.0,0.46,66.67,0.0,0.0,4.92,68.75,96.03,19.38,0,,0,,0,0.0,0.0,0.0,,,1.85,,3.23,0.0,0.0,0.0,0.0,0,0
D. Lowther,Dylan  Lowther,-486293,Florida Southern Moccasins,Florida Southern Moccasins,https://cdn5.wyscout.com/photos/team/public/g-18498_120x120.png,NCAA D2 Sunshine State Conference,"RB, LB",RB,82,LB,17,,0,,,0,,6,577,0,0.25,0,0.08,15.44,52.53,England,['England'],unknown,173,0,False,6.55,5.62,61.11,1.72,54.55,0.0,0.0,0.0,3.12,3.9,1.25,1,0.16,0,0.0,2.65,0.0,0,0.0,0.04,0,0.0,3,0.47000000000000003,33.33,0.0,0.0,2.5,31.25,0.16,0.0,2.34,33.33,0.16,3.12,55.0,6.24,50.0,0.9400000000000001,2.5,0.62,20.43,0.9400000000000001,1.87,32.13,71.84,16.53,61.32,2.65,100.0,23.55,83.44,6.08,43.59,22.53,38.16,0.01,0.16,0.0,0.0,0.0,0.0,0.16,6.08,51.28,3.12,40.0,0.9400000000000001,16.67,0.47000000000000003,0.78,8.11,67.31,80.33,9.51,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.72,0.0,0.0,0.0,0.0,0,0
J. David Hoffman,Juan  David Hoffman,-628160,Saint Leo Lions,Saint Leo Lions,https://cdn5.wyscout.com/photos/team/public/g27540_120x120.png,NCAA D2 Sunshine State Conference,"RAMF, LAMF, RW",RAMF,37,LAMF,32,RW,16,,,0,,8,570,1,0.77,0,0.35000000000000003,11.37,40.28,Panama,['Panama'],unknown,173,69,False,3.79,4.26,59.26,0.9500000000000001,33.33,0.16,0.15,0.0,1.11,1.02,1.11,0,0.0,0,0.0,2.68,0.16,1,0.16,0.12,0,0.0,7,1.11,57.14,14.286,0.0,2.84,44.44,0.63,50.0,2.21,42.86,0.47000000000000003,1.42,55.56,5.21,30.3,1.58,1.26,0.9500000000000001,22.58,2.05,0.47000000000000003,27.16,82.56,4.89,74.19,7.74,100.0,23.53,87.92,0.79,60.0,16.16,16.67,0.05,0.32,0.0,0.0,0.0,0.0,0.32,1.8900000000000001,75.0,2.68,52.94,0.32,50.0,0.32,1.58,4.74,73.33,75.93,8.53,0,,0,,0,0.0,0.0,0.0,,,0.16,,0.9500000000000001,0.0,0.0,0.0,0.16,0,0
