Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Zoeller,Owen  Zoeller,-618150,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,RCB,RCB,77,,0,,0,,,0,,3,307,0,0.22,0,0.18,17.3,67.8,United States,['United States'],unknown,185,84,False,9.97,7.04,66.67,4.98,76.47,0.59,0.6900000000000001,0.0,4.69,5.52,0.88,0,0.0,0,0.0,2.05,0.0,0,0.0,0.06,0,0.0,4,1.17,50.0,0.0,0.0,0.29,100.0,0.0,0.0,0.29,100.0,0.0,1.17,100.0,3.81,61.54,1.76,1.47,0.59,16.71,0.29,1.17,31.07,75.47,16.71,59.65,4.1,100.0,24.04,85.37,6.74,39.13,24.56,42.61,0.05,0.29,0.0,0.0,0.0,0.0,0.0,5.86,50.0,1.47,40.0,0.29,0.0,0.59,0.29,8.5,65.52,90.63,9.38,0,,0,,0,0.0,0.0,0.0,,,3.22,,4.98,0.0,0.0,0.0,0.0,0,0
S. Roberts,Sam  Roberts,-618140,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,"LCB, RCB",LCB,81,RCB,13,,0,,,0,,3,307,0,0.21,0,0.48,11.73,65.0,United States,['United States'],unknown,188,82,False,11.73,6.16,80.95,3.22,45.45,0.0,0.0,1.17,6.74,7.93,0.59,1,0.29,0,0.0,1.17,0.0,0,0.0,0.06,0,0.0,2,0.59,50.0,0.0,0.0,0.88,33.33,0.59,0.0,0.29,100.0,0.29,0.59,100.0,1.17,75.0,1.17,1.17,0.29,17.59,0.0,0.0,31.37,81.31,14.36,61.22,1.76,100.0,26.68,90.11,3.81,30.77,22.17,37.13,0.14,1.76,0.0,0.0,0.0,0.0,0.0,3.22,63.64,1.17,50.0,0.0,0.0,0.29,0.29,5.57,57.89,97.87,13.78,0,,0,,0,0.0,0.0,0.0,,,1.47,,3.22,0.0,0.0,0.0,0.0,0,0
B. Mulford,Ben  Mulford,-618132,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,GK,GK,100,,0,,0,,,0,,3,307,0,0.0,0,0.0,0.88,100.0,United States,['United States'],unknown,196,88,False,1.17,0.0,0.0,0.88,100.0,0.0,0.0,0.0,1.17,1.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,12.9,0.29,0.0,19.93,75.0,12.61,62.79,0.0,0.0,9.97,97.06,9.67,54.55,39.03,49.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,62.5,0.29,0.0,0.0,0.0,0.0,0.0,7.33,64.0,100.0,6.45,3,0.88,13,3.81,1,76.92,3.13,0.92,0.13,0.038,0.0,1.47,0.88,,,,0.0,0,0
T. Mikuta,Trevor  Mikuta,-618135,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,LB,LB,84,,0,,0,,,0,,3,296,1,0.25,0,0.0,15.2,60.0,United States,['United States'],unknown,188,84,False,8.51,7.3,75.0,2.74,55.56,0.0,0.0,0.30000000000000004,3.04,3.45,1.22,1,0.30000000000000004,0,0.0,1.22,0.30000000000000004,1,0.30000000000000004,0.08,0,0.0,1,0.30000000000000004,100.0,100.0,0.0,0.61,100.0,0.61,100.0,0.0,0.0,0.30000000000000004,1.22,25.0,4.26,35.71,0.30000000000000004,1.22,0.0,21.28,1.22,0.0,38.01,76.0,17.64,62.07,4.5600000000000005,100.0,32.53,78.5,4.86,56.25,19.12,34.11,0.0,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,6.39,80.95,0.91,66.67,0.0,0.0,0.0,0.61,11.55,78.95,84.21,11.55,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.74,0.0,0.0,0.0,0.0,0,0
J. Scuro,Jack  Scuro,-618145,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,"RB, LB",RB,85,LB,14,,0,,,0,,3,286,0,0.0,0,0.12,10.7,64.71,United States,['United States'],unknown,175,68,False,10.38,7.55,66.67,0.63,50.0,0.31,0.37,0.31,5.03,5.85,0.63,0,0.0,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.9400000000000001,33.33,0.0,0.0,0.9400000000000001,33.33,0.0,0.0,0.0,1.8900000000000001,66.67,0.0,0.31,0.0,9.13,0.31,0.63,21.71,75.36,11.01,80.0,2.52,62.5,18.25,81.03,2.83,44.44,20.69,34.12,0.04,0.31,0.0,0.0,0.0,0.0,0.31,4.41,78.57,1.26,50.0,0.31,0.0,0.31,0.31,7.87,72.0,73.91,7.24,0,,0,,0,0.0,0.0,0.0,,,0.63,,0.63,0.0,0.0,0.0,0.0,0,0
S. Diakite,Saleem  Diakite,-618176,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,"LCMF, RCMF",LCMF,44,RCMF,37,,0,,,0,,3,259,3,1.22,0,0.04,25.37,35.62,United States,['United States'],unknown,180,73,False,4.86,6.6,42.11,1.3900000000000001,0.0,0.0,0.0,0.0,2.08,2.07,3.13,1,0.35000000000000003,0,0.0,4.17,1.04,3,1.04,0.42,0,0.0,7,2.43,42.86,42.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,80.0,14.59,40.48,1.3900000000000001,3.8200000000000003,0.6900000000000001,17.37,0.6900000000000001,2.08,25.71,67.57,9.73,50.0,5.91,82.35,22.24,75.0,3.47,20.0,16.29,33.5,0.01,0.6900000000000001,0.35000000000000003,0.0,0.35000000000000003,100.0,0.0,5.5600000000000005,37.5,2.43,42.86,1.04,33.33,1.04,0.0,3.13,66.67,81.25,5.5600000000000005,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.3900000000000001,0.0,0.0,0.0,0.35000000000000003,0,0
M. Metcalf,Mack  Metcalf,-618149,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,DMF,DMF,89,,0,,0,,,0,,3,240,0,0.39,0,0.53,18.38,53.06,United States,['United States'],unknown,183,77,False,10.88,8.63,73.91,3.0,37.5,0.75,0.74,0.75,3.75,3.7,2.25,2,0.75,0,0.0,0.0,0.0,0,0.0,0.15,0,0.0,1,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,42.86,0.38,0.38,0.0,20.63,0.38,1.13,34.13,73.63,18.38,63.27,3.0,100.0,26.25,84.29,7.87,38.1,22.16,34.82,0.2,1.5,0.38,0.0,0.0,0.0,0.75,9.75,65.38,1.5,75.0,0.38,0.0,1.13,0.0,9.75,88.46,83.33,11.25,0,,0,,0,0.0,0.0,0.0,,,0.75,,3.0,1.5,0.0,0.0,1.5,0,0
E. Khalil,Elie  Khalil,-618153,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,LW,LW,92,,0,,0,,,0,,3,220,0,0.38,0,0.0,30.27,45.95,United States,['United States'],unknown,183,82,False,9.41,5.32,84.62,5.32,38.46,0.41000000000000003,0.34,0.0,4.5,3.79,1.23,1,0.41000000000000003,0,0.0,4.09,0.0,0,0.0,0.15,0,0.0,10,4.09,30.0,0.0,0.0,0.8200000000000001,0.0,0.8200000000000001,0.0,0.0,0.0,0.0,5.32,53.85,18.41,37.78,1.23,2.86,0.41000000000000003,13.09,1.6400000000000001,2.05,24.55,63.33,7.36,38.89,3.27,87.5,21.68,67.92,2.05,40.0,17.29,14.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,68.75,1.23,0.0,0.0,0.0,0.0,0.0,5.32,92.31,82.61,9.41,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.32,2.86,2.05,0.0,0.41000000000000003,0,0
O. Lopez,Omar  Lopez,-618158,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,CF,CF,98,,0,,0,,,0,,3,190,0,0.1,0,0.02,17.53,40.54,United States,['United States'],unknown,165,77,False,2.84,2.37,40.0,2.37,40.0,0.0,0.0,0.0,1.8900000000000001,1.46,0.9500000000000001,0,0.0,0,0.0,1.8900000000000001,0.0,0,0.0,0.05,0,0.0,3,1.42,33.33,0.0,0.0,0.9500000000000001,0.0,0.0,0.0,0.9500000000000001,0.0,0.0,2.37,60.0,9.95,47.62,1.42,0.0,0.0,18.47,0.9500000000000001,0.47000000000000003,28.42,75.0,7.11,53.33,6.63,100.0,27.0,78.95,0.47000000000000003,0.0,16.13,2.54,0.01,0.47000000000000003,0.0,0.47000000000000003,0.0,0.0,0.0,3.32,100.0,1.42,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,100.0,83.33,8.53,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.37,0.0,0.0,0.0,0.0,0,0
S. Tis,Sebastian  Tis,-352879,Muhlenberg Mules,Muhlenberg Mules,https://cdn5.wyscout.com/photos/team/public/g-21872_120x120.png,NCAA D3 Centennial Conference,"LCMF, RCMF",LCMF,51,RCMF,48,,0,,,0,,3,168,1,0.77,0,0.04,19.82,51.35,United States,['United States'],,183,84,False,8.57,6.43,66.67,0.54,100.0,0.54,0.49,0.0,3.75,3.44,2.14,0,0.0,0,0.0,1.6099999999999999,0.54,0,0.0,0.41000000000000003,0,0.0,2,1.07,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,66.67,8.57,31.25,0.54,1.07,0.0,16.61,2.14,1.07,33.21,80.65,11.79,68.18,4.29,100.0,32.68,80.33,0.54,100.0,15.86,12.07,0.02,0.54,0.0,0.0,1.07,0.0,0.0,5.89,63.64,2.14,0.0,1.07,0.0,0.0,0.0,2.14,75.0,95.45,11.79,0,,0,,0,0.0,0.0,0.0,,,0.54,,0.54,0.0,0.0,0.0,0.0,1,100
