Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. O'Toole,Brady O'Toole,-627439,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,GK,GK,100,,0,,0,,,0,,3,294,0,0.0,0,0.0,1.22,75.0,United States,['United States'],unknown,195,77,False,2.45,0.0,0.0,0.92,66.67,0.0,0.0,0.0,2.45,3.5300000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,8.57,0.0,0.0,20.51,83.58,11.94,71.79,0.31,100.0,9.49,96.77,11.02,72.22,36.22,51.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,76.92,0.92,33.33,0.0,0.0,0.0,0.0,8.88,86.21,100.0,7.04,2,0.61,13,3.98,1,84.62,2.65,0.81,0.65,0.199,0.0,3.06,0.92,,,,0.0,0,0
C. McCoy,Carter McCoy,-386547,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,RCB,RCB,91,,0,,0,,,0,,3,287,0,0.0,0,0.23,8.15,53.85,United States,['United States'],unknown,188,79,False,6.59,3.14,60.0,3.14,70.0,0.0,0.0,1.25,4.7,6.62,0.63,0,0.0,0,0.0,0.31,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.63,50.0,0.0,0.0,0.63,50.0,0.0,0.0,0.0,0.31,0.0,0.0,0.9400000000000001,0.0,16.93,0.9400000000000001,0.0,29.79,76.84,14.74,72.34,1.88,83.33,22.89,83.56,6.27,55.0,23.16,37.28,0.07,0.31,0.0,0.0,0.0,0.0,0.31,3.14,80.0,1.25,100.0,0.31,100.0,1.25,0.31,6.27,75.0,86.84,11.92,0,,0,,0,0.0,0.0,0.0,,,1.57,,3.14,0.0,0.0,0.0,0.0,0,0
J. Mercieri,Jackson Mercieri,-745348,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LCB, RB, LB",LCB,35,RB,33,LB,31,,,0,,3,282,0,0.03,0,0.0,15.32,56.25,United States,['United States'],unknown,180,75,False,10.53,9.57,66.67,1.28,50.0,0.32,0.46,0.32,3.83,5.54,0.96,0,0.0,0,0.0,1.28,0.0,0,0.0,0.01,0,0.0,2,0.64,50.0,0.0,0.0,0.64,50.0,0.64,50.0,0.0,0.0,0.0,1.6,40.0,2.55,50.0,0.96,2.23,0.0,23.94,0.64,0.32,38.94,66.39,24.26,56.58,2.23,100.0,25.53,75.0,12.77,50.0,25.47,38.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94,60.71,0.96,33.33,0.32,0.0,0.0,0.32,11.81,72.97,79.41,10.85,0,,0,,0,0.0,0.0,0.0,,,1.28,,1.28,0.64,0.0,0.0,0.0,0,0
K. Krysztoforski,Konrad  Krysztoforski,-386538,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LB, LCB",LB,65,LCB,34,,0,,,0,,3,271,1,0.29,0,0.09,17.27,71.15,Poland,['Poland'],unknown,188,86,False,11.29,8.3,64.0,4.98,73.33,0.66,0.9,0.0,5.31,7.16,0.0,0,0.0,0,0.0,1.99,0.33,1,0.33,0.1,1,0.33,4,1.33,25.0,25.0,0.0,1.33,25.0,0.66,0.0,0.0,0.0,0.66,1.33,100.0,2.66,75.0,1.99,0.66,0.0,16.27,0.66,0.66,31.55,72.63,14.28,65.12,2.66,100.0,26.24,77.22,3.99,58.33,17.38,26.56,0.03,0.66,0.0,0.0,0.0,0.0,0.33,4.32,84.62,1.0,33.33,0.0,0.0,0.33,0.33,9.63,58.62,87.1,10.3,0,,0,,0,0.0,0.0,0.0,,,1.6600000000000001,,4.98,0.0,0.0,0.0,0.0,0,0
T. Lynch,Tim Lynch,-386658,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LCB, RDMF, RCMF",LCB,37,RDMF,31,RCMF,12,,,0,,3,258,1,0.28,0,0.0,20.58,50.85,United States,['United States'],unknown,175,73,False,13.26,9.77,64.29,6.28,55.56,0.0,0.0,0.7000000000000001,6.98,8.82,0.35000000000000003,0,0.0,0,0.0,0.35000000000000003,0.35000000000000003,1,0.35000000000000003,0.1,0,0.0,1,0.35000000000000003,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,22.22,0.35000000000000003,0.0,0.0,18.49,0.7000000000000001,0.7000000000000001,37.67,73.15,19.19,69.09,2.09,83.33,32.44,76.34,5.23,53.33,19.87,31.2,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,6.28,66.67,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,10.12,58.62,83.78,12.91,0,,0,,0,0.0,0.0,0.0,,,1.05,,6.28,0.0,0.0,0.0,0.0,0,0
A. Sheehan,Aidan Sheehan,-505178,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"AMF, CF",AMF,69,CF,18,,0,,,0,,3,238,1,0.52,2,0.39,33.28,44.32,United States,['United States'],,183,82,False,10.21,8.32,68.18,5.67,60.0,0.0,0.0,0.76,4.54,5.37,0.76,0,0.0,0,0.0,3.4,0.38,1,0.38,0.2,0,0.0,6,2.27,50.0,16.667,0.76,1.13,66.67,0.0,0.0,1.13,66.67,0.0,2.65,57.14,13.61,27.78,1.13,1.51,0.0,17.77,2.27,1.13,26.85,57.75,10.21,40.74,1.51,75.0,21.93,63.79,3.7800000000000002,20.0,22.15,41.14,0.15,2.27,0.0,0.0,0.0,0.0,0.38,5.67,40.0,2.65,28.57,0.38,0.0,0.0,0.76,5.67,46.67,71.43,10.59,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.67,0.38,0.0,0.0,3.03,0,0
S. Catino,Sean Catino,-386510,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"DMF, RDMF, LDMF",DMF,53,RDMF,32,LDMF,12,,,0,,3,223,0,0.01,0,0.0,27.04,61.19,United States,['United States'],unknown,175,75,False,12.91,10.9,77.78,4.84,50.0,0.4,0.53,0.4,4.04,5.26,1.6099999999999999,0,0.0,0,0.0,0.81,0.0,0,0.0,0.0,0,0.0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,50.0,8.48,52.38,0.0,0.81,0.0,14.13,0.4,2.42,29.06,80.56,8.48,66.67,5.25,100.0,27.44,83.82,1.6099999999999999,25.0,19.06,36.09,0.0,0.0,0.0,0.0,0.4,0.0,0.0,4.44,45.45,0.4,0.0,0.4,0.0,0.0,0.0,2.83,42.86,86.67,12.11,0,,0,,0,0.0,0.0,0.0,,,0.4,,4.84,0.0,0.0,0.0,0.0,0,0
F. Mills,Fisher  Mills,-386661,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"CF, LAMF, RAMF",CF,37,LAMF,27,RAMF,20,,,0,,3,206,1,0.49,0,0.41000000000000003,41.07,48.94,United States,['United States'],unknown,183,73,False,11.36,11.36,76.92,4.37,40.0,0.0,0.0,0.0,2.62,3.0,1.75,0,0.0,0,0.0,5.68,0.44,1,0.44,0.21,1,0.44,8,3.5,37.5,12.5,0.0,2.18,40.0,0.87,50.0,1.31,33.33,0.87,7.43,41.18,21.41,32.65,5.24,1.75,0.0,24.9,1.75,0.87,32.77,74.67,6.12,57.14,12.23,89.29,27.52,80.95,3.06,42.86,18.3,43.09,0.18,1.31,0.0,0.0,0.44,100.0,0.44,3.93,55.56,1.75,75.0,0.44,100.0,0.44,1.31,3.06,71.43,77.27,9.61,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.37,0.0,0.0,0.0,0.44,0,0
L. Stapleton,Liam Stapleton,-625244,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LDMF, LAMF, RCMF",LDMF,57,LAMF,28,RCMF,13,,,0,,3,143,0,0.0,0,0.0,19.51,48.39,United States,['United States'],unknown,182,79,False,6.29,5.03,37.5,2.52,50.0,1.8900000000000001,2.0,0.0,2.52,2.67,0.0,0,0.0,0,0.0,1.26,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8900000000000001,66.67,10.07,56.25,0.63,2.52,0.0,18.25,1.26,0.0,30.84,77.55,11.33,50.0,3.7800000000000002,100.0,29.58,78.72,1.26,50.0,16.68,17.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,55.56,1.26,50.0,0.0,0.0,0.63,0.0,5.66,66.67,100.0,11.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.52,0.0,0.0,0.0,0.0,0,0
C. Rooney,Conor  Rooney,-386620,Endicott Gulls,Endicott Gulls,https://cdn5.wyscout.com/photos/team/public/g-17115_120x120.png,NCAA D3 Non-conference matches,"LCMF, LAMF",LCMF,42,LAMF,42,,0,,,0,,2,141,0,0.0,0,0.07,20.43,46.88,United States,['United States'],unknown,173,70,False,8.94,5.74,88.89,3.83,16.67,0.0,0.0,0.0,3.83,4.5,0.0,0,0.0,0,0.0,2.55,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.55,0.0,0.64,0.0,0.64,0.0,0.0,4.47,57.14,8.94,35.71,2.55,2.55,0.0,24.26,1.9100000000000001,0.0,37.66,71.19,13.4,52.38,7.66,75.0,33.19,76.92,1.9100000000000001,66.67,20.12,37.06,0.04,1.28,0.0,0.0,0.64,0.0,0.0,2.55,50.0,3.83,66.67,0.64,0.0,2.55,0.0,7.66,50.0,94.74,12.13,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.83,0.0,0.0,0.0,0.0,0,0
