Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Ziegler,Ben Ziegler,-511896,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,GK,GK,100,,0,,0,,,0,,9,921,0,0.0,0,0.0,0.78,100.0,United States,['United States'],unknown,183,79,False,1.56,0.0,0.0,0.59,100.0,0.0,0.0,0.0,1.56,2.98,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.85,0.29,0.1,22.87,87.61,8.11,69.88,0.0,0.0,16.12,98.18,6.74,62.32,26.59,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,47.22,96.85,12.41,13,1.27,29,2.83,3,55.17,9.16,0.9,-3.84,-0.375,0.0,1.56,0.59,,,,0.0,0,0
K. Bassuk,Kol  Bassuk,-463577,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LCB, CB",LCB,54,CB,42,,0,,,0,,9,893,2,1.25,2,0.23,14.31,59.15,United States,['United States'],unknown,190,84,False,7.66,2.8200000000000003,75.0,7.16,60.56,0.0,0.0,0.4,5.54,10.51,0.6000000000000001,0,0.0,0,0.0,1.21,0.2,2,0.2,0.13,1,0.1,6,0.6000000000000001,50.0,33.333,0.2,0.71,42.86,0.5,20.0,0.2,100.0,0.1,1.11,54.55,2.92,48.28,0.81,0.6000000000000001,0.0,36.48,0.0,0.4,57.35,84.71,26.51,74.52,3.33,96.97,46.56,91.99,10.18,53.47,22.29,42.23,0.02,0.71,0.1,0.1,0.0,0.0,0.0,6.95,57.97,1.21,41.67,0.30000000000000004,33.33,0.30000000000000004,0.2,10.48,62.5,92.99,21.57,0,,0,,0,0.0,0.0,0.0,,,2.52,,7.16,0.0,0.0,0.0,0.0,0,0
M. Burke,Mikey Burke,-463523,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"RCB, RCB3",RCB,62,RCB3,35,,0,,,0,,8,778,0,0.05,1,0.37,10.76,61.29,United States,['United States'],unknown,180,73,False,5.21,2.66,73.91,3.59,74.19,0.23,0.43,0.0,3.01,5.53,0.6900000000000001,0,0.0,0,0.0,0.81,0.0,0,0.0,0.01,0,0.0,5,0.58,20.0,0.0,0.12,0.23,50.0,0.0,0.0,0.23,50.0,0.0,0.93,62.5,2.66,43.48,0.0,1.04,0.0,30.77,1.27,0.46,45.58,75.63,25.22,63.3,3.24,96.43,33.2,86.41,12.15,46.67,23.24,40.96,0.04,0.46,0.0,0.0,0.0,0.0,0.23,10.3,51.69,1.5,53.85,0.58,20.0,0.93,0.12,12.96,71.43,89.52,12.15,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,3.59,0.12,0.0,0.0,0.0,0,0
T. Moran,Tyler Moran,-463526,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LCMF, DMF, RCMF",LCMF,42,DMF,24,RCMF,21,,,0,,9,755,0,0.12,0,0.0,18.48,52.9,United States,['United States'],unknown,170,68,False,11.09,9.3,74.36,1.67,28.57,0.36,0.65,0.12,3.81,6.96,1.55,0,0.0,0,0.0,0.72,0.0,0,0.0,0.01,0,0.0,6,0.72,33.33,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.12,0.8300000000000001,57.14,4.89,31.71,0.24,0.72,0.0,31.23,0.12,1.07,48.52,84.77,9.66,64.2,11.8,97.98,44.34,88.71,3.81,46.88,16.0,37.62,0.0,0.12,0.0,0.0,0.12,0.0,0.0,4.41,67.57,1.07,22.22,0.36,0.0,0.12,0.0,4.17,48.57,86.57,15.97,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.67,0.12,0.12,0.0,0.0,0,0
G. Shreiner,Grant Shreiner,-644393,Messiah Falcons,Messiah Falcons,https://cdn5.wyscout.com/photos/team/public/g-2939_120x120.png,NCAA D3 Non-conference matches,"DMF, RDMF, LDMF",DMF,53,RDMF,27,LDMF,18,,,0,,8,751,1,1.88,1,1.19,20.97,53.14,United States,['United States'],unknown,168,0,False,9.11,6.23,82.69,3.7199999999999998,41.94,0.24,0.39,0.12,3.7199999999999998,6.12,0.48,0,0.0,0,0.0,2.2800000000000002,0.12,1,0.12,0.23,0,0.0,13,1.56,46.15,7.692,0.12,0.24,100.0,0.24,100.0,0.0,0.0,0.12,1.56,84.62,8.27,36.23,1.08,2.64,0.12,44.22,0.24,1.2,69.15,90.12,25.17,86.19,9.47,92.41,67.59,90.6,1.32,63.64,16.4,28.14,0.14,0.84,0.0,0.12,0.12,0.0,0.36,10.67,86.52,1.32,81.82,0.12,0.0,0.6000000000000001,0.24,11.15,83.87,92.08,24.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.7199999999999998,1.2,0.0,0.0,0.84,0,0
K. Wong,Kyle Wong,-751140,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"LB, LCB3",LB,65,LCB3,25,,0,,,0,,8,747,0,0.0,1,0.27,13.25,53.64,United States,['United States'],unknown,182,63,False,7.71,6.63,54.55,2.65,63.64,0.48,0.9,0.24,3.61,6.77,1.45,3,0.36,0,0.0,0.48,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.6000000000000001,80.0,2.65,45.45,0.0,0.48,0.0,31.69,0.6000000000000001,0.72,45.06,87.17,17.95,75.84,6.02,98.0,40.12,90.69,4.82,60.0,18.17,37.08,0.03,0.12,0.0,0.0,0.0,0.0,0.12,4.34,75.0,0.36,33.33,0.24,100.0,0.12,0.0,7.95,62.12,92.62,14.7,0,,0,,0,0.0,0.0,0.0,,,3.61,,2.65,0.0,0.0,0.0,0.0,0,0
J. Danielian,Jasper Danielian,-751144,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"RB, RB5",RB,63,RB5,28,,0,,,0,,9,708,1,0.52,1,1.02,16.02,44.44,United States,['United States'],unknown,180,74,False,7.75,4.83,84.21,1.4,36.36,0.76,1.38,0.25,2.92,5.31,1.1400000000000001,0,0.0,0,0.0,2.03,0.13,1,0.13,0.07,0,0.0,5,0.64,40.0,20.0,0.13,3.18,52.0,0.38,0.0,2.67,57.14,0.38,0.89,14.29,7.37,25.86,1.65,1.53,0.0,34.07,3.81,1.1400000000000001,46.91,80.49,20.97,74.55,8.14,92.19,40.3,85.49,3.43,48.15,16.19,35.81,0.13,0.76,0.0,0.25,0.0,0.0,0.64,6.74,62.26,2.92,52.17,0.25,0.0,0.51,1.53,10.17,78.75,78.95,9.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.4,0.0,0.0,0.0,0.76,0,0
J. Makula,Johnny Makula,-605398,Rochester Yellow Jackets,Rochester Yellow Jackets,https://cdn5.wyscout.com/photos/team/public/g-19224_120x120.png,NCAA D3 University Athletic Association,"CF, AMF",CF,75,AMF,23,,0,,,0,,9,697,2,2.27,1,1.23,19.11,38.51,United States,['United States'],unknown,155,70,False,2.9699999999999998,2.71,52.38,3.62,28.57,0.0,0.0,0.0,1.55,2.47,0.52,0,0.0,0,0.0,4.13,0.26,2,0.26,0.29,1,0.13,24,3.1,33.33,8.333,0.13,2.07,37.5,1.03,50.0,1.03,25.0,0.13,2.84,72.73,10.98,42.35,4.26,1.94,0.26,18.46,2.45,0.65,25.82,65.5,6.33,61.22,4.65,77.78,21.31,71.52,2.45,36.84,17.44,33.5,0.16,0.9,0.13,0.0,0.39,66.67,0.65,3.87,50.0,2.2,64.71,0.52,50.0,1.03,0.9,2.84,86.36,67.86,7.23,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.62,0.0,0.0,0.0,0.0,0,0
J. Schell,Jayden Schell,-490500,Trinity Tigers,Trinity Tigers,https://cdn5.wyscout.com/photos/team/public/g27849_120x120.png,NCAA D3 Non-conference matches,GK,GK,100,,0,,0,,,0,,8,688,0,0.0,0,0.0,0.65,100.0,United States,['United States'],unknown,192,86,False,1.96,0.0,0.0,0.39,100.0,0.0,0.0,0.0,1.96,4.41,0.0,1,0.13,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.13,100.0,0.0,0.0,0.0,10.6,0.13,0.13,17.01,87.69,9.29,80.28,0.0,0.0,11.64,94.38,5.36,73.17,27.6,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,37.5,0.0,0.0,0.0,0.0,0.0,0.0,4.32,69.7,96.49,7.46,4,0.52,8,1.05,3,50.0,2.0,0.26,-2.0,-0.262,0.0,1.18,0.39,,,,0.0,0,0
R. Sharma,Raghav  Sharma,-520310,Southwestern Pirates,Southwestern Pirates,https://cdn5.wyscout.com/photos/team/public/g-20093_120x120.png,NCAA D3 Non-conference matches,CB,CB,96,,0,,0,,,0,,7,681,3,2.88,1,0.0,11.76,60.67,United States,['United States'],unknown,188,0,False,7.27,2.51,84.21,7.14,64.81,0.4,0.62,0.53,4.76,7.45,0.53,0,0.0,0,0.0,1.06,0.4,2,0.26,0.38,2,0.26,15,1.98,53.33,20.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.93,14.29,2.11,0.0,0.0,27.62,0.26,0.13,43.88,86.45,15.99,68.6,0.53,100.0,38.33,92.41,5.55,45.24,23.18,42.65,0.0,0.0,0.26,0.0,0.0,0.0,0.0,1.98,33.33,0.4,33.33,0.13,100.0,0.4,0.0,7.0,60.38,96.77,24.58,0,,0,,0,0.0,0.0,0.0,,,0.4,,7.14,0.0,0.0,0.0,0.0,2,50
