Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Larson,Stig Larson,-741748,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,GK,GK,100,,0,,0,,,0,,3,298,0,0.0,0,0.0,0.91,66.67,United States,['United States'],unknown,178,75,False,2.42,0.0,0.0,0.91,66.67,0.0,0.0,0.0,2.42,3.93,0.0,1,0.30000000000000004,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.65,1.51,0.30000000000000004,35.94,83.19,14.19,61.7,0.0,0.0,25.07,95.18,10.87,55.56,31.94,56.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,40.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,5.74,68.42,96.92,19.63,2,0.6000000000000001,5,1.51,1,60.0,1.8,0.54,-0.2,-0.06,0.0,1.81,0.91,,,,0.0,0,0
C. Hallman,Colin Hallman,-649541,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RCB, RB",RCB,66,RB,33,,0,,,0,,3,298,0,0.19,0,0.01,13.59,57.78,United States,['United States'],,183,75,False,6.95,4.83,81.25,4.83,31.25,0.30000000000000004,0.49,0.30000000000000004,2.7199999999999998,4.43,0.6000000000000001,1,0.30000000000000004,0,0.0,1.81,0.0,0,0.0,0.06,0,0.0,4,1.21,50.0,0.0,0.0,1.51,40.0,0.0,0.0,1.51,40.0,0.6000000000000001,1.21,50.0,2.11,57.14,0.91,1.21,0.0,45.3,2.11,0.6000000000000001,59.19,81.12,23.86,68.35,4.23,100.0,49.23,88.34,8.76,48.28,23.62,46.02,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,10.87,55.56,0.91,33.33,0.6000000000000001,100.0,0.0,0.30000000000000004,12.38,85.37,91.86,25.97,0,,0,,0,0.0,0.0,0.0,,,3.02,,4.83,0.0,0.0,0.0,0.0,0,0
T. Petz,Tyler  Petz,-476988,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,LB,LB,100,,0,,0,,,0,,3,298,1,0.26,0,0.81,16.61,61.82,United States,['United States'],unknown,178,72,False,7.55,4.83,68.75,3.02,60.0,0.0,0.0,0.0,4.23,6.89,0.0,0,0.0,0,0.0,4.23,0.30000000000000004,1,0.30000000000000004,0.08,0,0.0,3,0.91,66.67,33.333,0.0,2.7199999999999998,33.33,2.7199999999999998,33.33,0.0,0.0,0.91,3.32,81.82,6.95,56.52,0.30000000000000004,1.21,0.0,36.24,3.62,2.42,53.46,74.01,25.07,59.04,9.66,96.88,43.49,81.25,7.55,48.0,22.39,41.29,0.25,1.51,0.0,0.0,0.30000000000000004,0.0,0.0,12.68,52.38,4.83,37.5,1.21,25.0,1.51,0.6000000000000001,15.4,78.43,83.33,14.5,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,3.02,2.42,0.30000000000000004,100.0,0.6000000000000001,0,0
M. Jimenez,Mauricio  Jimenez,-476983,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,LCB,LCB,100,,0,,0,,,0,,3,298,0,0.0,0,0.0,6.64,72.73,United States,['United States'],unknown,183,72,False,7.85,3.62,83.33,1.21,50.0,0.0,0.0,0.6000000000000001,4.83,7.87,0.0,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.91,66.67,0.0,0.91,0.0,48.32,0.30000000000000004,0.0,64.93,86.05,28.69,71.58,2.7199999999999998,100.0,54.36,95.0,9.97,42.42,24.99,44.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38,53.66,3.32,9.09,2.11,14.29,0.30000000000000004,0.0,12.08,95.0,97.89,28.69,0,,0,,0,0.0,0.0,0.0,,,2.42,,1.21,0.0,0.0,0.0,0.0,0,0
O. Edwards,Owen Edwards,-741775,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,RB,RB,100,,0,,0,,,0,,2,199,1,0.32,0,0.0,17.64,64.1,United States,['United States'],unknown,188,66,False,9.95,6.33,85.71,6.78,53.33,0.9,1.43,0.0,3.62,5.71,0.9,1,0.45,0,0.0,1.81,0.45,1,0.45,0.14,0,0.0,4,1.81,25.0,25.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,2.26,60.0,3.62,50.0,1.81,1.81,0.0,34.82,2.71,0.45,44.77,71.72,14.92,45.45,8.14,88.89,36.63,82.72,7.24,25.0,21.52,35.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,42.86,2.26,0.0,1.3599999999999999,0.0,0.0,0.0,7.69,70.59,78.79,14.92,0,,0,,0,0.0,0.0,0.0,,,2.26,,6.78,0.0,0.0,0.0,0.0,0,0
W. Stebbings,Walker  Stebbings,-476934,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,CF,CF,100,,0,,0,,,0,,3,165,0,0.91,0,0.7000000000000001,26.18,31.25,United States,['United States'],unknown,188,77,False,6.0,6.55,50.0,2.73,20.0,0.0,0.0,0.0,2.73,2.54,3.27,1,0.55,0,0.0,3.8200000000000003,0.0,0,0.0,0.49,0,0.0,4,2.18,25.0,0.0,0.0,0.55,100.0,0.55,100.0,0.0,0.0,0.55,2.73,100.0,12.0,31.82,5.45,1.6400000000000001,0.0,10.91,3.8200000000000003,0.55,16.91,64.52,3.27,33.33,3.27,83.33,16.36,63.33,0.0,0.0,14.76,0.0,0.38,2.18,0.0,0.0,0.0,0.0,0.55,2.73,60.0,1.09,0.0,0.0,0.0,0.55,0.55,0.55,100.0,55.56,4.91,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.73,0.0,0.0,0.0,0.0,0,0
Z. Johnston,Zakky  Johnston,-476925,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RAMF, RW, LAMF",RAMF,32,RW,27,LAMF,24,,,0,,3,164,0,0.02,0,0.35000000000000003,16.46,53.33,United States,['United States'],unknown,178,72,False,6.59,6.59,83.33,1.1,50.0,0.0,0.0,0.0,1.1,1.33,0.55,0,0.0,0,0.0,1.65,0.0,0,0.0,0.01,0,0.0,1,0.55,0.0,0.0,0.0,1.65,33.33,0.55,0.0,1.1,50.0,0.0,1.65,66.67,7.13,23.08,1.1,2.74,0.0,18.11,1.65,0.0,26.34,72.92,3.29,66.67,10.43,78.95,24.15,75.0,0.55,100.0,17.25,17.57,0.19,1.1,0.0,0.0,0.0,0.0,0.55,1.65,33.33,1.65,33.33,0.0,0.0,0.55,0.55,1.65,33.33,76.92,7.13,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.1,0.0,0.0,0.0,0.0,0,0
C. Letson,Charlie Letson,-476834,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"CF, AMF",CF,63,AMF,36,,0,,,0,,3,163,0,0.26,0,0.0,14.36,34.62,United States,['United States'],unknown,180,77,False,2.76,4.42,37.5,1.6600000000000001,33.33,0.55,0.5,0.0,0.55,0.5,1.6600000000000001,1,0.55,0,0.0,1.6600000000000001,0.0,0,0.0,0.14,0,0.0,5,2.76,40.0,0.0,0.0,1.1,0.0,0.55,0.0,0.55,0.0,0.55,1.6600000000000001,33.33,6.07,27.27,3.31,0.0,0.0,13.8,3.31,1.1,19.33,60.0,5.52,30.0,4.42,87.5,16.01,72.41,2.21,0.0,17.06,45.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,30.0,0.55,0.0,0.0,0.0,0.0,0.0,1.6600000000000001,33.33,57.14,3.87,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.6600000000000001,0.0,0.0,0.0,0.0,0,0
K. Nova Euceda,Kevin Nova Euceda,-649564,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RDMF, RCMF, LCMF",RDMF,34,RCMF,30,LCMF,26,,,0,,3,161,0,0.13,0,0.32,24.6,61.36,United States,['United States'],,173,70,False,15.09,8.94,68.75,6.71,58.33,0.0,0.0,0.0,8.94,9.8,1.6800000000000002,0,0.0,0,0.0,1.6800000000000002,0.0,0,0.0,0.07,0,0.0,3,1.6800000000000002,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,100.0,7.83,57.14,0.0,0.56,0.0,32.98,0.0,3.91,55.34,79.8,22.92,70.73,7.27,92.31,46.4,84.34,8.94,56.25,20.87,36.53,0.18,1.6800000000000002,0.0,0.0,0.0,0.0,0.56,13.98,76.0,3.35,50.0,2.24,25.0,2.24,0.0,12.86,82.61,93.94,18.45,0,,0,,0,0.0,0.0,0.0,,,1.12,,6.71,1.12,1.12,50.0,0.0,0,0
M. Farmer,Michael Farmer,-476901,Hampden-Sydney Tigers,Hampden-Sydney Tigers,https://cdn5.wyscout.com/photos/team/public/g-19679_120x120.png,NCAA D2 Non-conference matches,"RDMF, LCMF, RCMF",RDMF,39,LCMF,28,RCMF,19,,,0,,3,153,0,0.30000000000000004,0,0.0,12.35,57.14,United States,['United States'],unknown,180,81,False,8.82,5.29,66.67,2.94,60.0,0.0,0.0,0.59,5.29,6.14,1.18,1,0.59,0,0.0,1.76,0.0,0,0.0,0.18,0,0.0,4,2.35,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,100.0,2.94,60.0,1.18,0.0,0.0,25.88,0.0,0.0,39.41,80.6,9.41,43.75,10.59,88.89,32.94,85.71,6.47,54.55,23.12,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65,53.85,0.59,0.0,0.59,0.0,0.0,0.0,7.65,53.85,96.43,16.47,0,,0,,0,0.0,0.0,0.0,,,2.94,,2.94,0.59,0.59,100.0,0.0,0,0
