Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Gersch,Cooper Gersch,-615163,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,CB,CB,92,,0,,0,21.0,2004-04-13,0,,5,520,1,0.48,0,0.0,7.27,50.0,United States,['United States'],unknown,0,0,False,5.37,2.77,68.75,2.08,41.67,0.0,0.0,0.35000000000000003,3.46,5.61,0.6900000000000001,1,0.17,0,0.0,0.35000000000000003,0.17,1,0.17,0.08,1,0.17,3,0.52,66.67,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,28.57,0.35000000000000003,0.0,0.0,22.33,0.0,0.52,41.71,71.78,26.83,61.94,1.21,100.0,30.12,85.63,11.6,35.82,26.6,44.12,0.0,0.0,0.0,0.17,0.0,0.0,0.0,8.31,33.33,1.73,0.0,0.6900000000000001,25.0,0.0,0.0,10.21,55.93,89.06,11.08,0,,0,,0,0.0,0.0,0.0,,,1.21,,2.08,1.38,0.0,0.0,0.0,0,0
V. Navarro,Vicente  Navarro,-478991,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,"LCMF, DMF",LCMF,62,DMF,24,,0,21.0,2004-06-02,0,,5,502,0,0.43,0,0.02,20.8,56.9,United States,['United States'],unknown,180,0,False,9.32,7.17,62.5,5.2,62.07,0.72,1.13,0.36,4.12,6.51,1.79,1,0.18,0,0.0,0.36,0.0,0,0.0,0.08,0,0.0,4,0.72,50.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,5.02,35.71,1.08,0.54,0.0,22.95,0.18,1.25,42.67,80.67,14.34,66.25,5.02,96.43,36.75,86.83,5.74,43.75,19.59,33.99,0.0,0.36,0.0,0.0,0.0,0.0,0.0,6.63,70.27,1.6099999999999999,33.33,0.9,20.0,0.18,0.0,7.17,57.5,88.68,19.0,0,,0,,0,0.0,0.0,0.0,,,0.72,,5.2,0.0,0.0,0.0,0.0,0,0
A. Aley,Aiden  Aley,-478987,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,"AMF, LCMF3",AMF,69,LCMF3,17,,0,21.0,2004-03-09,0,,5,460,1,1.56,0,0.88,15.85,55.56,United States,['United States'],unknown,185,0,False,4.11,4.11,76.19,2.35,66.67,0.2,0.28,0.0,0.78,1.12,0.59,0,0.0,0,0.0,2.15,0.2,0,0.0,0.30000000000000004,0,0.0,8,1.57,37.5,12.5,0.0,1.76,11.11,1.76,11.11,0.0,0.0,0.0,2.74,50.0,6.85,48.57,1.76,2.54,0.2,25.83,1.57,1.17,35.41,70.72,10.37,49.06,8.41,93.02,31.11,76.73,2.54,38.46,17.92,29.27,0.17,1.57,0.39,0.0,0.0,0.0,0.39,5.09,38.46,3.7199999999999998,47.37,0.2,100.0,1.57,0.39,5.28,66.67,73.21,10.96,0,,0,,0,0.0,0.0,0.0,,,0.39,,2.35,0.2,0.0,0.0,2.74,1,100
E. Siladie,Eddie Siladie,-619669,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,"LCB3, RWB",LCB3,80,RWB,12,,0,,,0,,5,441,0,0.18,0,0.38,18.57,52.75,United States,['United States'],unknown,0,0,False,8.98,7.96,74.36,5.31,38.46,0.61,0.89,0.2,2.45,3.56,1.63,0,0.0,0,0.0,0.8200000000000001,0.0,0,0.0,0.04,0,0.0,4,0.8200000000000001,0.0,0.0,0.0,0.61,33.33,0.2,0.0,0.41000000000000003,50.0,0.2,1.02,60.0,3.06,33.33,1.02,1.22,0.2,23.67,0.41000000000000003,0.41000000000000003,38.78,76.84,19.59,63.54,4.29,100.0,31.84,81.41,6.33,58.06,22.82,39.94,0.08,0.61,0.0,0.0,0.0,0.0,0.41000000000000003,6.33,58.06,2.04,60.0,0.2,0.0,0.8200000000000001,0.2,9.18,68.89,89.09,11.22,0,,0,,0,0.0,0.0,0.0,,,1.22,,5.31,0.0,0.0,0.0,0.0,0,0
D. Bening,Devin Bening,-615160,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,CF,CF,96,,0,,0,19.0,2005-12-28,0,,5,394,4,3.01,0,0.42,35.86,40.13,United States,['United States'],unknown,0,0,False,5.71,6.85,63.33,10.05,38.64,0.0,0.0,0.0,1.37,1.82,3.43,2,0.46,0,0.0,2.9699999999999998,0.91,4,0.91,0.6900000000000001,2,0.46,18,4.11,22.22,22.222,0.0,0.46,50.0,0.0,0.0,0.46,50.0,0.0,2.74,66.67,14.62,28.13,4.8,2.74,0.0,9.82,2.06,2.06,18.27,67.5,3.88,70.59,3.43,86.67,16.9,70.27,1.1400000000000001,40.0,16.26,18.23,0.1,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,1.83,50.0,0.6900000000000001,33.33,0.0,0.0,0.46,0.0,1.1400000000000001,40.0,57.69,5.94,0,,0,,0,0.0,0.0,0.0,,,0.0,,10.05,0.0,0.0,0.0,0.0,0,0
E. Edelman,Elijah Edelman,-749357,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,"CF, AMF, RCMF",CF,50,AMF,30,RCMF,10,,,0,,5,383,2,1.8,3,2.18,27.49,47.01,United States,['United States'],unknown,178,0,False,9.4,9.63,78.05,3.76,50.0,0.23,0.30000000000000004,0.0,1.6400000000000001,2.12,1.6400000000000001,0,0.0,0,0.0,3.52,0.47000000000000003,1,0.23,0.42,1,0.23,13,3.05,30.77,15.385,0.7000000000000001,2.8200000000000003,33.33,0.9400000000000001,50.0,1.88,25.0,0.9400000000000001,3.05,53.85,11.98,23.53,2.58,1.4100000000000001,0.47000000000000003,23.5,2.11,0.7000000000000001,40.18,61.99,14.1,53.33,6.58,60.71,32.9,64.29,4.46,63.16,17.59,32.22,0.51,3.05,0.0,0.0,0.0,0.0,0.7000000000000001,6.8100000000000005,62.07,6.34,29.63,0.47000000000000003,50.0,1.4100000000000001,0.9400000000000001,8.69,64.86,69.57,10.81,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.76,3.05,0.7000000000000001,33.33,3.29,1,100
J. Nishimoto,Justin  Nishimoto,-478998,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,RWB,RWB,100,,0,,0,21.0,2004-02-23,0,,5,380,0,0.09,0,0.59,13.97,54.24,United States,['United States'],unknown,180,0,False,6.63,4.74,80.0,2.37,60.0,0.71,0.99,0.0,2.13,2.9699999999999998,0.71,1,0.24,0,0.0,2.37,0.0,0,0.0,0.02,0,0.0,3,0.71,0.0,0.0,0.0,3.55,46.67,0.0,0.0,3.55,46.67,0.24,1.42,50.0,4.74,40.0,1.18,0.71,0.24,21.08,2.37,1.42,27.47,67.24,9.0,50.0,4.74,80.0,21.32,76.67,2.61,18.18,17.73,26.87,0.14,1.42,0.0,0.24,0.0,0.0,0.24,2.84,41.67,4.5,52.63,0.24,0.0,0.71,1.8900000000000001,6.87,58.62,74.29,8.29,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.37,0.0,0.0,0.0,0.0,0,0
T. Kroeger,Torben Kroeger,-749389,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,RCB3,RCB3,83,,0,,0,,,0,,4,329,0,0.18,0,0.0,18.88,62.32,United States,['United States'],unknown,183,0,False,10.94,8.75,68.75,5.47,65.0,0.27,0.38,0.0,4.65,6.38,1.9100000000000001,1,0.27,0,0.0,0.27,0.0,0,0.0,0.05,0,0.0,1,0.27,0.0,0.0,0.0,0.55,50.0,0.0,0.0,0.55,50.0,0.55,0.55,0.0,1.6400000000000001,16.67,0.27,0.55,0.0,12.31,0.27,0.55,29.82,69.72,19.42,61.97,1.6400000000000001,100.0,22.16,75.31,7.11,53.85,20.85,36.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57,62.5,1.09,50.0,0.0,0.0,0.27,0.27,7.93,48.28,77.27,6.02,0,,0,,0,0.0,0.0,0.0,,,0.55,,5.47,0.0,0.0,0.0,0.0,0,0
C. Abram,Carlos Abram,-615144,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,GK,GK,100,,0,,0,19.0,2006-04-05,0,,3,309,0,0.0,0,0.0,0.58,100.0,United States,['United States'],unknown,0,0,False,4.37,0.29,100.0,0.29,100.0,0.0,0.0,0.0,4.08,7.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74,0.58,0.0,14.85,82.35,9.9,73.53,0.0,0.0,7.57,100.0,7.28,64.0,34.58,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,60.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,83.33,100.0,2.91,3,0.87,9,2.62,1,66.67,2.52,0.73,-0.48,-0.14,0.0,1.46,0.29,,,,0.0,0,0
M. Shea,Matthew Shea,-619670,Occidental Tigers,Occidental Tigers,https://cdn5.wyscout.com/photos/team/public/g-19346_120x120.png,NCAA D3 Southern California Intercollegiate Athletic Conference,"RCMF, LCMF, RCMF3",RCMF,54,LCMF,16,RCMF3,15,,,0,,5,257,0,0.21,1,0.63,22.76,46.15,United States,['United States'],unknown,0,0,False,9.11,10.16,55.17,3.5,60.0,0.0,0.0,0.35000000000000003,3.5,4.23,2.1,0,0.0,1,0.35000000000000003,2.8,0.0,0,0.0,0.07,0,0.0,4,1.4,25.0,0.0,0.35000000000000003,1.4,100.0,0.35000000000000003,100.0,1.05,100.0,0.0,1.4,50.0,7.35,23.81,1.75,1.4,0.0,24.51,1.05,1.05,39.92,78.07,15.06,65.12,5.95,94.12,34.67,78.79,3.85,63.64,17.29,30.63,0.22,0.7000000000000001,0.0,0.0,0.35000000000000003,100.0,0.35000000000000003,8.05,52.17,2.8,62.5,0.7000000000000001,50.0,1.05,1.05,8.75,88.0,89.47,13.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.5,0.0,0.0,0.0,0.35000000000000003,0,0
