Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Abubakar,Abdullahi Abubakar,-530261,Beyond Limits,Beyond Limits,https://cdn5.wyscout.com/photos/team/public/g-20411_120x120.png,Creative Championship,LCB,LCB,98,,0,,0,16.0,2009-09-16,0,,8,774,0,0.11,0,0.0,8.37,66.67,Nigeria,['Nigeria'],unknown,0,0,False,5.7,3.26,71.43,3.14,81.48,0.12,0.18,0.47000000000000003,3.26,5.03,0.81,2,0.23,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,2,0.23,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.23,0.0,0.93,50.0,0.35000000000000003,2.56,0.23,46.98,0.47000000000000003,0.23,62.21,88.04,25.47,79.0,6.16,92.45,56.4,92.99,5.7,40.82,20.26,41.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,57.81,0.47000000000000003,0.0,0.81,28.57,0.0,0.0,9.19,74.68,96.28,25.0,0,,0,,0,0.0,0.0,0.0,,,4.65,,3.14,0.0,0.0,0.0,0.0,0,0
A. Muhammed,Abdullahi Muhammed,-529061,Beyond Limits,Beyond Limits,https://cdn5.wyscout.com/photos/team/public/g-20411_120x120.png,Creative Championship,RCB,RCB,98,,0,,0,18.0,2007-08-29,0,,8,774,0,0.08,0,0.09,10.23,62.5,Nigeria,['Nigeria'],unknown,0,0,False,7.33,4.07,68.57,3.7199999999999998,68.75,0.58,0.9,0.93,3.95,6.11,0.58,1,0.12,0,0.0,0.23,0.0,0,0.0,0.01,0,0.0,6,0.7000000000000001,16.67,0.0,0.0,0.35000000000000003,33.33,0.12,0.0,0.23,50.0,0.12,0.12,0.0,1.28,27.27,0.35000000000000003,1.16,0.0,51.74,0.93,0.35000000000000003,69.42,91.46,29.07,86.8,5.0,100.0,61.86,95.86,7.33,57.14,20.87,41.19,0.01,0.47000000000000003,0.0,0.12,0.0,0.0,0.23,7.09,70.49,0.81,28.57,0.93,50.0,0.23,0.12,10.0,77.91,96.56,30.47,0,,0,,0,0.0,0.0,0.0,,,4.3,,3.7199999999999998,0.47000000000000003,0.47000000000000003,0.0,0.0,0,0
D. Aiyenugba,Daniel Aiyenugba,-529023,Beyond Limits,Beyond Limits,https://cdn5.wyscout.com/photos/team/public/g-20411_120x120.png,Creative Championship,GK,GK,100,,0,,0,15.0,2009-11-28,0,,8,774,0,0.0,0,0.35000000000000003,0.47000000000000003,25.0,Nigeria,['Nigeria'],unknown,0,0,False,1.51,0.23,0.0,0.12,100.0,0.12,0.18,0.0,1.4,2.16,0.23,2,0.23,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,0.23,0.12,37.67,90.43,16.05,81.16,0.0,0.0,29.88,98.05,7.67,62.12,25.32,39.63,0.04,0.12,0.0,0.0,0.0,0.0,0.12,2.21,57.89,0.47000000000000003,50.0,0.58,40.0,0.23,0.0,4.88,64.29,98.21,19.53,11,1.28,24,2.79,3,54.17,9.63,1.12,-1.37,-0.159,0.0,1.8599999999999999,0.12,,,,0.0,0,0
C. Nchoje,Chinedu Nchoje,-688844,Gbagada,Gbagada,https://cdn5.wyscout.com/photos/team/public/g-20416_120x120.png,Creative Championship,RB,RB,100,,0,,0,15.0,2010-10-11,0,,8,738,0,0.26,0,0.77,17.56,59.72,Nigeria,['Nigeria'],right,178,70,False,11.59,9.51,66.67,2.68,54.55,0.24,0.27,0.24,5.0,5.52,1.46,0,0.0,0,0.0,1.34,0.0,0,0.0,0.03,0,0.0,3,0.37,33.33,0.0,0.0,1.34,18.18,0.12,0.0,1.22,20.0,0.24,1.22,80.0,4.39,52.78,0.73,1.5899999999999999,0.12,14.76,0.61,1.71,25.37,64.42,15.61,63.28,2.07,88.24,18.78,73.38,5.37,43.18,22.67,40.15,0.09,1.22,0.0,0.0,0.0,0.0,0.12,5.61,60.87,1.34,18.18,0.37,33.33,0.24,0.12,8.17,59.7,56.76,4.51,0,,0,,0,0.0,0.0,0.0,,,0.37,,2.68,1.9500000000000002,0.0,0.0,0.24,0,0
A. Lawal,Ayuba Lawal,-529928,Gbagada,Gbagada,https://cdn5.wyscout.com/photos/team/public/g-20416_120x120.png,Creative Championship,"DMF, LCB, LCMF",DMF,67,LCB,22,LCMF,10,19.0,2006-03-24,0,,8,738,1,0.47000000000000003,0,0.16,13.54,59.46,Nigeria,['Nigeria'],left,183,63,False,8.05,5.98,65.31,2.07,52.94,0.12,0.13,0.37,4.02,4.44,1.83,2,0.24,0,0.0,0.12,0.12,1,0.12,0.06,0,0.0,3,0.37,33.33,33.333,0.0,0.37,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,3.29,55.56,0.24,0.61,0.0,13.66,0.12,1.9500000000000002,26.1,78.97,11.1,63.74,2.44,85.0,20.0,85.98,5.73,59.57,22.51,33.63,0.02,0.37,0.0,0.0,0.0,0.0,0.24,3.54,65.52,0.37,33.33,0.12,0.0,0.12,0.0,5.73,51.06,91.76,10.37,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.07,0.12,0.0,0.0,0.0,0,0
A. Ephenus,Alfred Ephenus,-646654,Gbagada,Gbagada,https://cdn5.wyscout.com/photos/team/public/g-20416_120x120.png,Creative Championship,LB,LB,100,,0,,0,18.0,2007-07-10,0,,8,687,0,0.0,0,0.39,14.28,56.88,Nigeria,['Nigeria'],left,163,65,False,8.25,8.12,64.52,1.83,42.86,0.13,0.15,0.13,2.88,3.2,0.39,0,0.0,0,0.0,0.79,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.57,33.33,1.44,36.36,0.13,0.0,0.13,0.66,40.0,3.2800000000000002,44.0,0.13,1.7000000000000002,0.0,17.42,0.52,1.97,27.9,76.53,12.71,69.07,3.67,100.0,22.4,82.46,3.93,60.0,17.76,25.68,0.05,0.66,0.0,0.0,0.0,0.0,0.0,2.36,83.33,1.18,44.44,0.0,0.0,0.0,0.66,6.8100000000000005,51.92,73.91,6.03,0,,0,,0,0.0,0.0,0.0,,,0.39,,1.83,0.52,0.0,0.0,1.7000000000000002,0,0
A. Mervielle,Akinocho Mervielle,-656306,Beyond Limits,Beyond Limits,https://cdn5.wyscout.com/photos/team/public/g-20411_120x120.png,Creative Championship,CF,CF,100,,0,,0,17.0,2008-06-30,0,,8,669,7,7.66,1,0.52,17.62,35.11,Nigeria,['Nigeria'],right,187,81,False,2.56,3.36,56.0,2.96,45.45,0.0,0.0,0.13,0.67,1.01,1.75,0,0.0,0,0.0,2.96,0.9400000000000001,6,0.81,1.03,0,0.0,29,3.9,55.17,24.138,0.13,0.27,0.0,0.0,0.0,0.27,0.0,0.0,1.21,66.67,9.55,28.17,5.65,1.48,0.27,9.28,0.81,1.21,9.55,74.65,1.88,57.14,3.36,84.0,9.01,79.1,0.27,0.0,13.38,9.38,0.07,0.4,0.0,0.13,0.0,0.0,0.4,0.81,66.67,0.67,20.0,0.0,0.0,0.4,0.0,0.67,60.0,64.29,1.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.96,0.0,0.0,0.0,0.0,1,100
F. Alimi,Farouk Alimi,-652714,Sporting Lagos,Sporting Lagos,https://cdn5.wyscout.com/photos/team/public/g-20415_120x120.png,Creative Championship,"LDMF, LCMF, RDMF",LDMF,27,LCMF,18,RDMF,17,16.0,2009-01-21,0,,7,667,3,0.39,0,0.12,13.36,49.49,Nigeria,['Nigeria'],unknown,174,65,False,7.96,5.53,53.66,2.16,37.5,0.0,0.0,0.67,4.99,6.8100000000000005,1.8900000000000001,0,0.0,0,0.0,1.08,0.4,3,0.4,0.05,0,0.0,12,1.62,25.0,25.0,0.0,0.54,50.0,0.13,100.0,0.4,33.33,0.27,0.54,75.0,3.7800000000000002,53.57,0.27,0.67,0.0,21.72,0.13,1.35,36.3,75.46,16.06,64.71,3.64,88.89,31.98,80.17,3.91,41.38,19.75,39.63,0.02,0.4,0.0,0.0,0.0,0.0,0.0,5.26,53.85,0.9400000000000001,14.29,0.27,0.0,0.27,0.13,8.37,54.84,86.17,12.68,0,,0,,0,0.0,0.0,0.0,,,0.13,,2.16,1.08,0.4,66.67,0.67,0,0
S. Umoh,Samuel Umoh,-530468,Sporting Lagos,Sporting Lagos,https://cdn5.wyscout.com/photos/team/public/g-20415_120x120.png,Creative Championship,"RCB, LCB",RCB,78,LCB,13,,0,17.0,2008-04-04,0,,7,667,0,0.03,0,0.05,9.99,63.51,Nigeria,['Nigeria'],unknown,179,72,False,5.8,4.18,67.74,2.7,60.0,0.0,0.0,0.27,2.9699999999999998,4.05,0.81,1,0.13,0,0.0,0.27,0.0,0,0.0,0.0,0,0.0,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,66.67,1.8900000000000001,71.43,0.0,0.27,0.0,28.74,0.27,1.48,41.69,80.91,17.81,63.64,3.51,100.0,33.19,91.87,8.5,38.1,24.89,43.36,0.01,0.27,0.0,0.0,0.0,0.0,0.0,4.72,37.14,0.4,0.0,0.4,0.0,0.0,0.0,7.15,54.72,94.49,17.14,0,,0,,0,0.0,0.0,0.0,,,3.1,,2.7,0.0,0.0,0.0,0.0,0,0
G. Hammed,Gaffar Hammed,-530449,Sporting Lagos,Sporting Lagos,https://cdn5.wyscout.com/photos/team/public/g-20415_120x120.png,Creative Championship,GK,GK,100,,0,,0,16.0,2009-06-26,0,,7,667,0,0.0,0,0.0,0.9400000000000001,100.0,Nigeria,['Nigeria'],unknown,181,68,False,2.29,0.0,0.0,0.67,100.0,0.0,0.0,0.0,2.29,3.13,0.0,1,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,16.46,0.0,0.13,28.47,81.04,13.63,63.37,0.0,0.0,20.37,97.35,7.96,40.68,30.7,50.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,10.0,0.81,16.67,0.27,0.0,0.0,0.0,4.05,43.33,97.89,12.82,9,1.21,30,4.05,2,70.0,7.82,1.06,-1.18,-0.159,0.0,1.48,0.67,,,,0.0,0,0
