Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Jeleń,Mateusz Jeleń,-310961,Sandecja Nowy Sącz,Sandecja Nowy Sącz,https://cdn5.wyscout.com/photos/team/public/2896_120x120.png,II Liga,GK,GK,100,,0,,0,18.0,2007-02-02,0,,10,972,0,0.0,0,0.0,0.93,70.0,Poland,['Poland'],right,188,78,True,0.8300000000000001,0.0,0.0,0.74,62.5,0.0,0.0,0.0,0.8300000000000001,1.27,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,0.09,0.0,16.85,80.22,8.43,64.84,0.0,0.0,10.19,95.45,6.57,57.75,33.23,49.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,50.0,0.0,0.0,0.09,0.0,0.0,0.0,4.91,60.38,96.15,7.22,16,1.48,49,4.54,2,67.35,14.36,1.33,-1.6400000000000001,-0.152,0.0,1.67,0.74,,,,0.0,0,0.0
W. Błyszko,Wojciech Błyszko,497411,Sandecja Nowy Sącz,Sandecja Nowy Sącz,https://cdn5.wyscout.com/photos/team/public/2896_120x120.png,II Liga,"RCB3, RCB, CB",RCB3,58,RCB,22,CB,19,25.0,1999-10-05,150000,,10,972,0,0.8200000000000001,0,0.0,11.57,67.2,Poland,['Poland'],right,196,89,False,7.31,5.37,77.59,2.87,61.29,0.28,0.42,0.8300000000000001,2.87,4.39,0.46,3,0.28,0,0.0,0.37,0.0,0,0.0,0.08,0,0.0,5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,80.0,1.48,50.0,0.37,1.3900000000000001,0.19,26.85,0.37,0.28,39.54,84.31,21.02,75.33,2.7800000000000002,96.67,33.8,91.51,5.74,41.94,22.82,41.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,53.66,0.37,25.0,0.19,50.0,0.09,0.0,9.26,64.0,96.45,13.06,0,,0,,0,0.0,0.0,0.0,,,1.57,,2.87,0.0,0.0,0.0,0.0,0,0.0
K. Getinger,Krystian Getinger,43574,Stal Stalowa Wola,Stal Stalowa Wola,https://cdn5.wyscout.com/photos/team/public/g3120_120x120.png,II Liga,"LCB3, LB",LCB3,83,LB,12,,0,37.0,1988-08-29,200000,2026-06-30,10,970,0,0.22,1,0.31,9.52,63.04,Poland,['Poland'],left,188,78,False,9.0,4.45,65.12,1.97,57.89,0.0,0.0,0.31,6.1,8.43,0.31,3,0.28,0,0.0,2.07,0.0,0,0.0,0.02,0,0.0,7,0.72,57.14,0.0,0.1,2.9,32.14,2.9,32.14,0.0,0.0,0.31,0.8300000000000001,75.0,2.07,70.0,0.31,2.17,0.1,31.24,0.62,0.93,48.62,77.66,21.41,68.6,4.66,86.67,38.38,86.25,7.45,50.0,22.44,38.99,0.03,0.8300000000000001,0.0,0.0,0.21,50.0,0.21,8.9,68.6,3.1,43.33,0.62,50.0,0.52,0.93,11.69,71.68,84.0,15.52,0,,0,,0,0.0,0.0,0.0,,,1.55,,1.97,0.93,0.0,0.0,0.31,0,0.0
D. Primel,Damian Primel,119709,Chojniczanka Chojnice,Chojniczanka Chojnice,https://cdn5.wyscout.com/photos/team/public/g13529_120x120.png,II Liga,GK,GK,100,,0,,0,33.0,1992-04-16,0,,10,965,0,0.0,0,0.0,0.56,100.0,Poland,['Poland'],right,191,0,False,0.93,0.09,100.0,0.47000000000000003,100.0,0.0,0.0,0.0,0.84,1.16,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83,0.19,0.28,13.52,91.03,7.65,84.15,0.0,0.0,9.23,97.98,4.29,76.09,30.88,44.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,62.5,0.0,0.0,0.0,0.0,0.0,0.0,4.1,84.09,100.0,4.94,21,1.96,53,4.94,0,60.38,16.21,1.51,-4.79,-0.447,0.0,1.87,0.47000000000000003,,,,0.0,0,0.0
M. Bartosiak,Mateusz Bartosiak,-131770,Sokół Kleczew,Sokół Kleczew,https://cdn5.wyscout.com/photos/team/public/g19047_120x120.png,II Liga,RCB,RCB,97,,0,,0,25.0,2000-02-26,0,,10,965,1,1.05,1,0.15,11.56,51.61,Poland,['Poland'],right,188,0,False,5.97,2.98,56.25,5.78,53.23,0.0,0.0,0.84,4.29,5.5600000000000005,0.75,2,0.19,0,0.0,0.28,0.09,1,0.09,0.1,1,0.09,6,0.56,50.0,16.667,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,1.49,37.5,0.84,0.84,0.19,21.08,0.19,0.56,34.41,85.91,13.24,70.42,1.31,100.0,29.56,91.8,4.85,50.0,21.69,42.64,0.01,0.19,0.0,0.0,0.0,0.0,0.09,3.36,47.22,0.47000000000000003,0.0,0.47000000000000003,20.0,0.19,0.0,6.44,60.87,94.83,16.23,0,,0,,0,0.0,0.0,0.0,,,0.93,,5.78,0.0,0.0,0.0,0.0,0,0.0
L. Przybylak,Leo Przybylak,-218330,Warta Poznań,Warta Poznań,https://cdn5.wyscout.com/photos/team/public/2769_120x120.png,II Liga,GK,GK,100,,0,,0,21.0,2004-05-28,0,,10,961,0,0.0,0,0.0,0.47000000000000003,100.0,Poland,['Poland'],right,194,78,False,1.31,0.0,0.0,0.28,100.0,0.0,0.0,0.0,1.31,1.88,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,11.43,0.0,0.19,16.11,80.23,8.24,69.32,0.0,0.0,8.8,93.62,7.3,64.1,32.28,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,64.0,0.09,0.0,0.09,0.0,0.0,0.0,5.15,76.36,92.31,7.3,11,1.03,39,3.65,3,71.79,10.96,1.03,-0.04,-0.004,0.0,1.03,0.28,,,,0.0,0,0.0
D. Avdeyev,Dmytrii Avdeyev,-103299,Warta Poznań,Warta Poznań,https://cdn5.wyscout.com/photos/team/public/2769_120x120.png,II Liga,"LCB3, LCB",LCB3,89,LCB,10,,0,23.0,2002-02-26,0,,10,961,0,0.05,0,0.65,11.14,48.74,Ukraine,['Ukraine'],,180,68,False,7.68,5.15,60.0,3.56,42.11,0.19,0.27,0.47000000000000003,4.4,6.29,0.66,1,0.09,0,0.0,0.75,0.0,0,0.0,0.01,0,0.0,2,0.19,50.0,0.0,0.0,1.22,38.46,1.12,41.67,0.09,0.0,0.19,0.28,66.67,1.12,25.0,0.47000000000000003,0.75,0.0,35.21,0.47000000000000003,0.47000000000000003,51.13,84.8,21.54,71.3,6.09,96.92,43.83,91.67,6.18,43.94,20.26,39.22,0.06,0.66,0.19,0.0,0.0,0.0,0.09,7.68,71.95,1.69,44.44,0.19,0.0,0.37,0.56,9.37,68.0,95.02,18.82,0,,0,,0,0.0,0.0,0.0,,,1.4,,3.56,0.37,0.09,100.0,0.37,0,0.0
B. Czajka,Beniamin Czajka,-268874,Olimpia Grudziądz,Olimpia Grudziądz,https://cdn5.wyscout.com/photos/team/public/3829_120x120.png,II Liga,LCB,LCB,100,,0,,0,25.0,2000-03-31,0,,10,961,1,0.73,1,0.30000000000000004,13.58,60.0,Poland,['Poland'],left,191,86,False,8.15,5.99,67.19,4.31,56.52,0.19,0.30000000000000004,0.56,3.93,6.3,1.5899999999999999,0,0.0,0,0.0,0.47000000000000003,0.09,1,0.09,0.07,0,0.0,4,0.37,75.0,25.0,0.09,0.09,100.0,0.09,100.0,0.0,0.0,0.0,0.09,100.0,1.12,33.33,1.03,0.37,0.0,29.69,0.19,0.56,46.36,83.43,18.45,69.04,3.65,94.87,39.71,89.15,6.5600000000000005,48.57,21.45,38.17,0.03,0.19,0.0,0.09,0.0,0.0,0.09,3.84,60.98,0.28,66.67,0.37,50.0,0.37,0.0,8.71,51.61,95.52,18.82,0,,0,,0,0.0,0.0,0.0,,,2.5300000000000002,,4.31,0.0,0.0,0.0,0.0,0,0.0
B. Zbiciak,Bartosz Zbiciak,-262795,Olimpia Grudziądz,Olimpia Grudziądz,https://cdn5.wyscout.com/photos/team/public/3829_120x120.png,II Liga,RCB,RCB,100,,0,,0,24.0,2001-01-17,0,,10,961,1,1.19,1,0.0,14.42,62.99,Poland,['Poland'],right,193,0,False,8.24,6.18,77.27,5.8100000000000005,59.68,0.09,0.15,0.66,3.37,5.4,1.4,2,0.19,0,0.0,0.84,0.09,1,0.09,0.11,1,0.09,10,0.9400000000000001,30.0,10.0,0.09,0.47000000000000003,60.0,0.09,0.0,0.37,75.0,0.0,0.28,100.0,1.5,31.25,1.31,0.47000000000000003,0.0,27.16,0.09,0.0,44.11,80.47,20.79,67.57,2.81,93.33,35.31,87.53,8.43,52.22,22.71,39.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,66.67,0.84,22.22,0.37,25.0,0.09,0.19,10.21,62.39,93.1,16.3,0,,0,,0,0.0,0.0,0.0,,,1.69,,5.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
S. Sobolewski,Sebastian Sobolewski,-262636,Olimpia Grudziądz,Olimpia Grudziądz,https://cdn5.wyscout.com/photos/team/public/3829_120x120.png,II Liga,GK,GK,100,,0,,0,20.0,2005-02-24,0,,10,961,0,0.0,0,0.0,1.03,90.91,Poland,['Poland'],both,190,0,False,1.22,0.09,100.0,0.28,66.67,0.0,0.0,0.0,1.12,1.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,0.0,0.0,0.0,13.49,0.09,0.56,19.11,84.31,12.08,77.52,0.0,0.0,10.11,99.07,8.99,67.71,32.13,44.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,75.0,95.65,6.46,12,1.12,37,3.47,2,67.57,9.88,0.93,-2.12,-0.199,0.0,0.56,0.28,,,,0.0,0,0.0
