Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Pellini,Mattia Pellini,-264375,Torino U20,Torino U20,https://cdn5.wyscout.com/photos/team/public/g-21957_120x120.png,Campionato Primavera 1,"RCB, CB",RCB,58,CB,39,,0,18.0,2007-02-23,0,2026-06-30,19,1840,1,1.0,0,0.0,12.82,62.98,Italy,['Italy'],,0,0,True,9.68,6.07,70.97,3.18,64.62,0.49,0.64,0.44,4.89,6.38,0.73,1,0.05,0,0.0,0.34,0.05,1,0.05,0.05,0,0.0,13,0.64,30.77,7.692,0.0,0.2,25.0,0.0,0.0,0.2,25.0,0.0,0.44,22.22,1.32,37.04,0.44,0.64,0.05,26.9,0.2,0.39,44.32,85.87,17.51,74.02,2.1,95.35,39.13,90.38,4.99,52.94,21.13,36.68,0.0,0.0,0.05,0.0,0.0,0.0,0.0,4.5,63.04,0.49,30.0,0.29,16.67,0.1,0.05,8.27,65.09,95.32,20.89,0,,0,,0,0.0,0.0,0.0,,,1.47,,3.18,0.05,0.05,100.0,0.0,0,0.0
Ricardo Bordon,Ricardo Bordon,-423911,Lazio U20,Lazio U20,https://cdn5.wyscout.com/photos/team/public/g-21960_120x120.png,Campionato Primavera 1,"CB, RCB",CB,55,RCB,39,,0,19.0,2006-11-02,0,,19,1822,2,1.56,0,0.31,12.84,63.08,Brazil,['Brazil'],unknown,0,0,False,6.87,4.05,62.2,6.37,69.77,0.44,0.55,0.74,3.9,4.85,1.28,3,0.15,0,0.0,0.44,0.1,2,0.1,0.08,1,0.05,11,0.54,36.36,18.182,0.0,0.15,33.33,0.05,0.0,0.1,50.0,0.0,0.35000000000000003,57.14,1.04,52.38,0.99,0.59,0.0,21.73,0.15,0.4,37.15,84.18,14.23,65.63,1.38,96.43,30.28,91.68,6.72,51.47,23.6,37.16,0.02,0.2,0.0,0.0,0.0,0.0,0.05,4.45,45.56,0.49,10.0,0.25,0.0,0.15,0.05,6.08,65.04,96.16,19.31,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,6.37,0.0,0.0,0.0,0.0,0,0.0
L. Ferrari,Lorenzo Ferrari,-258007,Lazio U20,Lazio U20,https://cdn5.wyscout.com/photos/team/public/g-21960_120x120.png,Campionato Primavera 1,"RWB, RB",RWB,50,RB,38,,0,19.0,2006-02-04,0,2026-06-30,19,1762,0,0.86,2,1.48,16.29,52.04,Italy,['Italy'],right,0,0,False,9.25,7.25,64.08,2.45,43.75,0.31,0.37,0.26,4.29,5.21,0.97,2,0.1,0,0.0,2.45,0.0,0,0.0,0.04,0,0.0,12,0.61,8.33,0.0,0.1,3.93,15.58,0.05,0.0,3.83,14.67,0.66,2.91,61.4,5.26,45.63,1.23,1.58,0.15,21.2,1.8399999999999999,0.56,29.88,72.31,11.85,68.1,5.36,94.29,23.39,85.15,3.06,40.0,19.96,37.24,0.08,0.46,0.05,0.0,0.05,0.0,0.26,4.29,65.48,2.4,23.4,0.15,33.33,0.2,0.61,6.08,67.23,66.89,7.5600000000000005,0,,0,,0,0.0,0.0,0.0,,,0.36,,2.45,0.2,0.1,0.0,0.15,0,0.0
P. Penev,Plamen Penev,-453650,Lecce U20,Lecce U20,https://cdn5.wyscout.com/photos/team/public/g-21950_120x120.png,Campionato Primavera 1,GK,GK,100,,0,,0,17.0,2008-04-22,0,,18,1754,0,0.0,0,0.0,1.13,90.91,Bulgaria,['Bulgaria'],unknown,0,0,False,1.6400000000000001,0.21,50.0,0.62,100.0,0.0,0.0,0.0,1.54,2.09,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,14.93,0.15,0.36,26.48,79.84,17.7,72.17,0.0,0.0,12.06,98.3,14.32,64.87,37.59,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,48.75,0.31,0.0,0.15,33.33,0.0,0.0,10.78,74.76,96.13,7.95,29,1.49,81,4.16,3,64.2,25.77,1.32,-3.23,-0.166,0.0,1.49,0.62,,,,0.0,0,0.0
N. Trapani,Niccolò Trapani,-155252,Fiorentina,Fiorentina U20,https://cdn5.wyscout.com/photos/team/public/78_120x120.png,Serie A,RB,RB,89,,0,,0,19.0,2006-05-11,0,2027-06-30,18,1745,1,0.37,1,1.32,12.64,51.02,Italy,['Italy'],right,0,0,False,7.12,5.67,59.09,1.7000000000000002,42.42,0.15,0.23,0.26,3.61,5.37,0.72,0,0.0,0,0.0,0.77,0.05,1,0.05,0.02,0,0.0,4,0.21,25.0,25.0,0.05,0.77,26.67,0.0,0.0,0.72,21.43,0.21,0.98,42.11,3.46,46.27,0.67,1.9100000000000001,0.26,29.5,2.01,1.13,41.05,85.18,14.34,79.5,7.01,94.12,36.57,88.58,3.71,63.89,18.01,32.05,0.07,0.52,0.05,0.05,0.15,66.67,0.1,4.44,83.72,1.34,61.54,0.21,50.0,0.88,0.1,8.56,71.69,89.47,13.72,0,,0,,0,0.0,0.0,0.0,,,0.93,,1.7000000000000002,0.0,0.0,0.0,0.0,0,0.0
N. Perera,Nirash Raffaello Perera,-258874,Milan U20,Milan U20,https://cdn5.wyscout.com/photos/team/public/g-21952_120x120.png,Campionato Primavera 1,"LB, LCMF3, LAMF",LB,57,LCMF3,20,LAMF,11,19.0,2007-01-02,0,2026-06-30,19,1740,0,0.9400000000000001,1,0.76,16.66,50.0,Italy,"['Italy', 'Sri Lanka']",,0,0,False,9.52,7.19,65.47,2.74,30.19,0.21,0.31,0.21,4.6,6.85,0.78,4,0.21,0,0.0,2.33,0.0,0,0.0,0.05,0,0.0,16,0.8300000000000001,37.5,0.0,0.05,2.43,53.19,2.43,53.19,0.0,0.0,0.31,1.19,60.87,5.28,46.08,1.19,1.45,0.21,26.59,0.88,1.6,36.72,78.73,11.9,61.74,7.66,95.27,30.21,84.25,4.29,54.22,19.52,39.8,0.04,0.36,0.0,0.0,0.1,0.0,0.41000000000000003,5.07,59.18,2.69,48.08,0.62,25.0,0.5700000000000001,1.09,7.14,71.74,83.84,11.84,0,,0,,0,0.0,0.0,0.0,,,1.34,,2.74,0.16,0.0,0.0,0.26,0,0.0
S. Albè,Simone Albè,-151871,Monza U20,Monza U20,https://cdn5.wyscout.com/photos/team/public/g-21949_120x120.png,Campionato Primavera 1,"LCB3, CB",LCB3,73,CB,16,,0,19.0,2006-10-01,0,,18,1729,0,0.64,1,0.03,12.6,54.96,Italy,['Italy'],,189,0,False,8.43,6.14,72.03,2.03,35.9,0.0,0.0,0.42,4.01,4.78,0.68,5,0.26,0,0.0,0.31,0.0,0,0.0,0.03,0,0.0,5,0.26,20.0,0.0,0.05,0.47000000000000003,22.22,0.36,28.57,0.1,0.0,0.05,0.5700000000000001,27.27,2.29,27.27,0.52,1.35,0.05,26.91,0.99,0.5700000000000001,39.46,81.4,19.83,72.97,2.86,94.55,33.11,87.42,5.93,52.63,21.08,37.22,0.0,0.1,0.0,0.0,0.05,0.0,0.05,6.82,64.12,0.73,21.43,0.62,25.0,0.21,0.0,9.16,72.73,91.7,12.54,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.03,0.0,0.0,0.0,0.0,0,0.0
A. Popović,Andrej Popović,-391147,Hellas Verona U20,Hellas Verona U20,https://cdn5.wyscout.com/photos/team/public/g28209_120x120.png,Campionato Primavera 1,"LCB3, CB, RCB",LCB3,46,CB,33,RCB,14,19.0,2006-04-25,0,,18,1725,0,0.5700000000000001,2,0.6900000000000001,10.38,68.34,Serbia,['Serbia'],left,193,78,False,10.33,5.01,76.04,2.71,67.31,0.26,0.33,0.99,6.26,7.95,0.99,2,0.1,0,0.0,0.21,0.0,0,0.0,0.03,0,0.0,5,0.26,20.0,0.0,0.1,0.21,25.0,0.21,25.0,0.0,0.0,0.0,0.16,66.67,0.42,62.5,0.52,0.52,0.0,22.75,0.52,0.16,41.01,77.1,19.04,61.92,1.51,86.21,31.72,86.02,9.13,46.86,23.48,38.7,0.04,0.1,0.0,0.0,0.0,0.0,0.1,6.26,60.0,0.47000000000000003,11.11,0.16,66.67,0.16,0.0,10.33,57.58,91.95,16.85,0,,0,,0,0.0,0.0,0.0,,,0.89,,2.71,0.0,0.0,0.0,0.0,0,0.0
R. Domeniconi,Riccardo Domeniconi,-153971,Cesena U20,Cesena U20,https://cdn5.wyscout.com/photos/team/public/g-21945_120x120.png,Campionato Primavera 1,"RCMF3, RB",RCMF3,40,RB,32,,0,19.0,2006-02-01,0,,18,1718,1,1.07,0,1.0,18.54,53.11,Italy,['Italy'],right,0,0,False,9.22,8.33,64.15,1.8900000000000001,33.33,0.37,0.4,0.16,3.51,3.83,0.68,2,0.1,0,0.0,2.25,0.05,1,0.05,0.06,0,0.0,20,1.05,35.0,5.0,0.0,1.99,23.68,0.37,0.0,1.62,29.03,0.21,2.41,56.52,6.44,47.15,1.1,2.1,0.63,17.65,1.31,1.31,26.4,71.23,12.78,70.49,2.67,86.27,21.22,78.27,3.56,54.41,19.39,38.58,0.05,0.58,0.05,0.0,0.05,100.0,0.26,4.45,67.06,2.2,35.71,0.37,57.14,0.79,0.42,7.07,64.44,73.55,6.34,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.8900000000000001,0.0,0.0,0.0,0.0,0,0.0
M. Obleac,Matteo Obleac,-257702,Frosinone U20,Frosinone U20,https://cdn5.wyscout.com/photos/team/public/g-24301_120x120.png,Campionato Primavera 1,"RCB, CB",RCB,67,CB,14,,0,19.0,2006-06-23,0,,18,1703,0,0.78,1,0.05,16.7,68.04,Romania,"['Romania', 'Italy']",right,0,0,False,12.0,8.83,78.44,4.49,56.47,0.26,0.32,0.53,4.8100000000000005,5.8100000000000005,0.79,3,0.16,0,0.0,0.42,0.0,0,0.0,0.04,0,0.0,5,0.26,20.0,0.0,0.05,0.16,33.33,0.0,0.0,0.16,33.33,0.0,0.37,85.71,1.74,54.55,0.42,0.63,0.0,21.09,0.48,0.42,36.52,84.08,15.48,70.99,2.54,93.75,31.07,90.31,5.28,49.0,21.4,35.02,0.0,0.11,0.0,0.0,0.0,0.0,0.0,4.23,67.5,0.21,25.0,0.32,33.33,0.05,0.0,6.71,59.84,96.28,15.64,0,,0,,0,0.0,0.0,0.0,,,1.48,,4.49,0.0,0.0,0.0,0.0,0,0.0
