Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Peitzmeier,Jhonny Peitzmeier,461139,VfB Oldenburg,VfB Oldenburg,https://cdn5.wyscout.com/photos/team/public/3821_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,25.0,2000-11-04,100000,2027-06-30,31,3011,0,0.0,0,0.03,0.54,77.78,Germany,['Germany'],right,190,80,False,2.9,0.09,66.67,0.18,100.0,0.03,0.05,0.0,2.81,4.44,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.18,66.67,0.0,0.09,0.03,29.74,0.27,0.12,46.54,87.48,27.59,80.17,0.0,0.0,30.73,97.86,15.69,67.81,29.1,45.63,0.0,0.06,0.03,0.0,0.0,0.0,0.0,5.17,53.76,0.36,41.67,0.48,50.0,0.27,0.0,11.96,80.75,98.27,17.28,39,1.17,110,3.29,9,64.55,39.43,1.18,0.43,0.013000000000000001,0.0,0.96,0.18,,,,0.0,0,0.0
L. Giwah,Liam Giwah,-47819,Drochtersen / Assel,Drochtersen / Assel,https://cdn5.wyscout.com/photos/team/public/g11230_120x120.png,Regionalliga Nord,"RCB3, RB",RCB3,62,RB,30,,0,26.0,2000-01-14,50000,2027-06-30,31,2994,5,2.44,1,1.19,15.27,62.01,Germany,['Germany'],right,186,80,False,9.53,5.59,72.04,4.39,62.33,0.45,0.67,0.45,5.05,7.51,0.96,7,0.21,1,0.03,0.87,0.15,5,0.15,0.07,3,0.09,19,0.5700000000000001,31.58,26.316,0.03,0.9,53.33,0.09,100.0,0.81,48.15,0.06,0.45,46.67,2.92,50.52,1.05,1.05,0.06,20.71,0.36,1.17,34.9,76.57,18.46,71.17,2.31,90.91,27.51,83.83,6.55,49.54,20.79,37.46,0.04,0.30000000000000004,0.09,0.0,0.0,0.0,0.15,8.51,63.25,1.53,35.29,0.42,35.71,0.42,0.33,9.77,75.38,84.55,9.92,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,4.39,0.06,0.0,0.0,0.0,0,0.0
P. Siefkes,Patrick Siefkes,85130,Drochtersen / Assel,Drochtersen / Assel,https://cdn5.wyscout.com/photos/team/public/g11230_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,36.0,1990-01-12,50000,2026-06-30,30,2953,0,0.0,0,0.0,0.37,100.0,Germany,['Germany'],right,182,75,False,1.43,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,1.43,2.13,0.0,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.03,0.0,8.93,0.15,0.09,15.91,79.31,11.83,73.45,0.03,100.0,7.31,97.5,8.53,64.29,36.27,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,56.79,0.15,20.0,0.03,100.0,0.06,0.0,6.58,79.17,96.46,3.44,44,1.34,117,3.5700000000000003,6,62.39,34.48,1.05,-9.52,-0.29,0.0,1.04,0.30000000000000004,,,,0.0,0,0.0
T. Mohr,Tjorve Mohr,359335,Drochtersen / Assel,Drochtersen / Assel,https://cdn5.wyscout.com/photos/team/public/g11230_120x120.png,Regionalliga Nord,"CB, RCB",CB,61,RCB,30,,0,29.0,1997-03-26,50000,2026-06-30,30,2953,5,5.11,0,0.6900000000000001,16.03,66.35,Germany,['Germany'],right,194,0,False,9.17,4.39,77.78,8.17,66.04,0.27,0.41000000000000003,1.07,5.49,8.14,1.07,5,0.15,0,0.0,0.61,0.15,5,0.15,0.16,3,0.09,37,1.13,43.24,13.514,0.0,0.12,25.0,0.03,0.0,0.09,33.33,0.03,0.09,100.0,1.04,55.88,2.04,0.24,0.03,19.26,0.15,0.61,35.41,82.96,15.51,71.71,1.9500000000000002,95.31,29.11,89.74,6.19,52.22,21.96,39.02,0.02,0.15,0.0,0.0,0.03,0.0,0.03,5.27,58.38,0.55,33.33,0.18,0.0,0.4,0.03,7.5,71.14,93.82,14.29,0,,0,,0,0.0,0.0,0.0,,,1.28,,8.17,0.0,0.0,0.0,0.0,0,0.0
G. Siala,Gazi Siala,218008,Jeddeloh,Jeddeloh,https://cdn5.wyscout.com/photos/team/public/g21874_120x120.png,Regionalliga Nord,CB,CB,95,,0,,0,31.0,1994-11-09,50000,2026-06-30,31,2877,3,2.27,1,0.61,11.45,61.75,Germany,['Germany'],right,185,0,False,9.54,3.94,70.63,4.41,56.74,0.13,0.16,0.9400000000000001,6.63,8.56,0.44,2,0.06,0,0.0,0.44,0.09,3,0.09,0.07,0,0.0,13,0.41000000000000003,69.23,23.077,0.03,0.16,20.0,0.0,0.0,0.13,25.0,0.06,0.19,66.67,1.22,56.41,1.22,0.53,0.06,26.47,0.16,0.97,47.58,86.19,18.74,74.79,3.47,93.69,39.54,91.69,7.88,59.92,21.92,36.49,0.02,0.16,0.0,0.0,0.0,0.0,0.13,3.88,56.45,0.53,41.18,0.31,40.0,0.34,0.06,8.45,67.41,95.8,21.62,0,,0,,0,0.0,0.0,0.0,,,2.7199999999999998,,4.41,0.03,0.03,100.0,0.0,0,0.0
L. Schmidt,Leon Gino Schmidt,-59607,Bremer SV,Bremer SV,https://cdn5.wyscout.com/photos/team/public/g11073_120x120.png,Regionalliga Nord,CF,CF,96,,0,,0,24.0,2001-06-08,10000,2026-06-30,30,2823,22,18.46,3,1.98,25.98,35.09,Germany,['Germany'],right,187,0,False,3.5700000000000003,3.83,61.67,6.7,28.1,0.13,0.17,0.03,1.08,1.48,2.01,3,0.1,0,0.0,2.96,0.7000000000000001,19,0.61,0.59,4,0.13,96,3.06,51.04,22.917,0.1,0.64,20.0,0.13,0.0,0.51,25.0,0.1,2.65,48.19,10.97,30.52,3.86,1.4,0.06,10.58,2.42,1.82,16.9,72.45,3.89,63.93,5.48,86.05,15.49,75.93,0.77,45.83,15.82,20.02,0.06,0.51,0.0,0.0,0.03,0.0,0.29,1.94,63.93,1.08,38.24,0.03,0.0,0.48,0.16,1.85,65.52,62.88,4.21,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.7,0.03,0.03,0.0,0.0,4,75.0
M. Klump,Max-Peter Klump,454009,Schöningen,Schöningen,https://cdn5.wyscout.com/photos/team/public/g-24191_120x120.png,Regionalliga Nord,"LB, LB5",LB,82,LB5,14,,0,27.0,1999-03-12,125000,2026-06-30,30,2801,0,0.39,4,3.54,15.87,59.31,Germany,['Germany'],left,180,0,False,9.9,7.26,69.47,1.83,57.89,0.03,0.04,0.16,4.82,6.06,0.61,4,0.13,0,0.0,1.77,0.0,0,0.0,0.01,0,0.0,10,0.32,40.0,0.0,0.13,1.57,34.69,1.48,32.61,0.03,100.0,0.13,1.4100000000000001,75.0,4.95,47.4,0.1,1.25,0.16,23.04,0.48,0.61,37.95,69.94,18.51,58.16,4.63,91.67,26.77,81.03,9.7,45.36,22.81,38.8,0.11,1.03,0.03,0.03,0.1,33.33,0.22,7.68,48.12,2.54,34.18,0.93,20.69,0.48,0.51,9.99,63.02,80.73,9.67,0,,0,,0,0.0,0.0,0.0,,,1.0,,1.83,1.67,0.19,33.33,1.45,0,0.0
B. Pfundheller,Bjarne Pfundheller,-361269,Lübeck,Lübeck,https://cdn5.wyscout.com/photos/team/public/2675_120x120.png,Regionalliga Nord,"LCMF3, LCB, DMF",LCMF3,24,LCB,23,DMF,15,19.0,2006-06-19,0,2026-06-30,29,2801,4,3.59,3,1.04,18.22,52.2,Germany,['Germany'],right,0,0,False,9.99,7.1,62.44,4.27,48.12,0.26,0.35000000000000003,0.35000000000000003,5.3,7.26,1.19,6,0.19,0,0.0,1.0,0.13,4,0.13,0.12,0,0.0,30,0.96,46.67,13.333,0.1,0.55,17.65,0.26,12.5,0.29,22.22,0.03,0.71,63.64,4.31,39.55,1.38,0.8,0.13,20.82,0.67,1.22,36.69,77.76,14.43,63.92,5.21,93.21,31.75,83.1,4.47,46.76,18.3,34.91,0.03,0.42,0.03,0.0,0.03,0.0,0.22,5.21,61.73,1.35,28.57,0.48,20.0,0.45,0.06,5.78,66.67,86.52,11.92,0,,0,,0,0.0,0.0,0.0,,,1.09,,4.27,0.0,0.0,0.0,0.0,0,0.0
J. Sabah,Johannes Sabah,-597125,BW Lohne,BW Lohne,https://cdn5.wyscout.com/photos/team/public/g-12754_120x120.png,Regionalliga Nord,"RCB, CB, LCB",RCB,43,CB,31,LCB,12,28.0,1997-11-20,0,2026-06-30,29,2798,1,1.53,0,0.24,18.01,61.79,Germany,['Germany'],both,189,0,False,11.07,7.21,73.66,6.47,45.77,0.16,0.2,0.51,5.6,7.1,0.8,5,0.16,0,0.0,0.77,0.03,1,0.03,0.05,1,0.03,11,0.35000000000000003,45.45,9.091,0.0,0.42,30.77,0.03,0.0,0.35000000000000003,36.36,0.06,0.58,83.33,1.99,61.29,0.84,1.67,0.16,23.26,0.16,1.32,38.7,83.29,16.76,72.74,2.99,92.47,33.55,88.4,4.73,51.7,21.06,39.32,0.01,0.16,0.03,0.0,0.03,0.0,0.03,4.47,61.15,0.58,22.22,0.26,25.0,0.19,0.13,7.66,65.55,93.51,15.86,0,,0,,0,0.0,0.0,0.0,,,2.19,,6.47,0.03,0.0,0.0,0.0,0,0.0
J. Pünt,Julius Pünt,-309384,Meppen,Meppen,https://cdn5.wyscout.com/photos/team/public/g2371_120x120.png,Regionalliga Nord,GK,GK,100,,0,,0,22.0,2004-04-01,0,2027-06-30,29,2790,0,0.0,0,0.0,0.58,72.22,Germany,['Germany'],right,194,0,False,1.3900000000000001,0.03,0.0,0.42,76.92,0.0,0.0,0.0,1.3900000000000001,2.38,0.03,2,0.06,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.06,100.0,0.0,0.0,0.0,22.32,0.35000000000000003,0.13,31.97,86.98,17.42,78.33,0.03,100.0,21.32,99.24,10.55,63.0,28.89,46.68,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.74,47.06,0.16,0.0,0.26,50.0,0.03,0.0,7.9,73.06,97.69,12.55,26,0.84,91,2.94,14,71.43,26.67,0.86,0.67,0.022,0.0,1.35,0.42,,,,0.0,0,0.0
