Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Plugaru,Razvan  Plugaru,-537120,Farul Constanţa U17,Farul Constanţa U17,https://cdn5.wyscout.com/photos/team/public/g-20920_120x120.png,Liga Elitelor U17,"DMF, CB",DMF,49,CB,23,,0,17.0,2009-01-13,0,,21,1862,2,1.4100000000000001,2,0.65,11.46,48.1,Romania,['Romania'],unknown,0,0,False,7.59,6.19,59.38,2.08,41.86,0.15,0.24,0.15,3.77,6.19,1.5,0,0.0,0,0.0,0.39,0.1,1,0.05,0.07,1,0.05,10,0.48,30.0,20.0,0.1,0.29,66.67,0.05,100.0,0.19,50.0,0.05,0.15,33.33,1.5,22.58,0.58,1.45,0.0,50.75,0.29,0.19,72.36,85.5,27.07,75.89,3.14,89.23,58.29,91.79,13.78,59.3,22.08,36.79,0.03,0.34,0.0,0.05,0.0,0.0,0.15,11.75,68.31,1.31,51.85,0.34,71.43,0.63,0.15,15.42,80.25,93.35,35.62,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.08,0.0,0.0,0.0,0.0,1,100
A. Biro,Artur Biro,-735494,Csikszereda Miercurea Ciuc U17,Csikszereda Miercurea Ciuc U17,https://cdn5.wyscout.com/photos/team/public/g-14364_120x120.png,Liga Elitelor U17,LCB,LCB,99,,0,,0,16.0,2009-05-22,0,,19,1791,0,0.47000000000000003,0,0.34,9.55,55.26,Romania,['Romania'],unknown,0,0,False,7.29,4.17,67.47,2.01,50.0,0.25,0.39,0.30000000000000004,4.22,6.51,0.55,2,0.1,0,0.0,0.45,0.0,0,0.0,0.02,0,0.0,7,0.35000000000000003,14.29,0.0,0.0,0.15,33.33,0.15,33.33,0.0,0.0,0.1,0.55,63.64,1.8599999999999999,40.54,0.4,2.06,0.35000000000000003,23.07,0.6000000000000001,0.2,40.4,81.34,18.29,68.68,2.71,96.3,31.86,89.59,8.39,50.9,25.4,40.31,0.02,0.05,0.0,0.0,0.0,0.0,0.1,7.09,58.87,0.75,20.0,0.25,0.0,0.15,0.05,9.6,70.16,92.75,17.34,0,,0,,0,0.0,0.0,0.0,,,2.26,,2.01,0.1,0.0,0.0,0.0,0,0
D. Bota,Darius Bota,-735499,Csikszereda Miercurea Ciuc U17,Csikszereda Miercurea Ciuc U17,https://cdn5.wyscout.com/photos/team/public/g-14364_120x120.png,Liga Elitelor U17,"LAMF, LW, LWF",LAMF,40,LW,30,LWF,10,16.0,2009-06-17,0,,19,1763,10,6.41,0,1.42,26.65,43.87,Romania,['Romania'],unknown,0,0,False,4.39,3.68,70.83,1.79,34.29,0.46,0.71,0.1,1.33,2.05,0.87,2,0.1,0,0.0,4.95,0.51,10,0.51,0.33,0,0.0,63,3.22,47.62,15.873,0.0,1.58,22.58,1.12,31.82,0.46,0.0,0.31,5.87,52.17,18.63,40.0,3.06,1.94,0.15,16.39,1.28,2.76,27.98,75.73,7.35,68.06,7.04,89.86,24.81,81.07,1.63,43.75,17.33,29.59,0.07,1.23,0.0,0.0,0.0,0.0,0.26,3.62,69.01,1.43,42.86,0.15,33.33,0.51,0.36,4.34,61.18,74.27,8.73,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.79,0.46,0.36,28.57,0.71,1,0
D. Carabaș,Dimitrie Carabaș,-639210,FC Farul Constanţa U19,Farul Constanţa U17,https://cdn5.wyscout.com/photos/team/public/g-20924_120x120.png,Liga Tineret,"RB, RWB, RAMF",RB,43,RWB,20,RAMF,12,20.0,2006-04-06,0,,21,1725,1,1.65,4,4.03,21.5,50.49,Romania,['Romania'],unknown,0,0,False,8.92,7.93,65.79,1.15,54.55,0.0,0.0,0.0,3.7,6.05,1.2,4,0.21,0,0.0,4.02,0.05,1,0.05,0.09,0,0.0,32,1.67,18.75,3.125,0.21,3.23,43.55,0.05,100.0,2.9699999999999998,45.61,0.63,4.07,53.85,9.44,43.65,2.4,3.03,0.63,18.78,1.3,0.8300000000000001,31.41,71.26,11.43,59.36,5.43,89.42,23.95,79.3,4.33,45.78,20.92,35.28,0.21,1.04,0.0,0.0,0.26,40.0,0.5700000000000001,5.32,59.8,3.39,49.23,0.68,30.77,1.04,1.3599999999999999,7.83,68.67,78.11,10.49,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.15,0.1,0.05,0.0,0.42,0,0
S. Voicu,Stefan ALexandru Voicu,-734708,Concordia Chiajna U17,Concordia Chiajna U17,https://cdn5.wyscout.com/photos/team/public/g-20926_120x120.png,Liga Elitelor U17,LCB,LCB,100,,0,,0,17.0,2009-02-11,0,,19,1714,7,2.95,1,0.48,20.11,63.97,Romania,['Romania'],unknown,0,0,False,14.96,10.34,76.65,3.52,50.75,0.68,0.8300000000000001,0.42,6.35,7.69,1.05,1,0.05,0,0.0,1.63,0.37,7,0.37,0.15,6,0.32,23,1.21,47.83,30.435,0.05,0.11,100.0,0.05,100.0,0.05,100.0,0.0,1.26,70.83,4.31,47.56,1.31,1.73,0.11,16.44,0.26,0.68,33.45,76.45,16.86,65.11,1.31,80.0,28.56,83.82,4.78,31.87,20.77,36.61,0.03,0.26,0.05,0.11,0.05,100.0,0.11,4.25,61.73,0.68,38.46,0.05,100.0,0.21,0.05,7.46,52.82,92.28,12.92,0,,0,,0,0.0,0.0,0.0,,,0.63,,3.52,0.16,0.05,0.0,0.0,0,0
L. Sabau,Luca Matei Sabau,-687605,UTA Arad U17,UTA Arad U17,https://cdn5.wyscout.com/photos/team/public/g-20937_120x120.png,Liga Elitelor U17,LCB,LCB,96,,0,,0,17.0,2009-01-05,0,,18,1695,0,1.47,0,0.08,12.16,60.26,Romania,['Romania'],,0,0,False,8.28,6.64,69.6,2.34,47.73,0.0,0.0,0.64,3.66,4.46,0.58,2,0.11,0,0.0,0.05,0.0,0,0.0,0.08,0,0.0,6,0.32,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1.38,42.31,0.37,0.16,0.0,20.39,0.16,0.48,39.08,86.41,16.73,78.41,3.19,95.0,35.73,90.04,3.35,47.62,21.0,34.92,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.08,67.24,0.05,0.0,0.0,0.0,0.0,0.0,7.54,68.31,93.46,16.25,0,,0,,0,0.0,0.0,0.0,,,2.81,,2.34,0.0,0.0,0.0,0.0,0,0
A. Ivascu,Alexandru Cconstantin Ivascu,-734705,Concordia Chiajna U17,Concordia Chiajna U17,https://cdn5.wyscout.com/photos/team/public/g-20926_120x120.png,Liga Elitelor U17,"RB, RW",RB,51,RW,25,,0,17.0,2009-01-07,0,,18,1668,1,0.5,5,4.75,16.78,56.59,Romania,['Romania'],unknown,0,0,False,10.63,8.79,66.26,0.81,53.33,0.11,0.13,0.27,4.69,5.58,0.27,1,0.05,0,0.0,3.18,0.05,1,0.05,0.03,0,0.0,10,0.54,60.0,10.0,0.27,4.69,24.14,0.27,60.0,4.42,21.95,0.7000000000000001,2.37,72.73,5.45,45.54,0.92,2.59,0.16,16.62,1.51,0.0,30.16,61.36,14.78,62.41,2.54,87.23,20.4,75.13,5.34,41.41,22.48,36.17,0.26,1.94,0.0,0.0,0.0,0.0,0.59,5.07,58.51,4.05,29.33,0.05,100.0,0.59,1.19,9.5,63.07,60.61,8.9,0,,0,,0,0.0,0.0,0.0,,,0.05,,0.81,0.81,0.0,0.0,2.05,0,0
M. Patras,Mihail Patras,-734428,Poli Iaşi U17,Poli Iaşi U17,https://cdn5.wyscout.com/photos/team/public/g-20921_120x120.png,Liga Elitelor U17,GK,GK,100,,0,,0,17.0,2009-01-03,0,,18,1667,0,0.0,0,0.0,0.81,86.67,Romania,['Romania'],unknown,0,0,False,2.16,0.16,66.67,0.38,100.0,0.0,0.0,0.0,2.05,2.7,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,8.58,0.22,0.11,16.52,81.05,7.67,60.56,0.05,100.0,11.5,96.71,5.02,45.16,30.18,47.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,20.83,0.22,0.0,0.05,0.0,0.0,0.0,3.02,50.0,98.55,7.45,22,1.19,86,4.64,5,74.42,28.11,1.52,6.11,0.33,0.0,1.4,0.38,,,,0.0,0,0
G. Tibucanu,George Tibucanu,-734386,Poli Iaşi U17,Poli Iaşi U17,https://cdn5.wyscout.com/photos/team/public/g-20921_120x120.png,Liga Elitelor U17,"LCMF, AMF, LCMF3",LCMF,28,AMF,25,LCMF3,21,17.0,2009-04-06,0,,19,1661,6,5.48,2,3.98,12.08,52.47,Romania,['Romania'],unknown,0,0,False,5.09,4.93,64.84,0.81,60.0,0.76,1.04,0.0,1.1400000000000001,1.56,1.03,3,0.16,0,0.0,2.22,0.33,3,0.16,0.30000000000000004,0,0.0,57,3.09,43.86,10.526,0.11,0.6000000000000001,45.45,0.33,66.67,0.27,20.0,0.11,1.3,45.83,4.71,40.23,1.1400000000000001,0.65,0.05,15.33,0.49,0.7000000000000001,26.39,73.31,10.78,61.31,3.47,93.75,21.73,78.55,4.12,48.68,20.67,37.35,0.22,1.57,0.05,0.0,0.22,0.0,0.16,6.66,60.98,2.06,52.63,0.43,12.5,0.92,0.11,6.88,73.23,77.22,8.56,0,,0,,0,0.0,0.0,0.0,,,0.27,,0.81,2.87,1.3,45.83,3.03,3,100
A. Máthé,Apor Máthé,-581161,Csikszereda Miercurea Ciuc U17,Csikszereda Miercurea Ciuc U17,https://cdn5.wyscout.com/photos/team/public/g-14364_120x120.png,Liga Elitelor U17,"AMF, LCMF",AMF,47,LCMF,26,,0,17.0,2009-03-04,0,,18,1660,4,3.74,5,3.54,19.73,46.98,Romania,['Romania'],unknown,0,0,False,5.31,4.99,61.96,2.22,41.46,0.16,0.25,0.11,2.06,3.11,0.81,3,0.16,0,0.0,3.36,0.22,4,0.22,0.2,1,0.05,48,2.6,35.42,8.333,0.27,2.44,17.78,1.63,10.0,0.81,33.33,0.6000000000000001,3.96,50.68,10.08,43.01,2.44,2.17,0.65,13.17,1.8399999999999999,1.19,23.86,65.91,8.02,59.46,3.47,78.13,20.01,73.98,1.46,37.04,17.55,30.49,0.19,1.52,0.0,0.0,0.0,0.0,0.27,3.42,52.38,2.11,23.08,0.05,0.0,0.33,0.33,3.69,57.35,68.03,7.97,0,,0,,0,0.0,0.0,0.0,,,0.11,,2.22,1.63,0.27,60.0,3.36,0,0
