Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Racasan-Florin,Mihai Racasan-Florin,-384835,Slatina,Slatina,https://cdn5.wyscout.com/photos/team/public/g37287_120x120.png,Liga II,GK,GK,100,,0,,0,18.0,2007-07-01,0,,17,1656,0,0.0,0,0.0,0.65,100.0,Romania,['Romania'],unknown,0,0,False,0.87,0.05,100.0,0.43,100.0,0.0,0.0,0.0,0.8200000000000001,1.09,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,8.04,0.11,0.33,14.73,81.55,8.8,73.46,0.0,0.0,7.72,97.18,6.96,64.84,36.2,49.63,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.74,62.5,0.05,0.0,0.05,0.0,0.05,0.0,5.6,76.7,93.88,5.33,22,1.2,74,4.02,3,70.27,19.95,1.08,-2.05,-0.111,0.0,1.2,0.43,,,,0.0,0,0.0
Jesús,Jesús Fernández Collado,131811,Poli Iaşi,Poli Iaşi,https://cdn5.wyscout.com/photos/team/public/599_120x120.png,Liga II,GK,GK,100,,0,,0,37.0,1988-06-11,200000,2026-06-30,17,1654,0,0.0,0,0.0,0.6000000000000001,90.91,Spain,['Spain'],left,190,84,False,0.93,0.11,50.0,0.22,100.0,0.0,0.0,0.0,0.87,1.23,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.05,0.11,9.63,0.11,0.22,16.11,89.53,7.35,80.74,0.0,0.0,11.75,98.15,4.19,68.83,29.77,44.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,80.36,98.65,8.05,17,0.93,66,3.59,6,74.24,15.03,0.8200000000000001,-1.97,-0.107,0.0,0.98,0.22,,,,0.0,0,0.0
A. Franculescu,Adrian Franculescu,-468400,Steaua Bucureşti,Steaua Bucureşti,https://cdn5.wyscout.com/photos/team/public/g-10763_120x120.png,Liga II,GK,GK,100,,0,,0,20.0,2005-02-28,0,2026-06-30,17,1646,0,0.0,0,0.0,0.66,58.33,Romania,['Romania'],right,185,0,True,1.15,0.22,50.0,0.27,60.0,0.0,0.0,0.0,1.04,1.52,0.11,3,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,10.12,0.16,0.05,18.48,89.35,9.62,81.25,0.0,0.0,14.05,98.44,4.37,61.25,27.44,44.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,33.33,0.05,0.0,0.05,0.0,0.0,0.0,3.34,63.93,99.31,7.87,23,1.26,82,4.48,4,71.95,22.5,1.23,-0.5,-0.027,0.0,0.98,0.27,,,,0.0,0,0.0
R. Malutan,Rares Cristian Malutan,-559683,1599 Şelimbăr,1599 Şelimbăr,https://cdn5.wyscout.com/photos/team/public/g-14343_120x120.png,Liga II,GK,GK,100,,0,,0,19.0,2006-05-27,0,2029-06-30,17,1642,0,0.0,0,0.0,0.77,92.86,Romania,['Romania'],unknown,0,0,False,2.14,0.11,100.0,0.55,100.0,0.05,0.07,0.0,1.97,2.65,0.05,3,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.11,0.0,5.76,0.05,0.27,13.98,73.33,9.43,64.53,0.0,0.0,6.85,96.8,7.07,51.16,34.57,48.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,59.52,0.16,0.0,0.05,0.0,0.0,0.0,4.66,63.53,90.28,3.95,26,1.43,78,4.28,2,66.67,22.11,1.21,-3.89,-0.213,0.0,2.36,0.55,,,,0.0,0,0.0
I. Zaina,Ionuţ Bogdan Zaina,452590,Afumaţi,Afumaţi,https://cdn5.wyscout.com/photos/team/public/g19711_120x120.png,Liga II,"RCMF, LCMF, LDMF",RCMF,45,LCMF,26,LDMF,17,31.0,1994-01-25,0,,17,1640,0,1.33,3,2.89,19.76,49.72,Romania,['Romania'],,0,0,False,9.77,7.52,62.77,2.58,55.32,0.0,0.0,0.22,5.05,6.87,0.88,2,0.11,0,0.0,2.09,0.0,0,0.0,0.07,0,0.0,17,0.93,23.53,0.0,0.16,1.37,48.0,0.77,57.14,0.6000000000000001,36.36,0.22,1.98,61.11,7.57,34.78,0.44,1.5899999999999999,0.0,30.13,0.6000000000000001,0.44,51.91,74.84,20.52,59.36,7.46,93.38,39.24,81.54,11.41,55.29,22.02,37.09,0.16,1.7000000000000002,0.05,0.0,0.33,0.0,0.27,13.5,58.54,3.35,50.82,1.04,26.32,1.15,0.6000000000000001,12.4,75.22,85.45,18.11,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.58,1.43,0.16,0.0,3.46,1,0.0
A. Mocan,Arsenie Mocan,-726404,Bihor Oradea,Bihor Oradea,https://cdn5.wyscout.com/photos/team/public/3852_120x120.png,Liga II,GK,GK,100,,0,,0,17.0,2008-05-05,0,,17,1639,0,0.0,0,0.0,0.66,75.0,Romania,['Romania'],unknown,0,0,False,1.43,0.05,100.0,0.44,100.0,0.05,0.07,0.0,1.32,1.79,0.11,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.05,0.22,10.27,67.38,7.69,58.57,0.0,0.0,4.12,96.0,5.93,50.0,44.04,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,42.86,0.27,0.0,0.27,20.0,0.0,0.0,3.68,79.1,93.62,2.58,18,0.99,65,3.5700000000000003,5,72.31,16.36,0.9,-1.6400000000000001,-0.09,0.0,1.65,0.44,,,,0.0,0,0.0
A. Popa,Abel Samuel Popa,-598547,Bihor Oradea,Bihor Oradea,https://cdn5.wyscout.com/photos/team/public/3852_120x120.png,Liga II,LCB,LCB,98,,0,,0,23.0,2002-08-08,0,2027-06-30,17,1639,0,1.13,0,0.14,14.94,63.6,Romania,['Romania'],unknown,0,0,False,10.54,7.14,73.85,4.89,57.3,0.6000000000000001,0.8200000000000001,0.38,4.67,6.34,0.66,3,0.16,0,0.0,0.27,0.0,0,0.0,0.06,0,0.0,9,0.49,33.33,0.0,0.0,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.16,33.33,0.99,44.44,0.6000000000000001,0.38,0.0,15.59,0.27,0.55,32.23,77.68,17.52,65.2,1.65,93.33,22.4,88.73,9.77,52.25,24.04,37.25,0.01,0.11,0.05,0.0,0.0,0.0,0.0,5.33,52.58,0.33,0.0,0.33,16.67,0.05,0.05,7.41,66.67,93.88,10.76,0,,0,,0,0.0,0.0,0.0,,,0.93,,4.89,0.05,0.0,0.0,0.0,0,0.0
D. Kucher,Danylo Kucher,437701,Concordia Chiajna,Concordia Chiajna,https://cdn5.wyscout.com/photos/team/public/3719_120x120.png,Liga II,GK,GK,100,,0,,0,28.0,1997-01-25,300000,2026-06-30,17,1637,0,0.0,0,0.0,1.04,63.16,Ukraine,['Ukraine'],left,193,83,False,2.14,0.33,66.67,0.55,70.0,0.0,0.0,0.0,1.92,2.76,0.05,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,8.85,0.16,0.11,16.38,85.91,8.8,75.0,0.0,0.0,10.17,98.92,6.21,64.6,32.67,49.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,48.57,0.16,33.33,0.05,0.0,0.05,0.0,4.62,79.76,98.36,6.71,18,0.99,71,3.9,6,74.65,21.98,1.21,3.98,0.219,0.0,1.81,0.55,,,,0.0,0,0.0
A. Burdeț,Alin Burdeț,464278,Gloria Bistriţa,Gloria Bistriţa,https://cdn5.wyscout.com/photos/team/public/g-16822_120x120.png,Liga II,"CB, RB, RCB",CB,38,RB,25,RCB,25,27.0,1998-04-07,0,,17,1634,1,1.8399999999999999,0,0.0,13.11,60.92,Romania,['Romania'],,0,0,False,10.19,5.78,67.62,3.36,55.74,0.61,0.81,0.72,5.67,7.61,0.8300000000000001,1,0.06,0,0.0,0.28,0.06,1,0.06,0.1,0,0.0,6,0.33,50.0,16.667,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.06,0.22,50.0,1.49,62.96,0.66,0.33,0.0,18.95,0.39,0.88,32.06,76.12,15.26,63.9,1.43,84.62,24.68,84.15,7.05,51.56,22.86,37.86,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.46,55.56,0.39,28.57,0.33,16.67,0.06,0.06,7.33,63.16,92.21,12.72,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,3.36,0.0,0.0,0.0,0.0,0,0.0
D. Parfeon,Dănilă Parfeon,-219935,Metalul Buzău,Metalul Buzău,https://cdn5.wyscout.com/photos/team/public/g40232_120x120.png,Liga II,"RCB, LCB",RCB,78,LCB,19,,0,27.0,1998-01-10,0,,17,1633,0,0.87,0,0.0,14.83,69.89,Romania,['Romania'],,0,0,False,9.48,6.67,85.12,4.74,59.3,0.0,0.0,0.5,3.8,5.98,0.72,1,0.06,0,0.0,0.22,0.0,0,0.0,0.05,0,0.0,4,0.22,50.0,0.0,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.06,100.0,0.88,50.0,0.44,0.28,0.0,24.69,0.5,0.99,39.85,82.99,17.75,72.05,4.96,96.67,34.0,89.3,5.79,45.71,21.21,36.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,48.75,0.33,16.67,0.06,0.0,0.0,0.06,7.33,51.88,91.7,13.94,0,,0,,0,0.0,0.0,0.0,,,4.08,,4.74,0.0,0.0,0.0,0.0,0,0.0
