Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Kuzmanovic,Luka Kuzmanovic,-735083,Mladost Lučani U19,Mladost Lučani U19,https://cdn5.wyscout.com/photos/team/public/g-9943_120x120.png,U19 League,LCB3,LCB3,92,,0,,0,18.0,2007-08-07,0,,16,1511,0,1.17,0,0.5,16.2,61.03,Serbia,['Serbia'],,0,0,False,11.56,9.41,66.46,3.16,58.49,0.06,0.07,0.54,5.24,6.06,1.25,2,0.12,0,0.0,0.24,0.0,0,0.0,0.07,0,0.0,6,0.36,33.33,0.0,0.0,0.24,25.0,0.18,33.33,0.06,0.0,0.0,0.06,100.0,1.13,36.84,0.6000000000000001,0.54,0.06,24.3,0.48,0.48,40.09,75.33,22.1,61.73,3.51,94.92,31.51,86.58,8.34,34.29,23.69,40.23,0.03,0.12,0.06,0.0,0.0,0.0,0.0,7.98,52.24,0.48,37.5,0.30000000000000004,20.0,0.06,0.06,11.85,63.82,93.23,11.44,0,,0,,0,0.0,0.0,0.0,,,1.25,,3.16,0.0,0.0,0.0,0.0,0,0.0
M. Radić,Mihailo Radić,-439752,Partizan U19,Partizan U19,https://cdn5.wyscout.com/photos/team/public/g-5715_120x120.png,U19 League,"LCB, LB",LCB,58,LB,31,,0,18.0,2007-01-05,0,,16,1504,0,0.66,1,0.6000000000000001,16.16,58.52,Serbia,['Serbia'],unknown,0,0,False,9.63,7.78,61.54,2.03,67.65,0.24,0.39,0.6000000000000001,4.61,7.6,0.66,2,0.12,0,0.0,1.02,0.0,0,0.0,0.04,0,0.0,5,0.30000000000000004,20.0,0.0,0.06,0.78,46.15,0.72,41.67,0.06,100.0,0.06,1.1400000000000001,52.63,4.49,46.67,0.54,2.09,0.24,40.87,1.32,1.08,59.72,86.97,22.86,77.23,5.8,96.91,51.76,92.14,7.18,54.17,22.47,41.9,0.04,0.30000000000000004,0.06,0.0,0.0,0.0,0.06,7.54,69.05,1.1400000000000001,47.37,0.36,66.67,0.18,0.30000000000000004,12.81,72.9,94.24,25.97,0,,0,,0,0.0,0.0,0.0,,,2.75,,2.03,0.06,0.0,0.0,0.0,0,0.0
T. Banjic,Tarik Banjic,-375852,Partizan U19,Partizan U19,https://cdn5.wyscout.com/photos/team/public/g-5715_120x120.png,U19 League,GK,GK,100,,0,,0,17.0,2008-02-02,0,,16,1504,0,0.0,0,0.05,0.24,100.0,Bosnia and Herzegovina,['Bosnia and Herzegovina'],unknown,0,0,False,1.8599999999999999,0.0,0.0,0.12,100.0,0.0,0.0,0.0,1.8599999999999999,3.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,24.12,0.36,0.18,34.05,84.18,18.91,75.32,0.0,0.0,22.38,96.79,11.55,60.62,28.66,43.62,0.0,0.06,0.0,0.0,0.0,0.0,0.06,2.99,46.0,0.18,0.0,0.42,14.29,0.0,0.0,8.26,63.04,96.85,13.28,33,1.97,79,4.73,2,58.23,22.03,1.32,-10.97,-0.656,0.0,0.78,0.12,,,,0.0,0,0.0
M. Krstic,Mateja Krstic,-483726,OFK Beograd U19,OFK Beograd U19,https://cdn5.wyscout.com/photos/team/public/g-6115_120x120.png,U19 League,RCB,RCB,98,,0,,0,18.0,2007-05-31,0,,15,1432,2,0.85,1,0.58,13.7,61.93,Serbia,['Serbia'],unknown,0,0,False,8.36,4.97,69.62,3.52,67.86,0.6900000000000001,0.99,0.5700000000000001,4.21,6.05,0.88,2,0.13,0,0.0,0.31,0.13,2,0.13,0.05,2,0.13,6,0.38,50.0,33.333,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,1.8900000000000001,53.33,0.5,0.44,0.0,22.94,0.19,1.26,38.34,83.28,15.46,67.07,3.96,95.24,31.8,90.12,6.54,50.0,23.99,38.32,0.04,0.06,0.06,0.0,0.0,0.0,0.06,5.09,51.85,0.8200000000000001,30.77,0.31,20.0,0.38,0.0,6.72,70.09,95.31,17.41,0,,0,,0,0.0,0.0,0.0,,,3.52,,3.52,0.0,0.0,0.0,0.0,0,0.0
B. Bogdanovic,Bogdan  Bogdanovic,-484124,Vojvodina U19,Vojvodina U19,https://cdn5.wyscout.com/photos/team/public/g-5714_120x120.png,U19 League,GK,GK,100,,0,,0,17.0,2008-01-07,0,,15,1430,0,0.0,0,0.0,0.6900000000000001,72.73,Serbia,['Serbia'],right,188,0,False,1.9500000000000002,0.13,0.0,0.25,100.0,0.0,0.0,0.0,1.9500000000000002,2.71,0.0,2,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,66.67,0.0,0.0,0.0,15.17,0.13,0.25,26.87,81.73,13.91,67.42,0.0,0.0,16.68,96.6,10.2,57.41,30.6,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,37.84,0.06,0.0,0.19,33.33,0.0,0.0,6.99,65.77,96.83,11.9,18,1.13,73,4.59,5,75.34,21.6,1.3599999999999999,3.6,0.227,0.0,1.32,0.25,,,,0.0,0,0.0
V. Pastor,Vasilije  Pastor,-483985,OFK Vršac U19,OFK Vršac U19,https://cdn5.wyscout.com/photos/team/public/g-18841_120x120.png,U19 League,LCB,LCB,96,,0,,0,17.0,2008-01-14,0,,15,1420,0,0.42,0,0.03,12.23,64.77,Serbia,['Serbia'],unknown,0,0,False,9.7,5.58,72.73,3.8,58.33,0.38,0.42,0.5700000000000001,5.26,5.82,0.5700000000000001,0,0.0,0,0.0,0.13,0.0,0,0.0,0.03,0,0.0,2,0.13,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,50.0,1.08,64.71,0.13,0.44,0.0,13.88,0.0,0.63,29.28,77.71,14.26,64.0,2.35,97.3,22.88,87.53,6.4,42.57,23.52,39.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.42,46.3,0.63,30.0,0.13,50.0,0.13,0.0,6.27,51.52,92.9,10.71,0,,0,,0,0.0,0.0,0.0,,,2.09,,3.8,0.0,0.0,0.0,0.0,0,0.0
D. Minić,Dimitrije Minić,-658907,Spartak Subotica U19,Spartak Subotica U19,https://cdn5.wyscout.com/photos/team/public/g-12703_120x120.png,U19 League,GK,GK,100,,0,,0,17.0,2008-07-08,0,,15,1407,0,0.0,0,0.03,1.15,77.78,Montenegro,['Montenegro'],unknown,0,0,False,1.73,0.19,66.67,0.45,57.14,0.0,0.0,0.0,1.6,2.37,0.0,1,0.06,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.32,100.0,0.0,0.0,0.0,13.43,0.13,0.38,23.35,81.92,12.47,69.23,0.0,0.0,14.58,96.49,8.64,58.52,31.68,47.32,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.56,50.0,0.06,100.0,0.13,100.0,0.06,0.0,6.72,64.76,97.44,9.98,24,1.54,79,5.05,3,69.62,25.19,1.6099999999999999,1.19,0.076,0.0,2.17,0.45,,,,0.0,0,0.0
D. Kalajdzic,Danilo Kalajdzic,-483614,Mladost Lučani U19,Mladost Lučani U19,https://cdn5.wyscout.com/photos/team/public/g-9943_120x120.png,U19 League,"RCB3, CB",RCB3,42,CB,36,,0,18.0,2007-07-10,0,,16,1400,1,0.19,3,0.67,11.25,62.86,Serbia,['Serbia'],unknown,0,0,False,12.15,6.75,79.05,1.8,32.14,0.51,0.6000000000000001,0.51,6.3,7.3,0.39,1,0.06,0,0.0,0.51,0.06,1,0.06,0.01,0,0.0,3,0.19,66.67,33.333,0.19,0.51,50.0,0.06,100.0,0.45,42.86,0.06,0.19,66.67,1.29,40.0,0.26,1.22,0.19,22.69,0.32,0.13,42.88,72.56,25.78,63.34,1.99,93.55,27.71,82.37,14.72,54.59,26.59,39.46,0.04,0.45,0.06,0.0,0.06,0.0,0.26,10.22,59.12,2.06,59.38,0.9,42.86,0.84,0.26,14.85,71.86,87.82,12.66,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.8,0.0,0.0,0.0,0.0,0,0.0
M. Popovic,Matija Popovic,-561147,Bačka Topola U19,Bačka Topola U19,https://cdn5.wyscout.com/photos/team/public/g-11690_120x120.png,U19 League,"LCB, RCB, CB",LCB,59,RCB,20,CB,18,18.0,2007-01-08,0,,15,1394,2,2.44,0,0.14,12.85,58.79,Serbia,['Serbia'],unknown,0,0,False,7.68,4.58,64.79,5.1,68.35,0.26,0.35000000000000003,0.71,4.45,5.97,1.6099999999999999,4,0.26,1,0.06,0.26,0.13,2,0.13,0.16,0,0.0,6,0.39,50.0,33.333,0.0,0.19,33.33,0.06,100.0,0.13,0.0,0.06,0.06,0.0,0.9,35.71,0.77,0.58,0.0,20.6,0.13,0.13,35.44,80.51,13.82,65.89,2.71,90.48,28.28,87.21,7.04,54.13,22.27,38.78,0.01,0.13,0.0,0.0,0.0,0.0,0.0,5.68,47.73,0.65,20.0,0.77,16.67,0.19,0.06,7.17,64.86,92.47,15.43,0,,0,,0,0.0,0.0,0.0,,,2.0,,5.1,0.0,0.0,0.0,0.0,0,0.0
S. Aleksic,Strahinja Aleksic,-577238,Grafičar,Grafičar U19,https://cdn5.wyscout.com/photos/team/public/g4182_120x120.png,Prva Liga,GK,GK,100,,0,,0,17.0,2008-06-09,0,,15,1391,0,0.0,0,0.0,1.29,90.0,Serbia,['Serbia'],,0,0,False,2.7800000000000002,0.06,0.0,0.91,100.0,0.0,0.0,0.0,2.7800000000000002,3.52,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,18.12,0.26,0.19,30.35,81.88,15.85,69.39,0.0,0.0,19.09,96.27,11.26,57.47,29.2,43.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,25.0,0.13,0.0,0.13,50.0,0.0,0.0,7.31,54.87,94.87,12.62,35,2.26,111,7.18,1,68.47,34.57,2.24,-0.43,-0.028,0.0,1.75,0.91,,,,0.0,0,0.0
