Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Salvati,Gregorio Salvati,-531613,Ancona,Ancona,https://cdn5.wyscout.com/photos/team/public/g-14456_120x120.png,Serie D - Girone F,GK,GK,100,,0,,0,20.0,2005-02-07,0,2026-06-30,15,1468,0,0.0,0,0.01,0.52,75.0,Italy,['Italy'],,0,0,False,1.7000000000000002,0.13,0.0,0.07,100.0,0.07,0.12,0.0,1.63,3.0,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,100.0,0.0,0.0,0.0,10.91,0.2,0.39,21.36,80.43,13.39,71.71,0.0,0.0,10.78,98.79,10.58,61.73,36.01,51.5,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.59,50.91,0.59,11.11,0.26,50.0,0.07,0.0,6.92,80.19,94.69,7.38,10,0.65,39,2.55,8,74.36,10.21,0.67,0.21,0.014,0.0,0.91,0.07,,,,0.0,0,0.0
N. Torregiani,Nicola Torregiani,-519929,Città di Teramo,Città di Teramo,https://cdn5.wyscout.com/photos/team/public/389_120x120.png,Serie D - Girone F,GK,GK,100,,0,,0,18.0,2007-05-16,0,2027-06-30,15,1460,0,0.0,0,0.0,0.55,77.78,Italy,['Italy'],unknown,0,0,False,1.11,0.0,0.0,0.31,100.0,0.0,0.0,0.0,1.11,1.4,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,66.67,0.0,0.0,0.0,4.13,0.31,0.18,10.23,81.33,6.1,68.69,0.0,0.0,6.16,99.0,4.07,54.55,33.46,49.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,42.31,0.18,0.0,0.06,0.0,0.0,0.0,2.9,74.47,100.0,3.08,10,0.62,43,2.65,7,76.74,10.78,0.66,0.78,0.048,0.0,1.6,0.31,,,,0.0,0,0.0
T. Botrini,Tommaso Botrini,-149783,Città di Teramo,Città di Teramo,https://cdn5.wyscout.com/photos/team/public/389_120x120.png,Serie D - Girone F,"RCB3, CB",RCB3,61,CB,33,,0,20.0,2005-03-11,0,2027-06-30,15,1460,2,0.78,0,0.09,12.33,57.0,Italy,['Italy'],,0,0,False,7.21,6.29,66.67,3.02,53.06,0.0,0.0,0.68,3.02,3.8200000000000003,1.17,2,0.12,0,0.0,0.25,0.12,2,0.12,0.05,2,0.12,4,0.25,50.0,50.0,0.0,0.31,20.0,0.06,100.0,0.25,0.0,0.12,0.18,33.33,0.92,40.0,0.37,0.62,0.0,15.04,0.43,0.62,24.9,81.19,11.9,72.54,1.54,96.0,19.91,88.54,4.68,53.95,22.68,39.94,0.01,0.06,0.0,0.0,0.0,0.0,0.0,4.93,65.0,0.62,20.0,0.25,0.0,0.06,0.06,6.16,70.0,90.48,9.06,0,,0,,0,0.0,0.0,0.0,,,0.62,,3.02,0.0,0.0,0.0,0.0,0,0.0
L. Bruni,Leonardo Bruni,502304,Città di Teramo,Città di Teramo,https://cdn5.wyscout.com/photos/team/public/389_120x120.png,Serie D - Girone F,LCB3,LCB3,94,,0,,0,28.0,1997-04-15,50000,,15,1460,0,0.61,1,0.49,13.81,67.41,Italy,['Italy'],right,0,0,False,10.91,7.52,79.51,3.39,58.18,0.31,0.39,0.8,4.62,5.84,1.11,0,0.0,0,0.0,0.43,0.0,0,0.0,0.04,0,0.0,7,0.43,14.29,0.0,0.06,0.49,75.0,0.49,75.0,0.0,0.0,0.0,0.0,0.0,0.99,37.5,0.55,0.86,0.0,21.08,0.74,0.37,33.84,77.41,17.26,66.79,1.9100000000000001,90.32,25.03,89.9,8.45,40.88,24.08,40.26,0.03,0.25,0.12,0.06,0.0,0.0,0.18,7.03,51.75,1.54,48.0,0.43,28.57,0.43,0.31,8.01,70.77,89.06,11.84,0,,0,,0,0.0,0.0,0.0,,,0.62,,3.39,0.0,0.0,0.0,0.0,0,0.0
A. Arrigoni,Andrea Arrigoni,85704,San Nicolò Notaresco,San Nicolò Notaresco,https://cdn5.wyscout.com/photos/team/public/3885_120x120.png,Serie D - Girone F,"RCMF, DMF",RCMF,44,DMF,30,,0,37.0,1988-08-10,125000,2026-06-30,15,1448,2,2.18,1,2.31,12.8,56.31,Italy,['Italy'],right,172,66,False,10.38,5.1,60.98,2.92,55.32,0.31,0.41000000000000003,0.25,6.96,9.16,0.99,3,0.19,0,0.0,1.8,0.12,1,0.06,0.14,0,0.0,29,1.8,27.59,6.897,0.06,2.36,36.84,1.12,33.33,0.93,46.67,0.25,0.68,63.64,2.61,50.0,0.25,0.62,0.0,26.23,0.12,1.06,47.42,73.66,20.08,57.28,3.48,94.64,32.63,83.81,12.8,53.4,24.41,39.6,0.14,1.18,0.19,0.0,0.0,0.0,0.37,12.87,56.52,4.1,33.33,1.62,46.15,0.81,0.75,11.25,74.03,87.92,18.52,0,,0,,0,0.0,0.0,0.0,,,0.25,,2.92,2.11,0.56,11.11,2.61,2,50.0
P. Boccanera,Pierpaolo Boccanera,493034,San Nicolò Notaresco,San Nicolò Notaresco,https://cdn5.wyscout.com/photos/team/public/3885_120x120.png,Serie D - Girone F,GK,GK,100,,0,,0,29.0,1996-05-29,0,2026-06-30,15,1448,0,0.0,0,0.0,0.93,86.67,Italy,['Italy'],right,185,80,False,2.11,0.06,0.0,0.37,100.0,0.0,0.0,0.0,2.11,2.7800000000000002,0.06,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.0,0.0,0.0,7.52,0.0,0.62,17.4,81.43,10.75,71.1,0.0,0.0,10.38,98.2,7.02,56.64,34.31,51.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,50.0,0.25,0.0,0.0,0.0,0.06,0.0,4.66,81.33,97.89,5.9,15,0.93,55,3.42,6,72.73,15.67,0.97,0.67,0.042,0.0,1.8599999999999999,0.37,,,,0.0,0,0.0
F. Novelli,Filippo Novelli,-293277,Vigor Senigallia,Vigor Senigallia,https://cdn5.wyscout.com/photos/team/public/g-3080_120x120.png,Serie D - Girone F,GK,GK,100,,0,,0,18.0,2007-07-24,0,2028-06-30,15,1448,0,0.0,0,0.0,0.56,100.0,Italy,['Italy'],,0,0,True,0.99,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.99,1.4,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,5.9,0.25,0.25,12.37,79.4,7.15,67.83,0.0,0.0,6.84,96.36,5.47,59.09,33.04,51.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,54.55,0.06,0.0,0.06,0.0,0.0,0.0,4.48,68.06,95.77,4.41,15,0.93,50,3.11,4,70.0,17.27,1.07,2.27,0.14100000000000001,0.0,1.6800000000000002,0.5,,,,0.0,0,0.0
C. De Marco,Cristian De Marco,-142808,Vigor Senigallia,Vigor Senigallia,https://cdn5.wyscout.com/photos/team/public/g-3080_120x120.png,Serie D - Girone F,"RB, RW",RB,72,RW,12,,0,20.0,2005-01-23,0,,15,1448,0,0.72,0,0.7000000000000001,10.44,47.62,Italy,['Italy'],,0,0,False,6.59,4.1,59.09,1.6800000000000002,33.33,0.31,0.44,0.12,3.85,5.42,0.87,3,0.19,0,0.0,1.37,0.0,0,0.0,0.04,0,0.0,9,0.56,22.22,0.0,0.0,2.36,28.95,0.37,33.33,1.99,28.13,0.25,1.18,47.37,3.11,44.0,1.12,0.99,0.19,19.64,1.24,0.56,29.71,67.78,14.05,61.95,3.92,93.65,22.44,76.73,5.28,44.71,21.88,36.71,0.04,0.44,0.0,0.0,0.0,0.0,0.19,5.03,58.02,2.49,27.5,0.06,0.0,0.5,0.5,9.26,67.79,67.21,7.58,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.6800000000000002,0.0,0.0,0.0,0.0,0,0.0
E. Morri,Enrico Morri,-294702,Real Giulianova,Real Giulianova,https://cdn5.wyscout.com/photos/team/public/397_120x120.png,Serie D - Girone F,"LCB, RCB3, RCB",LCB,42,RCB3,36,RCB,10,22.0,2003-09-26,0,2026-06-30,15,1415,1,0.31,0,0.0,8.71,61.31,Italy,['Italy'],right,187,0,False,7.51,2.86,77.78,2.61,60.98,0.0,0.0,0.8300000000000001,5.28,7.98,0.5700000000000001,3,0.19,0,0.0,0.19,0.06,1,0.06,0.02,1,0.06,2,0.13,50.0,50.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.06,100.0,1.46,39.13,0.19,0.19,0.0,24.93,0.38,0.76,39.5,80.68,17.55,63.41,2.8,97.73,33.96,88.58,5.47,32.56,21.71,39.82,0.0,0.0,0.0,0.0,0.06,100.0,0.0,5.79,45.05,0.45,28.57,0.25,25.0,0.13,0.0,6.3,55.56,95.6,15.9,0,,0,,0,0.0,0.0,0.0,,,2.16,,2.61,0.0,0.0,0.0,0.0,0,0.0
D. Pistillo,Daniele Pistillo,-500604,San Nicolò Notaresco,San Nicolò Notaresco,https://cdn5.wyscout.com/photos/team/public/3885_120x120.png,Serie D - Girone F,"LW, LWF, CF",LW,34,LWF,15,CF,15,18.0,2007-01-01,0,2026-06-30,15,1380,2,1.63,3,1.03,21.52,41.82,Italy,['Italy'],left,0,0,True,6.52,5.48,65.48,3.13,20.83,0.07,0.09,0.07,2.87,3.7800000000000002,1.04,0,0.0,0,0.0,3.65,0.13,2,0.13,0.11,0,0.0,25,1.63,36.0,8.0,0.2,3.52,25.93,2.54,30.77,0.98,13.33,0.26,3.91,53.33,10.3,34.81,2.15,2.35,0.59,11.54,1.5,0.98,19.24,56.61,5.09,50.0,3.91,85.0,13.57,65.87,2.48,44.74,21.56,40.52,0.07,0.65,0.0,0.0,0.13,50.0,0.33,1.96,46.67,3.39,34.62,0.46,42.86,0.65,0.78,3.98,63.93,48.6,6.98,0,,0,,0,0.0,0.0,0.0,,,0.07,,3.13,0.0,0.0,0.0,0.07,0,0.0
