Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Vujanić,Lazar Vujanić,504535,Balestier Khalsa,Balestier Khalsa,https://cdn5.wyscout.com/photos/team/public/g1968_120x120.png,Premier League,"RDMF, RCMF, LCB",RDMF,34,RCMF,24,LCB,16,26.0,1999-09-18,150000,2026-06-30,12,1242,1,0.48,1,1.6800000000000002,15.09,51.31,Serbia,['Serbia'],left,183,75,False,9.8,6.95,61.36,2.45,61.29,0.4,0.52,0.4,5.14,6.77,1.58,3,0.22,0,0.0,0.9500000000000001,0.07,0,0.0,0.04,0,0.0,14,1.11,21.43,0.0,0.08,0.4,60.0,0.32,50.0,0.08,100.0,0.16,0.79,60.0,4.11,40.38,0.71,1.11,0.08,31.84,0.08,0.32,44.49,88.28,12.96,76.22,5.29,91.04,37.69,94.34,6.4,54.32,22.19,43.63,0.13,0.63,0.16,0.0,0.0,0.0,0.16,6.95,75.0,0.87,63.64,0.16,50.0,0.32,0.24,7.59,73.96,94.16,21.65,0,,0,,0,0.0,0.0,0.0,,,1.58,,2.45,0.24,0.16,50.0,1.11,0,0
R. Taniguchi,Ryoya Taniguchi,-115497,Geylang International,Geylang International,https://cdn5.wyscout.com/photos/team/public/g1967_120x120.png,Premier League,"LAMF, CF, LW",LAMF,39,CF,36,LW,10,26.0,1999-08-31,250000,2026-06-30,12,1236,5,6.18,1,1.4100000000000001,14.34,51.78,Japan,['Japan'],right,175,0,False,3.13,2.77,76.32,0.73,40.0,0.07,0.09,0.0,0.9500000000000001,1.1400000000000001,0.44,0,0.0,0,0.0,4.08,0.36,5,0.36,0.45,1,0.07,49,3.5700000000000003,32.65,10.204,0.07,2.62,16.67,1.97,18.52,0.51,14.29,0.29,4.22,58.62,8.96,43.09,3.64,2.48,0.22,17.33,2.48,1.67,20.9,72.47,5.24,61.11,6.04,91.57,17.11,82.55,1.24,47.06,17.51,22.75,0.1,0.8,0.0,0.0,0.07,0.0,0.44,2.18,56.67,2.18,36.67,0.36,60.0,0.9500000000000001,0.51,2.77,73.68,67.82,6.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.73,0.66,0.66,33.33,0.07,1,0
Z. Rohaizad,Muhammad Zharfan Bin Rohaizad,409465,Hougang United,Hougang United,https://cdn5.wyscout.com/photos/team/public/g6544_120x120.png,Premier League,GK,GK,100,,0,,0,29.0,1997-02-21,125000,2026-06-30,12,1229,0,0.0,0,0.0,0.51,100.0,Singapore,['Singapore'],right,180,82,True,0.44,0.0,0.0,0.44,100.0,0.0,0.0,0.0,0.44,0.6000000000000001,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38,0.29,0.15,18.53,78.66,11.94,71.17,0.07,100.0,11.2,94.77,7.25,54.55,30.69,47.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,20.0,0.15,0.0,0.15,0.0,0.0,0.0,5.79,63.29,94.81,5.64,23,1.6800000000000002,56,4.1,3,58.93,16.87,1.24,-6.13,-0.449,0.07,2.12,0.44,,,,0.0,0,0
J. Pereira,Joshua Bernard Pereira,434677,Geylang International,Geylang International,https://cdn5.wyscout.com/photos/team/public/g1967_120x120.png,Premier League,"LCB, RCB, RB",LCB,60,RCB,15,RB,14,28.0,1997-10-10,150000,2026-06-30,12,1227,0,0.21,0,0.0,9.83,57.46,Singapore,['Singapore'],right,178,0,False,8.0,4.47,72.13,2.5700000000000003,42.86,0.51,0.62,0.22,4.25,5.13,0.44,2,0.15,0,0.0,0.29,0.0,0,0.0,0.02,0,0.0,1,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.37,60.0,1.47,35.0,0.07,1.32,0.0,33.89,0.29,0.66,49.0,89.37,22.74,84.84,2.93,92.5,45.4,91.6,3.52,62.5,18.62,32.11,0.0,0.0,0.0,0.0,0.07,100.0,0.0,6.01,82.93,0.44,50.0,0.22,66.67,0.22,0.0,8.73,69.75,95.38,17.46,0,,0,,0,0.0,0.0,0.0,,,1.32,,2.5700000000000003,0.0,0.0,0.0,0.0,0,0
D. Teh,Darren Teh,476760,Balestier Khalsa,Balestier Khalsa,https://cdn5.wyscout.com/photos/team/public/g1968_120x120.png,Premier League,"RB, LCB3",RB,61,LCB3,16,,0,29.0,1996-09-09,75000,2026-06-30,12,1226,0,0.01,0,0.52,6.55,39.02,Singapore,['Singapore'],right,169,0,False,4.55,3.67,34.78,0.64,25.0,0.16,0.21,0.64,3.11,4.15,0.16,1,0.07,0,0.0,0.24,0.0,0,0.0,0.0,0,0.0,1,0.08,0.0,0.0,0.0,0.48,33.33,0.0,0.0,0.4,20.0,0.0,0.08,0.0,1.6,45.0,0.0,0.56,0.16,23.08,0.48,0.56,30.83,87.56,10.7,75.37,4.31,98.15,27.87,91.69,2.56,50.0,17.88,28.18,0.04,0.32,0.0,0.0,0.08,100.0,0.24,3.43,79.07,0.56,42.86,0.16,100.0,0.16,0.24,5.03,66.67,95.07,11.34,0,,0,,0,0.0,0.0,0.0,,,1.12,,0.64,0.08,0.0,0.0,0.0,0,0
Ryaan Sanizal,Muhammad Ryaan bin Sanizal,-125159,Hougang United,Hougang United,https://cdn5.wyscout.com/photos/team/public/g6544_120x120.png,Premier League,"LCB, RCB",LCB,66,RCB,24,,0,23.0,2002-05-31,75000,2026-06-30,12,1195,0,0.11,0,0.01,9.56,57.48,Singapore,['Singapore'],,176,0,False,8.44,4.44,64.41,2.26,56.67,0.6000000000000001,0.8200000000000001,1.13,4.97,6.73,1.21,2,0.15,0,0.0,0.30000000000000004,0.0,0,0.0,0.01,0,0.0,2,0.15,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,1.05,42.86,0.23,0.30000000000000004,0.08,33.21,0.08,0.30000000000000004,44.66,89.88,20.64,86.86,2.41,93.75,41.27,92.34,3.39,60.0,19.7,37.85,0.0,0.08,0.0,0.0,0.0,0.0,0.0,5.2,79.71,0.30000000000000004,50.0,0.0,0.0,0.08,0.0,7.91,75.24,94.19,18.15,0,,0,,0,0.0,0.0,0.0,,,1.81,,2.26,0.0,0.0,0.0,0.0,0,0
Y. Suwa,Yuma  Suwa,-247139,Hougang United,Hougang United,https://cdn5.wyscout.com/photos/team/public/g6544_120x120.png,Premier League,RB,RB,78,,0,,0,25.0,2000-08-29,0,2026-06-30,12,1176,0,0.14,2,0.75,12.86,59.52,Japan,['Japan'],right,0,0,False,7.73,5.97,69.23,1.45,47.37,0.23,0.31,0.23,3.37,4.6,0.84,1,0.08,0,0.0,1.15,0.0,0,0.0,0.01,0,0.0,5,0.38,40.0,0.0,0.15,1.15,20.0,0.23,0.0,0.92,25.0,0.0,1.07,64.29,4.29,53.57,0.92,1.9100000000000001,0.38,26.79,1.6099999999999999,0.84,38.27,80.8,14.08,66.85,7.5,95.92,33.44,85.58,3.67,56.25,18.95,36.96,0.06,0.61,0.0,0.08,0.15,50.0,0.54,4.74,66.13,1.6800000000000002,40.91,0.31,25.0,0.77,0.38,6.58,66.28,90.65,10.64,0,,0,,0,0.0,0.0,0.0,,,0.77,,1.45,0.0,0.0,0.0,0.0,0,0
S. Mendonça,Sérgio  Mendonça Siqueira Filho,-348012,Young Lions,Young Lions,https://cdn5.wyscout.com/photos/team/public/g1964_120x120.png,Premier League,CF,CF,98,,0,,0,22.0,2004-01-22,0,2026-06-30,12,1170,5,5.5,1,0.02,19.38,37.3,Brazil,['Brazil'],unknown,0,0,False,2.92,2.0,53.85,3.15,46.34,0.0,0.0,0.38,1.85,2.2,1.08,4,0.31,0,0.0,2.08,0.38,4,0.31,0.42,1,0.08,31,2.38,58.06,16.129,0.08,0.23,0.0,0.15,0.0,0.08,0.0,0.08,1.62,42.86,11.23,28.77,2.46,0.46,0.0,10.08,1.23,2.31,17.77,79.65,2.69,48.57,7.23,86.17,16.54,80.47,1.0,84.62,16.12,22.18,0.0,0.08,0.0,0.0,0.15,0.0,0.08,1.92,64.0,0.46,33.33,0.23,0.0,0.31,0.08,1.77,47.83,92.45,4.08,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.15,0.0,0.0,0.0,0.0,2,50
Zenivio,Zenivio Morientes Gostavo Conceição Mota,-301863,Tanjong Pagar,Tanjong Pagar,https://cdn5.wyscout.com/photos/team/public/g1970_120x120.png,Premier League,"RWB, RW, RAMF",RWB,34,RW,24,RAMF,22,20.0,2005-04-22,0,2026-06-30,12,1169,1,0.84,2,1.11,18.83,52.47,Timor-Leste,['Timor-Leste'],unknown,0,0,False,6.67,5.91,67.14,2.11,36.0,0.0,0.0,0.08,2.7,3.33,0.68,2,0.15,0,0.0,4.39,0.08,1,0.08,0.07,0,0.0,12,1.01,41.67,8.333,0.17,3.8,24.44,0.17,0.0,3.55,26.19,1.01,4.64,65.45,9.12,51.85,1.69,3.55,0.76,19.08,2.7,1.35,28.28,74.93,7.01,65.06,8.53,95.05,22.71,84.76,1.94,56.52,18.06,34.16,0.09,0.59,0.0,0.0,0.17,0.0,0.51,2.87,55.88,3.38,32.5,0.17,0.0,0.51,1.1,4.64,74.55,61.8,7.51,0,,0,,0,0.0,0.0,0.0,,,0.76,,2.11,0.0,0.0,0.0,0.08,0,0
Z. Nizam,Zaiful Nizam bin Abdullah,101157,Tanjong Pagar,Tanjong Pagar,https://cdn5.wyscout.com/photos/team/public/g1970_120x120.png,Premier League,GK,GK,100,,0,,0,38.0,1987-07-24,50000,2026-06-30,11,1165,0,0.0,0,0.0,0.7000000000000001,77.78,Singapore,['Singapore'],right,174,73,False,2.24,0.15,100.0,0.39,80.0,0.0,0.0,0.0,2.09,2.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,50.0,0.0,0.0,0.0,13.36,0.39,0.15,22.33,82.7,12.52,74.69,0.08,0.0,12.9,96.41,9.42,63.93,31.73,48.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,45.45,0.15,0.0,0.23,0.0,0.0,0.0,6.41,72.29,92.98,8.81,34,2.63,100,7.73,0,66.0,27.12,2.1,-6.88,-0.532,0.0,1.08,0.39,,,,0.0,0,0
