Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Madubuegwu,Chidiebere Romanus Madubuegwu,-723130,Inter Bratislava,Inter Bratislava,https://cdn5.wyscout.com/photos/team/public/g1978_120x120.png,2. liga,LCB,LCB,92,,0,,0,25.0,2000-08-20,0,,15,1439,0,0.0,0,0.11,12.01,63.02,Nigeria,['Nigeria'],unknown,0,0,False,9.07,5.63,75.56,3.75,58.33,0.0,0.0,0.88,4.82,6.14,0.44,1,0.06,0,0.0,0.38,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.63,50.0,0.5,62.5,0.13,0.0,0.13,0.13,50.0,0.81,23.08,0.5,0.31,0.0,16.95,0.25,0.13,32.9,76.43,18.45,68.47,3.38,94.44,23.14,87.84,9.19,49.66,24.56,37.39,0.01,0.19,0.0,0.0,0.0,0.0,0.06,5.44,56.32,1.0,31.25,0.5,37.5,0.38,0.19,9.01,61.11,88.44,9.19,0,,0,,0,0.0,0.0,0.0,,,2.31,,3.75,0.0,0.0,0.0,0.0,0,0
M. Šulla,Michal Šulla,103211,Inter Bratislava,Inter Bratislava,https://cdn5.wyscout.com/photos/team/public/g1978_120x120.png,2. liga,GK,GK,100,,0,,0,34.0,1991-07-15,75000,,15,1439,0,0.0,0,0.05,0.75,100.0,Slovakia,['Slovakia'],right,188,86,False,1.25,0.0,0.0,0.56,100.0,0.0,0.0,0.0,1.25,1.6,0.0,3,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.07,0.0,0.31,15.76,84.13,11.07,78.53,0.0,0.0,7.26,97.41,8.51,72.79,39.84,52.86,0.0,0.06,0.0,0.0,0.0,0.0,0.0,3.44,67.27,0.06,100.0,0.0,0.0,0.0,0.0,6.57,91.43,100.0,4.44,17,1.06,74,4.63,4,77.03,18.04,1.13,1.04,0.065,0.0,1.69,0.56,,,,0.0,0,0
L. Remeň,Lukáš Remeň,332931,Inter Bratislava,Inter Bratislava,https://cdn5.wyscout.com/photos/team/public/g1978_120x120.png,2. liga,RCB,RCB,86,,0,,0,32.0,1993-07-19,0,,15,1431,0,1.8900000000000001,1,0.18,14.34,65.79,Slovakia,['Slovakia'],,187,79,False,7.92,6.48,67.96,5.28,64.29,0.38,0.48,0.75,3.14,4.02,1.07,4,0.25,0,0.0,0.25,0.0,0,0.0,0.12,0,0.0,10,0.63,30.0,0.0,0.06,0.13,50.0,0.06,100.0,0.06,0.0,0.0,0.06,0.0,0.75,66.67,1.32,0.8200000000000001,0.06,11.26,0.44,0.63,20.88,76.2,11.51,65.03,1.13,94.44,15.79,88.05,4.97,39.24,22.65,35.25,0.01,0.19,0.0,0.0,0.0,0.0,0.0,3.71,52.54,0.75,16.67,0.31,20.0,0.31,0.06,5.22,61.45,89.62,6.67,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,5.28,0.0,0.0,0.0,0.0,0,0
Lukas Domanisky,Lukas Domaniský,-420423,Pohronie,Pohronie,https://cdn5.wyscout.com/photos/team/public/g22502_120x120.png,2. liga,GK,GK,100,,0,,0,21.0,2004-08-09,0,,15,1430,0,0.0,0,0.0,1.13,94.44,Slovakia,['Slovakia'],unknown,0,0,False,2.33,0.06,100.0,0.6900000000000001,90.91,0.0,0.0,0.0,2.27,3.47,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.19,100.0,0.0,0.0,0.0,19.13,0.76,0.31,31.59,87.45,16.93,79.55,0.0,0.0,22.15,97.44,9.44,64.0,26.67,44.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,35.29,0.06,100.0,0.13,0.0,0.0,0.0,6.42,66.67,96.35,12.08,18,1.13,68,4.28,4,73.53,15.62,0.98,-2.38,-0.15,0.0,1.76,0.6900000000000001,,,,0.0,0,0
J. Špyrka,Jozef Špyrka,470104,Pohronie,Pohronie,https://cdn5.wyscout.com/photos/team/public/g22502_120x120.png,2. liga,"AMF, CF",AMF,42,CF,13,,0,26.0,1999-05-30,225000,,15,1430,9,6.94,4,4.77,14.41,42.79,Slovakia,['Slovakia'],right,180,69,False,4.28,3.4,55.56,1.76,42.86,0.0,0.0,0.25,2.39,3.67,1.26,3,0.19,0,0.0,2.83,0.5700000000000001,5,0.31,0.44,0,0.0,40,2.52,47.5,22.5,0.25,1.13,55.56,0.44,57.14,0.6900000000000001,54.55,0.31,1.6400000000000001,53.85,6.73,35.51,2.27,1.01,0.06,23.35,0.8200000000000001,0.63,33.61,80.71,9.82,69.87,6.1,94.85,30.27,83.16,2.2,60.0,16.19,31.83,0.30000000000000004,2.45,0.13,0.0,0.19,66.67,0.38,5.03,83.75,2.39,52.63,0.31,60.0,0.9400000000000001,0.5,4.85,77.92,81.61,10.95,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.76,1.7000000000000002,0.25,25.0,5.92,4,100
S. Vavrúš,Samuel Vavrúš,387237,Púchov,Púchov,https://cdn5.wyscout.com/photos/team/public/g1980_120x120.png,2. liga,GK,GK,100,,0,,0,27.0,1998-04-13,150000,,15,1429,0,0.0,0,0.17,0.76,91.67,Slovakia,['Slovakia'],,185,83,False,2.27,0.06,100.0,0.63,90.0,0.0,0.0,0.0,2.2,3.03,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,22.86,0.5700000000000001,0.19,33.19,84.82,17.76,75.18,0.06,100.0,21.16,97.92,12.03,61.78,34.76,52.51,0.01,0.06,0.0,0.0,0.0,0.0,0.0,5.54,56.82,0.5700000000000001,33.33,0.25,25.0,0.13,0.0,8.5,80.74,95.83,15.12,30,1.8900000000000001,85,5.35,3,64.71,26.63,1.6800000000000002,-3.37,-0.212,0.0,1.51,0.63,,,,0.0,0,0
M. Slouk,Matěj Slouk,-296418,Petržalka Akadémia,Petržalka Akadémia,https://cdn5.wyscout.com/photos/team/public/g37333_120x120.png,2. liga,"RCB, LCB",RCB,75,LCB,13,,0,21.0,2004-06-21,0,,15,1424,0,0.5700000000000001,0,0.01,12.96,56.1,Czech Republic,['Czech Republic'],unknown,0,0,True,8.34,4.93,66.67,4.74,52.0,0.0,0.0,0.63,5.06,6.74,1.2,3,0.19,0,0.0,0.06,0.0,0,0.0,0.04,0,0.0,4,0.25,0.0,0.0,0.0,0.44,14.29,0.06,0.0,0.38,16.67,0.13,0.0,0.0,1.01,43.75,0.8200000000000001,0.8200000000000001,0.0,25.53,0.9500000000000001,0.5700000000000001,41.08,82.62,18.08,70.28,2.84,100.0,32.04,90.93,8.6,55.15,24.8,40.23,0.0,0.06,0.0,0.0,0.0,0.0,0.0,7.02,65.77,0.9500000000000001,33.33,0.5700000000000001,55.56,0.44,0.13,9.23,71.23,93.64,17.89,0,,0,,0,0.0,0.0,0.0,,,2.2800000000000002,,4.74,0.0,0.0,0.0,0.0,0,0
D. Kucharčík,Dušan Kucharčík,154525,Považská Bystrica,Považská Bystrica,https://cdn5.wyscout.com/photos/team/public/g19095_120x120.png,2. liga,LCB,LCB,96,,0,,0,31.0,1994-04-28,125000,,15,1418,1,1.96,1,0.12,16.44,61.0,Slovakia,['Slovakia'],,0,0,False,9.33,5.2,62.2,8.06,64.57,0.5700000000000001,0.67,0.51,5.52,6.49,0.76,4,0.25,0,0.0,0.44,0.06,1,0.06,0.12,0,0.0,22,1.4,18.18,4.545,0.06,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.25,75.0,1.1400000000000001,55.56,1.27,0.19,0.0,15.8,0.32,0.38,28.24,73.71,16.63,65.65,2.03,90.63,19.23,82.18,8.89,56.43,25.49,41.62,0.01,0.13,0.0,0.06,0.0,0.0,0.06,7.43,52.99,1.21,26.32,0.9500000000000001,40.0,0.44,0.0,9.01,73.24,89.57,7.3,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,8.06,0.19,0.13,0.0,0.0,0,0
M. Čurik,Maroš Čurik,353543,Považská Bystrica,Považská Bystrica,https://cdn5.wyscout.com/photos/team/public/g19095_120x120.png,2. liga,RB,RB,95,,0,,0,28.0,1997-08-23,100000,,15,1418,0,0.56,0,1.16,18.28,55.21,Slovakia,['Slovakia'],left,0,0,False,9.9,7.87,65.32,2.86,48.89,0.32,0.37,0.19,4.44,5.22,1.08,3,0.19,0,0.0,3.3,0.0,0,0.0,0.04,0,0.0,20,1.27,35.0,0.0,0.0,3.49,40.0,0.0,0.0,3.49,40.0,0.63,1.9,76.67,5.01,53.16,0.44,0.5700000000000001,0.13,15.11,0.63,0.7000000000000001,29.13,65.8,15.17,60.67,4.25,86.57,19.55,75.65,6.41,49.5,22.71,37.37,0.07,0.5700000000000001,0.0,0.0,0.0,0.0,0.25,6.09,60.42,3.17,46.0,0.19,0.0,0.19,1.33,9.33,63.27,64.76,6.66,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,2.86,0.13,0.0,0.0,0.0,0,0
N. Deligiannis,Nikolaos Deligiannis,-301790,Petržalka Akadémia,Petržalka Akadémia,https://cdn5.wyscout.com/photos/team/public/g37333_120x120.png,2. liga,LB,LB,88,,0,,0,20.0,2005-03-22,0,,15,1415,2,1.65,3,0.5,11.07,56.32,Greece,['Greece'],left,178,70,False,8.78,4.77,64.0,3.37,49.06,0.13,0.17,0.32,5.6,7.46,0.38,2,0.13,0,0.0,1.8399999999999999,0.13,0,0.0,0.1,0,0.0,10,0.64,30.0,20.0,0.19,3.31,38.46,3.24,39.22,0.0,0.0,0.51,0.51,75.0,1.65,61.54,0.51,0.13,0.13,28.11,1.78,0.8300000000000001,42.93,75.7,20.8,67.28,5.09,93.75,31.74,82.57,8.14,64.06,22.73,36.22,0.03,0.51,0.0,0.0,0.0,0.0,0.25,6.74,71.7,3.24,49.02,0.19,0.0,0.64,1.21,13.48,71.7,86.67,13.36,0,,0,,0,0.0,0.0,0.0,,,0.89,,3.37,0.13,0.0,0.0,0.13,2,100
