Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Chromek,Matej  Chromek,-616369,Dukla Banská Bystrica U19,Dukla Banská Bystrica U19,https://cdn5.wyscout.com/photos/team/public/g26232_120x120.png,U19 League,"LCB, RCB, LCB3",LCB,45,RCB,36,LCB3,11,18.0,2007-05-03,0,,19,1750,0,2.75,1,0.4,15.53,61.26,Slovakia,['Slovakia'],unknown,0,0,False,10.08,5.61,61.47,3.65,56.34,0.26,0.36,0.77,6.38,8.9,0.93,2,0.1,0,0.0,1.03,0.0,0,0.0,0.14,0,0.0,21,1.08,19.05,0.0,0.05,0.1,50.0,0.0,0.0,0.1,50.0,0.0,1.13,63.64,4.37,61.18,0.93,2.01,0.05,32.14,0.21,1.49,48.14,78.63,25.77,70.06,3.29,93.75,39.29,85.86,8.74,46.47,21.72,39.86,0.02,0.31,0.05,0.0,0.05,100.0,0.15,8.9,54.34,1.49,37.93,1.13,27.27,0.36,0.05,10.65,62.8,90.32,15.94,0,,0,,0,0.0,0.0,0.0,,,2.37,,3.65,0.0,0.0,0.0,0.0,0,0
F. Blaško,Filip Blaško,-615788,Pohronie U19,Pohronie U19,https://cdn5.wyscout.com/photos/team/public/g-11034_120x120.png,U19 League,"LCB3, LB, RWB",LCB3,63,LB,13,RWB,10,19.0,2007-01-11,0,,18,1638,0,0.56,0,0.05,14.07,58.98,Slovakia,['Slovakia'],unknown,0,0,False,12.47,8.02,69.86,2.14,38.46,0.55,0.6000000000000001,0.93,6.32,6.91,0.71,2,0.11,0,0.0,0.22,0.0,0,0.0,0.03,0,0.0,4,0.22,25.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.05,0.33,50.0,2.58,51.06,0.33,0.16,0.0,16.15,0.22,0.8200000000000001,29.23,79.89,13.79,71.71,2.86,88.46,26.26,84.1,2.8,45.1,18.4,31.13,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.14,64.1,0.16,33.33,0.05,0.0,0.05,0.0,6.43,46.15,90.3,9.07,0,,0,,0,0.0,0.0,0.0,,,1.81,,2.14,0.0,0.0,0.0,0.0,0,0
A. Knapčík,Andrej Knapčík,-703164,Dukla Banská Bystrica U19,Dukla Banská Bystrica U19,https://cdn5.wyscout.com/photos/team/public/g26232_120x120.png,U19 League,"LB, LB5",LB,79,LB5,11,,0,,,0,,19,1598,2,0.85,2,2.07,19.37,50.58,Slovakia,['Slovakia'],,0,0,False,11.88,9.07,62.11,1.01,33.33,0.51,0.7000000000000001,0.11,5.74,7.99,1.69,4,0.23,0,0.0,3.1,0.11,2,0.11,0.05,0,0.0,15,0.84,40.0,13.333,0.11,3.77,34.33,3.66,35.38,0.11,0.0,0.51,2.7,52.08,6.65,39.83,1.07,2.31,0.45,21.63,1.8599999999999999,0.9,34.92,64.68,16.84,58.19,6.03,91.59,26.7,74.05,4.96,34.09,19.42,37.73,0.12,0.9,0.0,0.0,0.23,25.0,0.51,5.46,60.82,4.06,38.89,0.68,16.67,0.62,1.3,9.35,56.02,60.61,7.43,0,,0,,0,0.0,0.0,0.0,,,0.96,,1.01,0.11,0.0,0.0,0.0,0,0
S. Kostial,Simon  Kostial,-739206,Dukla Banská Bystrica U19,Dukla Banská Bystrica U19,https://cdn5.wyscout.com/photos/team/public/g26232_120x120.png,U19 League,"RB, LB, RB5",RB,72,LB,12,RB5,10,18.0,2008-01-01,0,,19,1595,0,0.44,1,1.03,24.55,55.4,Slovakia,['Slovakia'],unknown,0,0,False,11.45,11.23,70.85,1.07,57.89,0.28,0.4,0.06,3.22,4.52,0.9,1,0.06,0,0.0,2.88,0.0,0,0.0,0.02,0,0.0,7,0.39,14.29,0.0,0.06,2.8200000000000003,22.0,0.28,40.0,2.48,20.45,0.51,3.05,72.22,9.31,39.39,1.3,2.37,0.34,17.61,1.13,0.73,30.13,72.47,10.72,62.63,7.79,89.13,25.28,80.8,2.09,37.84,18.13,36.96,0.06,0.62,0.0,0.0,0.0,0.0,0.34,3.27,53.45,2.48,22.73,0.34,16.67,0.23,0.73,5.02,57.3,70.16,7.0,0,,0,,0,0.0,0.0,0.0,,,0.73,,1.07,0.0,0.0,0.0,0.0,0,0
A. Štapinský,Adam Štapinský,-527944,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,GK,GK,100,,0,,0,18.0,2007-12-20,0,,17,1586,0,0.0,0,0.0,0.74,92.31,Slovakia,['Slovakia'],,0,0,False,2.95,0.11,50.0,0.4,100.0,0.0,0.0,0.0,2.89,3.73,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,13.56,0.17,0.17,29.11,78.36,16.63,64.16,0.0,0.0,16.85,96.63,12.26,53.24,31.92,45.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,30.77,0.11,0.0,0.23,50.0,0.0,0.0,9.08,70.63,98.02,11.46,25,1.42,102,5.79,2,75.49,24.57,1.3900000000000001,-0.43,-0.024,0.0,2.04,0.4,,,,0.0,0,0
M. Valigura,Martin Valigura,-386879,Ružomberok U19,Ružomberok U19,https://cdn5.wyscout.com/photos/team/public/g26238_120x120.png,U19 League,"RCB3, RB, LCB3",RCB3,23,RB,16,LCB3,15,19.0,2007-03-16,0,,17,1565,2,1.12,0,0.38,12.71,62.9,Slovakia,['Slovakia'],unknown,0,0,False,7.36,5.75,69.0,1.15,70.0,0.12,0.15,0.46,3.2800000000000002,4.31,1.21,5,0.29,0,0.0,0.98,0.12,2,0.12,0.06,1,0.06,7,0.4,42.86,28.571,0.0,0.52,22.22,0.06,0.0,0.46,25.0,0.17,1.15,60.0,3.62,55.56,1.04,1.73,0.23,25.42,0.6900000000000001,1.55,41.58,84.79,18.92,76.9,3.22,96.43,35.37,89.92,5.69,58.59,21.4,35.37,0.02,0.46,0.0,0.0,0.0,0.0,0.12,6.67,68.1,0.98,52.94,0.4,28.57,0.63,0.12,8.74,75.0,93.19,16.04,0,,0,,0,0.0,0.0,0.0,,,1.55,,1.15,0.0,0.0,0.0,0.0,0,0
T. Lukošík,Tomáš Lukošík,-572584,Podbrezová U19,Podbrezová U19,https://cdn5.wyscout.com/photos/team/public/g26233_120x120.png,U19 League,GK,GK,100,,0,,0,17.0,2008-08-16,0,,17,1565,0,0.0,0,0.0,1.21,61.9,Slovakia,['Slovakia'],,0,0,False,2.42,0.23,25.0,0.35000000000000003,66.67,0.0,0.0,0.0,2.36,3.51,0.06,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.4,100.0,0.17,0.0,0.0,18.35,0.06,0.4,31.4,79.85,17.02,65.54,0.12,100.0,18.4,96.88,12.94,56.0,32.55,48.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.26,51.35,0.35000000000000003,33.33,0.17,66.67,0.12,0.0,9.14,67.92,97.26,12.59,28,1.6099999999999999,106,6.1,4,73.58,25.3,1.45,-2.7,-0.155,0.0,1.04,0.35000000000000003,,,,0.0,0,0
D. Griger,Dávid  Griger,-740325,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,"CF, LW",CF,49,LW,23,,0,19.0,2007-01-01,0,,17,1555,9,8.01,2,1.6099999999999999,30.62,35.73,Slovakia,['Slovakia'],unknown,0,0,False,6.25,5.96,59.22,3.24,30.36,0.35000000000000003,0.45,0.06,2.37,3.06,1.9100000000000001,2,0.12,0,0.0,3.88,0.52,8,0.46,0.46,2,0.12,48,2.7800000000000002,54.17,18.75,0.12,0.98,29.41,0.35000000000000003,33.33,0.58,30.0,0.17,4.17,50.0,17.65,29.84,4.05,1.97,0.23,10.36,1.5,2.2,15.97,74.28,3.3,61.4,5.32,93.48,14.59,77.78,0.52,55.56,15.94,12.48,0.09,0.6900000000000001,0.06,0.0,0.06,0.0,0.23,1.27,63.64,0.87,66.67,0.06,0.0,0.52,0.23,1.9100000000000001,69.7,65.67,3.88,0,,0,,0,0.0,0.0,0.0,,,0.12,,3.24,0.23,0.17,100.0,0.0,1,100
P. Hrnčiar,Patrik Hrnčiar,-522320,Pohronie,Pohronie U19,https://cdn5.wyscout.com/photos/team/public/g22502_120x120.png,2. liga,"LCMF, CB, RCMF",LCMF,30,CB,22,RCMF,15,18.0,2007-12-26,0,,17,1516,4,3.68,1,0.78,12.47,57.62,Slovakia,['Slovakia'],,0,0,False,10.21,5.58,63.83,2.14,63.89,0.24,0.26,1.13,6.41,7.09,0.65,6,0.36,0,0.0,0.8300000000000001,0.24,1,0.06,0.22,0,0.0,12,0.71,58.33,33.333,0.06,0.12,0.0,0.06,0.0,0.06,0.0,0.0,0.42,85.71,3.21,48.15,0.53,0.18,0.0,21.73,0.18,0.8300000000000001,37.16,78.43,15.02,65.22,3.74,92.06,31.46,83.96,5.58,48.94,19.91,39.19,0.05,0.30000000000000004,0.0,0.0,0.06,100.0,0.24,4.27,48.61,0.53,44.44,0.47000000000000003,37.5,0.30000000000000004,0.0,7.18,48.76,87.95,13.3,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.14,0.18,0.06,0.0,0.06,3,100
R. Leuta,Ruslan Leuta,-197875,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,"RCMF, RCMF3, AMF",RCMF,40,RCMF3,28,AMF,15,18.0,2007-05-29,0,,17,1512,3,1.06,6,4.92,13.87,56.22,Ukraine,['Ukraine'],,153,40,False,5.89,5.89,70.71,0.77,53.85,0.12,0.15,0.0,1.6099999999999999,2.06,0.9500000000000001,1,0.06,0,0.0,2.02,0.18,3,0.18,0.06,0,0.0,16,0.9500000000000001,56.25,18.75,0.36,1.31,45.45,0.18,0.0,1.07,55.56,0.24,1.55,53.85,5.6,44.68,0.89,1.79,0.24,38.93,1.19,1.31,51.61,82.7,18.99,75.55,6.85,96.52,45.18,85.9,5.18,63.22,18.57,37.34,0.29,2.08,0.18,0.06,0.24,25.0,0.8300000000000001,10.77,75.14,3.15,56.6,0.89,46.67,1.43,0.6000000000000001,10.65,83.8,85.87,16.43,0,,0,,0,0.0,0.0,0.0,,,0.42,,0.77,0.9500000000000001,0.06,0.0,3.33,0,0
V. Vrábel,Viliam Vrábel,-585584,FC Košice U19,FC Košice U19,https://cdn5.wyscout.com/photos/team/public/g-17869_120x120.png,U19 League,LCMF,LCMF,80,,0,,0,18.0,2008-02-20,0,,17,1508,1,0.89,0,1.05,17.49,54.61,Slovakia,['Slovakia'],unknown,0,0,False,10.44,8.06,63.7,1.49,60.0,0.36,0.5,0.06,4.95,6.88,1.25,2,0.12,0,0.0,1.49,0.06,1,0.06,0.05,0,0.0,18,1.07,50.0,5.556,0.0,0.9,40.0,0.54,44.44,0.30000000000000004,40.0,0.24,1.19,50.0,5.61,44.68,0.72,0.66,0.06,20.71,0.24,1.55,38.32,77.88,13.55,56.83,7.88,95.45,32.88,83.48,4.54,44.74,18.08,36.61,0.06,0.6000000000000001,0.12,0.0,0.18,0.0,0.18,6.5600000000000005,61.82,2.03,26.47,1.37,21.74,0.42,0.30000000000000004,6.45,67.59,87.43,10.44,0,,0,,0,0.0,0.0,0.0,,,0.72,,1.49,0.36,0.12,100.0,0.24,0,0
D. Halčišák,Dávid Halčišák,-568267,FC Košice U19,FC Košice U19,https://cdn5.wyscout.com/photos/team/public/g-17869_120x120.png,U19 League,LCB3,LCB3,83,,0,,0,18.0,2007-07-06,0,,17,1508,0,0.42,0,1.27,13.97,54.27,Slovakia,['Slovakia'],unknown,0,0,False,10.44,7.94,63.16,1.85,45.16,0.06,0.08,0.36,5.37,7.48,0.72,1,0.06,0,0.0,0.36,0.0,0,0.0,0.03,0,0.0,7,0.42,14.29,0.0,0.0,0.78,23.08,0.48,12.5,0.30000000000000004,40.0,0.06,0.54,22.22,2.5700000000000003,37.21,0.42,0.78,0.0,31.03,0.30000000000000004,0.6000000000000001,48.1,82.01,21.6,73.2,5.31,96.63,40.64,88.4,6.8,50.0,19.83,30.58,0.08,0.66,0.0,0.12,0.0,0.0,0.12,5.97,74.0,1.07,33.33,0.42,42.86,0.18,0.12,10.8,64.09,90.74,16.11,0,,0,,0,0.0,0.0,0.0,,,3.64,,1.85,0.42,0.0,0.0,1.43,0,0
M. Terpak,Marek Terpak,-294948,Tatran Prešov,Prešov U19,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,Niké Liga,RCB,RCB,100,,0,,0,18.0,2007-05-04,0,,16,1488,0,0.2,0,0.02,10.22,55.03,Slovakia,['Slovakia'],unknown,0,0,False,9.44,5.63,63.44,2.36,48.72,0.67,0.86,0.97,5.2,6.74,0.79,3,0.18,0,0.0,0.06,0.0,0,0.0,0.01,0,0.0,2,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.6000000000000001,40.0,0.18,0.48,0.0,34.17,0.06,0.30000000000000004,50.56,89.11,21.47,83.94,2.96,97.96,44.76,93.24,5.8100000000000005,57.29,21.48,37.99,0.0,0.06,0.06,0.06,0.0,0.0,0.06,5.8100000000000005,72.92,0.36,50.0,0.36,33.33,0.12,0.0,9.19,71.05,94.58,22.32,0,,0,,0,0.0,0.0,0.0,,,2.48,,2.36,0.0,0.0,0.0,0.0,0,0
J. Slebodník,Jakub Slebodník,-616079,Prešov U19,Prešov U19,https://cdn5.wyscout.com/photos/team/public/g26231_120x120.png,U19 League,LCB,LCB,95,,0,,0,18.0,2007-05-06,0,,17,1487,0,0.93,0,0.0,15.07,58.23,Slovakia,['Slovakia'],unknown,0,0,False,10.41,8.17,61.48,3.63,53.33,0.61,0.79,0.79,4.78,6.22,1.51,2,0.12,0,0.0,0.30000000000000004,0.0,0,0.0,0.06,0,0.0,5,0.30000000000000004,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,1.15,26.32,0.24,0.48,0.0,28.45,0.42,0.30000000000000004,40.37,88.91,15.01,76.21,2.48,100.0,36.31,92.17,4.06,59.7,20.78,34.41,0.0,0.0,0.06,0.06,0.0,0.0,0.0,3.75,62.9,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,5.27,63.22,97.35,20.58,0,,0,,0,0.0,0.0,0.0,,,2.0,,3.63,0.0,0.0,0.0,0.0,0,0
