Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Magdić,Marin Magdić,-120000,Triglav,Triglav,https://cdn5.wyscout.com/photos/team/public/2615_120x120.png,2. SNL,"RCB, CB, LCB",RCB,64,CB,16,LCB,11,26.0,1999-04-13,100000,,14,1332,5,2.34,0,0.0,11.82,72.0,Croatia,"['Croatia', 'Bosnia and Herzegovina']",right,187,80,False,8.72,3.65,79.63,4.86,70.83,0.0,0.0,1.15,5.8100000000000005,9.49,0.34,1,0.07,0,0.0,0.61,0.34,5,0.34,0.16,4,0.27,12,0.81,66.67,41.667,0.0,0.2,0.0,0.14,0.0,0.07,0.0,0.07,0.2,33.33,1.35,55.0,0.9500000000000001,0.88,0.0,40.54,0.61,1.08,59.8,89.38,22.3,82.12,3.24,100.0,53.11,93.51,6.49,58.33,21.44,38.87,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.2,68.83,0.41000000000000003,0.0,0.14,0.0,0.07,0.07,9.19,66.18,94.47,29.32,0,,0,,0,0.0,0.0,0.0,,,2.64,,4.86,0.0,0.0,0.0,0.0,0,0.0
A. Mulalić,Ajdin Mulalić,290812,Triglav,Triglav,https://cdn5.wyscout.com/photos/team/public/2615_120x120.png,2. SNL,GK,GK,100,,0,,0,31.0,1994-09-13,100000,2027-06-30,14,1332,0,0.0,0,0.0,0.41000000000000003,100.0,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Slovenia']",right,187,85,False,1.28,0.14,100.0,0.14,100.0,0.07,0.11,0.0,1.08,1.76,0.0,2,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.07,12.03,0.14,0.07,20.95,81.29,11.49,72.35,0.07,0.0,13.24,96.94,7.57,55.36,30.73,46.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,44.44,0.2,0.0,0.27,25.0,0.14,0.0,5.8100000000000005,66.28,93.75,8.65,17,1.15,64,4.32,6,73.44,16.7,1.13,-0.30000000000000004,-0.02,0.0,0.81,0.14,,,,0.0,0,0.0
L. Dakić,Luka Dakić,-309747,Bistrica,Bistrica,https://cdn5.wyscout.com/photos/team/public/g15920_120x120.png,2. SNL,GK,GK,100,,0,,0,20.0,2005-05-09,0,,14,1328,0,0.0,0,0.0,1.3599999999999999,90.0,Slovenia,['Slovenia'],left,0,0,False,1.83,0.07,100.0,1.02,100.0,0.0,0.0,0.0,1.76,2.29,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,10.17,0.0,0.07,20.26,80.94,10.57,65.38,0.0,0.0,12.74,96.28,7.52,54.95,32.48,49.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,43.59,0.14,100.0,0.07,100.0,0.07,0.0,5.08,72.0,99.25,9.01,16,1.08,63,4.27,5,74.6,19.22,1.3,3.22,0.218,0.0,2.71,1.02,,,,0.0,0,0.0
T. Kruljac,Tim Kruljac,311180,Ilirija,Ilirija,https://cdn5.wyscout.com/photos/team/public/g30831_120x120.png,2. SNL,GK,GK,100,,0,,0,29.0,1996-06-08,50000,,14,1325,0,0.0,0,0.0,0.88,83.33,Slovenia,['Slovenia'],right,193,81,False,1.6800000000000002,0.07,0.0,0.51,100.0,0.0,0.0,0.0,1.6800000000000002,2.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,11.64,0.29,0.29,21.53,84.01,11.72,76.88,0.0,0.0,13.25,97.24,8.2,63.39,30.05,46.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,60.0,0.07,0.0,0.22,66.67,0.0,0.0,6.22,74.12,92.11,8.35,27,1.98,55,4.03,1,50.91,21.19,1.55,-5.8100000000000005,-0.425,0.0,1.6800000000000002,0.51,,,,0.0,0,0.0
L. Erjavšek,Lucas  Erjavšek,-391086,Nafta,Nafta,https://cdn5.wyscout.com/photos/team/public/1026_120x120.png,2. SNL,GK,GK,100,,0,,0,21.0,2004-07-05,0,,14,1323,0,0.0,0,0.0,0.68,90.0,Slovenia,['Slovenia'],right,188,77,False,2.31,0.0,0.0,0.54,100.0,0.0,0.0,0.0,2.31,3.04,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,8.16,0.2,0.07,15.65,81.74,8.91,71.76,0.0,0.0,10.34,99.34,5.1,49.33,28.86,46.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,31.82,0.14,0.0,0.0,0.0,0.0,0.0,3.67,57.41,97.5,5.44,11,0.75,47,3.2,6,76.6,12.9,0.88,1.9,0.129,0.0,2.45,0.54,,,,0.0,0,0.0
M. Matko,Matevž Matko,517536,Brinje-Grosuplje,Brinje-Grosuplje,https://cdn5.wyscout.com/photos/team/public/g34364_120x120.png,2. SNL,"RCB3, RCB, LCB3",RCB3,42,RCB,20,LCB3,18,24.0,2001-10-09,150000,,14,1323,0,0.35000000000000003,0,1.3900000000000001,10.48,61.69,Slovenia,['Slovenia'],right,181,74,False,8.03,5.03,63.51,3.13,71.74,0.27,0.49,0.34,4.5600000000000005,8.17,0.9500000000000001,3,0.2,0,0.0,0.68,0.0,0,0.0,0.02,0,0.0,5,0.34,20.0,0.0,0.0,1.3599999999999999,40.0,0.0,0.0,1.29,42.11,0.27,0.14,50.0,1.16,41.18,0.34,1.3599999999999999,0.07,48.37,0.61,0.48,66.67,86.53,32.11,78.6,4.63,100.0,54.9,92.81,10.48,59.09,21.94,38.46,0.09,0.8200000000000001,0.0,0.0,0.07,0.0,0.27,13.61,75.0,2.38,34.29,1.02,46.67,0.54,0.48,15.92,84.19,93.92,24.63,0,,0,,0,0.0,0.0,0.0,,,2.18,,3.13,0.14,0.0,0.0,0.0,0,0.0
N. Pušnik,Nejc Pušnik,504985,Brinje-Grosuplje,Brinje-Grosuplje,https://cdn5.wyscout.com/photos/team/public/g34364_120x120.png,2. SNL,"CB, LCB, RCB",CB,61,LCB,27,RCB,10,27.0,1998-08-06,125000,,14,1311,2,3.17,1,0.5700000000000001,10.71,61.54,Slovenia,['Slovenia'],right,185,0,False,8.03,4.46,72.31,3.23,55.32,0.21,0.37,0.62,4.6,8.27,1.1,3,0.21,0,0.0,0.34,0.14,2,0.14,0.22,1,0.07,10,0.6900000000000001,40.0,20.0,0.07,0.14,0.0,0.07,0.0,0.07,0.0,0.0,0.07,100.0,0.96,50.0,1.37,1.17,0.07,49.15,0.14,0.62,66.8,90.44,20.94,80.33,3.36,95.92,61.72,93.44,4.94,55.56,19.99,34.56,0.04,0.34,0.0,0.0,0.0,0.0,0.07,6.66,79.38,0.14,0.0,0.14,0.0,0.21,0.0,9.68,70.21,96.8,36.52,0,,0,,0,0.0,0.0,0.0,,,1.72,,3.23,0.0,0.0,0.0,0.0,0,0.0
R. Škerget,Rene Škerget,-428970,Bistrica,Bistrica,https://cdn5.wyscout.com/photos/team/public/g15920_120x120.png,2. SNL,LB,LB,100,,0,,0,20.0,2005-01-01,0,,14,1303,0,0.31,1,1.05,21.62,55.27,Slovenia,['Slovenia'],unknown,0,0,False,11.19,8.91,65.89,3.11,46.67,0.07,0.09,0.35000000000000003,5.25,6.83,0.76,1,0.07,0,0.0,2.35,0.0,0,0.0,0.02,0,0.0,8,0.55,25.0,0.0,0.07,1.5899999999999999,34.78,1.5899999999999999,34.78,0.0,0.0,0.21,2.42,68.57,7.94,49.57,0.35000000000000003,2.35,0.07,18.86,1.04,1.6600000000000001,29.56,75.0,12.02,64.37,4.77,95.65,25.28,80.33,2.76,50.0,18.93,32.39,0.07,0.55,0.0,0.0,0.0,0.0,0.07,3.59,69.23,1.8599999999999999,40.74,0.14,50.0,0.35000000000000003,0.48,6.7,54.64,81.25,8.84,0,,0,,0,0.0,0.0,0.0,,,0.28,,3.11,0.28,0.0,0.0,0.0,0,0.0
A. Zulić,Anel Zulić,-290926,Ilirija,Ilirija,https://cdn5.wyscout.com/photos/team/public/g30831_120x120.png,2. SNL,"LCB, LCB3",LCB,69,LCB3,10,,0,21.0,2004-11-07,0,,14,1294,1,0.47000000000000003,1,0.16,11.34,66.23,Slovenia,['Slovenia'],left,192,83,False,8.34,3.38,66.67,4.8100000000000005,73.44,0.23,0.34,0.8300000000000001,5.86,8.76,1.05,2,0.14,0,0.0,0.30000000000000004,0.07,1,0.08,0.04,1,0.08,7,0.53,28.57,14.286,0.08,0.38,20.0,0.30000000000000004,25.0,0.08,0.0,0.0,0.15,50.0,1.28,58.82,0.75,1.13,0.0,27.95,0.38,0.8300000000000001,47.93,83.54,25.09,77.25,2.18,93.1,38.99,90.17,8.56,56.14,22.38,39.25,0.01,0.23,0.08,0.0,0.0,0.0,0.08,8.11,64.81,0.75,20.0,0.38,20.0,0.23,0.08,11.87,74.68,90.41,16.45,0,,0,,0,0.0,0.0,0.0,,,1.28,,4.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
T. Gorenc Stankovič,Tibor Gorenc Stankovič,423663,Nafta,Nafta,https://cdn5.wyscout.com/photos/team/public/1026_120x120.png,2. SNL,"RCB, CB",RCB,76,CB,14,,0,25.0,1999-12-29,75000,,14,1263,2,1.01,0,0.0,12.68,66.85,Slovenia,['Slovenia'],right,190,81,False,9.05,5.06,64.79,5.49,68.83,0.14,0.19,0.36,5.63,7.48,1.35,3,0.21,0,0.0,0.29,0.14,2,0.14,0.07,2,0.14,6,0.43,33.33,33.333,0.0,0.21,66.67,0.07,100.0,0.14,50.0,0.07,0.0,0.0,0.36,60.0,0.78,0.36,0.0,33.92,0.21,0.5700000000000001,54.16,84.47,23.37,75.0,2.0,96.43,44.47,91.99,9.48,49.62,22.22,38.2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,7.91,60.36,0.78,54.55,0.43,16.67,0.21,0.14,10.69,67.33,92.64,23.23,0,,0,,0,0.0,0.0,0.0,,,0.93,,5.49,0.0,0.0,0.0,0.0,0,0.0
