Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Andersson,Fredrik Andersson,185869,Varbergs,Varbergs,https://cdn5.wyscout.com/photos/team/public/g7809_120x120.png,Superettan,GK,GK,100,,0,,0,37.0,1988-10-25,100000,2025-12-31,29,2842,0,0.0,0,0.0,0.79,64.0,Sweden,['Sweden'],right,196,86,False,1.49,0.03,0.0,0.51,87.5,0.03,0.04,0.0,1.46,1.85,0.03,1,0.03,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.16,40.0,0.0,0.0,0.0,12.7,0.16,0.03,21.0,86.27,12.73,79.35,0.0,0.0,12.26,97.93,8.74,69.93,33.67,47.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,58.06,0.25,25.0,0.1,33.33,0.06,0.0,7.22,78.51,97.57,7.82,38,1.2,134,4.24,7,71.64,38.3,1.21,0.30000000000000004,0.01,0.0,1.17,0.51,,,,0.0,0,0.0
J. Brattberg,Johan Brattberg,286629,Helsingborg,Helsingborg,https://cdn5.wyscout.com/photos/team/public/643_120x120.png,Superettan,GK,GK,100,,0,,0,28.0,1996-12-28,250000,2027-12-31,29,2834,0,0.0,0,0.0,0.8300000000000001,96.15,Sweden,['Sweden'],right,198,93,False,1.49,0.0,0.0,0.54,100.0,0.0,0.0,0.03,1.49,1.78,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,83.33,0.0,0.0,0.0,12.61,0.22,0.25,24.04,84.54,11.31,69.38,0.0,0.0,17.05,97.77,6.95,52.51,30.04,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,36.76,0.19,33.33,0.1,33.33,0.06,0.0,4.76,68.67,98.63,11.62,38,1.21,139,4.41,10,72.66,37.12,1.18,-0.88,-0.028,0.0,2.35,0.54,,,,0.0,0,0.0
L. Kjellnäs,Lukas Kjellnäs,-130073,Helsingborg,Helsingborg,https://cdn5.wyscout.com/photos/team/public/643_120x120.png,Superettan,"LCMF, RCMF",LCMF,75,RCMF,15,,0,21.0,2004-06-20,0,2026-12-31,29,2740,0,1.23,1,1.3900000000000001,15.96,52.47,Sweden,['Sweden'],right,179,65,False,7.85,6.86,61.24,1.8399999999999999,50.0,0.16,0.2,0.36,3.48,4.18,1.54,4,0.13,0,0.0,0.85,0.0,0,0.0,0.04,0,0.0,19,0.62,31.58,0.0,0.03,0.72,40.91,0.46,21.43,0.26,75.0,0.13,0.6900000000000001,42.86,4.99,42.76,0.6900000000000001,1.02,0.30000000000000004,25.75,0.2,1.6099999999999999,36.66,81.54,11.14,61.95,5.55,94.67,32.19,87.04,3.81,43.1,19.66,39.96,0.05,0.49,0.07,0.03,0.1,66.67,0.23,6.73,66.34,1.6800000000000002,43.14,0.36,45.45,0.6900000000000001,0.23,5.55,69.82,90.18,14.72,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.8399999999999999,0.0,0.0,0.0,0.0,0,0.0
M. Sætra,Morten Sætra,346133,Oddevold,Oddevold,https://cdn5.wyscout.com/photos/team/public/g2402_120x120.png,Superettan,GK,GK,100,,0,,0,28.0,1997-06-18,150000,2025-12-31,28,2732,0,0.0,0,0.0,0.99,90.0,Norway,['Norway'],right,198,76,False,2.21,0.03,100.0,0.6900000000000001,95.24,0.0,0.0,0.0,2.17,2.35,0.0,1,0.03,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.2,100.0,0.0,0.0,0.0,16.7,0.07,0.13,28.92,76.99,17.2,63.22,0.1,33.33,16.87,96.88,12.06,49.18,34.73,53.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,36.2,0.66,10.0,0.59,22.22,0.07,0.0,8.24,70.4,97.46,10.38,30,0.99,121,3.99,12,75.21,30.8,1.01,0.8,0.026000000000000002,0.03,2.67,0.6900000000000001,,,,0.0,0,0.0
J. Adolfsson,Jesper Merbom Adolfsson,464213,Oddevold,Oddevold,https://cdn5.wyscout.com/photos/team/public/g2402_120x120.png,Superettan,RCB3,RCB3,86,,0,,0,26.0,1999-01-15,225000,2025-12-31,28,2732,0,0.59,0,0.9,8.76,56.77,Sweden,['Sweden'],right,182,78,False,8.07,4.05,70.73,1.8399999999999999,44.64,0.2,0.21,0.79,5.01,5.41,0.30000000000000004,0,0.0,0,0.0,0.46,0.0,0,0.0,0.02,0,0.0,11,0.36,27.27,0.0,0.0,0.43,61.54,0.03,100.0,0.33,60.0,0.07,0.30000000000000004,22.22,1.55,38.3,0.23,0.72,0.03,36.04,0.36,0.46,50.07,86.05,19.7,74.08,5.57,97.63,42.46,91.39,7.21,56.16,20.89,39.78,0.03,0.13,0.07,0.03,0.07,50.0,0.07,8.2,67.47,1.38,40.48,0.59,38.89,0.26,0.23,9.55,70.34,94.35,18.09,0,,0,,0,0.0,0.0,0.0,,,1.98,,1.8399999999999999,0.1,0.0,0.0,0.0,0,0.0
E. Engqvist,Emil Engqvist,-85682,Sandviken,Sandviken,https://cdn5.wyscout.com/photos/team/public/g4036_120x120.png,Superettan,"LCB, RCB",LCB,54,RCB,35,,0,26.0,1999-05-27,250000,2025-12-31,28,2732,2,3.39,0,0.38,10.94,61.14,Sweden,['Sweden'],right,188,82,False,7.97,4.12,64.8,2.96,64.44,0.1,0.14,0.89,5.2,7.12,0.66,2,0.07,0,0.0,0.63,0.07,1,0.03,0.11,0,0.0,14,0.46,21.43,14.286,0.0,0.1,33.33,0.1,33.33,0.0,0.0,0.03,0.6900000000000001,57.14,2.11,53.13,0.43,2.14,0.36,46.35,0.53,0.56,64.4,88.9,26.82,79.73,3.92,97.48,58.11,92.12,6.19,59.57,20.47,37.48,0.01,0.26,0.0,0.07,0.1,100.0,0.07,10.28,78.53,1.09,39.39,0.6900000000000001,33.33,0.53,0.03,10.87,73.64,96.4,27.47,0,,0,,0,0.0,0.0,0.0,,,2.83,,2.96,0.0,0.0,0.0,0.0,1,100.0
A. Andersson,Anton Andersson,254712,Falkenberg,Falkenberg,https://cdn5.wyscout.com/photos/team/public/1628_120x120.png,Superettan,GK,GK,100,,0,,0,28.0,1997-02-24,0,,28,2708,0,0.0,0,0.0,1.1,90.91,Sweden,['Sweden'],,0,0,False,1.69,0.0,0.0,0.86,92.31,0.0,0.0,0.0,1.69,1.73,0.0,0,0.0,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.13,75.0,0.0,0.0,0.03,15.85,0.23,0.17,23.76,84.48,12.76,72.66,0.07,100.0,12.26,99.46,11.43,68.9,35.51,49.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,53.25,0.03,0.0,0.07,0.0,0.0,0.0,8.61,82.24,98.37,10.2,31,1.03,120,3.99,12,74.17,30.72,1.02,-0.28,-0.009000000000000001,0.07,1.76,0.86,,,,0.0,0,0.0
A. Salo,Alexander  Salo,-116331,Falkenberg,Falkenberg,https://cdn5.wyscout.com/photos/team/public/1628_120x120.png,Superettan,"LCB, LCB3",LCB,76,LCB3,10,,0,25.0,2000-03-25,0,2027-12-31,29,2696,2,2.85,0,0.43,12.59,60.48,Sweden,['Sweden'],left,190,80,False,9.65,4.51,66.67,4.57,61.31,0.33,0.34,0.97,6.31,6.5,0.73,2,0.07,0,0.0,0.43,0.07,2,0.07,0.1,2,0.07,15,0.5,33.33,13.333,0.0,0.07,50.0,0.07,50.0,0.0,0.0,0.0,0.33,70.0,0.93,64.29,0.87,1.0,0.0,34.42,0.17,0.5700000000000001,51.41,89.48,20.46,79.12,3.27,100.0,43.8,94.36,7.58,61.23,21.13,37.76,0.01,0.13,0.03,0.0,0.0,0.0,0.07,5.57,67.66,0.30000000000000004,33.33,0.30000000000000004,22.22,0.17,0.03,8.88,74.81,96.73,22.43,0,,0,,0,0.0,0.0,0.0,,,1.9,,4.57,0.0,0.0,0.0,0.0,0,0.0
E. Hedenquist,Erik Hedenquist,484520,Oddevold,Oddevold,https://cdn5.wyscout.com/photos/team/public/g2402_120x120.png,Superettan,LCB3,LCB3,92,,0,,0,26.0,1999-01-02,175000,,28,2681,0,2.29,3,0.61,13.6,60.49,Sweden,['Sweden'],right,190,85,False,10.24,4.3,71.09,5.4,62.11,0.54,0.58,0.91,6.65,7.16,0.91,3,0.1,0,0.0,0.27,0.0,0,0.0,0.08,0,0.0,13,0.44,15.38,0.0,0.1,0.13,50.0,0.07,50.0,0.07,50.0,0.0,0.23,57.14,1.44,51.16,1.07,0.30000000000000004,0.0,27.12,0.47000000000000003,0.74,40.42,86.46,17.42,76.49,4.2,97.6,36.22,90.73,4.06,49.59,20.75,35.76,0.02,0.1,0.0,0.03,0.0,0.0,0.07,4.26,72.44,0.34,30.0,0.23,14.29,0.30000000000000004,0.07,6.78,64.36,95.3,15.71,0,,0,,0,0.0,0.0,0.0,,,2.75,,5.4,0.0,0.0,0.0,0.0,0,0.0
S. Kroon,Samuel Kroon,431344,Örebro,Örebro,https://cdn5.wyscout.com/photos/team/public/651_120x120.png,Superettan,"LB, LWB",LB,76,LWB,14,,0,28.0,1996-11-28,200000,2025-12-31,27,2675,0,0.93,2,4.12,12.25,54.12,Sweden,['Sweden'],left,186,76,False,6.29,5.38,63.75,1.6099999999999999,52.08,0.13,0.18,0.13,2.73,3.7,0.71,3,0.1,0,0.0,2.46,0.0,0,0.0,0.03,0,0.0,12,0.4,25.0,0.0,0.07,4.17,35.48,3.84,36.84,0.34,20.0,0.5,1.31,56.41,3.5300000000000002,44.76,0.84,2.56,0.2,43.13,1.58,0.77,58.14,80.61,22.61,71.28,11.47,98.24,48.08,89.36,5.96,40.68,18.87,38.02,0.14,1.21,0.07,0.0,0.24,57.14,0.44,9.22,64.96,4.68,43.17,0.81,37.5,0.74,1.48,11.0,73.39,79.91,15.41,0,,0,,0,0.0,0.0,0.0,,,0.91,,1.6099999999999999,0.9400000000000001,0.03,0.0,0.9400000000000001,0,0.0
