Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Kouagba,Loïc Kouagba,367335,Boluspor,Boluspor,https://cdn5.wyscout.com/photos/team/public/1346_120x120.png,1. Lig,LCB,LCB,88,,0,,0,31.0,1994-06-09,400000,2027-06-30,23,2267,1,1.11,0,0.04,8.93,59.56,France,"['France', ""Côte d'Ivoire""]",left,182,82,False,6.07,4.33,66.97,2.14,53.7,0.16,0.29,0.56,3.02,5.44,0.9500000000000001,2,0.08,0,0.0,0.2,0.04,1,0.04,0.04,0,0.0,4,0.16,25.0,25.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.16,100.0,1.27,34.38,0.2,0.79,0.04,33.35,0.44,0.32,45.66,93.13,16.32,86.86,3.33,95.24,42.28,96.06,3.26,58.54,19.21,33.98,0.0,0.04,0.04,0.0,0.0,0.0,0.0,3.45,72.41,0.2,40.0,0.24,66.67,0.08,0.0,5.12,70.54,96.97,20.96,0,,0,,0,0.0,0.0,0.0,,,2.26,,2.14,0.0,0.0,0.0,0.0,0,0.0
G. Kaya,Gökcan Kaya,306620,Iğdır FK,Iğdır FK,https://cdn5.wyscout.com/photos/team/public/g-14609_120x120.png,1. Lig,RB,RB,65,,0,,0,30.0,1995-08-07,450000,2026-06-30,23,2258,2,0.62,2,2.12,10.0,57.77,Denmark,"['Denmark', 'Türkiye']",right,180,68,False,6.3,4.34,71.56,1.28,46.88,0.16,0.25,0.12,3.03,4.82,0.52,2,0.08,0,0.0,1.47,0.08,2,0.08,0.02,0,0.0,10,0.4,40.0,20.0,0.08,1.83,26.09,0.04,0.0,1.75,27.27,0.24,1.4,60.0,3.19,45.0,1.28,2.27,0.16,30.41,2.71,0.56,40.54,79.74,16.1,71.53,6.02,95.36,33.96,87.21,4.82,47.93,19.62,36.09,0.08,0.72,0.04,0.0,0.16,0.0,0.44,6.46,66.05,2.83,42.25,0.48,33.33,1.04,0.44,7.77,73.33,82.72,12.0,0,,0,,0,0.0,0.0,0.0,,,0.92,,1.28,0.0,0.0,0.0,0.0,0,0.0
J. Szumski,Jakub Szumski,157344,Sakaryaspor,Sakaryaspor,https://cdn5.wyscout.com/photos/team/public/1349_120x120.png,1. Lig,GK,GK,100,,0,,0,33.0,1992-03-06,100000,2026-06-30,23,2236,0,0.0,0,0.26,0.6000000000000001,86.67,Poland,['Poland'],right,194,78,False,1.9300000000000002,0.12,66.67,0.32,87.5,0.0,0.0,0.0,1.85,2.36,0.0,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.08,100.0,0.0,0.0,0.0,10.87,0.12,0.04,18.8,78.59,11.55,66.9,0.0,0.0,10.47,96.54,8.33,56.04,33.83,47.32,0.01,0.04,0.0,0.0,0.0,0.0,0.0,2.21,34.55,0.32,12.5,0.24,33.33,0.04,0.0,5.72,68.31,98.8,6.72,41,1.65,137,5.51,4,70.07,45.59,1.83,4.59,0.185,0.0,1.21,0.32,,,,0.0,0,0.0
M. Vorobjovas,Modestas Vorobjovas,288319,İstanbulspor,İstanbulspor,https://cdn5.wyscout.com/photos/team/public/g2226_120x120.png,1. Lig,"RDMF, DMF, RCMF",RDMF,39,DMF,23,RCMF,17,30.0,1995-12-30,350000,2026-06-30,23,2234,0,0.75,0,0.73,14.79,56.4,Lithuania,['Lithuania'],right,177,75,False,10.19,8.74,61.75,1.81,44.44,0.04,0.05,0.2,4.75,6.31,1.81,1,0.04,0,0.0,0.64,0.0,0,0.0,0.03,0,0.0,8,0.32,25.0,0.0,0.0,0.89,45.45,0.32,62.5,0.52,38.46,0.16,0.28,57.14,1.85,50.0,0.52,0.4,0.0,25.34,0.16,1.13,39.24,83.37,13.62,73.96,7.69,95.29,34.61,87.78,3.79,51.06,18.95,32.28,0.03,0.44,0.04,0.0,0.04,0.0,0.12,6.08,70.2,1.57,53.85,0.52,23.08,0.32,0.44,7.01,71.26,87.42,13.13,0,,0,,0,0.0,0.0,0.0,,,1.45,,1.81,0.0,0.0,0.0,0.0,0,0.0
B. Baiye,Brandon Baiye,460053,BB Erzurumspor,BB Erzurumspor,https://cdn5.wyscout.com/photos/team/public/g19670_120x120.png,1. Lig,DMF,DMF,85,,0,,0,25.0,2000-12-27,700000,2027-06-30,23,2220,4,2.58,3,1.26,10.62,54.58,Belgium,['Belgium'],right,177,75,False,7.05,5.31,58.02,1.1400000000000001,35.71,0.12,0.18,0.2,3.85,5.63,1.01,2,0.08,0,0.0,1.05,0.16,4,0.16,0.1,0,0.0,14,0.5700000000000001,42.86,28.571,0.12,0.32,50.0,0.0,0.0,0.2,60.0,0.0,0.85,71.43,3.0,58.11,0.89,1.3,0.28,36.36,0.04,0.89,48.04,93.0,11.03,85.66,7.74,97.38,45.73,94.33,2.03,70.0,18.32,35.3,0.05,0.41000000000000003,0.0,0.16,0.04,100.0,0.16,4.34,80.37,0.73,55.56,0.12,66.67,0.45,0.16,5.39,80.45,95.7,22.62,0,,0,,0,0.0,0.0,0.0,,,1.5,,1.1400000000000001,0.0,0.0,0.0,0.0,0,0.0
O .Çalışkan,Oğuzcan Çalışkan,-313882,Ankara Keçiörengücü,Ankara Keçiörengücü,https://cdn5.wyscout.com/photos/team/public/g7284_120x120.png,1. Lig,"LCB, RCB",LCB,62,RCB,37,,0,23.0,2002-11-06,0,2027-06-30,23,2203,3,1.73,0,0.22,12.22,60.87,Türkiye,['Türkiye'],unknown,0,0,False,7.27,4.25,76.92,5.15,55.56,0.29,0.4,0.61,3.7199999999999998,5.14,1.23,2,0.08,0,0.0,0.29,0.12,3,0.12,0.07,2,0.08,12,0.49,33.33,25.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.12,100.0,0.9,50.0,0.98,0.37,0.0,22.02,0.16,0.53,31.78,87.4,13.6,76.28,2.49,95.08,27.74,93.08,3.96,49.48,20.74,37.74,0.01,0.08,0.0,0.0,0.04,0.0,0.04,3.15,55.84,0.2,20.0,0.29,28.57,0.16,0.0,4.78,64.1,97.19,13.07,0,,0,,0,0.0,0.0,0.0,,,1.92,,5.15,0.0,0.0,0.0,0.0,0,0.0
Ç. Akbaba,Çağlar Şahin Akbaba,277167,Vanspor FK,Vanspor FK,https://cdn5.wyscout.com/photos/team/public/g2346_120x120.png,1. Lig,GK,GK,100,,0,,0,30.0,1995-03-17,325000,2026-06-30,22,2201,0,0.0,0,0.0,0.78,84.21,Türkiye,['Türkiye'],right,187,75,False,1.5899999999999999,0.08,50.0,0.37,100.0,0.04,0.06,0.0,1.51,2.39,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.12,66.67,0.0,0.12,0.0,19.63,0.16,0.2,27.36,84.9,12.8,73.48,0.04,100.0,17.83,97.02,9.45,62.77,30.06,45.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7800000000000002,42.65,0.29,28.57,0.2,40.0,0.08,0.0,6.01,70.75,95.17,13.53,21,0.86,88,3.6,8,76.14,23.47,0.96,2.47,0.101,0.0,1.06,0.37,,,,0.0,0,0.0
A. Dere,Ali Dere,123228,Ankara Keçiörengücü,Ankara Keçiörengücü,https://cdn5.wyscout.com/photos/team/public/g7284_120x120.png,1. Lig,LB,LB,100,,0,,0,33.0,1992-09-29,50000,2026-06-30,23,2198,0,0.23,2,3.7,11.46,61.07,Türkiye,['Türkiye'],left,176,74,False,8.31,5.94,72.41,1.6,30.77,0.53,0.73,0.25,3.48,4.79,0.74,3,0.12,0,0.0,2.37,0.0,0,0.0,0.01,0,0.0,6,0.25,50.0,0.0,0.08,3.32,46.91,3.19,47.44,0.08,50.0,0.33,0.8200000000000001,85.0,2.5,60.66,0.45,1.43,0.49,19.82,1.3900000000000001,0.9400000000000001,29.32,77.23,10.48,66.41,5.28,92.25,22.15,87.62,4.18,46.08,21.28,36.03,0.15,0.98,0.04,0.04,0.0,0.0,0.53,3.85,68.09,2.42,50.85,0.12,0.0,0.12,1.35,7.04,66.86,80.09,8.64,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.6,0.33,0.04,0.0,0.98,0,0.0
A. Nukan,Atınç Nukan,130121,Bandırmaspor,Bandırmaspor,https://cdn5.wyscout.com/photos/team/public/g11986_120x120.png,1. Lig,"LCB, CB",LCB,55,CB,43,,0,32.0,1993-07-20,225000,2026-06-30,22,2180,1,1.01,0,0.35000000000000003,9.37,59.91,Türkiye,['Türkiye'],left,196,86,False,8.13,3.51,68.24,3.92,57.89,0.33,0.43,0.54,5.41,7.08,0.58,5,0.21,0,0.0,0.08,0.04,1,0.04,0.04,0,0.0,8,0.33,25.0,12.5,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.04,0.08,0.0,0.33,37.5,0.87,0.29,0.0,23.99,0.29,0.37,36.29,84.3,14.49,71.23,2.23,94.44,31.5,90.04,4.67,47.79,22.62,42.02,0.01,0.12,0.0,0.04,0.0,0.0,0.04,4.71,60.53,0.74,33.33,0.62,33.33,0.45,0.04,6.23,68.87,94.76,16.56,0,,0,,0,0.0,0.0,0.0,,,1.73,,3.92,0.0,0.0,0.0,0.0,0,0.0
C. Topaloğlu,Cihan Topaloğlu,214808,Ümranıyespor,Ümranıyespor,https://cdn5.wyscout.com/photos/team/public/g19664_120x120.png,1. Lig,GK,GK,100,,0,,0,33.0,1992-03-30,125000,2026-06-30,22,2177,0,0.0,1,0.0,0.79,94.74,Türkiye,['Türkiye'],left,186,76,False,1.07,0.08,100.0,0.5,91.67,0.0,0.0,0.0,0.99,1.27,0.0,3,0.12,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.12,100.0,0.0,0.0,0.04,12.82,0.21,0.21,19.31,85.22,10.29,73.49,0.0,0.0,11.86,99.65,7.44,62.22,33.36,49.33,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.8599999999999999,53.33,0.29,0.0,0.08,50.0,0.0,0.0,4.88,74.58,98.48,8.14,30,1.24,109,4.51,7,72.48,34.62,1.43,4.62,0.191,0.0,1.32,0.5,,,,0.0,0,0.0
L. Bacuna,Leandro Bacuna,88003,Iğdır FK,Iğdır FK,https://cdn5.wyscout.com/photos/team/public/g-14609_120x120.png,1. Lig,"AMF, LW",AMF,20,LW,14,,0,34.0,1991-08-21,400000,2027-06-30,23,2169,7,2.96,2,2.8200000000000003,11.24,38.01,Netherlands,"['Netherlands', 'Curaçao']",right,180,77,False,4.11,3.49,58.33,1.29,32.26,0.0,0.0,0.21,2.07,2.69,1.04,3,0.12,0,0.0,1.37,0.29,7,0.29,0.12,1,0.04,31,1.29,45.16,22.581,0.08,0.75,55.56,0.33,62.5,0.41000000000000003,50.0,0.12,0.87,38.1,4.44,24.3,1.58,1.2,0.25,19.59,1.33,0.25,27.97,82.64,8.8,74.06,5.15,89.52,25.56,85.23,1.7000000000000002,56.1,17.63,29.07,0.12,1.08,0.04,0.0,0.08,50.0,0.25,3.44,75.9,1.37,57.58,0.29,42.86,0.71,0.46,3.8200000000000003,76.09,87.34,9.83,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.29,0.46,0.21,20.0,1.12,0,0.0
