Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Carolina Pocinho,Carolina Carreira Pocinho,-396704,Vitória Guimarães,Vitória Guimarães,https://cdn5.wyscout.com/photos/team/public/g-24640_120x120.png,1a Divisão Women,"LCB3, LB, RCB",LCB3,53,LB,23,RCB,22,26.0,1999-02-11,0,,9,888,0,1.26,0,0.75,12.87,56.69,Portugal,['Portugal'],unknown,0,0,False,10.74,5.88,67.24,2.64,61.54,0.2,0.28,0.51,6.59,9.2,1.01,4,0.41000000000000003,0,0.0,0.41000000000000003,0.0,0,0.0,0.13,0,0.0,3,0.30000000000000004,0.0,0.0,0.0,0.51,20.0,0.51,20.0,0.0,0.0,0.0,1.11,27.27,2.84,28.57,0.71,0.51,0.0,13.28,0.51,0.2,25.24,63.86,11.76,47.41,2.64,76.92,18.75,75.14,5.98,32.2,20.13,34.23,0.08,0.1,0.0,0.0,0.1,0.0,0.1,2.33,39.13,0.71,14.29,0.2,0.0,0.1,0.1,6.59,29.23,83.78,7.5,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,2.64,0.0,0.0,0.0,0.0,0,0
E. Parkinson,Erica Parkinson,-407828,Valadares Gaia,Valadares Gaia,https://cdn5.wyscout.com/photos/team/public/g25012_120x120.png,1a Divisão Women,"RCMF, RCMF3, LCMF",RCMF,35,RCMF3,21,LCMF,15,17.0,2008-04-18,0,,9,887,3,2.86,1,0.41000000000000003,28.0,51.09,England,['England'],unknown,0,0,False,10.76,10.45,57.28,1.12,9.09,0.91,1.29,0.2,3.86,5.45,2.44,0,0.0,0,0.0,4.06,0.30000000000000004,1,0.1,0.29,0,0.0,18,1.83,50.0,16.667,0.1,2.44,16.67,0.51,0.0,1.9300000000000002,21.05,0.41000000000000003,4.26,64.29,13.6,51.49,2.44,1.9300000000000002,0.51,17.15,1.12,2.44,27.9,71.64,9.94,65.31,3.75,86.49,22.53,81.53,2.94,41.38,17.52,32.43,0.04,0.71,0.1,0.0,0.0,0.0,0.30000000000000004,4.67,67.39,2.74,29.63,0.61,16.67,0.71,0.71,5.48,68.52,73.75,8.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.12,0.0,0.0,0.0,0.2,2,100
Bárbara Azevedo,Bárbara Daniela Cruz da Cunha Lisboa Azevedo,305530,Vitória Guimarães,Vitória Guimarães,https://cdn5.wyscout.com/photos/team/public/g-24640_120x120.png,1a Divisão Women,"RB, LB5, RWB",RB,46,LB5,22,RWB,19,28.0,1997-11-04,0,,9,878,0,0.12,0,0.0,19.58,51.31,Portugal,['Portugal'],,163,0,False,12.2,8.51,55.42,1.6400000000000001,50.0,0.72,1.0,0.0,6.77,9.47,1.44,2,0.21,0,0.0,1.74,0.0,0,0.0,0.01,0,0.0,2,0.21,0.0,0.0,0.0,1.33,7.69,0.21,0.0,1.13,9.09,0.21,2.67,61.54,6.97,45.59,0.0,1.13,0.21,15.58,1.03,1.54,29.01,57.95,16.2,49.37,2.05,80.0,22.45,68.95,5.23,23.53,19.08,33.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,29.73,2.05,20.0,0.62,16.67,0.31,0.21,7.48,43.84,70.37,5.54,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.6400000000000001,0.0,0.0,0.0,0.0,0,0
Daniela Santos,Daniela Areia Santos,-371167,Valadares Gaia,Valadares Gaia,https://cdn5.wyscout.com/photos/team/public/g25012_120x120.png,1a Divisão Women,"LCB, CB",LCB,85,CB,12,,0,21.0,2004-02-18,0,,8,838,0,0.0,0,0.19,9.56,50.56,Portugal,['Portugal'],unknown,0,0,False,6.34,3.87,66.67,2.15,40.0,0.0,0.0,0.21,3.76,5.41,0.32,0,0.0,0,0.0,0.43,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.64,66.67,2.68,36.0,0.43,0.32,0.0,18.58,0.0,0.54,32.22,81.33,14.18,65.91,2.68,96.0,25.78,89.17,6.34,50.85,21.39,38.52,0.02,0.11,0.0,0.11,0.0,0.0,0.0,2.79,57.69,0.43,0.0,0.54,0.0,0.11,0.0,7.41,55.07,95.69,12.46,0,,0,,0,0.0,0.0,0.0,,,2.15,,2.15,0.11,0.0,0.0,0.0,0,0
J. Lakip,Jennie Marshall Lakip,-459163,Valadares Gaia,Valadares Gaia,https://cdn5.wyscout.com/photos/team/public/g25012_120x120.png,1a Divisão Women,CF,CF,100,,0,,0,35.0,1990-09-15,0,,9,833,3,4.21,1,1.46,18.26,39.05,United States,['United States'],unknown,0,0,False,3.35,3.13,62.07,3.89,44.44,0.0,0.0,0.11,1.4,1.99,1.51,0,0.0,0,0.0,3.24,0.32,3,0.32,0.45,0,0.0,28,3.03,35.71,10.714,0.11,1.3,41.67,0.32,33.33,0.97,44.44,0.11,2.59,62.5,7.45,33.33,5.08,0.76,0.11,9.62,1.73,0.43,15.23,67.38,3.13,44.83,3.46,84.38,13.94,69.77,0.11,0.0,13.99,6.29,0.16,0.86,0.0,0.0,0.11,0.0,0.43,0.97,88.89,1.62,53.33,0.11,0.0,1.08,0.54,1.94,61.11,77.78,3.89,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.89,0.0,0.0,0.0,0.0,0,0
Lidiane,Lidiane da Silva Antunes,-521785,Damaiense,Damaiense,https://cdn5.wyscout.com/photos/team/public/g-12892_120x120.png,1a Divisão Women,"CF, AMF, RW",CF,45,AMF,25,RW,21,21.0,2004-09-24,0,,8,824,6,5.46,1,1.23,21.84,48.5,Brazil,['Brazil'],unknown,0,0,False,6.88,4.37,72.5,2.08,47.37,0.22,0.29,0.0,3.5,4.66,0.98,1,0.11,0,0.0,3.06,0.66,2,0.22,0.6000000000000001,0,0.0,16,1.75,56.25,37.5,0.11,1.31,33.33,0.76,28.57,0.44,50.0,0.22,2.4,63.64,12.45,43.86,1.2,0.98,0.22,15.51,0.87,3.39,24.47,67.41,7.75,52.11,4.59,85.71,20.86,72.25,2.4,45.45,17.02,31.42,0.13,1.31,0.0,0.0,0.33,33.33,0.55,2.95,51.85,1.97,38.89,0.55,20.0,0.44,0.44,4.8100000000000005,47.73,70.0,6.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.08,1.09,0.22,0.0,0.98,5,80
T. Harris,Tianna  Harris,-215915,Damaiense,Damaiense,https://cdn5.wyscout.com/photos/team/public/g-12892_120x120.png,1a Divisão Women,"RCB, LCB3",RCB,60,LCB3,30,,0,25.0,2000-02-07,0,,8,824,0,0.18,0,0.0,15.73,59.03,Canada,"['Canada', 'Jamaica']",unknown,165,0,False,10.59,7.65,71.43,3.39,58.06,0.33,0.44,0.66,4.8100000000000005,6.41,1.2,3,0.33,0,0.0,0.33,0.0,0,0.0,0.02,0,0.0,2,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,37.5,3.17,37.93,0.22,0.55,0.0,14.75,0.22,0.33,27.85,67.45,15.62,53.85,1.53,92.86,20.97,76.56,6.88,39.68,20.97,32.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,36.67,0.33,33.33,0.44,50.0,0.11,0.0,8.19,38.67,88.0,8.19,0,,0,,0,0.0,0.0,0.0,,,1.42,,3.39,0.0,0.0,0.0,0.0,0,0
A. Lockwood,Amber Lockwood,-201713,Damaiense,Damaiense,https://cdn5.wyscout.com/photos/team/public/g-12892_120x120.png,1a Divisão Women,GK,GK,100,,0,,0,23.0,2002-01-06,0,,8,824,0,0.0,0,0.0,2.73,80.0,United States,['United States'],,173,0,False,2.95,0.55,40.0,1.53,92.86,0.0,0.0,0.0,2.73,3.64,0.11,3,0.33,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,100.0,0.0,0.0,0.0,7.54,0.11,0.76,15.73,75.69,8.74,63.75,0.0,0.0,7.65,94.29,8.08,58.11,29.8,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,44.44,89.29,6.12,26,2.84,71,7.75,0,63.38,20.17,2.2,-5.83,-0.637,0.0,2.18,1.53,,,,0.0,0,0
Inês Queiroga,Inês Beatriz Barrigas Queiroga,427166,Damaiense,Damaiense,https://cdn5.wyscout.com/photos/team/public/g-12892_120x120.png,1a Divisão Women,"LB, RCB3, RB",LB,44,RCB3,30,RB,23,25.0,2000-03-30,0,,8,824,0,0.07,0,0.43,12.01,49.09,Portugal,['Portugal'],,0,0,False,10.81,6.23,63.16,1.75,43.75,0.55,0.73,0.22,6.33,8.45,0.44,0,0.0,0,0.0,0.98,0.0,0,0.0,0.01,0,0.0,5,0.55,60.0,0.0,0.0,0.87,62.5,0.33,66.67,0.55,60.0,0.11,0.66,16.67,2.51,26.09,0.11,0.22,0.0,13.43,0.87,0.44,23.81,56.42,13.22,47.93,2.18,75.0,18.57,63.53,4.37,25.0,17.3,31.11,0.05,0.55,0.0,0.0,0.0,0.0,0.11,2.84,34.62,1.09,50.0,0.33,0.0,0.11,0.55,6.12,23.21,76.47,5.57,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.75,0.66,0.0,0.0,0.0,0,0
Sara Monteiro,Sara Monteiro Taveira,305370,Valadares Gaia,Valadares Gaia,https://cdn5.wyscout.com/photos/team/public/g25012_120x120.png,1a Divisão Women,RB,RB,93,,0,,0,28.0,1997-09-01,0,,9,817,1,0.08,0,2.47,7.82,53.52,Portugal,['Portugal'],,0,0,False,7.82,4.96,57.78,0.44,0.0,0.11,0.16,0.22,4.85,6.91,0.77,2,0.22,0,0.0,1.43,0.11,1,0.11,0.01,0,0.0,4,0.44,25.0,25.0,0.0,2.2,50.0,0.66,33.33,1.54,57.14,0.44,0.66,33.33,1.65,53.33,0.11,0.66,0.0,14.21,0.33,0.66,23.46,65.73,13.44,59.02,2.09,94.74,16.74,75.0,4.52,39.02,19.99,28.96,0.27,1.21,0.0,0.0,0.0,0.0,0.22,5.29,54.17,2.64,33.33,0.88,25.0,0.11,0.99,7.6,63.77,69.77,4.74,0,,0,,0,0.0,0.0,0.0,,,0.55,,0.44,0.33,0.0,0.0,1.65,0,0
