Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Silva Santos,Ana Paula Silva Santos,-703109,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/g-11940_120x120.png,Kansallinen Liiga,"LCMF, LWF, RCMF",LCMF,20,LWF,18,RCMF,15,27.0,1998-06-26,0,,17,1615,3,3.02,4,2.15,14.71,50.0,Brazil,['Brazil'],both,0,0,False,7.02,4.79,56.98,2.06,54.05,0.11,0.17,0.11,4.18,6.34,1.0,2,0.11,0,0.0,2.51,0.17,3,0.17,0.17,1,0.06,32,1.78,40.63,9.375,0.22,1.17,38.1,0.39,42.86,0.78,35.71,0.06,2.67,45.83,6.97,46.4,2.84,1.06,0.28,29.31,1.9500000000000002,1.5,44.08,81.92,12.59,69.47,9.14,96.34,40.18,85.71,2.79,44.0,15.3,26.87,0.12,0.84,0.0,0.0,0.11,100.0,1.17,4.74,75.29,2.45,45.45,0.22,50.0,1.11,0.45,6.35,60.53,79.67,13.71,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.06,0.0,0.0,0.0,1.8399999999999999,0,0.0
H. Perkaus,Helmi Perkaus,-338159,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/g-11940_120x120.png,Kansallinen Liiga,"CB, LCB",CB,54,LCB,45,,0,20.0,2005-06-21,0,,17,1603,0,0.03,0,0.0,5.05,53.33,Finland,['Finland'],unknown,0,0,False,7.64,2.69,56.25,1.4,64.0,0.0,0.0,0.62,6.12,9.24,0.39,3,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,2,0.11,0.0,0.0,0.0,0.17,0.0,0.06,0.0,0.06,0.0,0.06,0.17,0.0,0.73,23.08,0.06,0.06,0.45,44.8,0.34,0.11,68.78,82.69,29.14,66.67,6.34,98.23,55.25,92.89,13.36,41.6,20.56,32.25,0.0,0.0,0.11,0.0,0.0,0.0,0.17,8.65,63.64,0.9,25.0,0.17,0.0,0.22,0.06,12.63,55.11,95.62,28.18,0,,0,,0,0.0,0.0,0.0,,,5.33,,1.4,0.0,0.0,0.0,0.11,0,0.0
T. Stark,Tao Stark,-254534,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/g-11940_120x120.png,Kansallinen Liiga,"DMF, RCMF, LCMF",DMF,31,RCMF,20,LCMF,15,21.0,2004-08-01,0,,17,1576,1,0.98,1,0.97,16.9,54.73,Finland,['Finland'],unknown,0,0,False,10.34,6.62,61.21,2.5700000000000003,60.0,0.0,0.0,0.23,6.28,9.57,0.6900000000000001,1,0.06,0,0.0,1.83,0.06,1,0.06,0.06,0,0.0,11,0.63,45.45,9.091,0.06,0.91,37.5,0.46,12.5,0.4,71.43,0.06,2.06,58.33,6.45,46.9,0.5700000000000001,1.31,0.23,32.04,0.8,1.94,49.57,78.8,16.16,62.54,11.71,95.12,46.26,82.22,2.4,28.57,15.23,23.72,0.06,0.51,0.0,0.06,0.06,0.0,0.74,6.4,67.86,1.54,37.04,0.23,0.0,0.46,0.46,7.48,54.2,83.94,14.22,0,,0,,0,0.0,0.0,0.0,,,0.86,,2.5700000000000003,0.34,0.06,100.0,1.83,0,0.0
S. Jaatinen,Silja Jaatinen,-254340,Åland United,Åland United,https://cdn5.wyscout.com/photos/team/public/g6049_120x120.png,Kansallinen Liiga,LB,LB,90,,0,,0,23.0,2002-04-15,0,,16,1542,1,0.28,3,2.36,6.83,52.99,Finland,['Finland'],left,0,0,False,7.65,3.27,67.86,0.7000000000000001,58.33,0.0,0.0,0.41000000000000003,5.43,6.87,0.23,1,0.06,0,0.0,1.46,0.06,1,0.06,0.02,0,0.0,4,0.23,50.0,25.0,0.18,2.74,29.79,2.63,28.89,0.0,0.0,0.29,0.88,60.0,2.22,31.58,1.05,1.23,0.06,26.15,1.87,0.29,34.61,71.67,16.4,67.62,4.73,86.42,27.08,80.17,4.9,46.43,15.97,27.87,0.14,0.7000000000000001,0.0,0.0,0.0,0.0,0.76,4.55,71.79,2.92,42.0,0.12,50.0,0.7000000000000001,1.23,8.7,59.73,69.05,7.35,0,,0,,0,0.0,0.0,0.0,,,0.12,,0.7000000000000001,0.0,0.0,0.0,0.0,0,0.0
S. Kato,Shiori Kato,-286456,PK-35 Helsinki,PK-35 Helsinki,https://cdn5.wyscout.com/photos/team/public/g35507_120x120.png,Kansallinen Liiga,"RB, RWB",RB,50,RWB,23,,0,25.0,2000-05-17,0,,16,1534,2,1.67,0,0.78,17.78,55.12,Japan,['Japan'],right,161,57,False,13.67,8.1,65.22,2.7,67.39,0.18,0.19,0.76,8.21,8.64,0.76,1,0.06,0,0.0,1.88,0.12,2,0.12,0.1,2,0.12,19,1.11,21.05,10.526,0.0,1.7000000000000002,31.03,0.35000000000000003,33.33,1.35,30.43,0.35000000000000003,1.76,63.33,5.8100000000000005,40.4,1.35,1.11,0.18,25.58,3.64,0.8200000000000001,44.18,67.2,23.41,56.64,6.28,89.72,34.03,75.52,8.62,41.5,16.74,28.13,0.05,0.47000000000000003,0.06,0.0,0.06,0.0,0.7000000000000001,6.45,45.45,2.64,35.56,0.47000000000000003,12.5,0.53,0.35000000000000003,11.56,49.75,72.59,7.92,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.7,0.0,0.0,0.0,0.0,0,0.0
A. Råtts,Adela Råtts,-435555,Vasa IFK,Vasa IFK,https://cdn5.wyscout.com/photos/team/public/g21199_120x120.png,Kansallinen Liiga,RCB,RCB,90,,0,,0,19.0,2006-05-04,0,,16,1517,0,0.0,1,0.47000000000000003,9.73,62.8,Finland,['Finland'],unknown,0,0,False,11.75,6.7,71.68,1.48,44.0,0.06,0.06,0.89,6.88,7.28,0.8300000000000001,1,0.06,1,0.06,0.06,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.06,100.0,0.9500000000000001,31.25,0.0,0.12,0.18,23.02,0.36,0.30000000000000004,40.16,69.57,22.72,60.05,2.08,88.57,29.43,82.26,10.68,35.0,20.21,29.64,0.03,0.12,0.0,0.0,0.0,0.0,0.18,4.57,46.75,0.53,33.33,0.06,100.0,0.30000000000000004,0.0,11.15,39.36,84.29,12.46,0,,0,,0,0.0,0.0,0.0,,,1.48,,1.48,0.0,0.0,0.0,0.0,0,0.0
K. Smekrud,Kacey Smekrud,-244585,Åland United,Åland United,https://cdn5.wyscout.com/photos/team/public/g6049_120x120.png,Kansallinen Liiga,RCB,RCB,89,,0,,0,25.0,1999-11-28,0,,16,1494,0,0.11,1,0.30000000000000004,5.96,63.64,United States,['United States'],,180,0,False,7.29,3.37,76.79,1.02,41.18,0.06,0.08,0.84,4.64,5.89,0.18,1,0.06,0,0.0,0.48,0.0,0,0.0,0.01,0,0.0,1,0.06,0.0,0.0,0.06,0.36,33.33,0.12,0.0,0.24,50.0,0.18,0.54,66.67,1.08,66.67,0.18,0.24,0.24,32.83,0.42,0.18,49.16,78.68,18.07,57.67,4.76,94.94,39.46,91.3,9.34,27.1,22.84,35.27,0.02,0.06,0.0,0.0,0.0,0.0,0.24,4.28,47.89,0.84,14.29,0.30000000000000004,0.0,0.06,0.24,10.18,37.87,91.62,23.01,0,,0,,0,0.0,0.0,0.0,,,3.61,,1.02,0.0,0.0,0.0,0.0,0,0.0
W. Forsblom,Wilma Forsblom,-189848,PK-35 Vantaa,PK-35 Vantaa,https://cdn5.wyscout.com/photos/team/public/g10129_120x120.png,Kansallinen Liiga,"RCMF, LCMF, AMF",RCMF,25,LCMF,22,AMF,17,21.0,2003-09-06,0,,16,1486,4,2.95,0,2.05,17.99,48.15,Finland,['Finland'],right,0,0,False,9.93,6.66,69.09,2.73,33.33,0.06,0.08,0.24,5.27,6.8100000000000005,0.42,0,0.0,0,0.0,2.36,0.24,4,0.24,0.18,0,0.0,38,2.3,36.84,10.526,0.0,0.73,41.67,0.30000000000000004,40.0,0.36,33.33,0.18,3.09,39.22,6.9,36.84,2.73,1.33,0.30000000000000004,19.26,2.48,0.97,29.5,71.87,10.42,56.98,6.6,92.66,25.01,77.97,3.76,37.1,16.56,29.62,0.12,1.21,0.06,0.0,0.0,0.0,0.79,4.24,58.57,1.57,50.0,0.36,33.33,0.73,0.36,4.36,48.61,76.23,7.39,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.73,1.09,0.24,25.0,3.15,0,0.0
M. Hagström,Monica Hagström,467760,Åland United,Åland United,https://cdn5.wyscout.com/photos/team/public/g6049_120x120.png,Kansallinen Liiga,"LDMF, LAMF, AMF",LDMF,56,LAMF,20,AMF,10,25.0,2000-08-20,0,,16,1466,1,2.26,2,4.95,14.8,54.36,Finland,['Finland'],,0,0,False,8.66,5.71,63.44,1.23,55.0,0.12,0.15,0.12,4.91,6.14,1.11,1,0.06,0,0.0,2.76,0.06,0,0.0,0.14,0,0.0,17,1.04,47.06,5.882,0.12,1.04,47.06,0.68,45.45,0.31,40.0,0.18,2.7,63.64,7.37,47.5,1.47,1.04,0.49,25.97,1.72,1.6600000000000001,41.38,71.07,16.94,54.35,9.64,91.72,33.46,77.61,6.88,42.86,17.39,28.59,0.30000000000000004,1.23,0.12,0.0,0.06,100.0,0.49,7.74,54.76,2.03,45.45,0.18,33.33,0.74,0.55,8.78,56.64,81.46,9.27,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.23,0.68,0.25,25.0,3.25,1,100.0
L. Kankaanpää,Linda Kankaanpää,-435439,Vasa IFK,Vasa IFK,https://cdn5.wyscout.com/photos/team/public/g21199_120x120.png,Kansallinen Liiga,LCB,LCB,90,,0,,0,,,0,,15,1455,0,0.14,0,0.52,7.92,56.25,Finland,['Finland'],unknown,0,0,False,10.02,4.64,58.67,1.18,47.37,0.0,0.0,0.87,7.3,7.63,0.43,0,0.0,0,0.0,0.43,0.0,0,0.0,0.01,0,0.0,1,0.06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,66.67,1.42,47.83,0.56,0.12,0.25,21.03,0.56,0.49,39.46,78.06,16.95,66.06,2.41,79.49,29.94,88.43,9.53,45.45,19.32,28.51,0.03,0.12,0.0,0.0,0.0,0.0,0.25,2.9699999999999998,58.33,0.12,50.0,0.12,50.0,0.12,0.0,8.91,38.89,88.8,16.02,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,1.18,0.0,0.0,0.0,0.0,0,0.0
F. Lindholm,Frida Lindholm,-435534,Vasa IFK,Vasa IFK,https://cdn5.wyscout.com/photos/team/public/g21199_120x120.png,Kansallinen Liiga,"LB, LB5",LB,88,LB5,10,,0,,,0,,15,1410,0,0.11,0,0.0,11.11,51.72,Finland,['Finland'],unknown,0,0,False,9.19,7.6,58.82,0.45,28.57,0.0,0.0,0.32,4.72,4.98,1.15,3,0.19,0,0.0,0.45,0.0,0,0.0,0.01,0,0.0,2,0.13,100.0,0.0,0.0,0.64,40.0,0.64,40.0,0.0,0.0,0.13,0.19,33.33,2.3,38.89,0.13,0.13,0.06,21.89,1.34,0.7000000000000001,31.85,67.33,14.74,51.95,5.36,89.29,22.09,79.48,9.13,39.86,18.66,28.36,0.0,0.0,0.0,0.0,0.0,0.0,0.13,3.77,45.76,1.09,29.41,0.26,25.0,0.19,0.26,8.68,41.91,71.79,7.47,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,0.45,0.0,0.0,0.0,0.0,0,0.0
E. Mäkipelkola,Elli Mäkipelkola,-338175,KuPS,KuPS,https://cdn5.wyscout.com/photos/team/public/g-11940_120x120.png,Kansallinen Liiga,"LWB, LCMF3, LB",LWB,39,LCMF3,27,LB,14,19.0,2006-05-24,0,,16,1375,5,3.89,1,3.04,14.14,48.61,Finland,['Finland'],unknown,0,0,False,6.8100000000000005,5.11,64.1,1.57,33.33,0.0,0.0,0.07,3.5300000000000002,5.38,0.65,1,0.07,0,0.0,4.25,0.33,5,0.33,0.25,0,0.0,42,2.75,40.48,11.905,0.07,3.08,34.04,2.68,29.27,0.33,60.0,0.46,3.21,61.22,6.41,42.86,3.8,3.47,0.26,29.78,1.6400000000000001,0.59,35.08,75.56,12.11,66.49,7.59,94.83,30.11,82.39,1.9,34.48,16.01,23.21,0.2,1.24,0.13,0.0,0.46,28.57,0.98,4.84,72.97,3.73,45.61,0.52,25.0,1.6400000000000001,1.18,7.27,73.87,73.51,9.88,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.57,0.07,0.0,0.0,0.92,0,0.0
N. Pitko,Neelia Pitko,-443171,JyPK,JyPK,https://cdn5.wyscout.com/photos/team/public/g6384_120x120.png,Kansallinen Liiga,"RAMF, RW, LAMF",RAMF,38,RW,22,LAMF,14,19.0,2006-05-02,0,,15,1348,2,2.21,2,1.07,15.82,49.79,Finland,['Finland'],unknown,0,0,False,9.55,6.48,64.95,1.47,31.82,0.07,0.08,0.07,5.27,6.41,0.53,2,0.13,0,0.0,2.67,0.13,2,0.13,0.15,0,0.0,15,1.0,46.67,13.333,0.13,1.74,30.77,0.2,0.0,1.54,34.78,0.33,3.61,46.3,6.48,40.21,2.27,1.67,0.07,18.56,2.27,0.8,23.57,73.37,5.01,60.0,7.28,84.4,20.63,80.58,1.2,11.11,14.07,12.93,0.07,0.53,0.0,0.0,0.0,0.0,0.6000000000000001,1.4,52.38,1.54,30.43,0.07,0.0,0.2,0.6000000000000001,3.81,31.58,64.56,5.27,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.47,0.0,0.0,0.0,0.0,0,0.0
